Index,Tag,Eclipse-Series,Spine #,Title,Director,Country,Year,豆瓣电影,豆瓣年份,豆瓣打分,备注
61,bs-#282, ,285,Ashes and Diamonds,Andrzej Wajda,Poland,1958,[灰烬与钻石 Popiół i diament](https://movie.douban.com/subject/1303174/),1958,8.2, 
62,bs-#327, ,327,"[3 Films by Louis Malle](https://www.criterion.com/boxsets/397-3-films-by-louis-malle#:~:text=3%20Films%20by%20Louis%20Malle%20Few%20directors%20have,tumult%20of%20World%20War%20II%20and%20postwar%20France.)", , , ,**路易·马勒的三部电影**, , , 
63,bs-#327, ,328,Murmur of the Heart,Louis Malle,France,1971,[好奇心 Le souffle au cœur](https://movie.douban.com/subject/1297201/),1971,7.7, 
64,bs-#327, ,329,"Lacombe, Lucien",Louis Malle,France,1974,[拉孔布·吕西安 Lacombe Lucien](https://movie.douban.com/subject/1432637/),1974,8.1, 
65,bs-#327, ,330,Au revoir les enfants,Louis Malle,France,1987,[再见，孩子们 Au revoir les enfants](https://movie.douban.com/subject/1292586/),1987,8.5, 
66,bs-#342, ,342,[Six Moral Tales](https://www.criterion.com/boxsets/417-six-moral-tales), , , ,**（埃里克·侯麦）六个道德故事**, , , 
67,bs-#342, ,343,The Bakery Girl of Monceau,Eric Rohmer,France,1963,[面包店的女孩 La boulangère de Monceau](https://movie.douban.com/subject/1394348/),1963,8.2, 
68,bs-#342, ,344,Suzanne’s Career,Eric Rohmer,France,1963,[苏姗娜的故事 La carrière de Suzanne](https://movie.douban.com/subject/1293030/),1963,7.2, 
69,bs-#342, ,345,My Night at Maud’s,Eric Rohmer,France,1969,[慕德家一夜 Ma nuit chez Maud](https://movie.douban.com/subject/1296283/),1969,8.3, 
70,bs-#342, ,346,La collectionneuse,Eric Rohmer,France,1967,[女收藏家 La collectionneuse](https://movie.douban.com/subject/1297344/),1967,7.8, 
71,bs-#342, ,347,Claire’s Knee,Eric Rohmer,France,1970,[克莱尔的膝盖 Le genou de Claire](https://movie.douban.com/subject/1294915/),1970,7.8, 
72,bs-#342, ,348,Love in the Afternoon,Eric Rohmer,France,1972,[午后之爱 L'amour l'après-midi](https://movie.douban.com/subject/1293963/),1972,8.4, 
73,bs-#364, ,364,[Monsters and Madmen](https://www.criterion.com/boxsets/434-monsters-and-madmen), , , ,**（罗伯特·戴等）怪物和疯子【合集】**, , , 
74,bs-#364, ,365,First Man into Space,Robert Day,United States,1959,[太空第一人 First Man Into Space](https://movie.douban.com/subject/1293814/),1959,5.5, 
75,bs-#364, ,366,The Atomic Submarine,Spencer G. Bennet,United States,1959,[核潜艇 The Atomic Submarine](https://movie.douban.com/subject/1294329/),1959,5.2, 
76,bs-#364, ,367,The Haunted Strangler,Robert Day,United States,1958,[鬼杀手 Grip of the Strangler](https://movie.douban.com/subject/1293061/),1958,6.0, 
77,bs-#364, ,368,Corridors of Blood,Robert Day,United States,1959,[血回廊 Corridors of Blood](https://movie.douban.com/subject/1904183/),1958,6.4, 
78,bs-#369, ,369,[Paul Robeson: Portraits of the Artist](https://www.criterion.com/boxsets/443-paul-robeson-portraits-of-the-artist), , , ,**保保罗·罗贝森：艺术家的肖像**, , , 
79,bs-#369, ,371,Body and Soul,Oscar Micheaux,United States,1925,[灵与肉 Body and Soul](https://movie.douban.com/subject/1924243/),1925,7.6, 
80,bs-#369, , ,Borderline,Kenneth Macpherson,United States,1930,[偷情边缘 Borderline](https://movie.douban.com/subject/1924245/),1930, , 
81,bs-#369, ,370,The Emperor Jones,Dudley Murphy,United States,1933,[琼斯皇 The Emperor Jones](https://movie.douban.com/subject/1922044/),1933, , 
82,bs-#369, , ,Paul Robeson: Tribute to an Artist,Saul J. Turell,United States,1979,[保罗·罗贝森：献给一位艺术家 Paul Robeson: Tribute to an Artist](https://movie.douban.com/subject/1924241/),1979, , 
83,bs-#369, ,372,Sanders of the River,Zoltán Korda,United Kingdom,1935,[河之檀木 Sanders of the River](https://movie.douban.com/subject/1924246/),1935, , 
84,bs-#369, , ,Jericho,Thornton Freeland,United Kingdom,1937,[杰里科 Jericho](https://movie.douban.com/subject/1924247/),1937, , 
85,bs-#369, ,373,The Proud Valley,Pen Tennyson,United Kingdom,1940,[骄傲的山谷 The Proud Valley](https://movie.douban.com/subject/1924251/),1940, , 
86,bs-#369, , ,Native Land,Leo Hurwitz…,United States,1942,[家乡 Native Land](https://movie.douban.com/subject/1924252/),1942, , 
87,bs-#387, ,387,[La Jetée/Sans Soleil](https://www.criterion.com/boxsets/77-la-jete-sans-soleil), , , ,**（克里斯·马克）堤、日月无光【合集】**, , , 
88,bs-#387, , ,La Jetée,Chris Marker,France,1963,[堤 La jetée](https://movie.douban.com/subject/1306626/),1962,9.0, 
89,bs-#387, , ,Sans Soleil,Chris Marker,France,1983,[日月无光 Sans soleil](https://movie.douban.com/subject/1401901/),1983,8.5, 
90,bs-#392, ,392,"[Three Films by Hiroshi Teshigahara](https://www.criterion.com/boxsets/458-three-films-by-hiroshi-teshigahara#:~:text=FOUR-DISC%20SET%3A%201%20New%2C%20restored%20high-definition%20digital%20transfers,Tokyo%201958%20%281958%29%2C%20and%20Ako%2FWhite%20Morning%20%281963%29%20%E6%9B%B4%E5%A4%9A%E9%A1%B9%E7%9B%AE)", , , ,**敕使河原宏的三部电影**, , , 
91,bs-#392, ,393,Pitfall,Hiroshi Teshigahara,Japan,1962,[陷阱 おとし穴](https://movie.douban.com/subject/1432780/),1962,8.0, 
92,bs-#392, ,394,Woman in the Dunes,Hiroshi Teshigahara,Japan,1964,[砂之女 砂の女](https://movie.douban.com/subject/1295812/),1964,8.6, 
93,bs-#392, ,395,The Face of Another,Hiroshi Teshigahara,Japan,1966,[他人之颜 他人の顔](https://movie.douban.com/subject/1432779/),1966,8.4, 
94,bs-#418, ,418,[4 by Agnès Varda](https://www.criterion.com/boxsets/8-4-by-agns-varda), , , ,**阿涅斯·瓦尔达的四部电影**, , , 
95,bs-#418, ,419,La Pointe Courte,Agnès Varda,France,1955,[短岬村 La pointe-courte](https://movie.douban.com/subject/1297682/),1955,7.6, 
96,bs-#418, ,73,Cléo from 5 to 7,Agnès Varda,France,1962,[五至七时的克莱奥 Cléo de 5 à 7](https://movie.douban.com/subject/1294565/),1962,8.7, 
97,bs-#418, ,420,Le bonheur,Agnès Varda,France,1965,[幸福 Le bonheur](https://movie.douban.com/subject/1483516/),1965,8.3, 
98,bs-#418, ,74,Vagabond,Agnès Varda,France,1985,[天涯沦落女 Sans toit ni loi](https://movie.douban.com/subject/1292445/),1985,8.3, 
99,bs-#471, ,471,"[Pigs, Pimps & Prostitutes: 3 Films by Shohei Imamura](https://www.criterion.com/boxsets/613-pigs-pimps-prostitutes-3-films-by-shohei-imamura)", , , ,**猪、皮条客和娼妓：今村昌平的三部电影**, , , 
100,bs-#471, ,472,Pigs and Battleships,Shohei Imamura,Japan,1962,[猪与军舰 豚と軍艦](https://movie.douban.com/subject/1420283/),1961,8.1, 
101,bs-#471, ,473,The Insect Woman,Shohei Imamura,Japan,1963,[日本昆虫记 にっぽん昆虫記](https://movie.douban.com/subject/1302917/),1963,8.3, 
102,bs-#471, ,474,Intentions of Murder,Shohei Imamura,Japan,1964,[赤色杀机 赤い殺意](https://movie.douban.com/subject/1433503/),1964,8.1, 
103,bs-#500, ,500,[Roberto Rossellini’s War Trilogy](https://www.criterion.com/boxsets/689-roberto-rossellinis-war-trilogy), , , ,**罗伯托·罗西里尼战争三部曲**, , , 
104,bs-#500, ,497,Rome Open City,Roberto Rossellini,Italy,1945,"[罗马，不设防的城市 Roma, città aperta](https://movie.douban.com/subject/1296669/)",1945,8.1, 
105,bs-#500, ,498,Paisan,Roberto Rossellini,Italy,1946,[战火 Paisà](https://movie.douban.com/subject/1299257/),1946,8.2, 
106,bs-#500, ,499,Germany Year Zero,Roberto Rossellini,Germany,1948,[德意志零年 Germania anno zero](https://movie.douban.com/subject/1293153/),1948,8.4, 
107,bs-#508, ,508,[Letters from Fontainhas: Three Films by Pedro Costa](https://www.criterion.com/boxsets/704-letters-from-fontainhas-three-films-by-pedro-costa), , , ,**方泰尼亚的来信：佩德罗·科斯塔的三部电影**, , , 
108,bs-#508, ,509,Ossos,Pedro Costa,Portugal,1997,[骨未成灰 Ossos](https://movie.douban.com/subject/1768144/),1997,7.2, 
109,bs-#508, ,510,In Vanda’s Room,Pedro Costa,Portugal,2000,[旺妲的房间 No Quarto da Vanda](https://movie.douban.com/subject/1829859/),2000,7.8, 
110,bs-#508, ,511,Colossal Youth,Pedro Costa,Portugal,2006,[前进青春 Juventude em Marcha](https://movie.douban.com/subject/1937459/),2006,7.4, 
111,bs-#518, ,518,"[By Brakhage: An Anthology, Volumes One and Two](https://www.criterion.com/boxsets/722-by-brakhage-an-anthology-volumes-one-and-two)", , , ,**斯坦·布拉哈格选集：卷一和卷二**, , , 
112,bs-#518, ,184,"By Brakhage: An Anthology, Volume One",Stan Brakhage,United States, , , , , 
113,bs-#518, ,517,"By Brakhage: An Anthology, Volume Two",Stan Brakhage,United States, , , , , 
114,bs-#524, ,524,[The Only Son/There Was a Father: Two Films by Yasujiro Ozu](https://www.criterion.com/boxsets/730-the-only-son-there-was-a-father-two-films-by-yasujiro-ozu), , , ,**小津安二郎的两部电影：独生子、父亲在世时**, , , 
115,bs-#524, ,525,The Only Son,Yasujiro Ozu,Japan,1936,[独生子 一人息子](https://movie.douban.com/subject/1308311/),1936,8.2, 
116,bs-#524, ,526,There Was a Father,Yasujiro Ozu,Japan,1942,[父亲在世时 父ありき](https://movie.douban.com/subject/1304405/),1942,8.2, 
117,bs-#528, ,528,[3 Silent Classics by Josef von Sternberg](https://www.criterion.com/boxsets/744-3-silent-classics-by-josef-von-sternberg), , , ,**瑟夫·冯·斯登堡的三部默片经典**, , , 
118,bs-#528, ,529,Underworld,Josef von Sternberg,United States,1927,[地下世界 Underworld](https://movie.douban.com/subject/1303347/),1927,7.8, 
119,bs-#528, ,530,The Last Command,Josef von Sternberg,United States,1928,[最后命令 The Last Command](https://movie.douban.com/subject/1292539/),1928,8.3, 
120,bs-#528, ,531,The Docks of New York,Josef von Sternberg,United States,1928,[纽约船坞 The Docks of New York](https://movie.douban.com/subject/1855285/),1928,7.7, 
121,bs-#578, ,578,[The Complete Jean Vigo](https://www.criterion.com/boxsets/819-the-complete-jean-vigo), , , ,**让·维果全集**, , , 
122,bs-#578, , ,À propos de Nice,Jean Vigo and Boris Kaufman,France,1930,[尼斯印象 À propos de Nice](https://movie.douban.com/subject/1401909/),1930,8.1, 
123,bs-#578, , ,Taris,Jean Vigo,France,1931,"[游泳冠军塔里斯 Taris, roi de l'eau](https://movie.douban.com/subject/1401910/)",1931,7.4, 
124,bs-#578, , ,Zéro de conduite,Jean Vigo,France,1933,[操行零分 Zéro de conduite: Jeunes diables au collège](https://movie.douban.com/subject/1294518/),1933,8.1, 
125,bs-#578, , ,L’Atalante,Jean Vigo,France,1934,[亚特兰大号 L'Atalante](https://movie.douban.com/subject/1299433/),1934,8.1, 
126,bs-#587, ,587,[Three Colors](https://www.criterion.com/boxsets/844-three-colors), , , ,**（克日什托夫·基耶斯洛夫斯基）蓝白红三部曲**, , , 
127,bs-#587, ,588,Three Colors: Blue,Krzysztof Kieślowski,France,1993,[蓝白红三部曲之蓝 Trois couleurs: Bleu](https://movie.douban.com/subject/1292048/),1993,8.5, 
128,bs-#587, ,589,Three Colors: White,Krzysztof Kieślowski,Poland,1994,[蓝白红三部曲之白 Trois couleurs: Blanc](https://movie.douban.com/subject/1292049/),1994,8.4, 
129,bs-#587, ,590,Three Colors: Red,Krzysztof Kieślowski,Switzerland,1994,[蓝白红三部曲之红 Trois couleurs: Rouge](https://movie.douban.com/subject/1292047/),1994,8.8, 
130,bs-#603, ,603,[David Lean Directs Noël Coward](https://www.criterion.com/boxsets/861-david-lean-directs-nol-coward), , , ,**大卫·里恩执导的诺埃尔·考沃德**, , , 
131,bs-#603, ,76,Brief Encounter,David Lean,United Kingdom,1945,[相见恨晚 Brief Encounter](https://movie.douban.com/subject/1294364/),1945,8.0, 
132,bs-#603, ,604,In Which We Serve,David Lean…,United Kingdom,1942,[与祖国同在 In Which We Serve](https://movie.douban.com/subject/1292815/),1942,6.9, 
133,bs-#603, ,605,This Happy Breed,David Lean,United Kingdom,1944,[天伦之乐 This Happy Breed](https://movie.douban.com/subject/1298449/),1944,7.4, 
134,bs-#603, ,606,Blithe Spirit,David Lean,United Kingdom,1945,[欢乐的精灵 Blithe Spirit](https://movie.douban.com/subject/1293057/),1945,7.3, 
135,bs-#631, ,631,Trilogy of Life, , , ,**（皮埃尔·保罗·帕索里尼）生命三部曲**, , , 
136,bs-#631, ,632,The Decameron,Pier Paolo Pasolini,Italy,1971,[十日谈 Il Decameron](https://movie.douban.com/subject/1299990/),1971,7.5, 
137,bs-#631, ,633,The Canterbury Tales,Pier Paolo Pasolini,Italy,1972,[坎特伯雷故事集 I racconti di Canterbury](https://movie.douban.com/subject/1303731/),1972,7.3, 
138,bs-#631, ,634,Arabian Nights,Pier Paolo Pasolini,Italy,1974,[一千零一夜 Il fiore delle mille e una notte](https://movie.douban.com/subject/1294654/),1974,7.4, 
139,bs-#639, ,639,[The Qatsi Trilogy](https://www.criterion.com/boxsets/934-the-qatsi-trilogy), , , ,**（西奥·安哲罗普洛斯）生活三部曲**, , , 
140,bs-#639, ,640,Koyaanisqatsi,Godfrey Reggio,United States,1983,[失衡生活 Koyaanisqatsi](https://movie.douban.com/subject/1298202/),1982,8.7, 
