Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
Yeelen,🎉549,🎉712,Souleymane Cissé,[光之翼 Yeelen](https://movie.douban.com/subject/1429098/),🌟7.7,苏莱曼·西塞 / Issiaka Kane / Aoua Sangare / Niamanto Sanogo / 剧情 / 马里/布基纳法索/法国/西德 / 1987,1987,Mali-Burkina Faso-France-West Germany-Japan,Drama-Fantasy,[Yeelen](https://www.imdb.com/title/tt0094349/),🌟6.9
Sambizanga,🎉550,🎉3236,Sarah Maldoror,[桑比赞加 Sambizanga](https://movie.douban.com/subject/4729942/),🌟,莎拉·马尔多罗 / Domingos de Oliveira / Elisa Andrade / Jean M'Vondo / 剧情 / 安哥拉/法国 / 1973,1972,Angola-France,Drama,[Sambizanga](https://www.imdb.com/title/tt0069214/),🌟7
"Age of Innocence, The",🎉551,🎉603,Martin Scorsese,[纯真年代 The Age of Innocence](https://movie.douban.com/subject/1301465/),🌟8.2,马丁·斯科塞斯 / 丹尼尔·戴-刘易斯 / 米歇尔·菲佛 / 薇诺娜·瑞德 / 剧情 / 爱情 / 美国 / 1993,1993,USA,Romance-Drama,[The Age of Innocence](https://www.imdb.com/title/tt0106226/),🌟7.2
"Je, tu, il, elle",🎉552,🎉1126,Chantal Akerman,"[我你他她 Je, tu, il, elle](https://movie.douban.com/subject/1429055/)",🌟7.8,香特尔·阿克曼 / 香特尔·阿克曼 / 尼尔斯·阿贺斯图普 / Claire Wauthion / 剧情 / 比利时/法国 / 1974,1974,Belgium,Drama,[Je Tu Il Elle](https://www.imdb.com/title/tt0071690/),🌟6.7
"Blue Angel, The",🎉553,🎉621,Josef von Sternberg,[蓝天使 Der blaue Engel](https://movie.douban.com/subject/1295427/),🌟7.7,约瑟夫·冯·斯登堡 / 埃米尔·雅宁斯 / 玛琳·黛德丽 / 库尔特·盖瑞 / 剧情 / 歌舞 / 德国 / 1930,1930,Germany,Drama,[The Blue Angel](https://www.imdb.com/title/tt0020697/),🌟7.7
Dead Man,🎉554,🎉423,Jim Jarmusch,[离魂异客 Dead Man](https://movie.douban.com/subject/1303462/),🌟8.0,吉姆·贾木许 / 约翰尼·德普 / 加利·法梅尔 / 克里斯平·格洛弗 / 剧情 / 西部 / 奇幻 / 冒险 / 美国/德国/日本 / 1995,1995,USA-Germany,Western-Drama,[Dead Man](https://www.imdb.com/title/tt0112817/),🌟7.5
Princess Mononoke,🎉555,🎉858,Hayao Miyazaki,[幽灵公主 もののけ姫](https://movie.douban.com/subject/1297359/),🌟8.9,宫崎骏 / 松田洋治 / 石田百合子 / 田中裕子 / 动画 / 奇幻 / 冒险 / 日本 / 1997,1997,Japan,Animated-Adventure-Fantasy,[Princess Mononoke](https://www.imdb.com/title/tt0119698/),🌟8.3
Morvern Callar,🎉556,🎉1120,Lynne Ramsay,[默文·卡拉 Morvern Callar](https://movie.douban.com/subject/1420042/),🌟7.6,琳恩·拉姆塞 / 萨曼莎·莫顿 / 凯瑟琳·麦克德莫特 / Linda McGuire / 剧情 / 英国/加拿大 / 2002,2002,UK-Canada,Drama,[Morvern Callar](https://www.imdb.com/title/tt0300214/),🌟6.7
"Haine, La",🎉557,🎉613,Mathieu Kassovitz,[怒火青春 La Haine](https://movie.douban.com/subject/1306449/),🌟8.3,马修·卡索维茨 / 文森特·卡塞尔 / 哈勃·孔黛 / 萨伊德·塔格马奥 / 犯罪 / 剧情 / 法国 / 1995,1995,France,Drama-Crime,[La haine](https://www.imdb.com/title/tt0113247/),🌟8.1
"Wedding March, The",🎉558,🎉662,Erich von Stroheim,[婚礼进行曲 The Wedding March](https://movie.douban.com/subject/1299353/),🌟7.2,埃里克·冯·施特罗海姆 / 埃里克·冯·施特罗海姆 / 菲伊·雷 / 扎苏·皮茨 / 剧情 / 美国 / 1928,1928,USA,Drama,[The Wedding March](https://www.imdb.com/title/tt0019558/),🌟7.4
Doctor Zhivago,🎉559,🎉557,David Lean,[日瓦戈医生 Doctor Zhivago](https://movie.douban.com/subject/1389949/),🌟8.5,大卫·里恩 / 奥马尔·沙里夫 / 朱莉·克里斯蒂 / 杰拉丁·卓别林 / 剧情 / 爱情 / 战争 / 美国/意大利/英国 / 1965,1965,USA,War-Romance-Drama,[Doctor Zhivago](https://www.imdb.com/title/tt0059113/),🌟7.9
Punch-Drunk Love,🎉560,🎉450,Paul Thomas Anderson,[私恋失调 Punch-Drunk Love](https://movie.douban.com/subject/1300211/),🌟7.9,保罗·托马斯·安德森 / 亚当·桑德勒 / 艾米丽·沃森 / 菲利普·塞默·霍夫曼 / 喜剧 / 剧情 / 爱情 / 美国 / 2002,2002,USA,Romance-Drama-Comedy,[Punch-Drunk Love](https://www.imdb.com/title/tt0272338/),🌟7.3
"Silence, The",🎉561,🎉658,Ingmar Bergman,[沉默 Tystnaden](https://movie.douban.com/subject/1300958/),🌟8.3,英格玛·伯格曼 / 英格丽·图林 / 古内尔·林德布洛姆 / 约根·林德斯特伦 / 剧情 / 瑞典 / 1963,1963,Sweden,Drama,[The Silence](https://www.imdb.com/title/tt0057611/),🌟7.8
Easy Rider,🎉562,🎉455,Dennis Hopper,[逍遥骑士 Easy Rider](https://movie.douban.com/subject/1297646/),🌟8.3,丹尼斯·霍珀 / 彼得·方达 / 丹尼斯·霍珀 / 杰克·尼科尔森 / 剧情 / 冒险 / 美国 / 1969,1969,USA,Drama,[Easy Rider](https://www.imdb.com/title/tt0064276/),🌟7.3
Young Mr. Lincoln,🎉563,🎉672,John Ford,[青年林肯 Young Mr. Lincoln](https://movie.douban.com/subject/1293499/),🌟7.5,约翰·福特 / 亨利·方达 / 艾丽丝·布雷迪 / 玛乔丽·韦弗 / 传记 / 剧情 / 美国 / 1939,1939,USA,Political-Biography-Drama,[Young Mr. Lincoln](https://www.imdb.com/title/tt0032155/),🌟7.5
Laura,🎉564,🎉510,Otto Preminger,[罗拉秘史 Laura](https://movie.douban.com/subject/1294072/),🌟7.7,奥托·普雷明格 / 吉恩·蒂尔尼 / 达纳·安德鲁斯 / 克利夫顿·韦伯 / 剧情 / 爱情 / 悬疑 / 黑色电影 / 美国 / 1944,1944,USA,Mystery-Romance-Thriller,[Laura](https://www.imdb.com/title/tt0037008/),🌟7.9
Shadow of a Doubt,🎉565,🎉539,Alfred Hitchcock,[辣手摧花 Shadow of a Doubt](https://movie.douban.com/subject/1293817/),🌟7.6,阿尔弗雷德·希区柯克 / 特雷莎·怀特 / 约瑟夫·科顿 / 麦克唐纳·凯瑞 / 剧情 / 悬疑 / 惊悚 / 美国 / 1943,1943,USA,Thriller,[Shadow of a Doubt](https://www.imdb.com/title/tt0036342/),🌟7.8
Ninotchka,🎉566,🎉504,Ernst Lubitsch,[妮诺契卡 Ninotchka](https://movie.douban.com/subject/1297926/),🌟7.8,恩斯特·刘别谦 / 葛丽泰·嘉宝 / 茂文·道格拉斯 / 艾娜·克莱尔 / 喜剧 / 爱情 / 美国 / 1939,1939,USA,Romance-Comedy,[Ninotchka](https://www.imdb.com/title/tt0031725/),🌟7.8
"Testament of Dr. Mabuse, The",🎉567,🎉609,Fritz Lang,[马布斯博士的遗嘱 Das Testament des Dr. Mabuse](https://movie.douban.com/subject/1441134/),🌟8.3,弗里茨·朗 / René Sti / 鲁道夫·克莱恩-鲁格 / Thomy Bourdelle / 古斯塔夫·迪斯尔 / 犯罪 / 悬疑 / 奇幻 / 德国/法国 / 1933,1933,Germany,Thriller-Mystery-Crime,[The Testament of Dr. Mabuse](https://www.imdb.com/title/tt0023563/),🌟7.9
WALL-E,🎉568,🎉342,Andrew Stanton,[机器人总动员 WALL·E](https://movie.douban.com/subject/2131459/),🌟9.3,安德鲁·斯坦顿 / 本·贝尔特 / 艾丽莎·奈特 / 杰夫·格尔林 / 科幻 / 动画 / 冒险 / 美国 / 2008,2008,USA,Animated-Adventure-Science Fiction,[WALL·E](https://www.imdb.com/title/tt0910970/),🌟8.4
Kagemusha,🎉569,🎉561,Akira Kurosawa,[影武者](https://movie.douban.com/subject/1303067/),🌟9.1,黑泽明 / 仲代达矢 / 山崎努 / 萩原健一 / 剧情 / 历史 / 战争 / 日本/美国 / 1980,1980,Japan,War-Drama-History,[Kagemusha](https://www.imdb.com/title/tt0080979/),🌟7.9
That Obscure Object of Desire,🎉570,🎉607,Luis Buñuel,[朦胧的欲望 Cet obscur objet du désir](https://movie.douban.com/subject/1303071/),🌟8.2,路易斯·布努埃尔 / 费尔南多·雷伊 / 卡洛尔·布盖 / 安吉拉·莫利纳 / 喜剧 / 剧情 / 爱情 / 法国/西班牙 / 1977,1977,France-Spain,Drama,[That Obscure Object of Desire](https://www.imdb.com/title/tt0075824/),🌟7.8
