Index,排名,日本映画,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区,备注,（空白）,排名,外国映画,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,主演,类型,地区,desc,title
115, ,ゴジラ（54）,哥斯拉 ゴジラ,1954,[2059276](https://movie.douban.com/subject/2059276/),7.7,本多猪四郎,剧情 / 科幻 / 恐怖,日本,106位 ゴジラ（54）, , ,第十七捕虜収容所（53）,战地军魂 Stalag 17,1953,[1294605](https://movie.douban.com/subject/1294605/),8.5,比利·怀尔德,威廉·霍尔登 / 唐·泰勒 / 奥托·普雷明格,剧情 / 喜剧 / 战争,美国,99位第十七捕虜収容所（53）, 
116, ,赤線地帯（56）,赤线地带 赤線地帯,1956,[1466788](https://movie.douban.com/subject/1466788/),8.1,沟口健二,剧情,日本,106位 赤線地帯（56）, , ,グレン・ミラー物語(54),格伦·米勒传 The Glenn Miller Story,1954,[1306339](https://movie.douban.com/subject/1306339/),7.3,安东尼·曼,詹姆斯·斯图尔特 / 琼·阿利森 / 哈里·摩根,传记 / 剧情 / 音乐 / 爱情,美国,99位グレン・ミラー物語(54), 
117, ,狂った果実（56）,疯狂的果实 狂った果実,1956,[1424640](https://movie.douban.com/subject/1424640/),7.1,中平康,剧情 / 情色,日本,106位 狂った果実（56）, , ,現金に手を出すな（54）,钱财勿动 Touchez pas au grisbi,1954,[1304495](https://movie.douban.com/subject/1304495/),7.3,雅克·贝克,让·迦本 / 勒内·达里 / 多拉·多尔,剧情 / 犯罪,法国/意大利,99位現金に手を出すな（54）, 
118, ,蜘蛛巣城(57),蜘蛛巢城 蜘蛛巣城,1957,[1294827](https://movie.douban.com/subject/1294827/),8.5,黑泽明,剧情 / 历史,日本,106位 蜘蛛巣城(57), , ,夏の嵐（54）,战国妖姬 Senso,1954,[1303572](https://movie.douban.com/subject/1303572/),7.3,卢基诺·维斯康蒂,法利·格兰杰 / 阿莉达·瓦利 / 马西莫·吉洛蒂,剧情 / 历史 / 爱情 / 战争,意大利,99位夏の嵐（54）, 
119, ,東京暮色（57）,东京暮色 東京暮色,1957,[1300842](https://movie.douban.com/subject/1300842/),8.3,小津安二郎,剧情,日本,106位 東京暮色（57）, , ,奇跡（55）,词语 Ordet,1955,[1303566](https://movie.douban.com/subject/1303566/),8.3,卡尔·西奥多·德莱叶,Hanne Agesen / Kirsten Andreasen / Sylvia Eckhausen,剧情,丹麦,99位奇跡（55）, 
120, ,鷲と鷹（57）,鹫与鹰 鷲と鷹,1957,[4230104](https://movie.douban.com/subject/4230104/), ,井上梅次,剧情 / 悬疑 / 音乐,日本,106位 鷲と鷹（57）, , ,現金に体を張れ（56）,杀手 The Killing,1956,[1293936](https://movie.douban.com/subject/1293936/),8.6,斯坦利·库布里克,斯特林·海登 / 柯琳·格蕾 / 文斯·爱德华兹,犯罪 / 黑色电影 / 惊悚,美国,99位現金に体を張れ（56）, 
121, ,炎上（58）,炎上,1958,[1300165](https://movie.douban.com/subject/1300165/),6.7,市川昆,剧情,日本,106位 炎上（58）, , ,ジャイアンツ（56）,巨人传 Giant,1956,[1298289](https://movie.douban.com/subject/1298289/),8,乔治·史蒂文斯,罗克·赫德森 / 伊丽莎白·泰勒 / 詹姆斯·迪恩,剧情 / 爱情 / 西部,美国,99位ジャイアンツ（56）, 
122, ,隠し砦の三悪人（58）,战国英豪 隠し砦の三悪人,1958,[1303110](https://movie.douban.com/subject/1303110/),8.4,黑泽明,剧情 / 冒险,日本,106位 隠し砦の三悪人（58）, , ,死刑台のエレベーター（58）,通往绞刑架的电梯 Ascenseur pour l'échafaud,1958,[1394342](https://movie.douban.com/subject/1394342/),8.3,路易·马勒,让娜·莫罗 / 莫里斯·罗内 / 乔吉斯·伯乔利,剧情 / 犯罪 / 惊悚 / 黑色电影,法国,99位死刑台のエレベーター（58）, 
123, ,東海道四谷怪談（59）,东海道四谷怪谈 東海道四谷怪談,1959,[1764190](https://movie.douban.com/subject/1764190/),7.4,中川信夫,恐怖,日本,106位 東海道四谷怪談（59）, , ,灰とダイヤモンド（58）,灰烬与钻石 Popiół i diament,1958,[1303174](https://movie.douban.com/subject/1303174/),8.2,安杰伊·瓦伊达,兹比格涅夫·齐布尔斯基 / 夏娃·克尔齐塞夫斯卡 / 瓦克劳·扎斯特泽金斯基,剧情 / 战争,波兰,99位灰とダイヤモンド（58）, 
124, ,秋日和（60）,秋日和,1960,[1401843](https://movie.douban.com/subject/1401843/),8.4,小津安二郎,剧情 / 家庭,日本,106位 秋日和（60）, , ,殺人捜査線（58）,疑犯指认 The Lineup,1958,[3428410](https://movie.douban.com/subject/3428410/),7.4,唐·希格尔,埃里·瓦拉赫 / 罗伯特·基思 / 理查德·杰克尔,犯罪 / 黑色电影 / 剧情,美国,99位殺人捜査線（58）, 
125, ,女が階段を上る時（60）,女人步上楼梯时 女が階段を上る時,1960,[1419479](https://movie.douban.com/subject/1419479/),9.1,成濑巳喜男,剧情,日本,106位 女が階段を上る時（60）, , ,甘い生活（59）,甜蜜的生活 La dolce vita,1960,[1293271](https://movie.douban.com/subject/1293271/),8.6,费德里科·费里尼,马塞洛·马斯楚安尼 / 安妮塔·艾克伯格 / 阿努克·艾梅,剧情 / 喜剧,意大利/法国,99位甘い生活（59）, 
126, ,人も歩けば（60）,人も歩けば,1960,[4230118](https://movie.douban.com/subject/4230118/), ,川岛雄三, ,日本,106位 人も歩けば（60）, , ,お熱いのがお好き（59）,热情如火 Some Like It Hot,1959,[1292574](https://movie.douban.com/subject/1292574/),8.9,比利·怀尔德,玛丽莲·梦露 / 托尼·柯蒂斯 / 杰克·莱蒙,喜剧,美国,99位お熱いのがお好き（59）, 
127, ,黒い十人の女（61）,黑暗中的十个女人 黒い十人の女,1961,[1782904](https://movie.douban.com/subject/1782904/),7.6,市川昆,剧情,日本,106位 黒い十人の女（61）, , ,大人は判ってくれない（59）,四百击 Les quatre cents coups,1959,[1300056](https://movie.douban.com/subject/1300056/),8.9,弗朗索瓦·特吕弗,让-皮埃尔·利奥德 / 克莱尔·莫里耶 / 阿尔贝·雷米,犯罪 / 剧情,法国,99位大人は判ってくれない（59）, 
128, ,世界大戦争（61）,世界大战争 世界大戦争,1961,[2337864](https://movie.douban.com/subject/2337864/), ,松林宗惠,科幻,日本,106位 世界大戦争（61）, , ,橋（59）,桥 Die Brücke,1959,[1439859](https://movie.douban.com/subject/1439859/),8.2,伯恩哈德·维基,弗尔克·博内特 / 弗里茨·维伯 / 米夏埃尔·欣茨,剧情 / 战争,西德,99位橋（59）, 
129, ,妻は告白する（61）,妻之告白 妻は告白する,1961,[1440599](https://movie.douban.com/subject/1440599/),8.1,增村保造,剧情 / 悬疑,日本,106位 妻は告白する（61）, , ,下女（60）,下女 하녀,1960,[1401523](https://movie.douban.com/subject/1401523/),7.2,金绮泳,金振奎 / 朱曾女 / 李恩心,剧情 / 惊悚 / 犯罪,韩国,99位下女（60）, 
130, ,キューポラのある街（62）,化铁炉的街 キューポラのある街,1962,[1755008](https://movie.douban.com/subject/1755008/),7.8,浦山桐郎,剧情,日本,106位 キューポラのある街（62）, , ,情事（60）,奇遇 L'avventura,1960,[1389923](https://movie.douban.com/subject/1389923/),8.2,米开朗基罗·安东尼奥尼,加布里埃尔·费泽蒂 / 莫妮卡·维蒂 / 蕾雅·马萨利,剧情 / 悬疑,意大利/法国,99位情事（60）, 
131, ,斬る（62）,斩 斬る,1962,[2284447](https://movie.douban.com/subject/2284447/),7.2,三隅研次,剧情 / 动作,日本,106位 斬る（62）, , ,スリ（60）,扒手 Pickpocket,1959,[1303559](https://movie.douban.com/subject/1303559/),8.3,罗伯特·布列松,马丁·拉萨尔 / 玛莉卡·格林 / Jean Pélégri,剧情 / 犯罪,法国,99位スリ（60）, 
132, ,破戒（62）,破戒,1962,[1850670](https://movie.douban.com/subject/1850670/),7.3,市川昆 Kon Ichikawa,剧情,日本,106位 破戒（62）, , ,血とバラ(60),血与玫瑰 Et mourir de plaisir,1960,[1297717](https://movie.douban.com/subject/1297717/),6.8,罗杰·瓦迪姆,梅尔·费勒 / 马克·阿莱格雷 / 阿尔贝托·博努奇,恐怖,法国/意大利,99位血とバラ(60), 
133, ,江分利満氏の優雅な生活（63）,江分利满先生的优雅生活 江分利満氏の優雅な生活,1963,[4077010](https://movie.douban.com/subject/4077010/),7.7,冈本喜八,剧情 / 喜剧,日本,106位 江分利満氏の優雅な生活（63）, , ,ナバロンの要塞（61）,纳瓦隆大炮 The Guns of Navarone,1961,[1298721](https://movie.douban.com/subject/1298721/),7.6,J·李·汤普森,格利高里·派克 / 大卫·尼文 / 安东尼·奎恩,动作 / 冒险 / 剧情 / 战争,英国/美国,99位ナバロンの要塞（61）, 
134, ,十三人の刺客（63）,十三刺客 十三人の刺客,1963,[2012333](https://movie.douban.com/subject/2012333/),7.6,工藤荣一,冒险 / 动作,日本,106位 十三人の刺客（63）, , ,皆殺しの天使（62）,泯灭天使 El ángel exterminador,1962,[1303556](https://movie.douban.com/subject/1303556/),8.3,路易斯·布努埃尔,西尔维娅·皮纳尔 / 恩里克·兰巴尔 / 克劳迪奥·布鲁克,喜剧 / 剧情 / 奇幻 / 悬疑,墨西哥,99位皆殺しの天使（62）, 
135, ,砂の女（64）,砂之女 砂の女,1964,[1295812](https://movie.douban.com/subject/1295812/),8.6,敕使河原宏,剧情,日本,106位 砂の女（64）, , ,８　1/2（63）,八部半 8½,1963,[1361276](https://movie.douban.com/subject/1361276/),8.6,费德里科·费里尼,马塞洛·马斯楚安尼 / 克劳迪娅·卡汀娜 / 阿努克·艾梅,剧情,意大利/法国,99位 ８ 1/2（63）, 
136, ,赤ひげ（65）,红胡子 赤ひげ,1965,[1296679](https://movie.douban.com/subject/1296679/),8.8,黑泽明,剧情,日本,106位 赤ひげ（65）, , ,軽蔑(63),蔑视 Le mépris,1963,[1303555](https://movie.douban.com/subject/1303555/),7.7,让-吕克·戈达尔,碧姬·芭铎 / 米歇尔·皮科利 / 杰克·帕兰斯,剧情 / 爱情,法国/意大利,99位軽蔑(63), 
137, ,清作の妻（65）,清作之妻 清作の妻,1965,[1578559](https://movie.douban.com/subject/1578559/),8.3,增村保造,剧情 / 爱情 / 战争,日本,106位 清作の妻（65）, , ,ゲアトルーズ（64）,葛楚 Gertrud,1964,[1420116](https://movie.douban.com/subject/1420116/),8,卡尔·西奥多·德莱叶,尼娜·彭斯·罗德 / 本特·罗斯 / 埃贝·罗德,剧情,丹麦,99位ゲアトルーズ（64）, 
138, ,春婦伝（65）,春妇传 春婦伝,1965,[1429146](https://movie.douban.com/subject/1429146/),7.7,铃木清顺,剧情 / 战争,日本,106位 春婦伝（65）, , ,シェルブールの雨傘（64）,瑟堡的雨伞 Les parapluies de Cherbourg,1964,[1301646](https://movie.douban.com/subject/1301646/),7.8,雅克·德米,凯瑟琳·德纳芙 / 尼诺·卡斯泰尔诺沃 / 安妮·维尔侬,剧情 / 歌舞 / 爱情,法国/西德,99位シェルブールの雨傘（64）, 
139, ,ある殺し屋（67）,杀手 ある殺し屋,1967,[2159668](https://movie.douban.com/subject/2159668/),7.1,森一生,犯罪 / 悬疑 / 惊悚,日本,106位 ある殺し屋（67）, , ,マイ・フェア・レディ（64）,窈窕淑女 My Fair Lady,1964,[1297965](https://movie.douban.com/subject/1297965/),8.2,乔治·库克,奥黛丽·赫本 / 雷克斯·哈里森 / 斯坦利·霍洛威,剧情 / 爱情 / 歌舞,美国,99位マイ・フェア・レディ（64）, 
140, ,紅の流れ星（67）,红色流星 紅の流れ星,1967,[3073535](https://movie.douban.com/subject/3073535/),6.4,舛田利雄,动作,日本,106位 紅の流れ星（67）, , ,シンシナティ・キッド（65）,辛辛那提小子 The Cincinnati Kid,1965,[1863239](https://movie.douban.com/subject/1863239/),7.9,诺曼·杰威森,史蒂夫·麦奎因 / 爱德华·罗宾逊 / 安-玛格丽特,剧情,美国,99位シンシナティ・キッド（65）, 
141, ,拳銃（コルト）は俺のパスポート（67）,手枪就是我的通行证 拳銃は俺のパスポート,1967,[3059492](https://movie.douban.com/subject/3059492/),7.4,野村孝,动作 / 犯罪 / 剧情,日本,106位 拳銃（コルト）は俺のパスポート（67）, , ,アルジェの戦い（66）,阿尔及尔之战 La battaglia di Algeri,1966,[1419005](https://movie.douban.com/subject/1419005/),8.6,吉洛·彭泰科沃,Brahim Hadjadj / 让·马丹 / Yacef Saadi,剧情 / 历史 / 战争,意大利/阿尔及利亚,99位アルジェの戦い（66）, 
142, ,男はつらいよ（69）,寅次郎的故事1 男はつらいよ,1969,[1298487](https://movie.douban.com/subject/1298487/),8.2,山田洋次,剧情 / 喜剧 / 爱情,日本,106位 男はつらいよ（69）, , ,続　夕陽のガンマン　地獄の決斗（66）,"黄金三镖客 Il buono, il brutto, il cattivo",1966,[1401118](https://movie.douban.com/subject/1401118/),9.2,赛尔乔·莱昂内,克林特·伊斯特伍德 / 埃里·瓦拉赫 / 李·范·克里夫,冒险 / 西部,意大利/西班牙/西德,99位続 夕陽のガンマン 地獄の決斗（66）, 
143, ,ゆけゆけ二度目の処女（69）,永远的处女 ゆけゆけ二度目の処女,1969,[1438637](https://movie.douban.com/subject/1438637/),7.5,若松孝二,剧情,日本,106位 ゆけゆけ二度目の処女（69）, , ,バルタザールどこへ行く（66）,驴子巴特萨 Au hasard Balthazar,1966,[1401619](https://movie.douban.com/subject/1401619/),8.3,罗伯特·布列松,安妮·维亚泽姆斯基 / Walter Green / François Lafarge,剧情,法国/瑞典,99位バルタザールどこへ行く（66）, 
144, ,現代性犯罪絶叫篇　理由なき暴行（70）, , , , , , , , , , ,プレイタイム（67）,玩乐时间 Play Time,1967,[1303543](https://movie.douban.com/subject/1303543/),8.8,雅克·塔蒂,雅克·塔蒂 / Barbara Dennek / France Rumilly,喜剧,法国/意大利,99位プレイタイム（67), 
145, ,どですかでん（70）,电车狂 どですかでん,1970,[1303077](https://movie.douban.com/subject/1303077/),8,黑泽明,剧情,日本,106位 どですかでん（70）, , ,ジョアンナ（68）,乔安娜 Joanna,1968,[3155267](https://movie.douban.com/subject/3155267/),6.2,迈克尔·萨恩,吉妮薇芙·怀特 / 克里斯蒂安·德尔默 / 卡尔文·洛克哈特,喜剧 / 剧情 / 歌舞,英国,99位ジョアンナ（68）, 
146, ,白昼の襲撃（70）,白昼的袭击 白昼の襲撃,1970,[4230134](https://movie.douban.com/subject/4230134/), ,西村潔,剧情 / 犯罪,日本,106位 白昼の襲撃（70）, , ,テオレマ（68）,定理 Teorema,1968,[1297130](https://movie.douban.com/subject/1297130/),7.7,皮埃尔·保罗·帕索里尼,西尔瓦娜·曼加诺 / 特伦斯·斯坦普 / 马西莫·吉洛蒂,剧情 / 悬疑,意大利,99位テオレマ（68）, 
147, ,水俣　患者さんとその世界（71）,水俣病患者及其世界 水俣 - 患者さんとその世界,1971,[2268541](https://movie.douban.com/subject/2268541/),8.7,土本典昭,纪录片,日本,106位 水俣 患者さんとその世界（71）, , ,砂漠の流れ者（70）,牛郎血泪美人恩 The Ballad of Cable Hogue,1970,[1305656](https://movie.douban.com/subject/1305656/),7.6,萨姆·佩金帕,杰森·罗巴兹 / 斯黛拉·斯蒂文斯 / 大卫·沃纳,喜剧 / 剧情 / 爱情 / 西部,美国,99位砂漠の流れ者（70）, 
148, ,午前中の時間割り（72）,午前时间表 午前中の時間割り,1972,[3441080](https://movie.douban.com/subject/3441080/), ,羽仁进,剧情,日本,106位 午前中の時間割り（72）, , ,ハズバンズ（70）,夫君 Husbands,1970,[1303095](https://movie.douban.com/subject/1303095/),7.8,约翰·卡萨维蒂,本·戈扎那 / 彼得·法尔克 / 约翰·卡萨维蒂,剧情,美国,99位ハズバンズ（70）, 
149, ,牝猫たちの夜（72）, , , , , , , , , , ,ひまわり（70）,第二个月亮 I girasoli,1970,[1295175](https://movie.douban.com/subject/1295175/),8,维托里奥·德西卡,索菲娅·罗兰 / 马塞洛·马斯楚安尼 / 柳德米拉·萨维里耶娃,剧情,意大利/法国/苏联/美国,99位ひまわり（70）, 
150, ,赤い鳥逃げた？（73）,红鸟逃跑了? 赤い鳥逃げた？,1973,[4230141](https://movie.douban.com/subject/4230141/), ,藤田敏八,剧情 / 喜剧 / 动作 / 爱情 / 家庭,日本,106位 赤い鳥逃げた？（73）, , ,ライアンの娘（70）,雷恩的女儿 Ryan's Daughter,1970,[1292210](https://movie.douban.com/subject/1292210/),8.2,大卫·里恩,莎拉·米尔斯 / 罗伯特·米彻姆 / 克里斯托弗·琼斯,剧情 / 爱情,英国,99位ライアンの娘（70）, 
151, ,男はつらいよ　寅次郎忘れな草（73）,寅次郎的故事11：寅次郎勿忘我 男はつらいよ 寅次郎忘れな草,1973,[1499625](https://movie.douban.com/subject/1499625/),8.5,山田洋次,喜剧,日本,106位 男はつらいよ 寅次郎忘れな草（73）, , ,美しき冒険旅行（71）,小姐弟荒原历险 Walkabout,1971,[1295835](https://movie.douban.com/subject/1295835/),7.8,尼古拉斯·罗伊格,珍妮·艾加特 / 卢克·罗伊格 / 大卫·古皮利,剧情 / 冒险,英国/澳大利亚,99位美しき冒険旅行（71）, 
152, ,三里塚　辺田部落（73）,三里塚 边田部落 三里塚 辺田部落,1973,[1845753](https://movie.douban.com/subject/1845753/),8.8,小川绅介,纪录片,日本,106位 三里塚 辺田部落（73）, , ,フレンチ・コネクション（71）,法国贩毒网 The French Connection,1971,[3013046](https://movie.douban.com/subject/3013046/),7.8,威廉·弗莱德金,吉恩·哈克曼 / 费尔南多·雷伊 / 罗伊·谢德,动作 / 犯罪 / 惊悚,美国,99位フレンチ・コネクション（71）, 
153, ,赤線玉の井 ぬけられます(74), , , , , , , , , , ,ベニスに死す（71）,魂断威尼斯 Morte a Venezia,1971,[1300912](https://movie.douban.com/subject/1300912/),8.2,卢基诺·维斯康蒂,德克·博加德 / 罗慕洛·瓦利 / 马克·伯恩斯,剧情 / 同性,意大利/法国,99位ベニスに死す（71）, 
154, ,不知火海（75）,不知火海,1975,[1307287](https://movie.douban.com/subject/1307287/), ,土本典昭 / 小池征人 / 有馬澄雄 / 一之瀬紘子 / 岡垣享,纪录片,日本,106位 不知火海（75）, , ,アギーレ　神の怒り（72）,"阿基尔，上帝的愤怒 Aguirre, der Zorn Gottes",1972,[1306002](https://movie.douban.com/subject/1306002/),8.3,沃纳·赫尔佐格,克劳斯·金斯基 / 彼得·贝尔林 / 海伦娜·罗霍,冒险 / 传记 / 剧情 / 历史,西德/墨西哥,99位アギーレ 神の怒り（72）, 
155, ,仁義の墓場（75）,仁义的墓场 仁義の墓場,1975,[1959212](https://movie.douban.com/subject/1959212/),7.7,深作欣二,动作 / 犯罪,日本,106位 仁義の墓場（75）, , ,お熱い夜をあなたに（72）,两代情 Avanti!,1972,[1293509](https://movie.douban.com/subject/1293509/),7.5,比利·怀尔德,杰克·莱蒙 / 朱丽叶特·米尔斯 / 克里夫·雷维尔,喜剧 / 爱情,美国/意大利,99位お熱い夜をあなたに（72）, 
156, ,祭りの準備（75）,节日的准备 祭りの準備,1975,[3140182](https://movie.douban.com/subject/3140182/),7.6,黑木和雄,剧情,日本,106位 祭りの準備（75）, , ,激突！（72）,决斗 Duel,1971,[1433496](https://movie.douban.com/subject/1433496/),7.9,史蒂文·斯皮尔伯格,丹尼斯·韦弗 / 埃迪·费尔斯通 / 吉恩·戴纳斯基,悬疑 / 惊悚,美国,99位激突！（72）, 
157, ,愛のコリーダ(76), , , , , , , , , , ,「ゴッドファーザー」三部作（72～90）,生死狂澜 Deliverance,1972,[1293561](https://movie.douban.com/subject/1293561/),7.5,约翰·布尔曼,强·沃特 / 伯特·雷诺兹 / 尼德·巴蒂,冒险 / 剧情 / 惊悚,美国,99位脱出（72）, 
158, ,大地の子守歌（76）,大地摇篮曲 大地の子守歌,1976,[1301005](https://movie.douban.com/subject/1301005/),7.6,增村保造,剧情,日本,106位 大地の子守歌（76）, , ,脱出（72）,狂凶记 Frenzy,1972,[1295820](https://movie.douban.com/subject/1295820/),7.9,阿尔弗雷德·希区柯克,乔·芬奇 / 巴里·福斯特 / 芭芭拉·雷吉-亨特,犯罪 / 惊悚,英国,99位フレンジー（72）, 
159, ,ＨＯＵＳＥ　ハウス（77）,鬼怪屋 HOUSE ハウス,1977,[2278795](https://movie.douban.com/subject/2278795/),7.5,大林宣彦,喜剧 / 奇幻 / 恐怖,日本,106位 ＨＯＵＳＥ ハウス（77）, , ,フレンジー（72）,春花秋月未了情 Breezy,1973,[1306556](https://movie.douban.com/subject/1306556/),6.8,克林特·伊斯特伍德,威廉·霍尔登 / 凯伊·兰兹 / 马季·杜萨伊,剧情 / 爱情,美国,99位愛のそよ風（73）, 
160, ,悪魔の手毬唄（77）,恶魔拍球之歌 悪魔の手毬唄,1977,[1493738](https://movie.douban.com/subject/1493738/),7.7,市川昆,悬疑,日本,106位 悪魔の手毬唄（77）, , ,愛のそよ風（73）,稻草人 Scarecrow,1973,[1303512](https://movie.douban.com/subject/1303512/),7.9,杰瑞·沙茨伯格,吉恩·哈克曼 / 阿尔·帕西诺 / 多萝西·特里斯坦,剧情,美国,99位スケアクロウ（73）, 
161, ,新宿乱れ街　いくまで待って（77）,新宿混乱的街区 新宿乱れ街・いくまで待って！,1977,[3203478](https://movie.douban.com/subject/3203478/),5.7,曾根中生,剧情,日本,106位 新宿乱れ街 いくまで待って（77）, , ,スケアクロウ（73）,比利小子 Pat Garrett & Billy the Kid,1973,[1300027](https://movie.douban.com/subject/1300027/),7.8,萨姆·佩金帕,詹姆斯·柯本 / 克里斯·克里斯托佛森 / 理查德·杰克尔,剧情 / 历史 / 西部,美国,99位ビリー・ザ・キッド 21才の生涯（73）, 
162, ,八甲田山（77）,八甲田山,1977,[1297560](https://movie.douban.com/subject/1297560/),7.2,森谷司郎,剧情 / 历史 / 冒险,日本,106位 八甲田山（77）, , ,ビリー・ザ・キッド 21才の生涯（73）,穷街陋巷 Mean Streets,1973,[1293511](https://movie.douban.com/subject/1293511/),7.6,马丁·斯科塞斯,罗伯特·德尼罗 / 哈威·凯特尔 / 大卫·普罗瓦尔,犯罪 / 剧情,美国,99位ミーン・ストリート（73）, 
163, ,レイプ25時　暴姦（77）, , , , , , , , , , ,ミーン・ストリート（73）,德州电锯杀人狂 The Texas Chain Saw Massacre,1974,[1300392](https://movie.douban.com/subject/1300392/),7.2,托比·霍珀,贡纳·汉森 / 玛丽莲·伯恩斯 / 阿伦·丹齐格,惊悚 / 恐怖,美国,99位悪魔のいけにえ（74）, 
164, ,サード（78）,三垒手 サード,1978,[1845728](https://movie.douban.com/subject/1845728/),7.8,东阳一,剧情,日本,106位 サード（78）, , ,悪魔のいけにえ（74）,曾经沧海难为水 Alice Doesn't Live Here Anymore,1974,[1296596](https://movie.douban.com/subject/1296596/),7.3,马丁·斯科塞斯,Mia Bendixsen / 艾伦·伯斯汀 / 阿尔弗雷德·卢特三世,剧情 / 爱情,美国,99位アリスの恋（74）, 
165, ,少女娼婦　けものみち（80）, , , , , , , , , , ,アリスの恋（74）,教父2 The Godfather: Part II,1974,[1299131](https://movie.douban.com/subject/1299131/),9.3,弗朗西斯·福特·科波拉,阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿,剧情 / 犯罪,美国,99位ゴッドファーザーＰＡＲＴⅡ（74）, 
166, ,駅 ＳＴＡＴＩＯＮ（81）,车站 駅,1981,[1308363](https://movie.douban.com/subject/1308363/),7.9,降旗康男,剧情,日本,106位 駅 ＳＴＡＴＩＯＮ（81）, , ,ゴッドファーザーＰＡＲＴⅡ（74）,娱乐世界 That's Entertainment!,1974,[1294798](https://movie.douban.com/subject/1294798/),8.8,小杰克·海利,弗雷德·阿斯泰尔 / 吉恩·凯利 / 丽莎·明奈利,纪录片 / 家庭 / 音乐,美国,99位ザッツ・エンタテインメント（74）, 
167, ,襲(や）られた女（81）,襲られた女,1981,[3836205](https://movie.douban.com/subject/3836205/), ,高桥伴明, ,日本,106位 襲(や）られた女（81）, , ,ザッツ・エンタテインメント（74）,牢狱风云 The Longest Yard,1974,[1298280](https://movie.douban.com/subject/1298280/),7.3,罗伯特·奥尔德里奇,伯特·雷诺兹 / 埃迪·艾伯特 / 埃德·劳特尔,喜剧 / 犯罪 / 剧情 / 运动,美国,99位ロンゲスト・ヤード（74）, 
168, ,天使のはらわた　赤い淫画（81）, , , , , , , , , , ,ロンゲスト・ヤード（74）,阿黛尔·雨果的故事 L'histoire d'Adèle H.,1975,[1293870](https://movie.douban.com/subject/1293870/),8,弗朗索瓦·特吕弗,伊莎贝尔·阿佳妮 / 布鲁斯·罗宾逊 / 西尔维·玛丽奥特,传记 / 剧情 / 历史,法国,99位アデルの恋の物語（75）, 
169, ,の・ようなもの（81）,像那样的东西 の・ようなもの,1981,[1845757](https://movie.douban.com/subject/1845757/),8,森田芳光,喜剧,日本,106位 の・ようなもの（81）, , ,アデルの恋の物語（75）,热天午后 Dog Day Afternoon,1975,[1293374](https://movie.douban.com/subject/1293374/),8.7,西德尼·吕美特,阿尔·帕西诺 / 约翰·凯泽尔 / 查尔斯·德恩,剧情 / 喜剧 / 犯罪,美国,99位狼たちの午後（75）, 
170, ,連合艦隊（81）,联合舰队 連合艦隊,1981,[5049911](https://movie.douban.com/subject/5049911/),7,松林宗惠,剧情 / 战争,日本,106位 連合艦隊（81）, , ,狼たちの午後（75）,飞越疯人院 One Flew Over the Cuckoo's Nest,1975,[1292224](https://movie.douban.com/subject/1292224/),9.1,米洛斯·福尔曼,杰克·尼科尔森 / 丹尼·德维托 / 克里斯托弗·洛伊德,剧情,美国,99位カッコーの巣の上で（75）, 
171, ,転校生（82）,转校生 転校生,1982,[1548765](https://movie.douban.com/subject/1548765/),8.1,大林宣彦,喜剧,日本,106位 転校生（82）, , ,カッコーの巣の上で（75）,大白鲨 Jaws,1975,[1294941](https://movie.douban.com/subject/1294941/),7.8,史蒂文·斯皮尔伯格,罗伊·谢德 / 罗伯特·肖 / 理查德·德莱福斯,剧情 / 惊悚 / 冒险,美国,99位JAWS ジョーズ（75）, 
172, ,爆裂都市　バースト・シティ（82）,爆裂都市,1982,[1460914](https://movie.douban.com/subject/1460914/),7.5,石井聪互,动作 / 音乐 / 科幻,日本,106位 爆裂都市 バースト・シティ（82）, , ,JAWS ジョーズ（75）,魔女嘉莉 Carrie,1976,[1292664](https://movie.douban.com/subject/1292664/),7.5,布莱恩·德·帕尔玛,茜茜·斯派塞克 / 派珀·劳瑞 / 艾米·欧文,剧情 / 恐怖,美国,99位キャリー（76）, 
173, ,細雪(83),细雪 細雪,1983,[1299777](https://movie.douban.com/subject/1299777/),8.1,市川昆,剧情 / 爱情,日本,106位 細雪(83), , ,キャリー（76）,公路之王 Im Lauf der Zeit,1976,[1437023](https://movie.douban.com/subject/1437023/),8.4,维姆·文德斯,吕迪格·福格勒 / 汉斯·齐施勒 / 丽萨·克鲁泽,剧情,西德,99位さすらい（76）, 
174, ,犬死にせしもの（86）,使犬之死 犬死にせしもの,1986,[4188762](https://movie.douban.com/subject/4188762/), ,井筒和幸,动作 / 剧情,日本,106位 犬死にせしもの（86）, , ,さすらい（76）,洛奇 Rocky,1976,[1295742](https://movie.douban.com/subject/1295742/),8.8,约翰·G·艾维尔森,西尔维斯特·史泰龙 / 塔莉娅·夏尔 / 波特·杨,剧情 / 爱情 / 运动,美国,99位ロッキー（76）, 
