Index,排名,日本映画,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区,备注,（空白）,排名,外国映画,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,主演,类型,地区,desc,title
23, ,用心棒（61）,用心棒,1961,[1292515](https://movie.douban.com/subject/1292515/),9,黑泽明,剧情 / 动作 / 惊悚,日本,23位 用心棒（61）, , ,気狂いピエロ（65）,狂人皮埃罗 Pierrot le fou,1965,[1292533](https://movie.douban.com/subject/1292533/),8.4,让-吕克·戈达尔,让-保罗·贝尔蒙多 / 安娜·卡里娜 / 贾泽拉·加瓦尼,剧情 / 爱情 / 犯罪,法国/意大利,19位気狂いピエロ（65）, 
24, ,けんかえれじい（66）,暴力挽歌 けんかえれじい,1966,[1401859](https://movie.douban.com/subject/1401859/),7.4,铃木清顺,剧情 / 喜剧 / 动作,日本,23位 けんかえれじい（66）, , ,俺たちに明日はない（67）,雌雄大盗 Bonnie and Clyde,1967,[1294584](https://movie.douban.com/subject/1294584/),8.2,阿瑟·佩恩,沃伦·比蒂 / 费·唐纳薇 / 迈克尔·波拉德,动作 / 传记 / 犯罪,美国,19位俺たちに明日はない（67）, 
25, ,蒲田行進曲（82）,蒲田进行曲 蒲田行進曲,1982,[1294287](https://movie.douban.com/subject/1294287/),7.9,深作欣二,喜剧 / 爱情,日本,23位 蒲田行進曲（82）, , ,イージー・ライダー（69）,逍遥骑士 Easy Rider,1969,[1297646](https://movie.douban.com/subject/1297646/),8.3,丹尼斯·霍珀,彼得·方达 / 丹尼斯·霍珀 / 杰克·尼科尔森,剧情 / 冒险,美国,19位イージー・ライダー（69）, 
26, ,３－４ⅹ10月（90）,3–4x10月 3-4X10月,1990,[1297290](https://movie.douban.com/subject/1297290/),7.4,北野武,剧情 / 喜剧 / 动作 / 犯罪 / 惊悚,日本,23位 ３－４ⅹ10月（90）, , ,真夜中のカーボーイ（69）,午夜牛郎 Midnight Cowboy,1969,[1297628](https://movie.douban.com/subject/1297628/),8.3,约翰·施莱辛格,强·沃特 / 达斯汀·霍夫曼 / 西尔维娅·迈尔斯,剧情,美国,19位真夜中のカーボーイ（69）, 
27, ,雨月物語（53）,雨月物语 雨月物語,1953,[1303577](https://movie.douban.com/subject/1303577/),8.6,沟口健二,剧情 / 战争 / 奇幻,日本,23位 雨月物語（53）, , ,旅芸人の記録（75）,流浪艺人 Ο Θίασος,1975,[1295759](https://movie.douban.com/subject/1295759/),8.6,西奥·安哲罗普洛斯,伊娃·科塔曼尼多 / Aliki Georgouli / Stratos Pahis,剧情 / 历史 / 战争,希腊,19位旅芸人の記録（75）, 
28, ,近松物語（54）,近松物语 近松物語,1954,[1303600](https://movie.douban.com/subject/1303600/),8.3,沟口健二,剧情 / 爱情,日本,23位 近松物語（54）, , ,ディア・ハンター（78）,猎鹿人 The Deer Hunter,1978,[1292403](https://movie.douban.com/subject/1292403/),8.3,迈克尔·西米诺,罗伯特·德尼罗 / 约翰·凯泽尔 / 约翰·萨维奇,剧情 / 战争,美国,19位ディア・ハンター（78）, 
29, ,野菊の如き君なりき（55）,野菊之墓 野菊の如き君なりき,1955,[1308447](https://movie.douban.com/subject/1308447/),8.1,木下惠介,剧情 / 爱情,日本,23位 野菊の如き君なりき（55）, , ,ストレンジャー・ザン・パラダイス（84）,天堂陌影 Stranger Than Paradise,1984,[1303723](https://movie.douban.com/subject/1303723/),8.5,吉姆·贾木许,约翰·劳瑞 / 伊斯特·伯林特 / 理查德·埃德森,剧情 / 喜剧,美国/西德,19位ストレンジャー・ザン・パラダイス（84）, 
30, ,流れる（56）,流浪记 流れる,1956,[1467020](https://movie.douban.com/subject/1467020/),7.9,成濑巳喜男,剧情,日本,23位 流れる（56）, , ,ショーシャンクの空に（94）,肖申克的救赎 The Shawshank Redemption,1994,[1292052](https://movie.douban.com/subject/1292052/),9.7,弗兰克·德拉邦特,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿,犯罪 / 剧情,美国,19位ショーシャンクの空に（94）, 
31, ,薄桜記（59）,薄樱记 薄桜記,1959,[3124089](https://movie.douban.com/subject/3124089/),7.6,森一生,剧情 / 动作,日本,23位 薄桜記（59）, , ,街の灯（31）,城市之光 City Lights,1931,[1293908](https://movie.douban.com/subject/1293908/),9.3,查理·卓别林,查理·卓别林 / 弗吉尼亚·切瑞尔 / 佛罗伦斯·李,喜剧 / 剧情 / 爱情,美国,19位街の灯（31）, 
32, ,殺しの烙印（67）,杀手烙印 殺しの烙印,1967,[1401331](https://movie.douban.com/subject/1401331/),7.3,铃木清顺,剧情 / 动作 / 犯罪 / 惊悚,日本,23位 殺しの烙印（67）, ,33位,殺人の追憶（03）,杀人回忆 살인의 추억,2003,[1300299](https://movie.douban.com/subject/1300299/),8.9,奉俊昊,宋康昊 / 金相庆 / 金雷夏,剧情 / 动作 / 犯罪 / 悬疑 / 惊悚,韩国,33位殺人の追憶（03）, 
33, ,復讐するは我にあり(79),复仇在我 復讐するは我にあり,1979,[1294940](https://movie.douban.com/subject/1294940/),8.5,今村昌平,剧情 / 犯罪,日本,23位 復讐するは我にあり(79), , ,無防備都市(45),"罗马，不设防的城市 Roma, città aperta",1945,[1296669](https://movie.douban.com/subject/1296669/),8.1,罗伯托·罗西里尼,阿尔多·法布里齐 / 安娜·马尼亚尼 / 马塞洛·巴格利埃罗,剧情 / 战争 / 惊悚,意大利,33位無防備都市(45), 
34, ,ツィゴイネルワイゼン(80),流浪者之歌 ツィゴイネルワイゼン,1980,[1401329](https://movie.douban.com/subject/1401329/),7.7,铃木清顺,恐怖 / 悬疑,日本,23位 ツィゴイネルワイゼン(80), , ,素晴らしき哉、人生！（46）,生活多美好 It's a Wonderful Life,1946,[1293749](https://movie.douban.com/subject/1293749/),9.3,弗兰克·卡普拉,詹姆斯·斯图尔特 / 唐娜·里德 / 莱昂纳尔·巴里摩尔,剧情 / 爱情 / 奇幻,美国,33位素晴らしき哉、人生！（46）, 
35,36位,お嬢さん乾杯！（46）,大小姐干杯 お嬢さん乾杯,1949,[3441083](https://movie.douban.com/subject/3441083/),7.3,木下惠介,喜剧 / 爱情,日本,36位 お嬢さん乾杯！（46）, , ,サンセット大通り(50),日落大道 Sunset Blvd.,1950,[1298733](https://movie.douban.com/subject/1298733/),8.8,比利·怀尔德,威廉·霍尔登 / 葛洛丽亚·斯旺森 / 埃里克·冯·施特罗海姆,剧情 / 黑色电影,美国,33位サンセット大通り(50), 
36, ,安城家の舞踏會（47）,安城家的舞会 安城家の舞踏会,1947,[1479544](https://movie.douban.com/subject/1479544/),7.9,吉村公三郎,剧情 / 家庭,日本,36位 安城家の舞踏會（47）, , ,北北西に進路を取れ（59）,西北偏北 North by Northwest,1959,[1295872](https://movie.douban.com/subject/1295872/),8.3,阿尔弗雷德·希区柯克,加里·格兰特 / 爱娃·玛丽·森特 / 詹姆斯·梅森,悬疑 / 惊悚 / 冒险,美国,33位北北西に進路を取れ（59）, 
37, ,晩春（49）,晚春 晩春,1949,[1307265](https://movie.douban.com/subject/1307265/),8.7,小津安二郎,剧情 / 家庭,日本,36位 晩春（49）, , ,太陽がいっぱい（60）,怒海沉尸 Plein soleil,1960,[1305080](https://movie.douban.com/subject/1305080/),8.1,雷内·克莱芒,阿兰·德龙 / 玛丽·拉福莱 / 莫里斯·罗内,犯罪 / 惊悚 / 剧情,法国/意大利,33位太陽がいっぱい（60）, 
38, ,また逢う日まで（50）,来日再相逢 また逢う日まで,1950,[1547210](https://movie.douban.com/subject/1547210/),7.4,今井正,剧情 / 历史,日本,36位 また逢う日まで（50）, , ,卒業（67）,毕业生 The Graduate,1967,[1292271](https://movie.douban.com/subject/1292271/),8,迈克·尼科尔斯,安妮·班克罗夫特 / 达斯汀·霍夫曼 / 凯瑟琳·罗斯,剧情 / 喜剧 / 爱情,美国,33位卒業（67）, 
39, ,西鶴一代女（52）,西鹤一代女 西鶴一代女,1952,[1303603](https://movie.douban.com/subject/1303603/),8.3,沟口健二,剧情,日本,36位 西鶴一代女（52）, , ,冒険者たち（67）,冒险者 Les aventuriers,1967,[1305845](https://movie.douban.com/subject/1305845/),7.1,罗贝尔·恩里科,阿兰·德龙 / 利诺·文图拉 / 乔安娜·辛库斯,冒险 / 剧情,法国/意大利,33位冒険者たち（67）, 
40, ,血槍富士（55）,血枪富士 血槍富士,1955,[1755415](https://movie.douban.com/subject/1755415/),7.7,内田吐梦,冒险 / 剧情,日本,36位 血槍富士（55）, , ,まぼろしの市街戦（67）,红心国王 Le Roi de cœur,1966,[2132841](https://movie.douban.com/subject/2132841/),8,菲利普·德·布罗卡,阿兰·贝茨 / 马克·杜迪库尔 / 达尼埃尔·布朗热,剧情 / 喜剧 / 战争,法国/意大利,33位まぼろしの市街戦（67）, 
41, ,どん底（57）,低下层 どん底,1957,[1297331](https://movie.douban.com/subject/1297331/),7.4,黑泽明,剧情,日本,36位 どん底（57）, , ,明日に向って撃て！（69）,虎豹小霸王 Butch Cassidy and the Sundance Kid,1969,[1297602](https://movie.douban.com/subject/1297602/),8.6,乔治·罗伊·希尔,保罗·纽曼 / 罗伯特·雷德福 / 凯瑟琳·罗斯,冒险 / 犯罪 / 剧情 / 西部,美国,33位明日に向って撃て！（69）, 
42, ,張込み（58）,监视 張込み,1958,[1840429](https://movie.douban.com/subject/1840429/),7.6,野村芳太郎,剧情 / 犯罪 / 悬疑,日本,36位 張込み（58）, , ,早春（71）,早春 Deep End,1970,[1300644](https://movie.douban.com/subject/1300644/),7.5,杰兹·斯科利莫夫斯基,珍·爱舍 / 约翰·梅尔德-布朗 / 卡尔·米夏埃尔·福格勒,喜剧 / 剧情 / 爱情,英国/西德,33位早春（70）, 
43, ,浮草（59）,浮草,1959,[1297841](https://movie.douban.com/subject/1297841/),8.6,小津安二郎,剧情,日本,36位 浮草（59）, , ,ラストタンゴ・イン・パリ（72）,巴黎最后的探戈 Ultimo tango a Parigi,1972,[1300353](https://movie.douban.com/subject/1300353/),7.1,贝纳尔多·贝托鲁奇,马龙·白兰度 / 玛利亚·施奈德 / 让-皮埃尔·利奥德,剧情 / 爱情 / 情色,意大利/法国,33位ラストタンゴ・イン・パリ（72）, 
44, ,お早よう（59）,早安 お早よう,1959,[1298063](https://movie.douban.com/subject/1298063/),8.7,小津安二郎,喜剧,日本,36位 お早よう（59）, , ,アメリカン・グラフィティ（73）,美国风情画 American Graffiti,1973,[1300106](https://movie.douban.com/subject/1300106/),7.6,乔治·卢卡斯,理查德·德莱福斯 / 朗·霍华德 / 保罗·勒马特,喜剧 / 剧情 / 爱情,美国,33位アメリカン・グラフィティ（73）, 
45, ,独立愚連隊（59）,独立愚连队 独立愚連隊,1959,[1851498](https://movie.douban.com/subject/1851498/),7.4,冈本喜八,剧情 / 动作 / 战争,日本,36位 独立愚連隊（59）, , ,映画に愛をこめて アメリカの夜（73）,日以作夜 La nuit américaine,1973,[1293299](https://movie.douban.com/subject/1293299/),8.4,弗朗索瓦·特吕弗,杰奎琳·比塞特 / 瓦伦蒂娜·格特斯 / 达尼,喜剧 / 剧情 / 爱情,法国/意大利,33位映画に愛をこめて アメリカの夜（73）, 
46, ,おとうと（60）,弟弟 おとうと,1960,[1302213](https://movie.douban.com/subject/1302213/),7.4,市川昆,剧情,日本,36位 おとうと（60）, , ,ミツバチのささやき(73),蜂巢幽灵 El espíritu de la colmena,1973,[1401900](https://movie.douban.com/subject/1401900/),8.5,维克多·艾里斯,费尔南多·费尔南·戈麦斯 / 特雷莎·希梅拉 / 安娜·托伦特,剧情,西班牙,33位ミツバチのささやき(73), 
47, ,青春残酷物語（60）,青春残酷物语 青春残酷物語,1960,[1303691](https://movie.douban.com/subject/1303691/),7.4,大岛渚,剧情,日本,36位 青春残酷物語（60）, , ,燃えよドラゴン（73）,龙争虎斗 Enter the Dragon,1973,[1293118](https://movie.douban.com/subject/1293118/),8.3,罗伯特·高洛斯,李小龙 / 石坚 / 茅瑛,动作 / 犯罪,美国/中国香港,33位燃えよドラゴン（73）, 
48, ,しとやかな獣（62）,安详之兽 しとやかな獣,1962,[1819305](https://movie.douban.com/subject/1819305/),8.1,川岛雄三,喜剧 / 剧情,日本,36位 しとやかな獣（62）, , ,童年往事 時の流れ（85）,童年往事,1985,[1300572](https://movie.douban.com/subject/1300572/),8.9,侯孝贤,游安顺 / 田丰 / 梅芳,剧情 / 传记 / 家庭,中国台湾,33位童年往事 時の流れ（85）, 
49, ,仁義なき戦い　代理戦争（73）,无仁义之战3：代理战争 仁義なき戦い 代理戦争,1973,[2072156](https://movie.douban.com/subject/2072156/),8,深作欣二,动作 / 剧情,日本,36位 仁義なき戦い 代理戦争（73）, , ,緑の光線（86）,绿光 Le rayon vert,1986,[1294039](https://movie.douban.com/subject/1294039/),8.1,埃里克·侯麦,艾琳.申科布莱恩 / 玛丽·里维埃 / 碧翠丝·罗曼德,剧情 / 爱情,法国,33位緑の光線（86）, 
50, ,股旅（73）,股旅,1973,[3078471](https://movie.douban.com/subject/3078471/), ,市川昆,剧情,日本,36位 股旅（73）, , ,恋恋風塵（86）,恋恋风尘 戀戀風塵,1986,[1292330](https://movie.douban.com/subject/1292330/),8.7,侯孝贤,李天禄 / 辛树芬 / 王晶文,剧情 / 爱情,中国台湾,33位恋恋風塵（87）, 
51, ,青春の殺人者（76）,青春之杀人者 青春の殺人者,1976,[1306201](https://movie.douban.com/subject/1306201/),7.3,长谷川和彦,剧情 / 犯罪,日本,36位 青春の殺人者（76）, , ,インディアン・ランナー（91）,印第安信使 The Indian Runner,1991,[1298923](https://movie.douban.com/subject/1298923/),7.8,西恩·潘,大卫·摩斯 / 维果·莫腾森 / 瓦莱丽亚·戈利诺,剧情,美国/日本,33位インディアン・ランナー（91）, 
52, ,泥の河（81）,泥之河 泥の河,1981,[1303065](https://movie.douban.com/subject/1303065/),8.7,小栗康平,剧情,日本,36位 泥の河（81）, , ,クー嶺街少年殺人事件（91）,牯岭街少年杀人事件 牯嶺街少年殺人事件,1991,[1292329](https://movie.douban.com/subject/1292329/),8.9,杨德昌,张震 / 杨静怡 / 张国柱,剧情 / 犯罪,中国台湾,33位クー嶺街少年殺人事件（91）, 
53, ,お葬式（84）,葬礼 お葬式,1984,[1293745](https://movie.douban.com/subject/1293745/),8.3,伊丹十三,喜剧,日本,36位 お葬式（84）, , ,オアシス（02）,绿洲 오아시스,2002,[1299582](https://movie.douban.com/subject/1299582/),8.7,李沧东,薛景求 / 文素丽 / 安内相,剧情 / 爱情,韩国,33位オアシス（02）, 
54, ,火まつり（85）,火祭 火まつり,1985,[2010018](https://movie.douban.com/subject/2010018/),7.7,柳町光男,剧情,日本,36位 火まつり（85）, , ,ミスティック・リバー（03）,神秘河 Mystic River,2003,[1307748](https://movie.douban.com/subject/1307748/),7.9,克林特·伊斯特伍德,西恩·潘 / 蒂姆·罗宾斯 / 凯文·贝肯,犯罪 / 剧情 / 悬疑 / 惊悚,美国/澳大利亚,33位ミスティック・リバー（03）, 
55, ,となりのトトロ（88）,龙猫 となりのトトロ,1988,[1291560](https://movie.douban.com/subject/1291560/),9.2,宫崎骏,动画 / 奇幻 / 冒险,日本,36位 となりのトトロ（88）, , ,ミリオンダラー・ベイビー（04）,百万美元宝贝 Million Dollar Baby,2004,[1309016](https://movie.douban.com/subject/1309016/),8.7,克林特·伊斯特伍德,克林特·伊斯特伍德 / 希拉里·斯万克 / 摩根·弗里曼,剧情 / 运动,美国,33位ミリオンダラー・ベイビー（04）, 
56, ,CURE　キュア（97）,X圣治 CURE キュア,1997,[1304665](https://movie.douban.com/subject/1304665/),8.2,黑泽清,犯罪 / 恐怖 / 悬疑 / 惊悚,日本,36位 CURE キュア（97）, , ,ブロークバック・マウンテン（05）,断背山 Brokeback Mountain,2005,[1418834](https://movie.douban.com/subject/1418834/),8.8,李安,希斯·莱杰 / 杰克·吉伦哈尔 / 米歇尔·威廉姆斯,剧情 / 爱情 / 同性 / 家庭,美国/加拿大,33位ブロークバック・マウンテン（05）, 
57, ,紀子の食卓（06）,纪子的餐桌 紀子の食卓,2005,[1757374](https://movie.douban.com/subject/1757374/),7.6,园子温,剧情 / 惊悚,日本,36位 紀子の食卓（06）, , ,ダークナイト（08）,蝙蝠侠：黑暗骑士 The Dark Knight,2008,[1851857](https://movie.douban.com/subject/1851857/),9.2,克里斯托弗·诺兰,克里斯蒂安·贝尔 / 希斯·莱杰 / 艾伦·艾克哈特,剧情 / 动作 / 科幻 / 犯罪 / 惊悚,美国/英国,33位ダークナイト（08）, 
