Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
75,豆瓣2019评分最高爱情片,10,真爱百分百,7.40,法国 比利时, ,弗朗克·迪博斯克 / 弗朗克·迪博斯克 / 亚历山德拉·拉米
76, , , , , , , 
77,豆瓣2019评分最高科幻/动作片,1,复仇者联盟4：终局之战,8.50,美国, ,安东尼·罗素 / 小罗伯特·唐尼 / 克里斯·埃文斯
78,豆瓣2019评分最高科幻/动作片,2,流浪地球,7.90,中国大陆, ,郭帆 / 吴京 / 屈楚萧
79,豆瓣2019评分最高科幻/动作片,3,蜘蛛侠：英雄远征,7.60,美国, ,乔·沃茨 / 汤姆·赫兰德 / 赞达亚
80,豆瓣2019评分最高科幻/动作片,4,海市蜃楼,7.60,西班牙, ,奥里奥尔·保罗 / 阿德里亚娜·乌加特 / 奇诺·达林
81,豆瓣2019评分最高科幻/动作片,5,死侍2：我爱我家,7.30,美国, ,大卫·雷奇 / 瑞安·雷诺兹 / 乔什·布洛林
82,豆瓣2019评分最高科幻/动作片,6,双子杀手,6.80,美国 中国大陆, ,李安 / 威尔·史密斯 / 玛丽·伊丽莎白·温斯特德
83,豆瓣2019评分最高科幻/动作片,7,终结者：黑暗命运,6.80,美国 西班牙 匈牙利, ,蒂姆·米勒 / 麦肯兹·戴维斯 / 娜塔利娅·雷耶斯
84,豆瓣2019评分最高科幻/动作片,8,吾乃母亲,7.40,澳大利亚, ,格兰特·斯布托尔 / 罗丝·伯恩 / 克拉拉·卢嘉
85,豆瓣2019评分最高科幻/动作片,9,大黄蜂,7.00,美国 中国大陆, ,特拉维斯·奈特 / 海莉·斯坦菲尔德 / 小豪尔赫·兰登伯格
86,豆瓣2019评分最高科幻/动作片,10,星际探索,6.80,美国 巴西 中国大陆, ,詹姆斯·格雷 / 布拉德·皮特 / 汤米·李·琼斯
87, , , , , , , 
88,豆瓣2019评分最高LGBT片,1,谁先爱上他的,8.60,中国台湾, ,徐誉庭 / 邱泽 / 谢盈萱
89,豆瓣2019评分最高LGBT片,2,痛苦与荣耀,8.50,西班牙 法国, ,佩德罗·阿莫多瓦 / 安东尼奥·班德拉斯 / 阿谢尔·埃特塞安迪亚
90,豆瓣2019评分最高LGBT片,3,燃烧女子的肖像,8.70,法国, ,瑟琳·席安玛 / 诺米·梅兰特 / 阿黛拉·哈内尔
