Title 电影,Director 导演,Rank 排名,Year 年份,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
Apocalypse Now,Francis Coppola,🎉028,1979,[现代启示录 Apocalypse Now](https://movie.douban.com/subject/1292260/),🌟8.5,"导演: 弗朗西斯·福特·科波拉, 主演: 马丁·辛 / 马龙·白兰度 / 罗伯特·杜瓦尔, 类型: 剧情 / 战争, 制片国家/地区: 美国, 年份: 1979",[Apocalypse Now](https://www.imdb.com/title/tt0078788/),🌟8.4
Mr. Smith Goes to Washington,Frank Capra,🎉029,1939,[史密斯先生到华盛顿 Mr. Smith Goes to Washington](https://movie.douban.com/subject/1297127/),🌟8.6,"导演: 弗兰克·卡普拉, 主演: 詹姆斯·斯图尔特 / 琪恩·亚瑟 / 克劳德·雷恩斯, 类型: 剧情, 制片国家/地区: 美国, 年份: 1939",[Mr. Smith Goes to Washington](https://www.imdb.com/title/tt0031679/),🌟8.1
The Treasure of the Sierra Madre,John Huston,🎉030,1948,[碧血金沙 The Treasure of the Sierra Madre](https://movie.douban.com/subject/1292516/),🌟8.6,"导演: 约翰·休斯顿, 主演: 亨弗莱·鲍嘉 / 沃尔特·休斯顿 / 提姆·霍尔特, 类型: 剧情 / 西部 / 冒险, 制片国家/地区: 美国, 年份: 1948",[The Treasure of the Sierra Madre](https://www.imdb.com/title/tt0040897/),🌟8.2
Annie Hall,Woody Allen,🎉031,1977,[安妮·霍尔 Annie Hall](https://movie.douban.com/subject/1296987/),🌟8.6,"导演: 伍迪·艾伦, 主演: 伍迪·艾伦 / 黛安·基顿 / 托尼·罗伯茨, 类型: 喜剧 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1977",[Annie Hall](https://www.imdb.com/title/tt0075686/),🌟8
The Godfather Part II,Francis Ford Coppola,🎉032,1974,[教父2 The Godfather: Part II](https://movie.douban.com/subject/1299131/),🌟9.3,"导演: 弗朗西斯·福特·科波拉, 主演: 阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1974",[The Godfather Part II](https://www.imdb.com/title/tt0071562/),🌟9
High Noon,Fred Zinnemann,🎉033,1952,[正午 High Noon](https://movie.douban.com/subject/1298521/),🌟8.4,"导演: 弗雷德·金尼曼, 主演: 加里·库珀 / 格蕾丝·凯利 / 托马斯·米切尔, 类型: 剧情 / 西部, 制片国家/地区: 美国, 年份: 1952",[High Noon](https://www.imdb.com/title/tt0044706/),🌟8
To Kill a Mockingbird,Robert Mulligan,🎉034,1962,[杀死一只知更鸟 To Kill a Mockingbird](https://movie.douban.com/subject/1297991/),🌟8.6,"导演: 罗伯特·马利根, 主演: 格利高里·派克 / 约翰·梅根纳 / 弗兰克·奥弗顿, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1962",[To Kill a Mockingbird](https://www.imdb.com/title/tt0056592/),🌟8.3
It Happened One Night,Frank Capra,🎉035,1934,[一夜风流 It Happened One Night](https://movie.douban.com/subject/1295684/),🌟8.8,"导演: 弗兰克·卡普拉, 主演: 克拉克·盖博 / 克劳黛·考尔白 / 沃尔特·康诺利, 类型: 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1934",[It Happened One Night](https://www.imdb.com/title/tt0025316/),🌟8.1
Midnight Cowboy,John Schlesinger,🎉036,1969,[午夜牛郎 Midnight Cowboy](https://movie.douban.com/subject/1297628/),🌟8.3,"导演: 约翰·施莱辛格, 主演: 强·沃特 / 达斯汀·霍夫曼 / 西尔维娅·迈尔斯, 类型: 剧情, 制片国家/地区: 美国, 年份: 1969",[Midnight Cowboy](https://www.imdb.com/title/tt0064665/),🌟7.8
The Best Years of Our Lives,William Wyler,🎉037,1946,[黄金时代 The Best Years of Our Lives](https://movie.douban.com/subject/1294100/),🌟8.2,"导演: 威廉·惠勒, 主演: 玛娜·洛伊 / 弗雷德里克·马奇 / 达纳·安德鲁斯, 类型: 剧情 / 爱情 / 战争, 制片国家/地区: 美国, 年份: 1946",[The Best Years of Our Lives](https://www.imdb.com/title/tt0036868/),🌟8.1
Double Indemnity,Billy Wilder,🎉038,1944,[双重赔偿 Double Indemnity](https://movie.douban.com/subject/1293226/),🌟8.5,"导演: 比利·怀尔德, 主演: 弗莱德·麦克莫瑞 / 芭芭拉·斯坦威克 / 爱德华·罗宾逊, 类型: 剧情 / 犯罪 / 悬疑 / 惊悚 / 黑色电影, 制片国家/地区: 美国, 年份: 1944",[Double Indemnity](https://www.imdb.com/title/tt0036775/),🌟8.3
Doctor Zhivago,David Lean,🎉039,1965,[日瓦戈医生 Doctor Zhivago](https://movie.douban.com/subject/1389949/),🌟8.5,"导演: 大卫·里恩, 主演: 奥马尔·沙里夫 / 朱莉·克里斯蒂 / 杰拉丁·卓别林, 类型: 剧情 / 爱情 / 战争, 制片国家/地区: 美国/意大利/英国, 年份: 1965",[Doctor Zhivago](https://www.imdb.com/title/tt0059113/),🌟7.9
North by Northwest,Alfred Hitchcock,🎉040,1959,[西北偏北 North by Northwest](https://movie.douban.com/subject/1295872/),🌟8.3,"导演: 阿尔弗雷德·希区柯克, 主演: 加里·格兰特 / 爱娃·玛丽·森特 / 詹姆斯·梅森, 类型: 悬疑 / 惊悚 / 冒险, 制片国家/地区: 美国, 年份: 1959",[North by Northwest](https://www.imdb.com/title/tt0053125/),🌟8.3
West Side Story,"Robert Wise, Jerome Robbins",🎉041,1961,[西区故事 West Side Story](https://movie.douban.com/subject/1295225/),🌟7.5,"导演: 杰罗姆·罗宾斯 / 罗伯特·怀斯, 主演: 娜塔莉·伍德 / 理查德·贝梅尔 / 拉斯·坦布林, 类型: 犯罪 / 剧情 / 歌舞 / 爱情, 制片国家/地区: 美国, 年份: 1961",[West Side Story](https://www.imdb.com/title/tt0055614/),🌟7.6
Rear Window,Alfred Hitchcock,🎉042,1954,[后窗 Rear Window](https://movie.douban.com/subject/1299080/),🌟8.7,"导演: 阿尔弗雷德·希区柯克, 主演: 詹姆斯·斯图尔特 / 格蕾丝·凯利 / 温戴尔·柯瑞, 类型: 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1954",[Rear Window](https://www.imdb.com/title/tt0047396/),🌟8.5
King Kong,"Merian C. Cooper, Ernest B. Schoedsack",🎉043,1933,[金刚 King Kong](https://movie.douban.com/subject/1298593/),🌟7.7,"导演: 梅里安·C·库珀 / 欧内斯特·B·舍德萨克, 主演: 菲伊·雷 / 罗伯特·阿姆斯特朗 / 布鲁斯·卡伯特, 类型: 动作 / 奇幻 / 冒险, 制片国家/地区: 美国, 年份: 1933",[King Kong](https://www.imdb.com/title/tt0024216/),🌟7.9
The Birth of a Nation,,🎉044,1915,[一个国家的诞生 The Birth of a Nation](https://movie.douban.com/subject/1300306/),🌟7.9,"导演: 大卫·格里菲斯, 主演: 丽莲·吉许 / 梅·马什 / 亨利·B·沃斯奥, 类型: 剧情 / 历史 / 爱情 / 战争 / 西部, 制片国家/地区: 美国, 年份: 1915",[The Birth of a Nation](https://www.imdb.com/title/tt0004972/),🌟6.2
A Streetcar Named Desire,Elia Kazan,🎉045,1951,[欲望号街车 A Streetcar Named Desire](https://movie.douban.com/subject/1293590/),🌟8.4,"导演: 伊利亚·卡赞, 主演: 费雯·丽 / 马龙·白兰度 / 金·亨特, 类型: 剧情, 制片国家/地区: 美国, 年份: 1951",[A Streetcar Named Desire](https://www.imdb.com/title/tt0044081/),🌟7.9
A Clockwork Orange,Stanley Kubrick,🎉046,1971,[发条橙 A Clockwork Orange](https://movie.douban.com/subject/1292233/),🌟8.6,"导演: 斯坦利·库布里克, 主演: 马尔科姆·麦克道威尔 / 帕特里克·马基 / 迈克尔·贝茨, 类型: 犯罪 / 剧情 / 科幻, 制片国家/地区: 英国/美国, 年份: 1971",[A Clockwork Orange](https://www.imdb.com/title/tt0066921/),🌟8.3
Taxi Driver,Martin Scorsese,🎉047,1976,[出租车司机 Taxi Driver](https://movie.douban.com/subject/1292222/),🌟8.6,"导演: 马丁·斯科塞斯, 主演: 罗伯特·德尼罗 / 朱迪·福斯特 / 斯碧尔·谢波德, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1976",[Taxi Driver](https://www.imdb.com/title/tt0075314/),🌟8.2
Jaws,Steven Spielberg,🎉048,1975,[大白鲨 Jaws](https://movie.douban.com/subject/1294941/),🌟7.8,"导演: 史蒂文·斯皮尔伯格, 主演: 罗伊·谢德 / 罗伯特·肖 / 理查德·德莱福斯, 类型: 剧情 / 惊悚 / 冒险, 制片国家/地区: 美国, 年份: 1975",[Jaws](https://www.imdb.com/title/tt0073195/),🌟8.1
Snow White and the Seven Dwarfs,,🎉049,1937,[白雪公主和七个小矮人 Snow White and the Seven Dwarfs](https://movie.douban.com/subject/1297756/),🌟8.4,"导演: 威廉·科特雷尔 / 戴维·汉德 / 威尔弗雷德·杰克逊 / 拉里·莫里 / 佩斯·皮尔斯 / 宾·沙普斯坦, 主演: 阿德里亚娜·卡塞洛蒂 / 哈利·斯托克维尔 / 罗伊·阿特威尔, 类型: 爱情 / 动画 / 奇幻 / 歌舞, 制片国家/地区: 美国, 年份: 1937",[Snow White and the Seven Dwarfs](https://www.imdb.com/title/tt0029583/),🌟7.6
Butch Cassidy and the Sundance Kid,George Roy Hill,🎉050,1969,[虎豹小霸王 Butch Cassidy and the Sundance Kid](https://movie.douban.com/subject/1297602/),🌟8.6,"导演: 乔治·罗伊·希尔, 主演: 保罗·纽曼 / 罗伯特·雷德福 / 凯瑟琳·罗斯, 类型: 冒险 / 犯罪 / 剧情 / 西部, 制片国家/地区: 美国, 年份: 1969",[Butch Cassidy and the Sundance Kid](https://www.imdb.com/title/tt0064115/),🌟8
The Philadelphia Story,George Cukor,🎉051,1940,[费城故事 The Philadelphia Story](https://movie.douban.com/subject/1292840/),🌟7.4,"导演: 乔治·库克, 主演: 加里·格兰特 / 凯瑟琳·赫本 / 詹姆斯·斯图尔特, 类型: 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1940",[The Philadelphia Story](https://www.imdb.com/title/tt0032904/),🌟7.9
From Here to Eternity,Fred Zinnemann,🎉052,1953,[乱世忠魂 From Here to Eternity](https://movie.douban.com/subject/1298656/),🌟7.5,"导演: 弗雷德·金尼曼, 主演: 伯特·兰卡斯特 / 蒙哥马利·克利夫特 / 黛博拉·蔻儿, 类型: 剧情 / 爱情 / 战争, 制片国家/地区: 美国, 年份: 1953",[From Here to Eternity](https://www.imdb.com/title/tt0045793/),🌟7.6
Amadeus,Milos Forman,🎉053,1984,[莫扎特传 Amadeus](https://movie.douban.com/subject/1293399/),🌟8.7,"导演: 米洛斯·福尔曼, 主演: F·默里·亚伯拉罕 / 汤姆·休斯克 / 伊丽莎白·贝里奇, 类型: 剧情 / 传记 / 历史 / 音乐, 制片国家/地区: 美国/法国/捷克斯洛伐克/意大利, 年份: 1984",[Amadeus](https://www.imdb.com/title/tt0086879/),🌟8.4
All Quiet on the Western Front,Lewis Milestone,🎉054,1930,[西线无战事 All Quiet on the Western Front](https://movie.douban.com/subject/1295116/),🌟8.9,"导演: 刘易斯·迈尔斯通, 主演: 路易斯·沃海姆 / 刘·艾尔斯 / 约翰·雷, 类型: 剧情 / 动作 / 历史 / 战争, 制片国家/地区: 美国, 年份: 1930",[All Quiet on the Western Front](https://www.imdb.com/title/tt0020629/),🌟8.1
The Sound of Music,Robert Wise,🎉055,1965,[音乐之声 The Sound of Music](https://movie.douban.com/subject/1294408/),🌟9.1,"导演: 罗伯特·怀斯, 主演: 朱莉·安德鲁斯 / 克里斯托弗·普卢默 / 埃琳诺·帕克, 类型: 剧情 / 传记 / 爱情 / 歌舞, 制片国家/地区: 美国, 年份: 1965",[The Sound of Music](https://www.imdb.com/title/tt0059742/),🌟8.1
M*A*S*H,Robert Altman,🎉056,1970,[陆军野战医院 MASH](https://movie.douban.com/subject/1292766/),🌟7.9,"导演: 罗伯特·奥特曼, 主演: 唐纳德·萨瑟兰 / 埃利奥特·古尔德 / 汤姆·斯凯里特, 类型: 喜剧 / 战争 / 剧情, 制片国家/地区: 美国, 年份: 1970",[M*A*S*H](https://www.imdb.com/title/tt0066026/),🌟7.4
The Third Man,Carol Reed,🎉057,1949,[第三人 The Third Man](https://movie.douban.com/subject/1295451/),🌟8.2,"导演: 卡罗尔·里德, 主演: 约瑟夫·科顿 / 阿莉达·瓦利 / 奥逊·威尔斯, 类型: 黑色电影 / 悬疑 / 惊悚, 制片国家/地区: 英国, 年份: 1949",[The Third Man](https://www.imdb.com/title/tt0041959/),🌟8.1
Fantasia,"Sam Armstrong, James Algar, Bill Roberts, Paul Satterfield, Hamilton Luske, Jim Handley, Ford Beebe, T. Hee, Norm Ferguson , Wilfred Jackson",🎉058,1940,[幻想曲 Fantasia](https://movie.douban.com/subject/1310179/),🌟8.9,"导演: 詹姆斯·阿尔格 / 塞缪尔·阿姆斯特朗 /  / 诺曼·弗格森 / 戴维·汉德 /  / T. Hee / 威尔弗雷德·杰克逊 / 汉密尔顿·卢斯科 / 比尔·罗伯茨 / 保罗·萨特菲尔德 / 宾·沙普斯坦, 主演: Deems Taylor / 列奥波德·斯托科夫斯基 /, 类型: 动画 / 奇幻 / 音乐, 制片国家/地区: 美国, 年份: 1940",[Fantasia](https://www.imdb.com/title/tt0032455/),🌟7.7
Rebel Without a Cause,Nicholas Ray,🎉059,1955,[无因的反叛 Rebel Without a Cause](https://movie.douban.com/subject/1295416/),🌟8.0,"导演: 尼古拉斯·雷, 主演: 詹姆斯·迪恩 / 娜塔莉·伍德 / 萨尔·米涅奥, 类型: 剧情, 制片国家/地区: 美国, 年份: 1955",[Rebel Without a Cause](https://www.imdb.com/title/tt0048545/),🌟7.6
Raiders of the Lost Ark,Steven Spielberg,🎉060,1981,[夺宝奇兵 Raiders of the Lost Ark](https://movie.douban.com/subject/1296717/),🌟7.9,"导演: 史蒂文·斯皮尔伯格, 主演: 哈里森·福特 / 凯伦·阿兰 / 保罗·弗里曼, 类型: 动作 / 冒险, 制片国家/地区: 美国, 年份: 1981",[Raiders of the Lost Ark](https://www.imdb.com/title/tt0082971/),🌟8.4
Vertigo,Alfred Hitchcock,🎉061,1958,[迷魂记 Vertigo](https://movie.douban.com/subject/1297294/),🌟8.7,"导演: 阿尔弗雷德·希区柯克, 主演: 詹姆斯·斯图尔特 / 金·诺瓦克 / 芭芭拉·贝尔·戈迪斯, 类型: 爱情 / 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1958",[Vertigo](https://www.imdb.com/title/tt0052357/),🌟8.3
Tootsie,Sydney Pollack,🎉062,1982,[窈窕淑男 Tootsie](https://movie.douban.com/subject/1297737/),🌟8.1,"导演: 西德尼·波拉克, 主演: 达斯汀·霍夫曼 / 杰西卡·兰格 / 特瑞·加尔, 类型: 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1982",[Tootsie](https://www.imdb.com/title/tt0084805/),🌟7.4
Stagecoach,John Ford,🎉063,1939,[关山飞渡 Stagecoach](https://movie.douban.com/subject/1298134/),🌟8.4,"导演: 约翰·福特, 主演: 约翰·韦恩 / 克莱尔·特雷弗 / 约翰·卡拉丁, 类型: 动作 / 剧情 / 爱情 / 西部, 制片国家/地区: 美国, 年份: 1939",[Stagecoach](https://www.imdb.com/title/tt0031971/),🌟7.8
Close Encounters of the Third Kind,Steven Spielberg,🎉064,1977,[第三类接触 Close Encounters of the Third Kind](https://movie.douban.com/subject/1298405/),🌟7.2,"导演: 史蒂文·斯皮尔伯格, 主演: 理查德·德莱福斯 / 弗朗索瓦·特吕弗 / 特瑞·加尔, 类型: 剧情 / 科幻, 制片国家/地区: 美国, 年份: 1977",[Close Encounters of the Third Kind](https://www.imdb.com/title/tt0075860/),🌟7.6
The Silence of the Lambs,Jonathan Demme,🎉065,1991,[沉默的羔羊 The Silence of the Lambs](https://movie.douban.com/subject/1293544/),🌟8.9,"导演: 乔纳森·戴米, 主演: 朱迪·福斯特 / 安东尼·霍普金斯 / 斯科特·格伦, 类型: 剧情 / 犯罪 / 惊悚, 制片国家/地区: 美国, 年份: 1991",[The Silence of the Lambs](https://www.imdb.com/title/tt0102926/),🌟8.6
