index,排名,日本-电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区,（空白）,排名,外国-电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区
25,26,家族ゲーム（森田芳光 / 《家族游戏》（森田芳光，1983））,家族游戏 家族ゲーム,1983,[1305550](https://movie.douban.com/subject/1305550/),7.7,森田芳光,喜剧 / 剧情,日本, ,26,ピアノ・レッスン / ジェーン・カンピオン,钢琴课 The Piano,1993,[1293818](https://movie.douban.com/subject/1293818/),8.1,简·坎皮恩,剧情 / 爱情 / 音乐,新西兰/澳大利亚/法国
26,26,砂の器（野村芳太郎 / 《曲终魂断》（野村芳太郎，1974））,砂之器 砂の器,1974,[1299195](https://movie.douban.com/subject/1299195/),8.1,野村芳太郎,犯罪 / 悬疑 / 惊悚,日本, ,26,無防備都市 / ロベルト・ロッセリーニ,"罗马，不设防的城市 Roma, città aperta",1945,[1296669](https://movie.douban.com/subject/1296669/),8.1,罗伯托·罗西里尼,剧情 / 战争 / 惊悚,意大利
27,26,青春残酷物語（大島渚 / 《青春残酷物语》（大岛渚，1960））,青春残酷物语 青春残酷物語,1960,[1303691](https://movie.douban.com/subject/1303691/),7.4,大岛渚,剧情,日本, ,28,荒野の決闘 / ジョン・フォード,侠骨柔情 My Darling Clementine,1946,[1299733](https://movie.douban.com/subject/1299733/),7.9,约翰·福特,剧情 / 西部,美国
28,26,人間の条件（小林正樹 / 《人间之条件全6集》（小林正树，1959－61））,人间的条件(第一、二部) 人間の條件,1959,[1298561](https://movie.douban.com/subject/1298561/),8.8,小林正树,剧情 / 战争,日本, ,28,ショーシャンクの空に / フランク・ダラボン,肖申克的救赎 The Shawshank Redemption,1994,[1292052](https://movie.douban.com/subject/1292052/),9.7,弗兰克·德拉邦特,犯罪 / 剧情,美国
29,26,また逢う日まで（今井正 / 《来日再相逢》（今井正，1950））,来日再相逢 また逢う日まで,1950,[1547210](https://movie.douban.com/subject/1547210/),7.4,今井正,剧情 / 历史,日本, ,28,チャップリンの独裁者 / チャールズ・チャップリン,大独裁者 The Great Dictator,1940,[1295646](https://movie.douban.com/subject/1295646/),9.2,查理·卓别林,喜剧 / 剧情 / 战争,美国
30,31,一条さゆり　濡れた欲情（神代辰巳 / 《湿濡的情欲》（神代辰巳，1972））,百合潮湿的欲望（湿濡的情欲） 一条さゆり 濡れた欲情,1972,[1760293](https://movie.douban.com/subject/1760293/),5.7,神代辰巳,剧情,日本, ,28,悲情城市 / ホウ・シャオシエン,悲情城市,1989,[1294194](https://movie.douban.com/subject/1294194/),9,侯孝贤,剧情 / 历史,中国台湾
31,31,キューポラのある街（浦山桐郎 / 《有熔炉的村子》（浦山桐郎，1962））,化铁炉的街 キューポラのある街,1962,[1755008](https://movie.douban.com/subject/1755008/),7.8,浦山桐郎,剧情,日本, ,32,甘い生活 / フェデリコ・フェリーニ,甜蜜的生活 La dolce vita,1960,[1293271](https://movie.douban.com/subject/1293271/),8.6,费德里科·费里尼,剧情 / 喜剧,意大利/法国
32,31,けんかえれじい（鈴木清順 / 《喧哗哀歌》（铃木清顺，1966））,暴力挽歌 けんかえれじい,1966,[1401859](https://movie.douban.com/subject/1401859/),7.4,铃木清顺,剧情 / 喜剧 / 动作,日本, ,32,俺たちに明日はない / アーサー・ペン,雌雄大盗 Bonnie and Clyde,1967,[1294584](https://movie.douban.com/subject/1294584/),8.2,阿瑟·佩恩,动作 / 传记 / 犯罪,美国
33,31,幸せの黄色いハンカチ（山田洋次 / 《幸福黄手绢》（山田洋次，1977））,幸福的黄手帕 幸福の黄色いハンカチ,1977,[1305294](https://movie.douban.com/subject/1305294/),8.2,山田洋次,喜剧 / 剧情,日本, ,32,ガープの世界 / ジョージ・ロイ・ヒル,盖普眼中的世界 The World According to Garp,1982,[1295859](https://movie.douban.com/subject/1295859/),7.3,乔治·罗伊·希尔,喜剧 / 剧情 / 爱情 / 运动,美国
34,31,Shall we ダンス？（周防正行 / 《谈谈情，跳跳舞》（周防正行，1996））,谈谈情跳跳舞 Shall we ダンス?,1996,[1308010](https://movie.douban.com/subject/1308010/),8.2,周防正行,剧情 / 喜剧 / 爱情 / 歌舞,日本, ,32,かくも長き不在 / アンリ・コルピ,长别离 Une aussi longue absence,1961,[1418427](https://movie.douban.com/subject/1418427/),8,亨利·柯比,剧情,法国/意大利
35,31,にっぽん昆虫記（今村昌平 / 《日本昆虫记》（今村昌平，1963））,日本昆虫记 にっぽん昆虫記,1963,[1302917](https://movie.douban.com/subject/1302917/),8.3,今村昌平,剧情,日本, ,32,大地のうた / サタジット・レイ,大地之歌 পথের পাঁচালী,1955,[1306019](https://movie.douban.com/subject/1306019/),8.9,萨蒂亚吉特·雷伊,剧情,印度
36,31,夫婦善哉（豊田四郎 / 《夫妇善哉》（丰田四郎，1955））,夫妇善哉 夫婦善哉,1955,[1300154](https://movie.douban.com/subject/1300154/),8,丰田四郎,剧情,日本, ,32,タクシードライバー / マーティン・スコセッシ,出租车司机 Taxi Driver,1976,[1292222](https://movie.douban.com/subject/1292222/),8.6,马丁·斯科塞斯,剧情 / 犯罪,美国
37,38,愛を乞うひと（平山秀幸 / 《求爱之人》（平山秀幸，1998））,乞爱者 愛を乞うひと,1998,[1760635](https://movie.douban.com/subject/1760635/),8.2,平山秀幸,剧情,日本, ,32,旅芸人の記録 / テオ・アンゲロプロス,流浪艺人 Ο Θίασος,1975,[1295759](https://movie.douban.com/subject/1295759/),8.6,西奥·安哲罗普洛斯,剧情 / 历史 / 战争,希腊
38,38,赫い髪の女（神代辰巳 / 《红发女》（神代辰巳，1979））,红发女郎 赫い髪の女,1979,[1308123](https://movie.douban.com/subject/1308123/),5.7,神代辰巳,剧情 / 情色,日本, ,32,羊たちの沈黙 / ジョナサン・デミ,沉默的羔羊 The Silence of the Lambs,1991,[1293544](https://movie.douban.com/subject/1293544/),8.9,乔纳森·戴米,剧情 / 犯罪 / 惊悚,美国
39,38,遠雷（根岸吉太郎 / 《远雷》（根岸吉太郎，1980））,远雷 遠雷,1981,[1845694](https://movie.douban.com/subject/1845694/),7.8,根岸吉太郎,剧情,日本, ,32,ミツバチのささやき / ヴィクトル・エリセ,蜂巢幽灵 El espíritu de la colmena,1973,[1401900](https://movie.douban.com/subject/1401900/),8.5,维克多·艾里斯,剧情,西班牙
40,38,仁義の墓場（深作欣二 / 《仁义之墓场》（深作欣二，1975））,仁义的墓场 仁義の墓場,1975,[1959212](https://movie.douban.com/subject/1959212/),7.7,深作欣二,动作 / 犯罪,日本, ,41,或る夜の出来事 / フランク・キャプラ,一夜风流 It Happened One Night,1934,[1295684](https://movie.douban.com/subject/1295684/),8.8,弗兰克·卡普拉,喜剧 / 爱情,美国
41,38,ソナチネ（北野武 / 《小奏鸣曲》（北野武，1993））,奏鸣曲 ソナチネ,1993,[1298351](https://movie.douban.com/subject/1298351/),8.4,北野武,剧情 / 犯罪,日本, ,41,暗殺の森 / ベルナルド・ベルドリッチ,同流者 Il conformista,1970,[1300955](https://movie.douban.com/subject/1300955/),8.6,贝纳尔多·贝托鲁奇,剧情,意大利/法国/西德
42,38,天国と地獄（黒澤明 / 《天国与地狱》（黑泽明，1963））,天国与地狱 天国と地獄,1963,[1293663](https://movie.douban.com/subject/1293663/),8.8,黑泽明,剧情 / 犯罪,日本, ,41,アンダーグラウンド / エミール・クストリッツァ,地下 Подземље,1995,[1292206](https://movie.douban.com/subject/1292206/),9.2,埃米尔·库斯图里卡,剧情 / 战争,南斯拉夫/法国/德国/保加利亚/捷克/匈牙利/英国/美国
43,38,日本のいちばん長い日（岡本喜八 / 《日本最长的一日》（冈本喜八，1967））,日本最长的一天 日本のいちばん長い日,1967,[1301130](https://movie.douban.com/subject/1301130/),8,冈本喜八,剧情 / 历史 / 战争,日本, ,41,Ｅ．Ｔ． / スティーブン・スピルバーグ,E.T.外星人 E.T. the Extra-Terrestrial,1982,[1294638](https://movie.douban.com/subject/1294638/),8.6,史蒂文·斯皮尔伯格,剧情 / 科幻,美国
44,38,日本の夜と霧（大島渚 / 《日本的夜与雾》（大岛渚，1960））,日本的夜与雾 日本の夜と霧,1960,[1306659](https://movie.douban.com/subject/1306659/),7.3,大岛渚,剧情,日本, ,41,裏窓 / アルフレッド・ヒッチコック,后窗 Rear Window,1954,[1299080](https://movie.douban.com/subject/1299080/),8.7,阿尔弗雷德·希区柯克,悬疑 / 惊悚,美国
45,38,野良犬（黒澤明 / 《野良犬》（黑泽明，1949））,野良犬,1949,[1293107](https://movie.douban.com/subject/1293107/),8.4,黑泽明,剧情 / 犯罪,日本, ,41,気狂いピエロ / ジャン＝リュック・ゴダール,狂人皮埃罗 Pierrot le fou,1965,[1292533](https://movie.douban.com/subject/1292533/),8.4,让-吕克·戈达尔,剧情 / 爱情 / 犯罪,法国/意大利
46,38,ゆきゆきて、神軍（原一男 / 《神军》（原一男，1987））,前进，神军！ ゆきゆきて、神軍,1987,[1308082](https://movie.douban.com/subject/1308082/),8.7,原一男,纪录片 / 战争,日本, ,41,シェルブールの雨傘 / ジャック・ドゥミ,瑟堡的雨伞 Les parapluies de Cherbourg,1964,[1301646](https://movie.douban.com/subject/1301646/),7.8,雅克·德米,剧情 / 歌舞 / 爱情,法国/西德
47,38,竜二（川島透 / 《龙二》（川岛透，1983））,龙二 竜二,1983,[1959214](https://movie.douban.com/subject/1959214/),7.1,川岛透,剧情,日本, ,41,シンドラーのリスト / スティーブン・スピルバーグ,辛德勒的名单 Schindler's List,1993,[1295124](https://movie.douban.com/subject/1295124/),9.5,史蒂文·斯皮尔伯格,剧情 / 历史 / 战争,美国
48,49,安城家の舞踏会（吉村公三郎 / 《安城家的舞会》（吉川公三郎，1947））,安城家的舞会 安城家の舞踏会,1947,[1479544](https://movie.douban.com/subject/1479544/),7.9,吉村公三郎,剧情 / 家庭,日本, ,41,Feb-81 / フェデリコ・フェリーニ,八部半 8½,1963,[1361276](https://movie.douban.com/subject/1361276/),8.6,费德里科·费里尼,剧情,意大利/法国
49,49,おとうと（市川崑 / 《弟弟》（市川崑，1960））,弟弟 おとうと,1960,[1302213](https://movie.douban.com/subject/1302213/),7.4,市川昆,剧情,日本, ,41,ワイルド・バンチ / サム・ペキンパー,日落黄沙 The Wild Bunch,1969,[1296963](https://movie.douban.com/subject/1296963/),8.3,萨姆·佩金帕,动作 / 西部,美国
50,49,隠し砦の三悪人（黒澤明 / 《武士勤王记》（黑泽明，1958））,战国英豪 隠し砦の三悪人,1958,[1303110](https://movie.douban.com/subject/1303110/),8.4,黑泽明,剧情 / 冒险,日本, ,51,紅いコーリャン / チャン・イーモウ,红高粱,1988,[1306505](https://movie.douban.com/subject/1306505/),8.5,张艺谋,剧情 / 历史 / 爱情 / 战争,中国大陆
51,49,十三人の刺客（工藤栄一 / 《十三人之刺客》（工藤荣一，1963））,十三刺客 十三人の刺客,1963,[2012333](https://movie.douban.com/subject/2012333/),7.6,工藤荣一,冒险 / 动作,日本, ,51,明日に向かって撃て / ジョージ・ロイ・ヒル,虎豹小霸王 Butch Cassidy and the Sundance Kid,1969,[1297602](https://movie.douban.com/subject/1297602/),8.6,乔治·罗伊·希尔,冒险 / 犯罪 / 剧情 / 西部,美国
