Title 电影,Director 导演,Rank 排名,Year 年份,Region 地区,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
Metropolis,Directed by Fritz Lang,🎉067,1927,Germany,[大都会 Metropolis](https://movie.douban.com/subject/1298107/),🌟9.1,"导演: 弗里茨·朗, 主演: 阿弗莱德·阿贝尔 / 古斯塔夫·佛力施 / 鲁道夫·克莱恩-鲁格, 类型: 剧情 / 科幻, 制片国家/地区: 德国, 年份: 1927",[Metropolis](https://www.imdb.com/title/tt0017136/),🌟8.3
Andrei Rublev,Directed by Andrei Tarkovsky,🎉067,1966,USSR,[安德烈·卢布廖夫 Андрей Рублёв](https://movie.douban.com/subject/1298248/),🌟9.0,"导演: 安德烈·塔可夫斯基, 主演: 安纳托利·索洛尼岑 / 伊万·拉皮科夫 / 尼古拉·格林科, 类型: 传记 / 剧情 / 历史 / 战争, 制片国家/地区: 苏联, 年份: 1966",[Andrei Rublev](https://www.imdb.com/title/tt0060107/),🌟8.1
La Jetée,Directed by Chris Marker,🎉067,1962,France,[堤 La jetée](https://movie.douban.com/subject/1306626/),🌟9.0,"导演: 克里斯·马克, 主演: 让·内格罗尼 / 埃莱娜·夏特兰 / 达沃斯·哈尼奇, 类型: 短片 / 剧情 / 爱情 / 科幻, 制片国家/地区: 法国, 年份: 1962",[La Jetée](https://www.imdb.com/title/tt0056119/),🌟8.2
The Gleaners and I,Directed by Agnès Varda,🎉067,2000,France,[拾穗者 Les glaneurs et la glaneuse](https://movie.douban.com/subject/1301279/),🌟9.1,"导演: 阿涅斯·瓦尔达, 主演: Bodan Litnanski / 阿涅斯·瓦尔达 / François Wertheimer, 类型: 纪录片, 制片国家/地区: 法国, 年份: 2000",[The Gleaners & I](https://www.imdb.com/title/tt0247380/),🌟7.7
L'avventura,Directed by Michelangelo Antonioni,🎉072,1960,"Italy, France",[奇遇 L'avventura](https://movie.douban.com/subject/1389923/),🌟8.2,"导演: 米开朗基罗·安东尼奥尼, 主演: 加布里埃尔·费泽蒂 / 莫尼卡·维蒂 / 蕾雅·马萨利, 类型: 剧情 / 悬疑, 制片国家/地区: 意大利/法国, 年份: 1960",[L'Avventura](https://www.imdb.com/title/tt0053619/),🌟7.7
Journey to Italy,Directed by Roberto Rossellini,🎉072,1954,"Italy, France",[游览意大利 Viaggio in Italia](https://movie.douban.com/subject/1303576/),🌟7.8,"导演: 罗伯托·罗西里尼, 主演: 英格丽·褒曼 / 乔治·桑德斯 / Leslie Daniels, 类型: 剧情, 制片国家/地区: 法国/意大利, 年份: 1954",[Journey to Italy](https://www.imdb.com/title/tt0046511/),🌟7.3
My Neighbour Totoro,Directed by Hayao Miyazaki,🎉072,1988,Japan,[龙猫 となりのトトロ](https://movie.douban.com/subject/1291560/),🌟9.2,"导演: 宫崎骏, 主演: 日高范子 / 坂本千夏 / 糸井重里, 类型: 动画 / 奇幻 / 冒险, 制片国家/地区: 日本, 年份: 1988",[My Neighbor Totoro](https://www.imdb.com/title/tt0096283/),🌟8.1
Spirited Away,Directed by Hayao Miyazaki,🎉075,2001,Japan,[千与千寻 千と千尋の神隠し](https://movie.douban.com/subject/1291561/),🌟9.4,"导演: 宫崎骏, 主演: 柊瑠美 / 入野自由 / 夏木真理, 类型: 剧情 / 动画 / 奇幻, 制片国家/地区: 日本, 年份: 2001",[Spirited Away](https://www.imdb.com/title/tt0245429/),🌟8.6
Sansho the Bailiff,Directed by Kenji Mizoguchi,🎉075,1954,Japan,[山椒大夫](https://movie.douban.com/subject/1303573/),🌟8.1,"导演: 沟口健二, 主演: 田中绢代 / 香川京子 / 菅井一郎, 类型: 剧情, 制片国家/地区: 日本, 年份: 1954",[Sansho the Bailiff](https://www.imdb.com/title/tt0047445/),🌟8.4
Imitation of Life,Directed by Douglas Sirk,🎉075,1959,USA,[春风秋雨 Imitation of Life](https://movie.douban.com/subject/1294625/),🌟7.9,"导演: 道格拉斯·塞克, 主演: 拉娜·特纳 / 约翰·加文 / 桑德拉·狄, 类型: 剧情, 制片国家/地区: 美国, 年份: 1959",[Imitation of Life](https://www.imdb.com/title/tt0052918/),🌟7.8
Histoire(s) du Cinéma,Directed by Jean-Luc Godard,🎉078,1988,"France, Switzerland",[电影史-1A 所有的历史 Histoire(s) du cinéma: Toutes les histoires](https://movie.douban.com/subject/1439723/),🌟8.3,"导演: 让-吕克·戈达尔, 主演: 让-吕克·戈达尔, 类型: 纪录片, 制片国家/地区: 法国, 年份: 1989",[Histoire(s) du cinéma](https://www.imdb.com/title/tt6677224/),🌟7.2
A Matter of Life and Death,"Directed by Michael Powell, Emeric Pressburger",🎉078,1946,United Kingdom,[平步青云 A Matter of Life and Death](https://movie.douban.com/subject/1299411/),🌟7.7,"导演: 迈克尔·鲍威尔 / 埃默里克·普雷斯伯格, 主演: 大卫·尼文 / 金·亨特 / 罗伯托·库特, 类型: 剧情 / 奇幻 / 爱情 / 战争, 制片国家/地区: 英国, 年份: 1946",[Stairway to Heaven](https://www.imdb.com/title/tt0038733/),🌟8
Modern Times,Directed by Charles Chaplin,🎉078,1936,USA,[摩登时代 Modern Times](https://movie.douban.com/subject/1294371/),🌟9.3,"导演: 查理·卓别林, 主演: 查理·卓别林 / 宝莲·高黛 / 亨利·伯格曼, 类型: 剧情 / 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1936",[Modern Times](https://www.imdb.com/title/tt0027977/),🌟8.5
Sunset Blvd.,Directed by Billy Wilder,🎉078,1950,USA,[日落大道 Sunset Blvd.](https://movie.douban.com/subject/1298733/),🌟8.8,"导演: 比利·怀尔德, 主演: 威廉·霍尔登 / 葛洛丽亚·斯旺森 / 埃里克·冯·施特罗海姆, 类型: 剧情 / 黑色电影, 制片国家/地区: 美国, 年份: 1950",[Sunset Blvd.](https://www.imdb.com/title/tt0043014/),🌟8.4
Céline and Julie Go Boating,Directed by Jacques Rivette,🎉078,1974,France,[塞琳和朱莉出航记 Céline et Julie vont en bateau](https://movie.douban.com/subject/1418141/),🌟8.3,"导演: 雅克·里维特, 主演: 朱丽叶·贝尔托 / 多米尼克·拉布里埃, 类型: 喜剧 / 剧情 / 奇幻 / 悬疑, 制片国家/地区: 法国, 年份: 1974",[Celine and Julie Go Boating](https://www.imdb.com/title/tt0071381/),🌟7.3
A Brighter Summer Day,Directed by Edward Yang,🎉078,1991,Taiwan,[牯岭街少年杀人事件 牯嶺街少年殺人事件](https://movie.douban.com/subject/1292329/),🌟8.9,"导演: 杨德昌, 主演: 张震 / 杨静怡 / 张国柱, 类型: 剧情 / 犯罪, 制片国家/地区: 中国台湾, 年份: 1991",[A Brighter Summer Day](https://www.imdb.com/title/tt0101985/),🌟8.2
Sátántangó,Directed by Béla Tarr,🎉078,1994,"Hungary, Germany, Switzerland",[撒旦探戈 Sátántangó](https://movie.douban.com/subject/1422088/),🌟8.9,"导演: 贝拉·塔尔, 主演: 米哈伊·维格 / 普吉·霍瓦特 / 拉斯洛·费卢戈希, 类型: 剧情 / 悬疑, 制片国家/地区: 匈牙利/德国/瑞士, 年份: 1994",[Satantango](https://www.imdb.com/title/tt0111341/),🌟8.2
Blue Velvet,Directed by David Lynch,🎉085,1986,USA, , , ,[Blue Velvet](https://www.imdb.com/title/tt0090756/),🌟7.7
The Spirit of the Beehive,Directed by Víctor Erice,🎉085,1973,Spain,[蜂巢幽灵 El espíritu de la colmena](https://movie.douban.com/subject/1401900/),🌟8.5,"导演: 维克多·艾里斯, 主演: 费尔南多·费尔南·戈麦斯 / 特雷莎·希梅拉 / 安娜·托伦特, 类型: 剧情, 制片国家/地区: 西班牙, 年份: 1973",[The Spirit of the Beehive](https://www.imdb.com/title/tt0070040/),🌟7.8
Pierrot le fou,Directed by Jean-Luc Godard,🎉085,1965,"France, Italy",[狂人皮埃罗 Pierrot le fou](https://movie.douban.com/subject/1292533/),🌟8.4,"导演: 让-吕克·戈达尔, 主演: 让-保罗·贝尔蒙多 / 安娜·卡里娜 / 贾泽拉·加瓦尼, 类型: 剧情 / 爱情 / 犯罪, 制片国家/地区: 法国/意大利, 年份: 1965",[Pierrot le Fou](https://www.imdb.com/title/tt0059592/),🌟7.4
The Shining,Directed by Stanley Kubrick,🎉088,1980,"USA, United Kingdom",[闪灵 The Shining](https://movie.douban.com/subject/1292225/),🌟8.3,"导演: 斯坦利·库布里克, 主演: 杰克·尼科尔森 / 谢莉·杜瓦尔 / 丹尼·劳埃德, 类型: 恐怖, 制片国家/地区: 英国/美国, 年份: 1980",[The Shining](https://www.imdb.com/title/tt0081505/),🌟8.4
CHUNGKING EXPRESS,Directed by Wong Kar Wai,🎉088,1994,Hong Kong,[重庆森林 重慶森林](https://movie.douban.com/subject/1291999/),🌟8.8,"导演: 王家卫, 主演: 林青霞 / 金城武 / 梁朝伟, 类型: 剧情 / 爱情, 制片国家/地区: 中国香港, 年份: 1994",[Chungking Express](https://www.imdb.com/title/tt0109424/),🌟8
Parasite,Directed by Bong Joon-ho,🎉090,2019,Republic of Korea,[寄生虫 기생충](https://movie.douban.com/subject/27010768/),🌟8.8,"导演: 奉俊昊, 主演: 宋康昊 / 李善均 / 曹汝贞, 类型: 剧情, 制片国家/地区: 韩国, 年份: 2019",[Parasite](https://www.imdb.com/title/tt6751668/),🌟8.5
Yi Yi,Directed by Edward Yang,🎉090,1999,"Taiwan, Japan",[一一](https://movie.douban.com/subject/1292434/),🌟9.1,"导演: 杨德昌, 主演: 吴念真 / 李凯莉 / 金燕玲, 类型: 剧情 / 爱情 / 家庭, 制片国家/地区: 中国台湾/日本, 年份: 2000",[Yi Yi: A One and a Two...](https://www.imdb.com/title/tt0244316/),🌟8.1
Ugetsu Monogatari,Directed by Kenji Mizoguchi,🎉090,1953,Japan,[雨月物语 雨月物語](https://movie.douban.com/subject/1303577/),🌟8.6,"导演: 沟口健二, 主演: 田中绢代 / 森雅之 / 小泽荣太郎, 类型: 剧情 / 战争 / 奇幻, 制片国家/地区: 日本, 年份: 1953",[Ugetsu](https://www.imdb.com/title/tt0046478/),🌟8.2
The Leopard,Directed by Luchino Visconti,🎉090,1963,"Italy, France",[豹 Il gattopardo](https://movie.douban.com/subject/1293146/),🌟8.7,"导演: 卢基诺·维斯康蒂, 主演: 伯特·兰卡斯特 / 克劳迪娅·卡汀娜 / 阿兰·德龙, 类型: 剧情 / 历史 / 爱情 / 战争, 制片国家/地区: 意大利/法国, 年份: 1963",[The Leopard](https://www.imdb.com/title/tt0057091/),🌟8
Madame de...,Directed by Max Ophuls,🎉090,1953,"France, Italy",[伯爵夫人的耳环 Madame de...](https://movie.douban.com/subject/1301122/),🌟8.1,"导演: 马克斯·奥菲尔斯, 主演: 达尼埃尔·达里约 / 维托里奥·德西卡 / 查尔斯·博耶, 类型: 剧情 / 爱情, 制片国家/地区: 法国/意大利, 年份: 1953",[The Earrings of Madame De...](https://www.imdb.com/title/tt0046022/),🌟7.9
Once upon a Time in the West,Directed by Sergio Leone,🎉095,1968,"Italy, USA",[西部往事 C'era una volta il West](https://movie.douban.com/subject/1293394/),🌟8.7,"导演: 赛尔乔·莱昂内, 主演: 亨利·方达 / 查尔斯·布朗森 / 克劳迪娅·卡汀娜, 类型: 剧情 / 犯罪 / 西部, 制片国家/地区: 意大利/美国, 年份: 1968",[Once Upon a Time in the West](https://www.imdb.com/title/tt0064116/),🌟8.5
A Man Escaped,Directed by Robert Bresson,🎉095,1956,France,[死囚越狱 Un Condamné à mort s'est échappé](https://movie.douban.com/subject/1303562/),🌟8.5,"导演: 罗伯特·布列松, 主演: 弗朗索瓦·莱特瑞尔 / 查尔斯·勒克莱恩 / 莫里斯·贝尔布洛克, 类型: 剧情 / 战争 / 惊悚, 制片国家/地区: 法国, 年份: 1956",[A Man Escaped](https://www.imdb.com/title/tt0049902/),🌟8.2
The General,"Directed by Buster Keaton, Clyde Bruckman",🎉095,1926,USA,[将军号 The General](https://movie.douban.com/subject/1292778/),🌟9.1,"导演: 巴斯特·基顿 / 克莱德·布鲁克曼, 主演: 巴斯特·基顿 / 玛丽昂·马克 / 格伦·卡文德, 类型: 剧情 / 喜剧 / 动作 / 战争 / 冒险, 制片国家/地区: 美国, 年份: 1926",[The General](https://www.imdb.com/title/tt0017925/),🌟8.1
Black Girl,Directed by Ousmane Sembène,🎉095,1965,"Senegal, France",[黑女孩 La Noire de...](https://movie.douban.com/subject/2060678/),🌟7.3,"导演: 乌斯曼·塞姆班, 主演: Mbissine Thérèse Diop / 阿内-玛丽·耶利内克 / 罗贝尔·方丹, 类型: 剧情, 制片国家/地区: 塞内加尔/法国, 年份: 1966",[Black Girl](https://www.imdb.com/title/tt0060758/),🌟7.4
Tropical Malady,Directed by Apichatpong Weerasethakul,🎉095,2004,"France, Thailand, Germany, Italy, Switzerland",[热带疾病 สัตว์ประหลาด](https://movie.douban.com/subject/1414808/),🌟8.0,"导演: 阿彼察邦·韦拉斯哈古, 主演: 班罗普·洛罗伊 / 萨卡达·卡温巴迪 / Huai Dessom, 类型: 剧情 / 爱情 / 奇幻, 制片国家/地区: 泰国/法国/德国/意大利, 年份: 2004",[Tropical Malady](https://www.imdb.com/title/tt0381668/),🌟7.1
Get Out,Directed by Jordan Peele,🎉095,2017,"USA, Japan",[逃出绝命镇 Get Out](https://movie.douban.com/subject/26688480/),🌟7.8,"导演: 乔丹·皮尔, 主演: 丹尼尔·卡卢亚 / 艾莉森·威廉姆斯 / 凯瑟琳·基纳, 类型: 悬疑 / 惊悚 / 恐怖, 制片国家/地区: 美国, 年份: 2017",[Get Out](https://www.imdb.com/title/tt5052448/),🌟7.8
Vagabond,Directed by Agnès Varda,🎉101,1985,"France, United Kingdom",[天涯沦落女 Sans toit ni loi](https://movie.douban.com/subject/1292445/),🌟8.3,"导演: 阿涅斯·瓦尔达, 主演: 桑德里娜·博内尔 / Setti Ramdane / Francis Balchère, 类型: 剧情, 制片国家/地区: 法国, 年份: 1985",[Vagabond](https://www.imdb.com/title/tt0089960/),🌟7.7
The House Is Black,Directed by Forough Farokhzad,🎉101,1962,Iran,[房屋是黑的 خانه سیاه است](https://movie.douban.com/subject/1499492/),🌟8.8,"导演: 芙茹弗·法洛克扎德, 主演: 芙茹弗·法洛克扎德 / 艾布拉希姆·格勒斯坦 / Hossein Mansouri, 类型: 纪录片 / 短片, 制片国家/地区: 伊朗, 年份: 1963",[The House Is Black](https://www.imdb.com/title/tt0336693/),🌟7.8
Rio Bravo,Directed by Howard Hawks,🎉101,1958,USA,[赤胆屠龙 Rio Bravo](https://movie.douban.com/subject/1298497/),🌟8.1,"导演: 霍华德·霍克斯, 主演: 约翰·韦恩 / 迪恩·马丁 / 瑞奇·尼尔森, 类型: 剧情 / 喜剧 / 爱情 / 西部, 制片国家/地区: 美国, 年份: 1959",[Rio Bravo](https://www.imdb.com/title/tt0053221/),🌟8
The Godfather Part II,Directed by Francis Ford Coppola,🎉104,1974,USA,[教父2 The Godfather: Part II](https://movie.douban.com/subject/1299131/),🌟9.3,"导演: 弗朗西斯·福特·科波拉, 主演: 阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1974",[The Godfather Part II](https://www.imdb.com/title/tt0071562/),🌟9
Jaws,Directed by Steven Spielberg,🎉104,1975,USA,[大白鲨 Jaws](https://movie.douban.com/subject/1294941/),🌟7.8,"导演: 史蒂文·斯皮尔伯格, 主演: 罗伊·谢德 / 罗伯特·肖 / 理查德·德莱福斯, 类型: 剧情 / 惊悚 / 冒险, 制片国家/地区: 美国, 年份: 1975",[Jaws](https://www.imdb.com/title/tt0073195/),🌟8.1
Come and See,Directed by Elem Klimov,🎉104,1985,USSR,[自己去看 Иди и смотри](https://movie.douban.com/subject/1422186/),🌟8.8,"导演: 依莱姆·克里莫夫, 主演: 阿列克谢·克拉夫琴科 / 奥尔加·米罗诺娃 / 柳博米拉斯·劳恰维丘斯, 类型: 剧情 / 战争, 制片国家/地区: 苏联, 年份: 1985",[Come and See](https://www.imdb.com/title/tt0091251/),🌟8.4
La Maman et la Putain,Directed by Jean Eustache,🎉104,1973,France,[母亲与娼妓 La Maman et la Putain](https://movie.douban.com/subject/1295252/),🌟7.9,"导演: 让·厄斯塔什, 主演: 让-皮埃尔·利奥德 / 贝纳德特·拉封 / 弗朗索瓦兹·勒布伦, 类型: 剧情, 制片国家/地区: 法国, 年份: 1973",[The Mother and the Whore](https://www.imdb.com/title/tt0070359/),🌟7.8
Bringing Up Baby,Directed by Howard Hawks,🎉108,1938,USA,[育婴奇谭 Bringing Up Baby](https://movie.douban.com/subject/1297657/),🌟7.3,"导演: 霍华德·霍克斯, 主演: 凯瑟琳·赫本 / 加里·格兰特 / 查尔斯·拉格尔斯, 类型: 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1938",[Bringing Up Baby](https://www.imdb.com/title/tt0029947/),🌟7.8
The Man Who Shot Liberty Valance,Directed by John Ford,🎉108,1962,USA,[双虎屠龙 The Man Who Shot Liberty Valance](https://movie.douban.com/subject/1295134/),🌟8.2,"导演: 约翰·福特, 主演: 约翰·韦恩 / 詹姆斯·斯图尔特 / 维拉·迈尔斯, 类型: 剧情 / 爱情 / 西部, 制片国家/地区: 美国, 年份: 1962",[The Man Who Shot Liberty Valance](https://www.imdb.com/title/tt0056217/),🌟8.1
Touch of Evil,Directed by Orson Welles,🎉108,1958,USA,[历劫佳人 Touch of Evil](https://movie.douban.com/subject/1294756/),🌟8.1,"导演: 奥逊·威尔斯, 主演: 查尔顿·赫斯顿 / 珍妮特·利 / 奥逊·威尔斯, 类型: 犯罪 / 黑色电影 / 惊悚, 制片国家/地区: 美国, 年份: 1958",[Touch of Evil](https://www.imdb.com/title/tt0052311/),🌟8
Wild Strawberries,Directed by Ingmar Bergman,🎉108,1957,Sweden,[野草莓 Smultronstället](https://movie.douban.com/subject/1293071/),🌟8.8,"导演: 英格玛·伯格曼, 主演: 维克多·斯约斯特洛姆 / 毕比·安德松 / 英格丽·图林, 类型: 剧情 / 爱情 / 家庭, 制片国家/地区: 瑞典, 年份: 1957",[Wild Strawberries](https://www.imdb.com/title/tt0050986/),🌟8.1
The Wizard of Oz,Directed by Victor Fleming,🎉108,1939,USA,[绿野仙踪 The Wizard of Oz](https://movie.douban.com/subject/1292625/),🌟8.2,"导演: 维克多·弗莱明, 主演: 朱迪·加兰 / 弗兰克·摩根 / 雷·博尔格, 类型: 歌舞 / 奇幻 / 冒险, 制片国家/地区: 美国, 年份: 1939",[The Wizard of Oz](https://www.imdb.com/title/tt0032138/),🌟8.1
"Goodbye, Dragon Inn",Directed by Tsai Ming-liang,🎉108,2003,Taiwan,[不散](https://movie.douban.com/subject/1304862/),🌟7.8,"导演: 蔡明亮, 主演: 李康生 / 杨贵媚 / 石隽, 类型: 剧情, 制片国家/地区: 中国台湾, 年份: 2003","[Goodbye, Dragon Inn](https://www.imdb.com/title/tt0377556/)",🌟7.1
Don't Look Now,Directed by Nicolas Roeg,🎉114,1973,"United Kingdom, Italy",[威尼斯疑魂 Don't Look Now](https://movie.douban.com/subject/1302294/),🌟7.2,"导演: 尼古拉斯·罗伊格, 主演: 朱莉·克里斯蒂 / 唐纳德·萨瑟兰 / 希拉丽·梅森, 类型: 剧情 / 悬疑 / 恐怖, 制片国家/地区: 英国/意大利, 年份: 1973",[Don't Look Now](https://www.imdb.com/title/tt0069995/),🌟7.1
Nashville,Directed by Robert Altman,🎉114,1975,USA,[纳什维尔 Nashville](https://movie.douban.com/subject/1293037/),🌟8.2,"导演: 罗伯特·奥特曼, 主演: 大卫·阿金 / 芭芭拉·巴斯里 / 尼德·巴蒂, 类型: 剧情 / 喜剧 / 音乐, 制片国家/地区: 美国, 年份: 1975",[Nashville](https://www.imdb.com/title/tt0073440/),🌟7.6
A Woman under the Influence,Directed by John Cassavetes,🎉114,1974,USA,[醉酒的女人 A Woman Under the Influence](https://movie.douban.com/subject/1293525/),🌟8.2,"导演: 约翰·卡萨维蒂, 主演: 彼得·法尔克 / 吉娜·罗兰兹 / 弗雷德·德雷珀, 类型: 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1974",[A Woman Under the Influence](https://www.imdb.com/title/tt0072417/),🌟8.1
To Be or Not to Be,Directed by Ernst Lubitsch,🎉114,1942,USA,[你逃我也逃 To Be or Not to Be](https://movie.douban.com/subject/1303418/),🌟9.3,"导演: 恩斯特·刘别谦, 主演: 卡洛·朗白 / 杰克·本尼 / 罗伯特·斯塔克, 类型: 喜剧 / 爱情 / 战争, 制片国家/地区: 美国, 年份: 1942",[To Be or Not to Be](https://www.imdb.com/title/tt0035446/),🌟8.2
The Thing,Directed by John Carpenter,🎉118,1982,USA,[怪形 The Thing](https://movie.douban.com/subject/1296794/),🌟8.1,"导演: 约翰·卡朋特, 主演: 库尔特·拉塞尔 / 威尔福德·布利姆雷 / TK·卡特, 类型: 科幻 / 悬疑 / 恐怖, 制片国家/地区: 美国, 年份: 1982",[The Thing](https://www.imdb.com/title/tt0084787/),🌟8.2
The Texas Chain Saw Massacre,Directed by Tobe Hooper,🎉118,1974,USA,[德州电锯杀人狂 The Texas Chain Saw Massacre](https://movie.douban.com/subject/1300392/),🌟7.2,"导演: 托比·霍珀, 主演: 贡纳·汉森 / 玛丽莲·伯恩斯 / 阿伦·丹齐格, 类型: 惊悚 / 恐怖, 制片国家/地区: 美国, 年份: 1974",[The Texas Chain Saw Massacre](https://www.imdb.com/title/tt0072271/),🌟7.4
The Conformist,Directed by Bernardo Bertolucci,🎉118,1970,"Italy, France, Federal Republic of Germany",[同流者 Il conformista](https://movie.douban.com/subject/1300955/),🌟8.6,"导演: 贝纳尔多·贝托鲁奇, 主演: 让-路易·特兰蒂尼昂 / 斯特法尼娅·桑德雷莉 / 加斯通·莫辛, 类型: 剧情, 制片国家/地区: 意大利/法国/西德, 年份: 1970",[The Conformist](https://www.imdb.com/title/tt0065571/),🌟7.9
"Aguirre, Wrath of God",Directed by Werner Herzog,🎉118,1972,Federal Republic of Germany,"[阿基尔，上帝的愤怒 Aguirre, der Zorn Gottes](https://movie.douban.com/subject/1306002/)",🌟8.3,"导演: 沃纳·赫尔佐格, 主演: 克劳斯·金斯基 / 彼得·贝尔林 / 海伦娜·罗霍, 类型: 冒险 / 传记 / 剧情 / 历史, 制片国家/地区: 西德/墨西哥, 年份: 1972","[Aguirre, the Wrath of God](https://www.imdb.com/title/tt0068182/)",🌟7.8
Only Angels Have Wings,Directed by Howard Hawks,🎉122,1939,USA,[天使之翼 Only Angels Have Wings](https://movie.douban.com/subject/1300712/),🌟7.6,"导演: 霍华德·霍克斯, 主演: 加里·格兰特 / 琪恩·亚瑟 / 理查德·巴塞尔梅斯, 类型: 剧情 / 冒险 / 爱情, 制片国家/地区: 美国, 年份: 1939",[Only Angels Have Wings](https://www.imdb.com/title/tt0031762/),🌟7.6
The Umbrellas of Cherbourg,Directed by Jacques Demy,🎉122,1964,"France, Federal Republic of Germany",[瑟堡的雨伞 Les parapluies de Cherbourg](https://movie.douban.com/subject/1301646/),🌟7.8,"导演: 雅克·德米, 主演: 凯瑟琳·德纳芙 / 尼诺·卡斯泰尔诺沃 / 安妮·维尔侬, 类型: 剧情 / 歌舞 / 爱情, 制片国家/地区: 法国/西德, 年份: 1964",[The Umbrellas of Cherbourg](https://www.imdb.com/title/tt0058450/),🌟7.8
Johnny Guitar,Directed by Nicholas Ray,🎉122,1954,USA,[荒漠怪客 Johnny Guitar](https://movie.douban.com/subject/1303575/),🌟7.8,"导演: 尼古拉斯·雷, 主演: 琼·克劳馥 / 斯特林·海登 / 梅赛德丝·麦坎布雷奇, 类型: 剧情 / 西部, 制片国家/地区: 美国, 年份: 1954",[Johnny Guitar](https://www.imdb.com/title/tt0047136/),🌟7.6
The Colour of Pomegranates,Directed by Sergei Paradjanov,🎉122,1968,USSR,[石榴的颜色 Նռան գույնը](https://movie.douban.com/subject/1303542/),🌟8.7,"导演: 谢尔盖·帕拉杰诺夫, 主演: 索菲柯·齐阿乌列里 / 米尔克·阿尔克桑亚 / 维勒·加尔斯特亚, 类型: 剧情 / 传记 / 历史, 制片国家/地区: 苏联, 年份: 1969",[The Color of Pomegranates](https://www.imdb.com/title/tt0063555/),🌟7.6
The Matrix,Directed by The Wachowskis,🎉122,1999,"USA, Australia",[黑客帝国 The Matrix](https://movie.douban.com/subject/1291843/),🌟9.1,"导演: 莉莉·沃卓斯基 / 拉娜·沃卓斯基, 主演: 基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯, 类型: 动作 / 科幻, 制片国家/地区: 美国, 年份: 1999",[The Matrix](https://www.imdb.com/title/tt0133093/),🌟8.7
There Will Be Blood,Directed by Paul Thomas Anderson,🎉122,2007,USA,[血色将至 There Will Be Blood](https://movie.douban.com/subject/1945780/),🌟8.4,"导演: 保罗·托马斯·安德森, 主演: 丹尼尔·戴-刘易斯 / 巴里·德尔·舍曼 / 保罗·F·汤普金斯, 类型: 剧情, 制片国家/地区: 美国, 年份: 2007",[There Will Be Blood](https://www.imdb.com/title/tt0469494/),🌟8.2
The Ascent,Directed by Larissa Shepitko,🎉128,1976,USSR,[上升 Восхождение](https://movie.douban.com/subject/1303255/),🌟8.1,"导演: 拉莉萨·舍皮琴科, 主演: Boris Plotnikov / Vladimir Gostyukhin, 类型: 剧情 / 战争, 制片国家/地区: 苏联, 年份: 1977",[The Ascent](https://www.imdb.com/title/tt0075404/),🌟8.2
Pulp Fiction,Directed by Quentin Tarantino,🎉129,1994,USA,[低俗小说 Pulp Fiction](https://movie.douban.com/subject/1291832/),🌟8.9,"导演: 昆汀·塔伦蒂诺, 主演: 约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫, 类型: 剧情 / 喜剧 / 犯罪, 制片国家/地区: 美国, 年份: 1994",[Pulp Fiction](https://www.imdb.com/title/tt0110912/),🌟8.9
Raging Bull,Directed by Martin Scorsese,🎉129,1980,USA,[愤怒的公牛 Raging Bull](https://movie.douban.com/subject/1293155/),🌟8.4,"导演: 马丁·斯科塞斯, 主演: 罗伯特·德尼罗 / 凯西·莫拉蒂 / 乔·佩西, 类型: 剧情 / 传记 / 运动, 制片国家/地区: 美国, 年份: 1980",[Raging Bull](https://www.imdb.com/title/tt0081398/),🌟8.1
His Girl Friday,Directed by Howard Hawks,🎉129,1939,USA,[女友礼拜五 His Girl Friday](https://movie.douban.com/subject/1299231/),🌟7.8,"导演: 霍华德·霍克斯, 主演: 加里·格兰特 / 罗莎琳德·拉塞尔 / 拉尔夫·贝拉米, 类型: 喜剧 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1940",[His Girl Friday](https://www.imdb.com/title/tt0032599/),🌟7.8
Fanny and Alexander,Directed by Ingmar Bergman,🎉129,1982,"Sweden, France, Federal Republic of Germany",[芬妮与亚历山大 Fanny och Alexander](https://movie.douban.com/subject/1292784/),🌟8.7,"导演: 英格玛·伯格曼, 主演: 克里斯蒂娜·阿道夫森 / 伯杰·阿斯特 / 佩妮娜·奥威, 类型: 剧情, 制片国家/地区: 法国/瑞典/西德, 年份: 1982",[Fanny and Alexander](https://www.imdb.com/title/tt0083922/),🌟8.1
It's a Wonderful Life,Directed by Frank Capra,🎉133,1947,USA,[生活多美好 It's a Wonderful Life](https://movie.douban.com/subject/1293749/),🌟9.3,"导演: 弗兰克·卡普拉, 主演: 詹姆斯·斯图尔特 / 唐娜·里德 / 莱昂纳尔·巴里摩尔, 类型: 剧情 / 爱情 / 奇幻, 制片国家/地区: 美国, 年份: 1946",[It's a Wonderful Life](https://www.imdb.com/title/tt0038650/),🌟8.6
