Title 电影,Director 导演,Rank 排名,Year 年份,Region 地区,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
By the Bluest of Seas,Directed by Boris Barnet,🎉211,1935,USSR,[浮于碧海 У самого синего моря](https://movie.douban.com/subject/2369090/),🌟6.9,"导演: 鲍里斯·巴尔涅特 / S. Mardanin, 主演: Alexei Dolinin / 谢尔盖·科马罗夫 / 尼古拉·克留奇科夫, 类型: 剧情, 制片国家/地区: 苏联, 年份: 1936",[By the Bluest of Seas](https://www.imdb.com/title/tt0028436/),🌟6.9
Duck Soup,Directed by Leo McCarey,🎉211,1933,USA,[鸭羹 Duck Soup](https://movie.douban.com/subject/1298113/),🌟7.2,"导演: 莱奥·麦卡雷, 主演: 格劳乔·马克斯 / 哈勃·马克斯 / 奇科·马克斯, 类型: 喜剧 / 歌舞, 制片国家/地区: 美国, 年份: 1933",[Duck Soup](https://www.imdb.com/title/tt0023969/),🌟7.8
All about Eve,Directed by Joseph L. Mankiewicz,🎉211,1950,USA,[彗星美人 All About Eve](https://movie.douban.com/subject/1401385/),🌟8.7,"导演: 约瑟夫·L·曼凯维奇, 主演: 贝蒂·戴维斯 / 安妮·巴克斯特 / 乔治·桑德斯, 类型: 剧情, 制片国家/地区: 美国, 年份: 1950",[All About Eve](https://www.imdb.com/title/tt0042192/),🌟8.2
Brief Encounter,Directed by David Lean,🎉211,1945,United Kingdom,[相见恨晚 Brief Encounter](https://movie.douban.com/subject/1294364/),🌟8.0,"导演: 大卫·里恩, 主演: 西莉亚·约翰逊 / 特瑞沃·霍华德 / 斯坦利·霍洛威, 类型: 爱情 / 剧情, 制片国家/地区: 英国, 年份: 1945",[Brief Encounter](https://www.imdb.com/title/tt0037558/),🌟8
Suspiria,Directed by Dario Argento,🎉211,1977,Italy,[阴风阵阵 Suspiria](https://movie.douban.com/subject/1296332/),🌟7.6,"导演: 达里奥·阿基多, 主演: 杰西卡·哈珀 / 斯蒂芬妮娅·卡西尼 / 弗拉维奥·布奇, 类型: 恐怖, 制片国家/地区: 意大利, 年份: 1977",[Suspiria](https://www.imdb.com/title/tt0076786/),🌟7.3
In a Lonely Place,Directed by Nicholas Ray,🎉211,1950,USA,[兰闺艳血 In a Lonely Place](https://movie.douban.com/subject/1302923/),🌟7.9,"导演: 尼古拉斯·雷, 主演: 亨弗莱·鲍嘉 / 格洛丽亚·格雷厄姆 / 弗兰克·洛夫乔伊, 类型: 剧情 / 黑色电影 / 悬疑 / 爱情 / 惊悚, 制片国家/地区: 美国, 年份: 1950",[In a Lonely Place](https://www.imdb.com/title/tt0042593/),🌟7.9
The Deer Hunter,Directed by Michael Cimino,🎉211,1978,USA,[猎鹿人 The Deer Hunter](https://movie.douban.com/subject/1292403/),🌟8.3,"导演: 迈克尔·西米诺, 主演: 罗伯特·德尼罗 / 约翰·凯泽尔 / 约翰·萨维奇, 类型: 剧情 / 战争, 制片国家/地区: 美国, 年份: 1978",[The Deer Hunter](https://www.imdb.com/title/tt0077416/),🌟8.1
Army of Shadows,Directed by Jean-Pierre Melville,🎉211,1969,"France, Italy",[影子部队 L'armée des ombres](https://movie.douban.com/subject/1466419/),🌟8.6,"导演: 让-皮埃尔·梅尔维尔, 主演: 利诺·文图拉 / 保罗·默里斯 / 让-皮埃尔·卡塞尔, 类型: 剧情 / 战争, 制片国家/地区: 法国/意大利, 年份: 1969",[Army of Shadows](https://www.imdb.com/title/tt0064040/),🌟8.1
Melancholia,Directed by Lars von Trier,🎉211,2011,"Denmark, Sweden, France, Germany, Italy",[忧郁症 Melancholia](https://movie.douban.com/subject/4086853/),🌟7.1,"导演: 拉斯·冯·提尔, 主演: 克斯汀·邓斯特 / 夏洛特·甘斯布 / 基弗·萨瑟兰, 类型: 剧情 / 科幻 / 惊悚, 制片国家/地区: 丹麦/瑞典/法国/德国, 年份: 2011",[Melancholia](https://www.imdb.com/title/tt1527186/),🌟7.1
Twenty Years Later,Directed by Eduardo Coutinho,🎉211,1984,Brazil,[二十年后 Cabra Marcado Para Morrer](https://movie.douban.com/subject/1925768/),🌟7.6,"导演: 爱德华多·库蒂尼奥, 主演: 爱德华多·库蒂尼奥 / Tite de Lemos / Ferreira Gullar, 类型: 纪录片, 制片国家/地区: 巴西, 年份: 1984",[Twenty Years Later](https://www.imdb.com/title/tt0134402/),🌟8.3
Twin Peaks: Fire Walk with Me,Directed by David Lynch,🎉211,1992,USA,[双峰：与火同行 Twin Peaks: Fire Walk with Me](https://movie.douban.com/subject/1303472/),🌟7.9,"导演: 大卫·林奇, 主演: 雪莉·李 / 雷·怀斯 / 梅晨·阿米克, 类型: 剧情 / 悬疑 / 惊悚 / 恐怖, 制片国家/地区: 法国/美国, 年份: 1992",[Twin Peaks: Fire Walk with Me](https://www.imdb.com/title/tt0105665/),🌟7.3
Pink Flamingos,Directed by John Waters,🎉211,1972,USA, , , ,[Pink Flamingos](https://www.imdb.com/title/tt0069089/),🌟6
Raiders of the Lost Ark,Directed by Steven Spielberg,🎉211,1981,USA,[夺宝奇兵 Raiders of the Lost Ark](https://movie.douban.com/subject/1296717/),🌟7.9,"导演: 史蒂文·斯皮尔伯格, 主演: 哈里森·福特 / 凯伦·阿兰 / 保罗·弗里曼, 类型: 动作 / 冒险, 制片国家/地区: 美国, 年份: 1981",[Raiders of the Lost Ark](https://www.imdb.com/title/tt0082971/),🌟8.4
Limite,Directed by Mário Peixoto,🎉211,1931,Brazil,[界限 Limite](https://movie.douban.com/subject/1925767/),🌟7.6,"导演: 马里奥·皮索托, 主演: Iolanda Bernardes / Edgar Brasil / 马里奥·皮索托, 类型: 剧情, 制片国家/地区: 巴西, 年份: 1931",[Limit](https://www.imdb.com/title/tt0022080/),🌟7.1
"Harlan County, USA",Directed by Barbara Kopple,🎉225,1976,USA,"[美国哈兰县 Harlan County, U.S.A.](https://movie.douban.com/subject/1294724/)",🌟8.6,"导演: 芭芭拉·卡颇, 主演: John Corcoran / 约翰·奥莱利 / Tom Williams, 类型: 纪录片, 制片国家/地区: 美国, 年份: 1976",[Harlan County U.S.A.](https://www.imdb.com/title/tt0074605/),🌟8.2
Cries and Whispers,Directed by Ingmar Bergman,🎉225,1972,Sweden,[呼喊与细语 Viskningar och rop](https://movie.douban.com/subject/1296147/),🌟8.6,"导演: 英格玛·伯格曼, 主演: 哈里特·安德森 / 卡莉·西尔万 / 英格丽·图林, 类型: 剧情 / 爱情, 制片国家/地区: 瑞典, 年份: 1972",[Cries & Whispers](https://www.imdb.com/title/tt0069467/),🌟8
Star Wars,Directed by George Lucas,🎉225,1977,USA,[星球大战 Star Wars](https://movie.douban.com/subject/1293838/),🌟8.5,"导演: 乔治·卢卡斯, 主演: 哈里森·福特 / 马克·哈米尔 / 凯丽·费雪, 类型: 动作 / 科幻 / 冒险, 制片国家/地区: 美国, 年份: 1977",[Star Wars: Episode IV - A New Hope](https://www.imdb.com/title/tt0076759/),🌟8.6
Intolerance,Directed by D.W. Griffith,🎉225,1916,USA,[党同伐异 Intolerance: Love's Struggle Throughout the Ages](https://movie.douban.com/subject/1295287/),🌟8.7,"导演: 大卫·格里菲斯, 主演: 丽莲·吉许 / 梅·马什 / 罗伯特·哈伦, 类型: 剧情 / 历史 / 爱情, 制片国家/地区: 美国, 年份: 1916",[Intolerance](https://www.imdb.com/title/tt0006864/),🌟7.7
The Hour of the Furnaces,Directed by Fernando Solanas,🎉225,1968,Argentina,[燃火的时刻 Hora de los hornos](https://movie.douban.com/subject/2245725/),🌟8.7,"导演: 费尔南多·索拉纳斯 / 奥克塔维奥·赫蒂诺, 主演: María de la Paz / Fernando E. Solanas / Edgardo Suárez, 类型: 纪录片 / 历史 / 战争, 制片国家/地区: 阿根廷, 年份: 1970",[The Hour of the Furnaces](https://www.imdb.com/title/tt0063084/),🌟7.7
Europa '51,Directed by Roberto Rossellini,🎉225,1952,Italy,[一九五一年的欧洲 Europa '51](https://movie.douban.com/subject/1293321/),🌟8.0,"导演: 罗伯托·罗西里尼, 主演: 英格丽·褒曼 / 亚历山大·诺克斯 / 埃托雷贾尼尼, 类型: 剧情, 制片国家/地区: 意大利, 年份: 1952",[Europe '51](https://www.imdb.com/title/tt0043511/),🌟7.4
Napoléon,Directed by Abel Gance,🎉225,1927,France,[拿破仑 Napoléon](https://movie.douban.com/subject/1401756/),🌟8.6,"导演: 阿贝尔·冈斯, 主演: 阿尔伯特·迪厄多内 / Alexandre Koubitzky / 安托南·阿尔托, 类型: 传记 / 剧情 / 历史 / 战争, 制片国家/地区: 法国, 年份: 1927",[Napoleon](https://www.imdb.com/title/tt0018192/),🌟8.2
The Crowd,Directed by King Vidor,🎉225,1928,USA,[群众 The Crowd](https://movie.douban.com/subject/1293273/),🌟8.3,"导演: 金·维多, 主演: 埃莉诺·博德曼 / 詹姆斯·默里 / 伯特·罗奇, 类型: 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1928",[The Crowd](https://www.imdb.com/title/tt0018806/),🌟8.1
A Touch of Zen,Directed by King Hu,🎉225,1969,Taiwan,[侠女 俠女](https://movie.douban.com/subject/1306490/),🌟8.6,"导演: 胡金铨, 主演: 徐枫 / 石隽 / 白鹰, 类型: 剧情 / 动作 / 武侠 / 古装, 制片国家/地区: 中国台湾/中国香港, 年份: 1970",[A Touch of Zen](https://www.imdb.com/title/tt0064451/),🌟7.5
"Je, tu, il, elle",Directed by Chantal Akerman,🎉225,1974,Belgium,"[我你他她 Je, tu, il, elle](https://movie.douban.com/subject/1429055/)",🌟7.8,"导演: 香特尔·阿克曼, 主演: 香特尔·阿克曼 / 尼尔斯·阿贺斯图普 / Claire Wauthion, 类型: 剧情, 制片国家/地区: 比利时/法国, 年份: 1974",[Je Tu Il Elle](https://www.imdb.com/title/tt0071690/),🌟6.7
Petite maman,Directed by Céline Sciamma,🎉225,2021,France,[小妈妈 Petite maman](https://movie.douban.com/subject/35225859/),🌟8.0,"导演: 瑟琳·席安玛, 主演: 约瑟芬·桑兹 / 加布里埃尔·桑兹 / 尼娜·梅尔瑞斯, 类型: 剧情 / 奇幻, 制片国家/地区: 法国, 年份: 2021",[Petite Maman](https://www.imdb.com/title/tt13204490/),🌟7.4
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",Directed by Jonas Mekas,🎉225,2000,USA,[当我往前走之时偶尔会瞥到一缕美丽之景 As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty](https://movie.douban.com/subject/4117025/),🌟8.7,"导演: 乔纳斯·梅卡斯, 主演: 乔纳斯·梅卡斯 / 阿道法斯·梅卡斯 / Oona Mekas, 类型: 纪录片 / 传记, 制片国家/地区: 美国, 年份: 2000",[As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty](https://www.imdb.com/title/tt0262240/),🌟8.2
Flowers of Shanghai,Directed by Hou Hsiao-Hsien,🎉225,1998,"Taiwan, Japan",[海上花](https://movie.douban.com/subject/1303451/),🌟8.2,"导演: 侯孝贤, 主演: 梁朝伟 / 羽田美智子 / 刘嘉玲, 类型: 剧情, 制片国家/地区: 中国台湾/日本, 年份: 1998",[Flowers of Shanghai](https://www.imdb.com/title/tt0156587/),🌟7.3
Happy Together,Directed by Wong Kar Wai,🎉225,1997,Hong Kong,[春光乍泄 春光乍洩](https://movie.douban.com/subject/1292679/),🌟9.0,"导演: 王家卫, 主演: 张国荣 / 梁朝伟 / 张震, 类型: 剧情 / 爱情 / 同性, 制片国家/地区: 中国香港/日本/韩国, 年份: 1997",[Happy Together](https://www.imdb.com/title/tt0118845/),🌟7.7
