Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Region 地区
豆瓣2015评分最高的|纪录片,2,穹顶之下,[26334244](https://movie.douban.com/subject/26334244/),9.0,范铭 / 柴静,中国大陆
豆瓣2015评分最高的|纪录片,3,大同,[26276498](https://movie.douban.com/subject/26276498/),9.2,周浩 / 耿彦波,中国大陆
豆瓣2015评分最高的|纪录片,4,攀登梅鲁峰 / Meru,[26276373](https://movie.douban.com/subject/26276373/),9.2,金国威 / 金国威 / 康拉德·安克,美国 印度
豆瓣2015评分最高的|纪录片,5,科比的缪斯 / Kobe Bryant's Muse,[26334993](https://movie.douban.com/subject/26334993/),9.2,Gotham Chopra / 科比·布莱恩特 / 凡妮莎·莱茵·布莱恩特,美国
豆瓣2015评分最高的|纪录片,6,印度的女儿 / India's Daughter,[26336727](https://movie.douban.com/subject/26336727/),9.0,雷思丽·尤德文 / 阿莎·德维 / 巴德里·辛格,英国 印度
豆瓣2015评分最高的|纪录片,7,人类 / Human,[26582012](https://movie.douban.com/subject/26582012/),8.9,扬·阿尔蒂斯-贝特朗 / 扬·阿尔蒂斯-贝特朗,法国
豆瓣2015评分最高的|纪录片,8,"亲爱的，不要跨过那条江 / 님아, 그 강을 건너지 마오",[25978207](https://movie.douban.com/subject/25978207/),9.3,陈模瑛 / 姜溪烈 / 赵炳万,韩国
豆瓣2015评分最高的|纪录片,9,艾米 / Amy,[24532442](https://movie.douban.com/subject/24532442/),8.6,阿斯弗·卡帕迪尔 / 艾米·怀恩豪斯 / 茅斯·达夫,英国
豆瓣2015评分最高的|纪录片,10,科特·柯本：烦恼的蒙太奇 / Kurt Cobain: Montage of Heck,[26279370](https://movie.douban.com/subject/26279370/),8.8,布莱特·摩根 / 科特·柯本 / 科特妮·洛芙,美国
 , , , , , , 
豆瓣2015评分最高的|短片,1,水滴 / Waterdrop,[26613444](https://movie.douban.com/subject/26613444/),8.7,王壬 / 宋鹏 / Bernardo Loureiro,中国大陆
豆瓣2015评分最高的|短片,2,一指城,[26581251](https://movie.douban.com/subject/26581251/),8.6,曹润泽,中国大陆
豆瓣2015评分最高的|短片,3,漫游者 / Wanderers,[26275793](https://movie.douban.com/subject/26275793/),8.5,Elizabeth Avellan / 卡尔·萨根,瑞典
豆瓣2015评分最高的|短片,4,莱利的初次约会 / Riley's First Date?,[26592232](https://movie.douban.com/subject/26592232/),8.4,乔什·库雷 / 凯特林·迪亚斯 / 本·考克斯,美国
豆瓣2015评分最高的|短片,5,守坝员 / The Dam Keeper,[25825863](https://movie.douban.com/subject/25825863/),8.3,罗伯特·近藤 / 拉斯·米克尔森,美国
豆瓣2015评分最高的|短片,6,今夕何夕 / World of Tomorrow,[26316563](https://movie.douban.com/subject/26316563/),8.7,唐·赫兹菲尔德 / 朱丽亚·波特 / 薇诺娜·梅,美国
