Title 电影,Director 导演,Rank 排名,Year 年份,Region 地区,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
Psycho,Directed by Alfred Hitchcock,🎉046,1960,USA,[惊魂记 Psycho](https://movie.douban.com/subject/1293181/),🌟9.0,"导演: 阿尔弗雷德·希区柯克, 主演: 安东尼·博金斯 / 维拉·迈尔斯 / 约翰·加文, 类型: 悬疑 / 惊悚 / 恐怖, 制片国家/地区: 美国, 年份: 1960",[Psycho](https://www.imdb.com/title/tt0054215/),🌟8.5
Viridiana,Directed by Luis Buñuel,🎉052,1961,"Spain, Mexico",[维莉蒂安娜 Viridiana](https://movie.douban.com/subject/1303557/),🌟8.6,"导演: 路易斯·布努埃尔, 主演: 西尔维娅·皮纳尔 / 弗朗西斯科·拉瓦尔 / 费尔南多·雷伊, 类型: 剧情, 制片国家/地区: 西班牙/墨西哥, 年份: 1961",[Viridiana](https://www.imdb.com/title/tt0055601/),🌟8.1
Eraserhead,Directed by David Lynch,🎉052,1976,USA,[橡皮头 Eraserhead](https://movie.douban.com/subject/1293925/),🌟7.9,"导演: 大卫·林奇, 主演: 杰克·南斯 / 夏洛特·斯图尔特 / 艾伦·约瑟夫, 类型: 奇幻 / 恐怖, 制片国家/地区: 美国, 年份: 1977",[Eraserhead](https://www.imdb.com/title/tt0074486/),🌟7.3
La notte,Directed by Michelangelo Antonioni,🎉052,1961,"Italy, France",[夜 La notte](https://movie.douban.com/subject/1361252/),🌟8.8,"导演: 米开朗基罗·安东尼奥尼, 主演: 马塞洛·马斯楚安尼 / 让娜·莫罗 / 莫尼卡·维蒂, 类型: 剧情 / 爱情, 制片国家/地区: 意大利/法国, 年份: 1961",[La Notte](https://www.imdb.com/title/tt0054130/),🌟8
Fanny and Alexander,Directed by Ingmar Bergman,🎉052,1982,"Sweden, France, Federal Republic of Germany",[芬妮与亚历山大 Fanny och Alexander](https://movie.douban.com/subject/1292784/),🌟8.7,"导演: 英格玛·伯格曼, 主演: 克里斯蒂娜·阿道夫森 / 伯杰·阿斯特 / 佩妮娜·奥威, 类型: 剧情, 制片国家/地区: 法国/瑞典/西德, 年份: 1982",[Fanny and Alexander](https://www.imdb.com/title/tt0083922/),🌟8.1
La Maman et la Putain,Directed by Jean Eustache,🎉052,1973,France,[母亲与娼妓 La Maman et la Putain](https://movie.douban.com/subject/1295252/),🌟7.9,"导演: 让·厄斯塔什, 主演: 让-皮埃尔·利奥德 / 贝纳德特·拉封 / 弗朗索瓦兹·勒布伦, 类型: 剧情, 制片国家/地区: 法国, 年份: 1973",[The Mother and the Whore](https://www.imdb.com/title/tt0070359/),🌟7.8
Fear Eats the Soul,Directed by Rainer Werner Fassbinder,🎉052,1974,Federal Republic of Germany,[恐惧吞噬灵魂 Angst essen Seele auf](https://movie.douban.com/subject/1294092/),🌟8.5,"导演: 赖纳·维尔纳·法斯宾德, 主演: 布里吉特·米拉 / 埃尔·赫迪·本·萨利姆 / 芭芭拉·瓦伦汀, 类型: 剧情 / 爱情, 制片国家/地区: 西德, 年份: 1974",[Ali: Fear Eats the Soul](https://www.imdb.com/title/tt0071141/),🌟8
The Piano,Directed by Jane Campion,🎉052,1992,"Australia, France",[钢琴课 The Piano](https://movie.douban.com/subject/1293818/),🌟8.1,"导演: 简·坎皮恩, 主演: 霍利·亨特 / 哈威·凯特尔 / 山姆·尼尔, 类型: 剧情 / 爱情 / 音乐, 制片国家/地区: 新西兰/澳大利亚/法国, 年份: 1993",[The Piano](https://www.imdb.com/title/tt0107822/),🌟7.5
City Lights,Directed by Charles Chaplin,🎉052,1931,USA,[城市之光 City Lights](https://movie.douban.com/subject/1293908/),🌟9.3,"导演: 查理·卓别林, 主演: 查理·卓别林 / 弗吉尼亚·切瑞尔 / 佛罗伦斯·李, 类型: 喜剧 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1931",[City Lights](https://www.imdb.com/title/tt0021749/),🌟8.5
Cléo from 5 to 7,Directed by Agnès Varda,🎉052,1962,"France, Italy",[五至七时的克莱奥 Cléo de 5 à 7](https://movie.douban.com/subject/1294565/),🌟8.7,"导演: 阿涅斯·瓦尔达, 主演: 科琳娜·马尔尚 / 安托万·布尔塞耶 / 多米妮克·达夫雷, 类型: 喜剧 / 剧情 / 音乐, 制片国家/地区: 法国/意大利, 年份: 1962",[Cléo from 5 to 7](https://www.imdb.com/title/tt0055852/),🌟7.9
Singin' in the Rain,"Directed by Gene Kelly, Stanley Donen",🎉052,1951,USA,[雨中曲 Singin' in the Rain](https://movie.douban.com/subject/1293460/),🌟9.1,"导演: 斯坦利·多南 / 吉恩·凯利, 主演: 吉恩·凯利 / 唐纳德·奥康纳 / 黛比·雷诺斯, 类型: 喜剧 / 歌舞 / 爱情, 制片国家/地区: 美国, 年份: 1952",[Singin' in the Rain](https://www.imdb.com/title/tt0045152/),🌟8.3
La ciénaga,Directed by Lucrecia Martel,🎉062,2001,"Argentina, USA, Japan, France, Switzerland, Spain, Brazil",[沼泽 La Ciénaga](https://movie.douban.com/subject/1420225/),🌟7.9,"导演: 卢奎西亚·马特尔, 主演: 梅赛黛斯·莫朗 / 格拉谢拉·博尔赫斯 / 马丁·艾德赫米安, 类型: 剧情, 制片国家/地区: 阿根廷/法国/西班牙, 年份: 2001",[La Ciénaga](https://www.imdb.com/title/tt0240419/),🌟7
Lawrence of Arabia,Directed by David Lean,🎉062,1962,United Kingdom,[阿拉伯的劳伦斯 Lawrence of Arabia](https://movie.douban.com/subject/1292349/),🌟8.7,"导演: 大卫·里恩, 主演: 彼得·奥图尔 / 亚历克·吉尼斯 / 安东尼·奎恩, 类型: 剧情 / 传记 / 冒险, 制片国家/地区: 英国, 年份: 1962",[Lawrence of Arabia](https://www.imdb.com/title/tt0056172/),🌟8.3
Jaws,Directed by Steven Spielberg,🎉062,1975,USA,[大白鲨 Jaws](https://movie.douban.com/subject/1294941/),🌟7.8,"导演: 史蒂文·斯皮尔伯格, 主演: 罗伊·谢德 / 罗伯特·肖 / 理查德·德莱福斯, 类型: 剧情 / 惊悚 / 冒险, 制片国家/地区: 美国, 年份: 1975",[Jaws](https://www.imdb.com/title/tt0073195/),🌟8.1
Tropical Malady,Directed by Apichatpong Weerasethakul,🎉062,2004,"France, Thailand, Germany, Italy, Switzerland",[热带疾病 สัตว์ประหลาด](https://movie.douban.com/subject/1414808/),🌟8.0,"导演: 阿彼察邦·韦拉斯哈古, 主演: 班罗普·洛罗伊 / 萨卡达·卡温巴迪 / Huai Dessom, 类型: 剧情 / 爱情 / 奇幻, 制片国家/地区: 泰国/法国/德国/意大利, 年份: 2004",[Tropical Malady](https://www.imdb.com/title/tt0381668/),🌟7.1
Sátántangó,Directed by Béla Tarr,🎉062,1994,"Hungary, Germany, Switzerland",[撒旦探戈 Sátántangó](https://movie.douban.com/subject/1422088/),🌟8.9,"导演: 贝拉·塔尔, 主演: 米哈伊·维格 / 普吉·霍瓦特 / 拉斯洛·费卢戈希, 类型: 剧情 / 悬疑, 制片国家/地区: 匈牙利/德国/瑞士, 年份: 1994",[Satantango](https://www.imdb.com/title/tt0111341/),🌟8.2
Sunset Blvd.,Directed by Billy Wilder,🎉062,1950,USA,[日落大道 Sunset Blvd.](https://movie.douban.com/subject/1298733/),🌟8.8,"导演: 比利·怀尔德, 主演: 威廉·霍尔登 / 葛洛丽亚·斯旺森 / 埃里克·冯·施特罗海姆, 类型: 剧情 / 黑色电影, 制片国家/地区: 美国, 年份: 1950",[Sunset Blvd.](https://www.imdb.com/title/tt0043014/),🌟8.4
Blade Runner,Directed by Ridley Scott,🎉062,1982,"USA, Hong Kong",[银翼杀手 Blade Runner](https://movie.douban.com/subject/1291839/),🌟8.6,"导演: 雷德利·斯科特, 主演: 哈里森·福特 / 鲁格·豪尔 / 肖恩·杨, 类型: 科幻 / 惊悚, 制片国家/地区: 美国, 年份: 1982",[Blade Runner](https://www.imdb.com/title/tt0083658/),🌟8.1
Some Like It Hot,Directed by Billy Wilder,🎉062,1959,USA,[热情如火 Some Like It Hot](https://movie.douban.com/subject/1292574/),🌟8.9,"导演: 比利·怀尔德, 主演: 玛丽莲·梦露 / 托尼·柯蒂斯 / 杰克·莱蒙, 类型: 喜剧, 制片国家/地区: 美国, 年份: 1959",[Some Like It Hot](https://www.imdb.com/title/tt0053291/),🌟8.2
Late Spring,Directed by Yasujirō Ozu,🎉062,1949,Japan,[晚春 晩春](https://movie.douban.com/subject/1307265/),🌟8.7,"导演: 小津安二郎, 主演: 笠智众 / 原节子 / 月丘梦路, 类型: 剧情 / 家庭, 制片国家/地区: 日本, 年份: 1949",[Late Spring](https://www.imdb.com/title/tt0041154/),🌟8.2
Meshes of the Afternoon,"Directed by Maya Deren, Alexander Hackenschmied",🎉062,1943,USA,[午后的迷惘 Meshes of the Afternoon](https://movie.douban.com/subject/1437390/),🌟8.8,"导演: 梅雅·黛伦 / 亚历山大·罕密德, 主演: 梅雅·黛伦 / 亚历山大·罕密德, 类型: 短片, 制片国家/地区: 美国, 年份: 1943",[Meshes of the Afternoon](https://www.imdb.com/title/tt0036154/),🌟7.9
Kes,Directed by Ken Loach,🎉072,1969,United Kingdom,[小孩与鹰 Kes](https://movie.douban.com/subject/1297920/),🌟8.6,"导演: 肯·洛奇, 主演: 大卫·布拉德利 / Freddie Fletcher / 琳内·佩里, 类型: 剧情 / 儿童, 制片国家/地区: 英国, 年份: 1969",[Kes](https://www.imdb.com/title/tt0064541/),🌟7.9
A Separation,Directed by Asghar Farhadi,🎉072,2011,Iran,[一次别离 جدایی نادر از سیمین](https://movie.douban.com/subject/5964718/),🌟8.8,"导演: 阿斯加·法哈蒂, 主演: 佩曼·莫阿迪 / 蕾拉·哈塔米 / 萨瑞·巴亚特, 类型: 剧情 / 家庭, 制片国家/地区: 伊朗/法国, 年份: 2011",[A Separation](https://www.imdb.com/title/tt1832382/),🌟8.3
"Salò, or the 120 Days of Sodom",Directed by Pier Paolo Pasolini,🎉072,1975,"Italy, France",,,,"[Salò, or the 120 Days of Sodom](https://www.imdb.com/title/tt0073650/)",🌟5.8
The Conversation,Directed by Francis Ford Coppola,🎉072,1974,USA,[窃听大阴谋 The Conversation](https://movie.douban.com/subject/1296908/),🌟8.1,"导演: 弗朗西斯·福特·科波拉, 主演: 吉恩·哈克曼 / 约翰·凯泽尔 / 艾伦·加菲尔德, 类型: 剧情 / 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1974",[The Conversation](https://www.imdb.com/title/tt0071360/),🌟7.8
L'Argent,Directed by Robert Bresson,🎉072,1983,"France, Switzerland",[钱 L'argent](https://movie.douban.com/subject/1303536/),🌟8.3,"导演: 罗伯特·布列松, 主演: 克里斯蒂安·佩蒂 / Vincent Risterucci / Caroline Lang, 类型: 剧情 / 犯罪, 制片国家/地区: 法国/瑞士, 年份: 1983",[L'Argent](https://www.imdb.com/title/tt0085180/),🌟7.4
Where Is the Friend's House?,Directed by Abbas Kiarostami,🎉072,1987,Iran,[何处是我朋友的家 خانه دوست کجاست؟‎](https://movie.douban.com/subject/1301897/),🌟8.9,"导演: 阿巴斯·基亚罗斯塔米, 主演: 巴比·艾哈迈德·波 / 艾哈迈德·艾哈迈德·波 / 科达·巴和·迪范, 类型: 剧情, 制片国家/地区: 伊朗, 年份: 1987",[Where Is the Friend's House?](https://www.imdb.com/title/tt0093342/),🌟8.1
Ikiru,Directed by Akira Kurosawa,🎉072,1952,Japan,[生之欲 生きる](https://movie.douban.com/subject/1293847/),🌟9.3,"导演: 黑泽明, 主演: 志村乔 / 日守新一 / 田中春男, 类型: 剧情, 制片国家/地区: 日本, 年份: 1952",[Ikiru](https://www.imdb.com/title/tt0044741/),🌟8.3
Chinatown,Directed by Roman Polanski,🎉072,1974,USA,[唐人街 Chinatown](https://movie.douban.com/subject/1293889/),🌟8.4,"导演: 罗曼·波兰斯基, 主演: 杰克·尼科尔森 / 费·唐纳薇 / 约翰·休斯顿, 类型: 犯罪 / 剧情 / 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1974",[Chinatown](https://www.imdb.com/title/tt0071315/),🌟8.2
The Seventh Seal,Directed by Ingmar Bergman,🎉072,1957,Sweden,[第七封印 Det sjunde inseglet](https://movie.douban.com/subject/1293234/),🌟8.5,"导演: 英格玛·伯格曼, 主演: 古纳尔·布约恩施特兰德 / 本特·埃切罗特 / 尼尔斯·波普, 类型: 剧情 / 奇幻, 制片国家/地区: 瑞典, 年份: 1957",[The Seventh Seal](https://www.imdb.com/title/tt0050976/),🌟8.1
The Ascent,Directed by Larissa Shepitko,🎉072,1976,USSR,[上升 Восхождение](https://movie.douban.com/subject/1303255/),🌟8.1,"导演: 拉莉萨·舍皮琴科, 主演: Boris Plotnikov / Vladimir Gostyukhin, 类型: 剧情 / 战争, 制片国家/地区: 苏联, 年份: 1977",[The Ascent](https://www.imdb.com/title/tt0075404/),🌟8.2
Wild Strawberries,Directed by Ingmar Bergman,🎉072,1957,Sweden,[野草莓 Smultronstället](https://movie.douban.com/subject/1293071/),🌟8.8,"导演: 英格玛·伯格曼, 主演: 维克多·斯约斯特洛姆 / 毕比·安德松 / 英格丽·图林, 类型: 剧情 / 爱情 / 家庭, 制片国家/地区: 瑞典, 年份: 1957",[Wild Strawberries](https://www.imdb.com/title/tt0050986/),🌟8.1
Blue Velvet,Directed by David Lynch,🎉072,1986,USA,,,,[Blue Velvet](https://www.imdb.com/title/tt0090756/),🌟7.7
The Spirit of the Beehive,Directed by Víctor Erice,🎉072,1973,Spain,[蜂巢幽灵 El espíritu de la colmena](https://movie.douban.com/subject/1401900/),🌟8.5,"导演: 维克多·艾里斯, 主演: 费尔南多·费尔南·戈麦斯 / 特雷莎·希梅拉 / 安娜·托伦特, 类型: 剧情, 制片国家/地区: 西班牙, 年份: 1973",[The Spirit of the Beehive](https://www.imdb.com/title/tt0070040/),🌟7.8
A Brighter Summer Day,Directed by Edward Yang,🎉072,1991,Taiwan,[牯岭街少年杀人事件 牯嶺街少年殺人事件](https://movie.douban.com/subject/1292329/),🌟8.9,"导演: 杨德昌, 主演: 张震 / 杨静怡 / 张国柱, 类型: 剧情 / 犯罪, 制片国家/地区: 中国台湾, 年份: 1991",[A Brighter Summer Day](https://www.imdb.com/title/tt0101985/),🌟8.2
