Title 电影,Rank 排名,Score 打分,Votes 人数,Year 年份,Genre 类型,Length 片长,Rate 分级
[Platoon](https://www.imdb.com/title/tt0091763/),🎉217,🌟8.1,429629,1986,"Drama,War",120,R
[The Terminator](https://www.imdb.com/title/tt0088247/),🎉218,🌟8.1,902736,1984,"Action,Sci-Fi",107,R
[Jai Bhim](https://www.imdb.com/title/tt15097216/),🎉219,🌟8.8,211157,2021,"Crime,Drama,Mystery",164,TV-MA
[Before Sunset](https://www.imdb.com/title/tt0381681/),🎉220,🌟8.1,280224,2004,"Drama,Romance",80,R
[Rush](https://www.imdb.com/title/tt1979320/),🎉221,🌟8.1,501117,2013,"Action,Biography,Drama",123,R
[Network](https://www.imdb.com/title/tt0074958/),🎉222,🌟8.1,166251,1976,Drama,121,R
[Stand by Me](https://www.imdb.com/title/tt0092005/),🎉223,🌟8.1,428546,1986,"Adventure,Comedy,Drama",89,R
[The Best Years of Our Lives](https://www.imdb.com/title/tt0036868/),🎉224,🌟8.1,68574,1946,"Drama,Romance,War",170,Approved
[The Exorcist](https://www.imdb.com/title/tt0070047/),🎉225,🌟8.1,438495,1973,Horror,122,R
[La haine](https://www.imdb.com/title/tt0113247/),🎉226,🌟8.1,188359,1995,"Crime,Drama",98,Not Rated
[The Wizard of Oz](https://www.imdb.com/title/tt0032138/),🎉227,🌟8.1,417886,1939,"Adventure,Family,Fantasy",102,G
[Pirates of the Caribbean: The Curse of the Black Pearl](https://www.imdb.com/title/tt0325980/),🎉228,🌟8.1,1178234,2003,"Action,Adventure,Fantasy",143,PG-13
[Into the Wild](https://www.imdb.com/title/tt0758758/),🎉229,🌟8.1,644778,2007,"Adventure,Biography,Drama",148,R
[The Incredibles](https://www.imdb.com/title/tt0317705/),🎉230,🌟8,782108,2004,"Animation,Action,Adventure",115,PG
[To Be or Not to Be](https://www.imdb.com/title/tt0035446/),🎉231,🌟8.2,41124,1942,"Comedy,Romance,War",99,Passed
[My Father and My Son](https://www.imdb.com/title/tt0476735/),🎉232,🌟8.2,90146,2005,"Drama,Family",112,Not Rated
[Hachi: A Dog's Tale](https://www.imdb.com/title/tt1028532/),🎉233,🌟8.1,301926,2009,"Biography,Drama,Family",93,G
[The Handmaiden](https://www.imdb.com/title/tt4016934/),🎉234,🌟8.1,163935,2016,"Drama,Romance,Thriller",145,Not Rated
[The Grapes of Wrath](https://www.imdb.com/title/tt0032551/),🎉235,🌟8.1,97917,1940,Drama,129,Passed
[Groundhog Day](https://www.imdb.com/title/tt0107048/),🎉236,🌟8,664555,1993,"Comedy,Drama,Fantasy",101,PG
[The Battle of Algiers](https://www.imdb.com/title/tt0058946/),🎉237,🌟8.1,63876,1966,"Drama,War",121,Not Rated
[Amores Perros](https://www.imdb.com/title/tt0245712/),🎉238,🌟8.1,248962,2000,"Drama,Thriller",154,R
[Rebecca](https://www.imdb.com/title/tt0032976/),🎉239,🌟8.1,143415,1940,"Drama,Film-Noir,Mystery",130,Approved
[The Sound of Music](https://www.imdb.com/title/tt0059742/),🎉240,🌟8.1,250335,1965,"Biography,Drama,Family",172,G
[Cool Hand Luke](https://www.imdb.com/title/tt0061512/),🎉241,🌟8.1,185059,1967,"Crime,Drama",127,GP
[Pather Panchali](https://www.imdb.com/title/tt0048473/),🎉242,🌟8.2,36509,1955,Drama,125,Not Rated
[The Iron Giant](https://www.imdb.com/title/tt0129167/),🎉243,🌟8.1,217284,1999,"Animation,Action,Adventure",86,PG
[It Happened One Night](https://www.imdb.com/title/tt0025316/),🎉244,🌟8.1,109339,1934,"Comedy,Romance",105,Passed
[The Help](https://www.imdb.com/title/tt1454029/),🎉245,🌟8.1,481027,2011,Drama,146,PG-13
[The 400 Blows](https://www.imdb.com/title/tt0053198/),🎉246,🌟8.1,124793,1959,"Crime,Drama",99,Not Rated
[Persona](https://www.imdb.com/title/tt0060827/),🎉247,🌟8.1,127216,1966,"Drama,Thriller",83,Not Rated
[Life of Brian](https://www.imdb.com/title/tt0079470/),🎉248,🌟8,415550,1979,Comedy,94,R
[Aladdin](https://www.imdb.com/title/tt0103639/),🎉249,🌟8,450574,1992,"Animation,Adventure,Comedy",90,G
[Dances with Wolves](https://www.imdb.com/title/tt0099348/),🎉250,🌟8,282433,1990,"Adventure,Drama,Western",181,PG-13
