Title 电影,Rank 排名,Score 打分,Votes 人数,Year 年份,Genre 类型,Length 片长,Rate 分级
[Star Wars: Episode V - The Empire Strikes Back](https://www.imdb.com/title/tt0080684/),🎉015,🌟8.7,1346386,1980,"Action,Adventure,Fantasy",124,PG
[The Matrix](https://www.imdb.com/title/tt0133093/),🎉016,🌟8.7,1997407,1999,"Action,Sci-Fi",136,R
[Goodfellas](https://www.imdb.com/title/tt0099685/),🎉017,🌟8.7,1219568,1990,"Biography,Crime,Drama",145,R
[One Flew Over the Cuckoo's Nest](https://www.imdb.com/title/tt0073486/),🎉018,🌟8.7,1046714,1975,Drama,133,R
[Se7en](https://www.imdb.com/title/tt0114369/),🎉019,🌟8.6,1741030,1995,"Crime,Drama,Mystery",127,R
[It's a Wonderful Life](https://www.imdb.com/title/tt0038650/),🎉020,🌟8.6,480473,1946,"Drama,Family,Fantasy",130,PG
[Seven Samurai](https://www.imdb.com/title/tt0047478/),🎉021,🌟8.6,359056,1954,"Action,Drama",207,Not Rated
[Spider-Man: Across the Spider-Verse](https://www.imdb.com/title/tt9362722/),🎉022,🌟8.7,277551,2023,"Animation,Action,Adventure",140,PG
[Interstellar](https://www.imdb.com/title/tt0816692/),🎉023,🌟8.7,2000661,2014,"Adventure,Drama,Sci-Fi",169,PG-13
[The Silence of the Lambs](https://www.imdb.com/title/tt0102926/),🎉024,🌟8.6,1500386,1991,"Crime,Drama,Thriller",118,R
[Saving Private Ryan](https://www.imdb.com/title/tt0120815/),🎉025,🌟8.6,1455198,1998,"Drama,War",169,R
[City of God](https://www.imdb.com/title/tt0317248/),🎉026,🌟8.6,783819,2002,"Crime,Drama",130,R
[Life Is Beautiful](https://www.imdb.com/title/tt0118799/),🎉027,🌟8.6,724977,1997,"Comedy,Drama,Romance",116,PG-13
[The Green Mile](https://www.imdb.com/title/tt0120689/),🎉028,🌟8.6,1365988,1999,"Crime,Drama,Fantasy",189,R
[Star Wars: Episode IV - A New Hope](https://www.imdb.com/title/tt0076759/),🎉029,🌟8.6,1417767,1977,"Action,Adventure,Fantasy",121,PG
[Terminator 2: Judgment Day](https://www.imdb.com/title/tt0103064/),🎉030,🌟8.6,1145382,1991,"Action,Sci-Fi",137,R
[Back to the Future](https://www.imdb.com/title/tt0088763/),🎉031,🌟8.5,1268282,1985,"Adventure,Comedy,Sci-Fi",116,PG
[Spirited Away](https://www.imdb.com/title/tt0245429/),🎉032,🌟8.6,813807,2001,"Animation,Adventure,Family",125,PG
[The Pianist](https://www.imdb.com/title/tt0253474/),🎉033,🌟8.5,881875,2002,"Biography,Drama,Music",150,R
[Psycho](https://www.imdb.com/title/tt0054215/),🎉034,🌟8.5,701461,1960,"Horror,Mystery,Thriller",109,R
[Parasite](https://www.imdb.com/title/tt6751668/),🎉035,🌟8.5,894889,2019,"Drama,Thriller",132,R
[Gladiator](https://www.imdb.com/title/tt0172495/),🎉036,🌟8.5,1568998,2000,"Action,Adventure,Drama",155,R
[The Lion King](https://www.imdb.com/title/tt0110357/),🎉037,🌟8.5,1109885,1994,"Animation,Adventure,Drama",88,G
[Léon: The Professional](https://www.imdb.com/title/tt0110413/),🎉038,🌟8.5,1213106,1994,"Action,Crime,Drama",110,R
[American History X](https://www.imdb.com/title/tt0120586/),🎉039,🌟8.5,1161701,1998,"Crime,Drama",119,R
[The Departed](https://www.imdb.com/title/tt0407887/),🎉040,🌟8.5,1384831,2006,"Crime,Drama,Thriller",151,R
[Whiplash](https://www.imdb.com/title/tt2582802/),🎉041,🌟8.5,937625,2014,"Drama,Music",106,R
[The Prestige](https://www.imdb.com/title/tt0482571/),🎉042,🌟8.5,1401622,2006,"Drama,Mystery,Sci-Fi",130,PG-13
[The Usual Suspects](https://www.imdb.com/title/tt0114814/),🎉043,🌟8.5,1122018,1995,"Crime,Drama,Mystery",106,R
[Grave of the Fireflies](https://www.imdb.com/title/tt0095327/),🎉044,🌟8.5,297270,1988,"Animation,Drama,War",89,Not Rated
