Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
Moonlight,🎉216,🎉1001,Barry Jenkins,[月光男孩 Moonlight](https://movie.douban.com/subject/26648249/),🌟7.4,巴里·詹金斯 / 崔凡特·罗兹 / 安德烈·霍兰 / 马赫沙拉·阿里 / 剧情 / 同性 / 美国 / 2016,2016,USA,Drama,[Moonlight](https://www.imdb.com/title/tt4975722/),🌟7.4
"Thing, The",🎉217,🎉240,John Carpenter,[怪形 The Thing](https://movie.douban.com/subject/1296794/),🌟8.1,约翰·卡朋特 / 库尔特·拉塞尔 / 威尔福德·布利姆雷 / TK·卡特 / 科幻 / 悬疑 / 恐怖 / 美国 / 1982,1982,USA,Science Fiction-Action-Horror,[The Thing](https://www.imdb.com/title/tt0084787/),🌟8.2
Breaking the Waves,🎉218,🎉190,Lars von Trier,[破浪 Breaking the Waves](https://movie.douban.com/subject/1292468/),🌟8.1,拉斯·冯·提尔 / 艾米丽·沃森 / 斯特兰·斯卡斯加德 / 凯特琳·卡特利吉 / 剧情 / 爱情 / 丹麦/瑞典/法国/荷兰/挪威/冰岛/西班牙/英国 / 1996,1996,Denmark-Sweden-France-Netherlands-Norway-Iceland-Spain,Romance-Drama,[Breaking the Waves](https://www.imdb.com/title/tt0115751/),🌟7.8
"Samouraï, Le",🎉219,🎉206,Jean-Pierre Melville,[独行杀手 Le samouraï](https://movie.douban.com/subject/1300966/),🌟8.3,让-皮埃尔·梅尔维尔 / 阿兰·德龙 / 弗朗索瓦·佩里埃 / 娜塔莉·德龙 / 犯罪 / 剧情 / 悬疑 / 惊悚 / 法国/意大利 / 1967,1967,France-Italy,Crime-Drama,[Le Samouraï](https://www.imdb.com/title/tt0062229/),🌟8
"Life of Oharu, The",🎉220,🎉250,Kenji Mizoguchi,[西鹤一代女 西鶴一代女](https://movie.douban.com/subject/1303603/),🌟8.3,沟口健二 / 田中绢代 / 山根寿子 / 三船敏郎 / 剧情 / 日本 / 1952,1952,Japan,Drama,[The Life of Oharu](https://www.imdb.com/title/tt0045112/),🌟8.1
Close Encounters of the Third Kind,🎉221,🎉185,Steven Spielberg,[第三类接触 Close Encounters of the Third Kind](https://movie.douban.com/subject/1298405/),🌟7.2,史蒂文·斯皮尔伯格 / 理查德·德莱福斯 / 弗朗索瓦·特吕弗 / 特瑞·加尔 / 剧情 / 科幻 / 美国 / 1977,1977,USA,Science Fiction-Adventure,[Close Encounters of the Third Kind](https://www.imdb.com/title/tt0075860/),🌟7.6
"Grapes of Wrath, The",🎉222,🎉181,John Ford,[愤怒的葡萄 The Grapes of Wrath](https://movie.douban.com/subject/1292465/),🌟8.5,约翰·福特 / 亨利·方达 / 简·达威尔 / 约翰·卡拉丁 / 剧情 / 历史 / 美国 / 1940,1940,USA,Drama,[The Grapes of Wrath](https://www.imdb.com/title/tt0032551/),🌟8.1
Kes,🎉223,🎉184,Ken Loach,[小孩与鹰 Kes](https://movie.douban.com/subject/1297920/),🌟8.6,肯·洛奇 / 大卫·布拉德利 / Freddie Fletcher / 琳内·佩里 / 剧情 / 儿童 / 英国 / 1969,1969,UK,Drama,[Kes](https://www.imdb.com/title/tt0064541/),🌟7.9
Magnolia,🎉224,🎉248,Paul Thomas Anderson,[木兰花 Magnolia](https://movie.douban.com/subject/1293564/),🌟8.2,保罗·托马斯·安德森 / 朱丽安·摩尔 / 威廉姆·H·梅西 / 约翰·C·赖利 / 剧情 / 美国 / 1999,1999,USA,Drama,[Magnolia](https://www.imdb.com/title/tt0175880/),🌟8
"Black God, White Devil",🎉225,🎉198,Glauber Rocha,[黑上帝白魔鬼 Deus E o Diabo na Terra do Sol](https://movie.douban.com/subject/1418426/),🌟7.3,格劳贝尔·罗恰 / 热拉尔多·德尔雷伊 / Yoná Magalhães / 奥顿·巴斯托斯 / 冒险 / 犯罪 / 剧情 / 西部 / 巴西 / 1964,1964,Brazil,Political-Drama-Crime,"[Black God, White Devil](https://www.imdb.com/title/tt0058006/)",🌟7.2
"Autumn Afternoon, An",🎉226,🎉290,Yasujiro Ozu,[秋刀鱼之味 秋刀魚の味](https://movie.douban.com/subject/1294433/),🌟8.7,小津安二郎 / 笠智众 / 岩下志麻 / 冈田茉莉子 / 剧情 / 家庭 / 日本 / 1962,1962,Japan,Drama,[An Autumn Afternoon](https://www.imdb.com/title/tt0056444/),🌟8
"Travelling Players, The",🎉227,🎉213,Theo Angelopoulos,[流浪艺人 Ο Θίασος](https://movie.douban.com/subject/1295759/),🌟8.6,西奥·安哲罗普洛斯 / 伊娃·科塔曼尼多 / Aliki Georgouli / Stratos Pahis / 剧情 / 历史 / 战争 / 希腊 / 1975,1975,Greece,Political-Drama,[The Travelling Players](https://www.imdb.com/title/tt0073800/),🌟7.9
"Quiet Man, The",🎉228,🎉225,John Ford,[蓬门今始为君开 The Quiet Man](https://movie.douban.com/subject/1295757/),🌟7.4,约翰·福特 / 约翰·韦恩 / 玛琳·奥哈拉 / 剧情 / 喜剧 / 爱情 / 美国 / 1953,1952,USA,Romance-Drama-Comedy,[The Quiet Man](https://www.imdb.com/title/tt0045061/),🌟7.7
"Germany, Year Zero",🎉229,🎉247,Roberto Rossellini,[德意志零年 Germania anno zero](https://movie.douban.com/subject/1293153/),🌟8.4,罗伯托·罗西里尼 / 埃德蒙·默施克 / 恩斯特·皮茨肖 / 英格特劳德·欣策 / 剧情 / 战争 / 意大利/法国/德国 / 1948,1948,Italy-West Germany,War-Drama,[Germany Year Zero](https://www.imdb.com/title/tt0039417/),🌟7.8
Love Streams,🎉230,🎉282,John Cassavetes,[爱的激流 Love Streams](https://movie.douban.com/subject/1303532/),🌟8.1,约翰·卡萨维蒂 / 约翰·卡萨维蒂 / 吉娜·罗兰兹 / 西摩·卡塞尔 / 喜剧 / 剧情 / 美国 / 1984,1984,USA,Drama,[Love Streams](https://www.imdb.com/title/tt0087644/),🌟7.7
"Matrix, The",🎉231,🎉291,Lana & Lilly Wachowski Wachowski,[黑客帝国 The Matrix](https://movie.douban.com/subject/1291843/),🌟9.1,莉莉·沃卓斯基 / 拉娜·沃卓斯基 / 基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯 / 动作 / 科幻 / 美国 / 1999,1999,USA-Australia,Science Fiction-Action-Adventure,[The Matrix](https://www.imdb.com/title/tt0133093/),🌟8.7
