Title 电影,Director 导演,Rank 排名,Year 年份,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
City Lights,Charles Chaplin,🎉011,1931,[城市之光 City Lights](https://movie.douban.com/subject/1293908/),🌟9.3,"导演: 查理·卓别林, 主演: 查理·卓别林 / 弗吉尼亚·切瑞尔 / 佛罗伦斯·李, 类型: 喜剧 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1931",[City Lights](https://www.imdb.com/title/tt0021749/),🌟8.5
The Searchers,John Ford,🎉012,1956,[搜索者 The Searchers](https://movie.douban.com/subject/1292668/),🌟7.9,"导演: 约翰·福特, 主演: 约翰·韦恩 / 杰弗里·亨特 / 维拉·迈尔斯, 类型: 剧情 / 西部 / 冒险, 制片国家/地区: 美国, 年份: 1956",[The Searchers](https://www.imdb.com/title/tt0049730/),🌟7.8
Star Wars,George Lucas,🎉013,1977,[星球大战 Star Wars](https://movie.douban.com/subject/1293838/),🌟8.5,"导演: 乔治·卢卡斯, 主演: 哈里森·福特 / 马克·哈米尔 / 凯丽·费雪, 类型: 动作 / 科幻 / 冒险, 制片国家/地区: 美国, 年份: 1977",[Star Wars: Episode IV - A New Hope](https://www.imdb.com/title/tt0076759/),🌟8.6
Psycho,Alfred Hitchcock,🎉014,1960,[惊魂记 Psycho](https://movie.douban.com/subject/1293181/),🌟9.0,"导演: 阿尔弗雷德·希区柯克, 主演: 安东尼·博金斯 / 维拉·迈尔斯 / 约翰·加文, 类型: 悬疑 / 惊悚 / 恐怖, 制片国家/地区: 美国, 年份: 1960",[Psycho](https://www.imdb.com/title/tt0054215/),🌟8.5
2001: A Space Odyssey,Stanley Kubrick,🎉015,1968,[2001太空漫游 2001: A Space Odyssey](https://movie.douban.com/subject/1292226/),🌟8.9,"导演: 斯坦利·库布里克, 主演: 凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特, 类型: 科幻 / 惊悚 / 冒险, 制片国家/地区: 英国/美国, 年份: 1968",[2001: A Space Odyssey](https://www.imdb.com/title/tt0062622/),🌟8.3
Sunset Blvd.,Billy Wilder,🎉016,1950,[日落大道 Sunset Blvd.](https://movie.douban.com/subject/1298733/),🌟8.8,"导演: 比利·怀尔德, 主演: 威廉·霍尔登 / 葛洛丽亚·斯旺森 / 埃里克·冯·施特罗海姆, 类型: 剧情 / 黑色电影, 制片国家/地区: 美国, 年份: 1950",[Sunset Blvd.](https://www.imdb.com/title/tt0043014/),🌟8.4
The Graduate,Mike Nichols,🎉017,1967,[毕业生 The Graduate](https://movie.douban.com/subject/1292271/),🌟8.0,"导演: 迈克·尼科尔斯, 主演: 安妮·班克罗夫特 / 达斯汀·霍夫曼 / 凯瑟琳·罗斯, 类型: 剧情 / 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1967",[The Graduate](https://www.imdb.com/title/tt0061722/),🌟8
The General,"Buster Keaton, Clyde Bruckman",🎉018,1926,[将军号 The General](https://movie.douban.com/subject/1292778/),🌟9.1,"导演: 巴斯特·基顿 / 克莱德·布鲁克曼, 主演: 巴斯特·基顿 / 玛丽昂·马克 / 格伦·卡文德, 类型: 剧情 / 喜剧 / 动作 / 战争 / 冒险, 制片国家/地区: 美国, 年份: 1926",[The General](https://www.imdb.com/title/tt0017925/),🌟8.1
On the Waterfront,Elia Kazan,🎉019,1954,[码头风云 On the Waterfront](https://movie.douban.com/subject/1292521/),🌟7.9,"导演: 伊利亚·卡赞, 主演: 马龙·白兰度 / 卡尔·莫尔登 / 李·科布, 类型: 犯罪 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1954",[On the Waterfront](https://www.imdb.com/title/tt0047296/),🌟8.1
It's a Wonderful Life,Frank Capra,🎉020,1946,[生活多美好 It's a Wonderful Life](https://movie.douban.com/subject/1293749/),🌟9.3,"导演: 弗兰克·卡普拉, 主演: 詹姆斯·斯图尔特 / 唐娜·里德 / 莱昂纳尔·巴里摩尔, 类型: 剧情 / 爱情 / 奇幻, 制片国家/地区: 美国, 年份: 1946",[It's a Wonderful Life](https://www.imdb.com/title/tt0038650/),🌟8.6
Chinatown,Roman Polanski,🎉021,1974,[唐人街 Chinatown](https://movie.douban.com/subject/1293889/),🌟8.4,"导演: 罗曼·波兰斯基, 主演: 杰克·尼科尔森 / 费·唐纳薇 / 约翰·休斯顿, 类型: 犯罪 / 剧情 / 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1974",[Chinatown](https://www.imdb.com/title/tt0071315/),🌟8.2
Some Like It Hot,Billy Wilder,🎉022,1959,[热情如火 Some Like It Hot](https://movie.douban.com/subject/1292574/),🌟8.9,"导演: 比利·怀尔德, 主演: 玛丽莲·梦露 / 托尼·柯蒂斯 / 杰克·莱蒙, 类型: 喜剧, 制片国家/地区: 美国, 年份: 1959",[Some Like It Hot](https://www.imdb.com/title/tt0053291/),🌟8.2
The Grapes of Wrath,John Ford,🎉023,1940,[愤怒的葡萄 The Grapes of Wrath](https://movie.douban.com/subject/1292465/),🌟8.5,"导演: 约翰·福特, 主演: 亨利·方达 / 简·达威尔 / 约翰·卡拉丁, 类型: 剧情 / 历史, 制片国家/地区: 美国, 年份: 1940",[The Grapes of Wrath](https://www.imdb.com/title/tt0032551/),🌟8.1
E.T.:  The Extra-Terrestrial,Steven Spielberg,🎉024,1982,[E.T.外星人 E.T. the Extra-Terrestrial](https://movie.douban.com/subject/1294638/),🌟8.6,"导演: 史蒂文·斯皮尔伯格, 主演: 亨利·托马斯 / 迪·沃伦斯 / 罗伯特·麦克纳夫顿, 类型: 剧情 / 科幻, 制片国家/地区: 美国, 年份: 1982",[E.T. the Extra-Terrestrial](https://www.imdb.com/title/tt0083866/),🌟7.9
To Kill a Mockingbird,Robert Mulligan,🎉025,1962,[杀死一只知更鸟 To Kill a Mockingbird](https://movie.douban.com/subject/1297991/),🌟8.6,"导演: 罗伯特·马利根, 主演: 格利高里·派克 / 约翰·梅根纳 / 弗兰克·奥弗顿, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1962",[To Kill a Mockingbird](https://www.imdb.com/title/tt0056592/),🌟8.3
Mr. Smith Goes to Washington,Frank Capra,🎉026,1939,[史密斯先生到华盛顿 Mr. Smith Goes to Washington](https://movie.douban.com/subject/1297127/),🌟8.6,"导演: 弗兰克·卡普拉, 主演: 詹姆斯·斯图尔特 / 琪恩·亚瑟 / 克劳德·雷恩斯, 类型: 剧情, 制片国家/地区: 美国, 年份: 1939",[Mr. Smith Goes to Washington](https://www.imdb.com/title/tt0031679/),🌟8.1
High Noon,Fred Zinnemann,🎉027,1952,[正午 High Noon](https://movie.douban.com/subject/1298521/),🌟8.4,"导演: 弗雷德·金尼曼, 主演: 加里·库珀 / 格蕾丝·凯利 / 托马斯·米切尔, 类型: 剧情 / 西部, 制片国家/地区: 美国, 年份: 1952",[High Noon](https://www.imdb.com/title/tt0044706/),🌟8
All About Eve,Joseph L. Mankiewicz,🎉028,1950,[彗星美人 All About Eve](https://movie.douban.com/subject/1401385/),🌟8.7,"导演: 约瑟夫·L·曼凯维奇, 主演: 贝蒂·戴维斯 / 安妮·巴克斯特 / 乔治·桑德斯, 类型: 剧情, 制片国家/地区: 美国, 年份: 1950",[All About Eve](https://www.imdb.com/title/tt0042192/),🌟8.2
Double Indemnity,Billy Wilder,🎉029,1944,[双重赔偿 Double Indemnity](https://movie.douban.com/subject/1293226/),🌟8.5,"导演: 比利·怀尔德, 主演: 弗莱德·麦克莫瑞 / 芭芭拉·斯坦威克 / 爱德华·罗宾逊, 类型: 剧情 / 犯罪 / 悬疑 / 惊悚 / 黑色电影, 制片国家/地区: 美国, 年份: 1944",[Double Indemnity](https://www.imdb.com/title/tt0036775/),🌟8.3
Apocalypse Now,Francis Coppola,🎉030,1979,[现代启示录 Apocalypse Now](https://movie.douban.com/subject/1292260/),🌟8.5,"导演: 弗朗西斯·福特·科波拉, 主演: 马丁·辛 / 马龙·白兰度 / 罗伯特·杜瓦尔, 类型: 剧情 / 战争, 制片国家/地区: 美国, 年份: 1979",[Apocalypse Now](https://www.imdb.com/title/tt0078788/),🌟8.4
The Maltese Falcon,John Huston,🎉031,1941,[马耳他之鹰 The Maltese Falcon](https://movie.douban.com/subject/1297874/),🌟7.4,"导演: 约翰·休斯顿, 主演: 亨弗莱·鲍嘉 / 玛丽·阿斯特 / 格拉黛丝·乔治, 类型: 犯罪 / 黑色电影 / 悬疑, 制片国家/地区: 美国, 年份: 1941",[The Maltese Falcon](https://www.imdb.com/title/tt0033870/),🌟8
The Godfather Part II,Francis Ford Coppola,🎉032,1974,[教父2 The Godfather: Part II](https://movie.douban.com/subject/1299131/),🌟9.3,"导演: 弗朗西斯·福特·科波拉, 主演: 阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1974",[The Godfather Part II](https://www.imdb.com/title/tt0071562/),🌟9
One Flew Over the Cuckoo's Nest,Milos Forman,🎉033,1975,[飞越疯人院 One Flew Over the Cuckoo's Nest](https://movie.douban.com/subject/1292224/),🌟9.1,"导演: 米洛斯·福尔曼, 主演: 杰克·尼科尔森 / 丹尼·德维托 / 克里斯托弗·洛伊德, 类型: 剧情, 制片国家/地区: 美国, 年份: 1975",[One Flew Over the Cuckoo's Nest](https://www.imdb.com/title/tt0073486/),🌟8.7
Snow White and the Seven Dwarfs,,🎉034,1937,[白雪公主和七个小矮人 Snow White and the Seven Dwarfs](https://movie.douban.com/subject/1297756/),🌟8.4,"导演: 威廉·科特雷尔 / 戴维·汉德 / 威尔弗雷德·杰克逊 / 拉里·莫里 / 佩斯·皮尔斯 / 宾·沙普斯坦, 主演: 阿德里亚娜·卡塞洛蒂 / 哈利·斯托克维尔 / 罗伊·阿特威尔, 类型: 爱情 / 动画 / 奇幻 / 歌舞, 制片国家/地区: 美国, 年份: 1937",[Snow White and the Seven Dwarfs](https://www.imdb.com/title/tt0029583/),🌟7.6
Annie Hall,Woody Allen,🎉035,1977,[安妮·霍尔 Annie Hall](https://movie.douban.com/subject/1296987/),🌟8.6,"导演: 伍迪·艾伦, 主演: 伍迪·艾伦 / 黛安·基顿 / 托尼·罗伯茨, 类型: 喜剧 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1977",[Annie Hall](https://www.imdb.com/title/tt0075686/),🌟8
The Bridge on the River Kwai,David Lean,🎉036,1957,[桂河大桥 The Bridge on the River Kwai](https://movie.douban.com/subject/1294958/),🌟8.4,"导演: 大卫·里恩, 主演: 威廉·霍尔登 / 亚历克·吉尼斯 / 杰克·霍金斯, 类型: 剧情 / 历史 / 战争, 制片国家/地区: 英国/美国, 年份: 1957",[The Bridge on the River Kwai](https://www.imdb.com/title/tt0050212/),🌟8.1
The Best Years of Our Lives,William Wyler,🎉037,1946,[黄金时代 The Best Years of Our Lives](https://movie.douban.com/subject/1294100/),🌟8.2,"导演: 威廉·惠勒, 主演: 玛娜·洛伊 / 弗雷德里克·马奇 / 达纳·安德鲁斯, 类型: 剧情 / 爱情 / 战争, 制片国家/地区: 美国, 年份: 1946",[The Best Years of Our Lives](https://www.imdb.com/title/tt0036868/),🌟8.1
The Treasure of the Sierra Madre,John Huston,🎉038,1948,[碧血金沙 The Treasure of the Sierra Madre](https://movie.douban.com/subject/1292516/),🌟8.6,"导演: 约翰·休斯顿, 主演: 亨弗莱·鲍嘉 / 沃尔特·休斯顿 / 提姆·霍尔特, 类型: 剧情 / 西部 / 冒险, 制片国家/地区: 美国, 年份: 1948",[The Treasure of the Sierra Madre](https://www.imdb.com/title/tt0040897/),🌟8.2
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,🎉039,1964,[奇爱博士 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb](https://movie.douban.com/subject/1322848/),🌟8.9,"导演: 斯坦利·库布里克, 主演: 彼得·塞勒斯 / 乔治·C·斯科特 / 斯特林·海登, 类型: 剧情 / 喜剧 / 战争, 制片国家/地区: 美国/英国, 年份: 1964",[Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb](https://www.imdb.com/title/tt0057012/),🌟8.4
The Sound of Music,Robert Wise,🎉040,1965,[音乐之声 The Sound of Music](https://movie.douban.com/subject/1294408/),🌟9.1,"导演: 罗伯特·怀斯, 主演: 朱莉·安德鲁斯 / 克里斯托弗·普卢默 / 埃琳诺·帕克, 类型: 剧情 / 传记 / 爱情 / 歌舞, 制片国家/地区: 美国, 年份: 1965",[The Sound of Music](https://www.imdb.com/title/tt0059742/),🌟8.1
King Kong,"Merian C. Cooper, Ernest B. Schoedsack",🎉041,1933,[金刚 King Kong](https://movie.douban.com/subject/1298593/),🌟7.7,"导演: 梅里安·C·库珀 / 欧内斯特·B·舍德萨克, 主演: 菲伊·雷 / 罗伯特·阿姆斯特朗 / 布鲁斯·卡伯特, 类型: 动作 / 奇幻 / 冒险, 制片国家/地区: 美国, 年份: 1933",[King Kong](https://www.imdb.com/title/tt0024216/),🌟7.9
Bonnie and Clyde,Arthur Penn,🎉042,1967,[雌雄大盗 Bonnie and Clyde](https://movie.douban.com/subject/1294584/),🌟8.2,"导演: 阿瑟·佩恩, 主演: 沃伦·比蒂 / 费·唐纳薇 / 迈克尔·波拉德, 类型: 动作 / 传记 / 犯罪, 制片国家/地区: 美国, 年份: 1967",[Bonnie and Clyde](https://www.imdb.com/title/tt0061418/),🌟7.7
Midnight Cowboy,John Schlesinger,🎉043,1969,[午夜牛郎 Midnight Cowboy](https://movie.douban.com/subject/1297628/),🌟8.3,"导演: 约翰·施莱辛格, 主演: 强·沃特 / 达斯汀·霍夫曼 / 西尔维娅·迈尔斯, 类型: 剧情, 制片国家/地区: 美国, 年份: 1969",[Midnight Cowboy](https://www.imdb.com/title/tt0064665/),🌟7.8
The Philadelphia Story,George Cukor,🎉044,1940,[费城故事 The Philadelphia Story](https://movie.douban.com/subject/1292840/),🌟7.4,"导演: 乔治·库克, 主演: 加里·格兰特 / 凯瑟琳·赫本 / 詹姆斯·斯图尔特, 类型: 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1940",[The Philadelphia Story](https://www.imdb.com/title/tt0032904/),🌟7.9
Shane,George Stevens,🎉045,1953,[原野奇侠 Shane](https://movie.douban.com/subject/1292767/),🌟7.6,"导演: 乔治·史蒂文斯, 主演: 艾伦·拉德 / 琪恩·亚瑟 / 凡·赫夫林, 类型: 剧情 / 西部, 制片国家/地区: 美国, 年份: 1953",[Shane](https://www.imdb.com/title/tt0046303/),🌟7.6
It Happened One Night,Frank Capra,🎉046,1934,[一夜风流 It Happened One Night](https://movie.douban.com/subject/1295684/),🌟8.8,"导演: 弗兰克·卡普拉, 主演: 克拉克·盖博 / 克劳黛·考尔白 / 沃尔特·康诺利, 类型: 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1934",[It Happened One Night](https://www.imdb.com/title/tt0025316/),🌟8.1
A Streetcar Named Desire,Elia Kazan,🎉047,1951,[欲望号街车 A Streetcar Named Desire](https://movie.douban.com/subject/1293590/),🌟8.4,"导演: 伊利亚·卡赞, 主演: 费雯·丽 / 马龙·白兰度 / 金·亨特, 类型: 剧情, 制片国家/地区: 美国, 年份: 1951",[A Streetcar Named Desire](https://www.imdb.com/title/tt0044081/),🌟7.9
Rear Window,Alfred Hitchcock,🎉048,1954,[后窗 Rear Window](https://movie.douban.com/subject/1299080/),🌟8.7,"导演: 阿尔弗雷德·希区柯克, 主演: 詹姆斯·斯图尔特 / 格蕾丝·凯利 / 温戴尔·柯瑞, 类型: 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1954",[Rear Window](https://www.imdb.com/title/tt0047396/),🌟8.5
Intolerance,D. W. Griffith,🎉049,1916,[党同伐异 Intolerance: Love's Struggle Throughout the Ages](https://movie.douban.com/subject/1295287/),🌟8.7,"导演: 大卫·格里菲斯, 主演: 丽莲·吉许 / 梅·马什 / 罗伯特·哈伦, 类型: 剧情 / 历史 / 爱情, 制片国家/地区: 美国, 年份: 1916",[Intolerance](https://www.imdb.com/title/tt0006864/),🌟7.7
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,🎉050,2001,[指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring](https://movie.douban.com/subject/1291571/),🌟9.1,"导演: 彼得·杰克逊, 主演: 伊利亚·伍德 / 西恩·奥斯汀 / 伊恩·麦克莱恩, 类型: 剧情 / 动作 / 奇幻 / 冒险, 制片国家/地区: 新西兰/美国, 年份: 2001",[The Lord of the Rings: The Fellowship of the Ring](https://www.imdb.com/title/tt0120737/),🌟8.8
West Side Story,"Robert Wise, Jerome Robbins",🎉051,1961,[西区故事 West Side Story](https://movie.douban.com/subject/1295225/),🌟7.5,"导演: 杰罗姆·罗宾斯 / 罗伯特·怀斯, 主演: 娜塔莉·伍德 / 理查德·贝梅尔 / 拉斯·坦布林, 类型: 犯罪 / 剧情 / 歌舞 / 爱情, 制片国家/地区: 美国, 年份: 1961",[West Side Story](https://www.imdb.com/title/tt0055614/),🌟7.6
Taxi Driver,Martin Scorsese,🎉052,1976,[出租车司机 Taxi Driver](https://movie.douban.com/subject/1292222/),🌟8.6,"导演: 马丁·斯科塞斯, 主演: 罗伯特·德尼罗 / 朱迪·福斯特 / 斯碧尔·谢波德, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1976",[Taxi Driver](https://www.imdb.com/title/tt0075314/),🌟8.2
The Deer Hunter,Michael Cimino,🎉053,1978,[猎鹿人 The Deer Hunter](https://movie.douban.com/subject/1292403/),🌟8.3,"导演: 迈克尔·西米诺, 主演: 罗伯特·德尼罗 / 约翰·凯泽尔 / 约翰·萨维奇, 类型: 剧情 / 战争, 制片国家/地区: 美国, 年份: 1978",[The Deer Hunter](https://www.imdb.com/title/tt0077416/),🌟8.1
M*A*S*H,Robert Altman,🎉054,1970,[陆军野战医院 MASH](https://movie.douban.com/subject/1292766/),🌟7.9,"导演: 罗伯特·奥特曼, 主演: 唐纳德·萨瑟兰 / 埃利奥特·古尔德 / 汤姆·斯凯里特, 类型: 喜剧 / 战争 / 剧情, 制片国家/地区: 美国, 年份: 1970",[M*A*S*H](https://www.imdb.com/title/tt0066026/),🌟7.4
North by Northwest,Alfred Hitchcock,🎉055,1959,[西北偏北 North by Northwest](https://movie.douban.com/subject/1295872/),🌟8.3,"导演: 阿尔弗雷德·希区柯克, 主演: 加里·格兰特 / 爱娃·玛丽·森特 / 詹姆斯·梅森, 类型: 悬疑 / 惊悚 / 冒险, 制片国家/地区: 美国, 年份: 1959",[North by Northwest](https://www.imdb.com/title/tt0053125/),🌟8.3
Jaws,Steven Spielberg,🎉056,1975,[大白鲨 Jaws](https://movie.douban.com/subject/1294941/),🌟7.8,"导演: 史蒂文·斯皮尔伯格, 主演: 罗伊·谢德 / 罗伯特·肖 / 理查德·德莱福斯, 类型: 剧情 / 惊悚 / 冒险, 制片国家/地区: 美国, 年份: 1975",[Jaws](https://www.imdb.com/title/tt0073195/),🌟8.1
Rocky,John G. Avildsen,🎉057,1976,[洛奇 Rocky](https://movie.douban.com/subject/1295742/),🌟8.8,"导演: 约翰·G·艾维尔森, 主演: 西尔维斯特·史泰龙 / 塔莉娅·夏尔 / 波特·杨, 类型: 剧情 / 爱情 / 运动, 制片国家/地区: 美国, 年份: 1976",[Rocky](https://www.imdb.com/title/tt0075148/),🌟8.1
The Gold Rush,Charlie Chaplin,🎉058,1925,[淘金记 The Gold Rush](https://movie.douban.com/subject/1298817/),🌟9.2,"导演: 查理·卓别林, 主演: 查理·卓别林 / 马克·斯旺 / 汤姆·默里, 类型: 喜剧 / 爱情 / 西部 / 冒险, 制片国家/地区: 美国, 年份: 1925",[The Gold Rush](https://www.imdb.com/title/tt0015864/),🌟8.1
Nashville,Robert Altman,🎉059,1975,[纳什维尔 Nashville](https://movie.douban.com/subject/1293037/),🌟8.2,"导演: 罗伯特·奥特曼, 主演: 大卫·阿金 / 芭芭拉·巴斯里 / 尼德·巴蒂, 类型: 剧情 / 喜剧 / 音乐, 制片国家/地区: 美国, 年份: 1975",[Nashville](https://www.imdb.com/title/tt0073440/),🌟7.6
Duck Soup,Leo McCarey,🎉060,1933,[鸭羹 Duck Soup](https://movie.douban.com/subject/1298113/),🌟7.2,"导演: 莱奥·麦卡雷, 主演: 格劳乔·马克斯 / 哈勃·马克斯 / 奇科·马克斯, 类型: 喜剧 / 歌舞, 制片国家/地区: 美国, 年份: 1933",[Duck Soup](https://www.imdb.com/title/tt0023969/),🌟7.8
Sullivan's Travels,Preston Sturges,🎉061,1941,[苏利文的旅行 Sullivan's Travels](https://movie.douban.com/subject/1303416/),🌟7.6,"导演: 普莱斯顿·斯特奇斯, 主演: 乔尔·麦克雷 / 维罗妮卡·莱克 / 罗伯特·沃里克, 类型: 冒险 / 喜剧 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1941",[Sullivan's Travels](https://www.imdb.com/title/tt0034240/),🌟7.9
American Graffiti,George Lucas,🎉062,1973,[美国风情画 American Graffiti](https://movie.douban.com/subject/1300106/),🌟7.6,"导演: 乔治·卢卡斯, 主演: 理查德·德莱福斯 / 朗·霍华德 / 保罗·勒马特, 类型: 喜剧 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1973",[American Graffiti](https://www.imdb.com/title/tt0069704/),🌟7.4
Cabaret,Bob Fosse,🎉063,1972,[歌厅 Cabaret](https://movie.douban.com/subject/1296282/),🌟8.8,"导演: 鲍勃·福斯, 主演: 丽莎·明奈利 / 麦克尔·约克 / 赫尔穆特·格里姆, 类型: 剧情 / 爱情 / 歌舞, 制片国家/地区: 美国, 年份: 1972",[Cabaret](https://www.imdb.com/title/tt0068327/),🌟7.8
Network,Sidney Lumet,🎉064,1976,[电视台风云 Network](https://movie.douban.com/subject/1297531/),🌟8.4,"导演: 西德尼·吕美特, 主演: 费·唐纳薇 / 威廉·霍尔登 / 彼得·芬奇, 类型: 剧情, 制片国家/地区: 美国, 年份: 1976",[Network](https://www.imdb.com/title/tt0074958/),🌟8.1
The African Queen,John Huston,🎉065,1951,[非洲女王号 The African Queen](https://movie.douban.com/subject/1418997/),🌟7.6,"导演: 约翰·休斯顿, 主演: 亨弗莱·鲍嘉 / 凯瑟琳·赫本 / 罗伯特·莫利, 类型: 冒险 / 剧情 / 爱情 / 战争, 制片国家/地区: 英国/美国, 年份: 1951",[The African Queen](https://www.imdb.com/title/tt0043265/),🌟7.7
Raiders of the Lost Ark,Steven Spielberg,🎉066,1981,[夺宝奇兵 Raiders of the Lost Ark](https://movie.douban.com/subject/1296717/),🌟7.9,"导演: 史蒂文·斯皮尔伯格, 主演: 哈里森·福特 / 凯伦·阿兰 / 保罗·弗里曼, 类型: 动作 / 冒险, 制片国家/地区: 美国, 年份: 1981",[Raiders of the Lost Ark](https://www.imdb.com/title/tt0082971/),🌟8.4
Who's Afraid of Virginia Woolf?,Mike Nichols,🎉067,1966,[灵欲春宵 Who's Afraid of Virginia Woolf?](https://movie.douban.com/subject/1295137/),🌟7.9,"导演: 迈克·尼科尔斯, 主演: 伊丽莎白·泰勒 / 理查德·伯顿 / 乔治·席格, 类型: 剧情, 制片国家/地区: 美国, 年份: 1966",[Who's Afraid of Virginia Woolf?](https://www.imdb.com/title/tt0061184/),🌟8
