Index,排名,电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区
40,40,40、《感官世界》（大岛渚，1976）,感官世界 愛のコリーダ,1976,[1292790](https://movie.douban.com/subject/1292790/),6.9,大岛渚, ,法国 / 日本
41,40,40、《流浪者之歌》（铃木清顺，1980）,流浪者之歌 ツィゴイネルワイゼン,1980,[1401329](https://movie.douban.com/subject/1401329/),7.7,铃木清顺,恐怖 / 悬疑,日本
42,43,43、《哥斯拉》（本多猪四郎，1954）,哥斯拉 ゴジラ,1954,[2059276](https://movie.douban.com/subject/2059276/),7.7,本多猪四郎,剧情 / 科幻 / 恐怖,日本
43,43,43、《泥醉天使》（黑泽明，1948）,泥醉天使 醉いどれ天使,1948,[1294859](https://movie.douban.com/subject/1294859/),8.1,黑泽明,犯罪 / 剧情,日本
44,43,43、《日本的悲剧》（木下惠介，1953）,日本的悲剧 日本の悲劇,1953,[1306483](https://movie.douban.com/subject/1306483/),7.9,木下惠介,剧情,日本
45,43,43、《夫妇善哉》（丰田四郎，1955）,夫妇善哉 夫婦善哉,1955,[1300154](https://movie.douban.com/subject/1300154/),8.0,丰田四郎,剧情,日本
46,43,43、《薄樱记》（森一生，1959）,薄樱记 薄桜記,1959,[3124089](https://movie.douban.com/subject/3124089/),7.6,森一生,剧情 / 动作,日本
47,48,48、《切腹》（小林正树，1962）,切腹,1962,[1304920](https://movie.douban.com/subject/1304920/),9.4,小林正树,剧情 / 动作 / 悬疑,日本
48,48,48、《丈夫亲见女人的小箱》（增村保造，1964）,丈夫看见了 「女の小箱」より 夫が見た,1964,[2361424](https://movie.douban.com/subject/2361424/),7.2,增村保造,剧情,日本
49,48,48、《沓挂时次郎，游侠一匹》（加藤泰，1966）,沓挂时次郎 游侠一匹 沓掛時次郎 遊侠一匹,1966,[1815629](https://movie.douban.com/subject/1815629/),6.8,加藤泰,动作 / 历史 / 冒险,日本
