序号,豆瓣电影,年份,豆瓣打分,豆瓣信息,IMDb电影,IMDb年份,IMDb打分,IMDb信息,烂番茄电影,烂番茄年份,烂番茄新鲜度
334,[不可思议的收缩人 The Incredible Shrinking Man](https://movie.douban.com/subject/1899630/),1957.0,8.0,导演: 杰克·阿诺德; 类型: 科幻; 地区: 美国,[The Incredible Shrinking Man](https://www.imdb.com/title/tt0050539/),1957,7.6,"81 min | Horror, Sci-Fi",[The Incredible Shrinking Man](https://www.rottentomatoes.com/m/incredible_shrinking_man/),1957,82%
335,[龙虎双侠 Gunfight at the O.K. Corral](https://movie.douban.com/subject/1305639/),1957.0,7.3,导演: 约翰·斯特奇斯; 类型: 西部; 地区: 美国,[Gunfight at the O.K. Corral](https://www.imdb.com/title/tt0050468/),1957,7.1,"122 min | Biography, Drama, Western",[Gunfight at the O.K. Corral](https://www.rottentomatoes.com/m/gunfight_at_the_ok_corral/),1957,85%
336,[桂河大桥 The Bridge on the River Kwai](https://movie.douban.com/subject/1294958/),1957.0,8.4,导演: 大卫·里恩; 类型: 剧情; 地区: 英国/美国,[Le notti di Cabiria](https://www.imdb.com/title/tt0050783/),1957,8.1,110 min | Drama,[Nights of Cabiria](https://www.rottentomatoes.com/m/nights_of_cabiria/),1957,100%
337,[印度母亲 Mother India](https://movie.douban.com/subject/2291770/),1957.0,7.2,导演: Mehboob Khan; 类型: 剧情; 地区: 印度,[Letyat zhuravli](https://www.imdb.com/title/tt0050634/),1957,8.3,"95 min | Drama, Romance, War",[The Cranes Are Flying](https://www.rottentomatoes.com/m/the_cranes_are_flying_1960/),1957,96%
338,[雁南飞 Летят журавли](https://movie.douban.com/subject/1302077/),1957.0,8.8,导演: 米哈伊尔·卡拉托佐夫; 类型: 剧情; 地区: 苏联,[Aparajito](https://www.imdb.com/title/tt0048956/),1956,8.2,110 min | Drama,[Aparajito](https://www.rottentomatoes.com/m/aparajito/),1956,96%
339,[光荣之路 Paths of Glory](https://movie.douban.com/subject/1292969/),1957.0,9.1,导演: 斯坦利·库布里克; 类型: 剧情; 地区: 美国,[The Bridge on the River Kwai](https://www.imdb.com/title/tt0050212/),1957,8.1,"PG | 161 min | Adventure, Drama, War",[The Bridge on the River Kwai](https://www.rottentomatoes.com/m/bridge_on_the_river_kwai/),1957,96%
340,[成功的滋味 Sweet Smell of Success](https://movie.douban.com/subject/1302808/),1957.0,7.8,导演: 亚历山大·麦肯德里克; 类型: 剧情; 地区: 美国,[Sweet Smell of Success](https://www.imdb.com/title/tt0051036/),1957,8,"96 min | Drama, Film-Noir",[Sweet Smell of Success](https://www.rottentomatoes.com/m/sweet_smell_of_success/),1957,98%
341,[西部人 Man of the West](https://movie.douban.com/subject/1295557/),1958.0,7.0,导演: 安东尼·曼; 类型: 动作; 地区: 美国,[Mother India](https://www.imdb.com/title/tt0050188/),1957,7.8,"172 min | Action, Comedy, Drama",[Mother India](https://www.rottentomatoes.com/m/mother_india/),1957,86%
342,[历劫佳人 Touch of Evil](https://movie.douban.com/subject/1294756/),1958.0,8.1,导演: 奥逊·威尔斯; 类型: 犯罪; 地区: 美国,[Touch of Evil](https://www.imdb.com/title/tt0052311/),1958,8,"PG-13 | 95 min | Crime, Drama, Film-Noir",[Touch of Evil](https://www.rottentomatoes.com/m/1021749-touch_of_evil),1958,95%
343,[开罗车站 باب الحديد](https://movie.douban.com/subject/2979522/),1958.0,7.7,导演: 尤瑟夫·夏因; 类型: 犯罪; 地区: 埃及,[Gigi](https://www.imdb.com/title/tt0051658/),1958,6.6,"G | 115 min | Comedy, Musical, Romance",[Gigi](https://www.rottentomatoes.com/m/gigi/),1958,82%
344,[金粉世界 Gigi](https://movie.douban.com/subject/1298127/),1958.0,6.7,导演: 文森特·明奈利; 类型: 喜剧; 地区: 美国,[The Defiant Ones](https://www.imdb.com/title/tt0051525/),1958,7.6,"96 min | Crime, Drama",[The Defiant Ones](https://www.rottentomatoes.com/m/defiant_ones/),1958,92%
345,[逃狱惊魂 The Defiant Ones](https://movie.douban.com/subject/1297121/),1958.0,7.8,导演: 斯坦利·克雷默; 类型: 犯罪; 地区: 美国,[Man of the West](https://www.imdb.com/title/tt0051899/),1958,7.1,100 min | Western,[Man of the West](https://www.rottentomatoes.com/m/man_of_the_west/),1958,94%
346,[迷魂记 Vertigo](https://movie.douban.com/subject/1297294/),1958.0,8.7,导演: 阿尔弗雷德·希区柯克; 类型: 爱情; 地区: 美国,[Vertigo](https://www.imdb.com/title/tt0052357/),1958,8.3,"PG | 128 min | Mystery, Romance, Thriller",[Vertigo](https://www.rottentomatoes.com/m/vertigo/),1958,94%
347,[灰烬与钻石 Popiół i diament](https://movie.douban.com/subject/1303174/),1958.0,8.2,导演: 安杰伊·瓦伊达; 类型: 剧情; 地区: 波兰,[Popiól i diament](https://www.imdb.com/title/tt0052080/),1958,7.8,"103 min | Drama, Romance, War",[Ashes and Diamonds](https://www.rottentomatoes.com/m/ashes_and_diamonds/),1958,96%
348,[恐怖德古拉 Horror of Dracula](https://movie.douban.com/subject/1306163/),1958.0,6.7,导演: 泰伦斯·费希; 类型: 恐怖; 地区: 英国,[Bab el hadid](https://www.imdb.com/title/tt0051390/),1958,7.5,"77 min | Crime, Drama",[Cairo Station](https://www.rottentomatoes.com/m/cairo-station/),1958,100%
349,[我的舅舅 Mon Oncle](https://movie.douban.com/subject/1400829/),1958.0,8.6,导演: 雅克·塔蒂; 类型: 喜剧; 地区: 意大利/法国,[Jalsaghar](https://www.imdb.com/title/tt0051792/),1958,7.9,"100 min | Drama, Music",[The Music Room](https://www.rottentomatoes.com/m/jalsaghar/),1958,100%
350,[音乐室 জলসাঘর](https://movie.douban.com/subject/1440613/),1958.0,8.2,导演: 萨蒂亚吉特·雷伊; 类型: 剧情; 地区: 印度,[Mon oncle](https://www.imdb.com/title/tt0050706/),1958,7.7,116 min | Comedy,[Mon Oncle](https://www.rottentomatoes.com/m/mon_oncle/),1958,94%
351,[伊凡雷帝2 Иван Грозный 2: Боярский заговор](https://movie.douban.com/subject/1474367/),1958.0,8.2,导演: 谢尔盖·爱森斯坦; 类型: 传记; 地区: 苏联,[Some Came Running](https://www.imdb.com/title/tt0052218/),1958,7.3,"137 min | Drama, Romance",[Some Came Running](https://www.rottentomatoes.com/m/some_came_running/),1958,79%
352,[魂断情天 Some Came Running](https://movie.douban.com/subject/1292750/),1958.0,7.4,导演: 文森特·明奈利; 类型: 剧情; 地区: 美国,[Dracula](https://www.imdb.com/title/tt0051554/),1958,7.2,"82 min | Drama, Horror",[Dracula](https://www.rottentomatoes.com/m/horror_of_dracula/),1958,90%
353,[四百击 Les quatre cents coups](https://movie.douban.com/subject/1300056/),1959.0,8.9,导演: 弗朗索瓦·特吕弗; 类型: 犯罪; 地区: 法国,[Some Like It Hot](https://www.imdb.com/title/tt0053291/),1959,8.2,"121 min | Comedy, Music, Romance",[Some Like It Hot](https://www.rottentomatoes.com/m/some_like_it_hot/),1959,94%
354,[西北偏北 North by Northwest](https://movie.douban.com/subject/1295872/),1959.0,8.3,导演: 阿尔弗雷德·希区柯克; 类型: 悬疑; 地区: 美国,[North by Northwest](https://www.imdb.com/title/tt0053125/),1959,8.3,"136 min | Action, Adventure, Mystery",[North by Northwest](https://www.rottentomatoes.com/m/north-by-northwest/),1959,97%
355,[热情如火 Some Like It Hot](https://movie.douban.com/subject/1292574/),1959.0,8.9,导演: 比利·怀尔德; 类型: 喜剧; 地区: 美国,[Les quatre cents coups](https://www.imdb.com/title/tt0053198/),1959,8.1,"99 min | Crime, Drama",[The 400 Blows](https://www.rottentomatoes.com/m/400_blows/),1959,99%
