序号,豆瓣电影,年份,豆瓣打分,豆瓣信息,IMDb电影,IMDb年份,IMDb打分,IMDb信息,烂番茄电影,烂番茄年份,烂番茄新鲜度
561,[红色赞美诗 Még kér a nép](https://movie.douban.com/subject/1771244/),1972.0,7.7,导演: 米克洛什·扬索; 类型: 剧情; 地区: 匈牙利,[Wake in Fright](https://www.imdb.com/title/tt0067541/),1971,7.6,"109 min | Drama, Thriller",[Wake in Fright](https://www.rottentomatoes.com/m/wake_in_fright/),1971,96%
562,[青涩恋情 The Heartbreak Kid](https://movie.douban.com/subject/1298129/),1972.0,7.3,导演: 伊莲·梅; 类型: 喜剧; 地区: 美国,[Deliverance](https://www.imdb.com/title/tt0068473/),1972,7.7,"109 min | Adventure, Drama, Thriller",[Deliverance](https://www.rottentomatoes.com/m/deliverance/),1972,89%
563,"[阿基尔，上帝的愤怒 Aguirre, der Zorn Gottes](https://movie.douban.com/subject/1306002/)",1972.0,8.3,导演: 沃纳·赫尔佐格; 类型: 冒险; 地区: 西德/墨西哥,"[Aguirre, der Zorn Gottes](https://www.imdb.com/title/tt0068182/)",1972,7.8,"95 min | Action, Adventure, Biography",[Aguirre: The Wrath of God](https://www.rottentomatoes.com/m/aguirre_the_wrath_of_god/),1972,96%
564,[歌厅 Cabaret](https://movie.douban.com/subject/1296282/),1972.0,8.8,导演: 鲍勃·福斯; 类型: 剧情; 地区: 美国,[Cabaret](https://www.imdb.com/title/tt0068327/),1972,7.8,"124 min | Drama, Music, Musical",[Cabaret](https://www.rottentomatoes.com/m/cabaret/),1972,93%
565,[巴黎最后的探戈 Ultimo tango a Parigi](https://movie.douban.com/subject/1300353/),1972.0,7.1,导演: 贝纳尔多·贝托鲁奇; 类型: 剧情; 地区: 意大利/法国,[Solaris](https://www.imdb.com/title/tt0069293/),1972,8,"167 min | Drama, Mystery, Sci-Fi",[Solaris](https://www.rottentomatoes.com/m/solaris_1976/),1972,92%
566,[足迹 Sleuth](https://movie.douban.com/subject/1294979/),1972.0,8.3,导演: 约瑟夫·L·曼凯维奇; 类型: 悬疑; 地区: 英国/美国,[Viskningar och rop](https://www.imdb.com/title/tt0069467/),1972,8,91 min | Drama,[Cries and Whispers](https://www.rottentomatoes.com/m/cries_and_whispers/),1972,94%
567,[生死狂澜 Deliverance](https://movie.douban.com/subject/1293561/),1972.0,7.5,导演: 约翰·布尔曼; 类型: 冒险; 地区: 美国,[Le charme discret de la bourgeoisie](https://www.imdb.com/title/tt0068361/),1972,7.8,102 min | Comedy,[The Discreet Charm of the Bourgeoisie](https://www.rottentomatoes.com/m/discreet_charm_of_the_bourgeoisie/),1972,98%
568,[飞向太空 Солярис](https://movie.douban.com/subject/1300977/),1972.0,8.7,导演: 安德烈·塔可夫斯基; 类型: 剧情; 地区: 苏联,[The Godfather](https://www.imdb.com/title/tt0068646/),1972,9.2,"175 min | Crime, Drama",[The Godfather](https://www.rottentomatoes.com/m/godfather/),1972,97%
569,[教父 The Godfather](https://movie.douban.com/subject/1291841/),1972.0,9.3,导演: 弗朗西斯·福特·科波拉; 类型: 剧情; 地区: 美国,[Ultimo tango a Parigi](https://www.imdb.com/title/tt0070849/),1972,6.9,"NC-17 | 129 min | Drama, Romance",[Last Tango in Paris](https://www.rottentomatoes.com/m/last_tango_in_paris/),1972,85%
570,[呼喊与细语 Viskningar och rop](https://movie.douban.com/subject/1296147/),1972.0,8.6,导演: 英格玛·伯格曼; 类型: 剧情; 地区: 瑞典,[Die bitteren Tränen der Petra von Kant](https://www.imdb.com/title/tt0068278/),1972,7.6,"124 min | Drama, Romance",[The Bitter Tears of Petra Von Kant](https://www.rottentomatoes.com/m/bitter_tears_of_petra_von_kant/),1972,88%
571,[富城 Fat City](https://movie.douban.com/subject/1303358/),1972.0,7.8,导演: 约翰·休斯顿; 类型: 剧情; 地区: 美国,[Fat City](https://www.imdb.com/title/tt0068575/),1972,7.3,"96 min | Drama, Sport",[Fat City](https://www.rottentomatoes.com/m/fat_city/),1972,100%
572,[资产阶级的审慎魅力 Le Charme discret de la bourgeoisie](https://movie.douban.com/subject/1303364/),1972.0,8.2,导演: 路易斯·布努埃尔; 类型: 喜剧; 地区: 法国/意大利/西班牙,[The Heartbreak Kid](https://www.imdb.com/title/tt0068687/),1972,7,"106 min | Comedy, Drama, Romance",[The Heartbreak Kid](https://www.rottentomatoes.com/m/heartbreak_kid/),1972,92%
573,[柏蒂娜的苦泪 Die bitteren Tränen der Petra von Kant](https://movie.douban.com/subject/1293230/),1972.0,7.8,导演: 赖纳·维尔纳·法斯宾德; 类型: 剧情; 地区: 西德,[Frenzy](https://www.imdb.com/title/tt0068611/),1972,7.4,116 min | Thriller,[Frenzy](https://www.rottentomatoes.com/m/frenzy/),1972,90%
574,[狂凶记 Frenzy](https://movie.douban.com/subject/1295820/),1972.0,7.9,导演: 阿尔弗雷德·希区柯克; 类型: 犯罪; 地区: 英国,[Pink Flamingos](https://www.imdb.com/title/tt0069089/),1972,6,"NC-17 | 93 min | Comedy, Crime",[Pink Flamingos](https://www.rottentomatoes.com/m/pink_flamingos/),1972,81%
575,,0.0,,,[Sleuth](https://www.imdb.com/title/tt0069281/),1972,8,"138 min | Mystery, Thriller",[Sleuth](https://www.rottentomatoes.com/m/1019196-sleuth/),1972,93%
576,[超飞 Super Fly](https://movie.douban.com/subject/1787980/),1972.0,7.2,导演: 小戈登·帕克斯; 类型: 动作; 地区: 美国,[Super Fly](https://www.imdb.com/title/tt0069332/),1972,6.4,"91 min | Action, Crime, Drama",[Super Fly](https://www.rottentomatoes.com/m/superfly/),1972,93%
577,[不速之客 The Harder They Come](https://movie.douban.com/subject/1301883/),1972.0,7.4,导演: 佩里·亨泽尔; 类型: 犯罪; 地区: 牙买加,[The Sting](https://www.imdb.com/title/tt0070735/),1973,8.3,"129 min | Comedy, Crime, Drama",[The Sting](https://www.rottentomatoes.com/m/1020130-sting/),1973,93%
578,[荒野浪子 High Plains Drifter](https://movie.douban.com/subject/1294263/),1973.0,7.1,导演: 克林特·伊斯特伍德; 类型: 惊悚; 地区: 美国,[La maman et la putain](https://www.imdb.com/title/tt0070359/),1973,7.8,"217 min | Drama, Romance",[The Mother and the Whore](https://www.rottentomatoes.com/m/mother_and_the_whore/),1973,96%
579,[骗中骗 The Sting](https://movie.douban.com/subject/1292269/),1973.0,8.7,导演: 乔治·罗伊·希尔; 类型: 剧情; 地区: 美国,[High Plains Drifter](https://www.imdb.com/title/tt0068699/),1973,7.4,"105 min | Drama, Mystery, Western",[High Plains Drifter](https://www.rottentomatoes.com/m/high_plains_drifter/),1973,93%
580,[母亲与娼妓 La Maman et la Putain](https://movie.douban.com/subject/1295252/),1973.0,7.9,导演: 让·厄斯塔什; 类型: 剧情; 地区: 法国,[Badlands](https://www.imdb.com/title/tt0069762/),1973,7.7,"94 min | Action, Crime, Drama",[Badlands](https://www.rottentomatoes.com/m/1001577-badlands/),1973,97%
581,[穷山恶水 Badlands](https://movie.douban.com/subject/1297422/),1973.0,7.9,导演: 泰伦斯·马力克; 类型: 犯罪; 地区: 美国,[American Graffiti](https://www.imdb.com/title/tt0069704/),1973,7.4,"110 min | Comedy, Drama",[American Graffiti](https://www.rottentomatoes.com/m/american_graffiti/),1973,96%
582,[美国风情画 American Graffiti](https://movie.douban.com/subject/1300106/),1973.0,7.6,导演: 乔治·卢卡斯; 类型: 喜剧; 地区: 美国,[Papillon](https://www.imdb.com/title/tt0070511/),1973,8,"R | 151 min | Biography, Crime, Drama",[Papillon](https://www.rottentomatoes.com/m/papillon/),1973,77%
583,[巴比龙 Papillon](https://movie.douban.com/subject/1293820/),1973.0,8.7,导演: 富兰克林·沙夫纳; 类型: 剧情; 地区: 法国/美国,[The Long Goodbye](https://www.imdb.com/title/tt0070334/),1973,7.5,"112 min | Comedy, Crime, Drama",[The Long Goodbye](https://www.rottentomatoes.com/m/1031440-long_goodbye/),1973,94%
584,[龙争虎斗 Enter the Dragon](https://movie.douban.com/subject/1293118/),1973.0,8.3,导演: 罗伯特·高洛斯; 类型: 动作; 地区: 美国/中国香港,[The Wicker Man](https://www.imdb.com/title/tt0070917/),1973,7.5,"88 min | Horror, Mystery, Thriller",[The Wicker Man](https://www.rottentomatoes.com/m/the_wicker_man_1973/),1973,88%
585,[穷街陋巷 Mean Streets](https://movie.douban.com/subject/1293511/),1973.0,7.6,导演: 马丁·斯科塞斯; 类型: 犯罪; 地区: 美国,[Enter the Dragon](https://www.imdb.com/title/tt0070034/),1973,7.6,"R | 102 min | Action, Crime, Thriller",[Enter the Dragon](https://www.rottentomatoes.com/m/enter_the_dragon),1973,95%
586,[漫长的告别 The Long Goodbye](https://movie.douban.com/subject/1299236/),1973.0,7.5,导演: 罗伯特·奥特曼; 类型: 犯罪; 地区: 美国,[Serpico](https://www.imdb.com/title/tt0070666/),1973,7.7,"130 min | Biography, Crime, Drama",[Serpico](https://www.rottentomatoes.com/m/serpico/),1973,91%
587,[异教徒 The Wicker Man](https://movie.douban.com/subject/1305611/),1973.0,7.8,导演: 罗宾·哈迪; 类型: 悬疑; 地区: 英国,[Don't Look Now](https://www.imdb.com/title/tt0069995/),1973,7.1,"110 min | Drama, Horror, Mystery",[Don't Look Now](https://www.rottentomatoes.com/m/dont_look_now/),1973,95%
588,[日以作夜 La nuit américaine](https://movie.douban.com/subject/1293299/),1973.0,8.4,导演: 弗朗索瓦·特吕弗; 类型: 喜剧; 地区: 法国/意大利,[La nuit américaine](https://www.imdb.com/title/tt0070460/),1973,8,"116 min | Comedy, Drama, Romance",[Day for Night](https://www.rottentomatoes.com/m/day_for_night/),1973,98%
589,[威尼斯疑魂 Don't Look Now](https://movie.douban.com/subject/1302294/),1973.0,7.2,导演: 尼古拉斯·罗伊格; 类型: 剧情; 地区: 英国/意大利,[Mean Streets](https://www.imdb.com/title/tt0070379/),1973,7.2,"R | 112 min | Crime, Drama, Thriller",[Mean Streets](https://www.rottentomatoes.com/m/mean_streets/),1973,95%
590,[傻瓜大闹科学城 Sleeper](https://movie.douban.com/subject/1293853/),1973.0,7.4,导演: 伍迪·艾伦; 类型: 喜剧; 地区: 美国,[Sleeper](https://www.imdb.com/title/tt0070707/),1973,7.1,"89 min | Comedy, Sci-Fi",[Sleeper](https://www.rottentomatoes.com/m/sleeper/),1973,100%
591,[冲突 Serpico](https://movie.douban.com/subject/1292857/),1973.0,7.6,导演: 西德尼·吕美特; 类型: 传记; 地区: 意大利/美国,[The Exorcist](https://www.imdb.com/title/tt0070047/),1973,8.1,R | 122 min | Horror,[The Exorcist](https://www.rottentomatoes.com/m/exorcist/),1973,83%
592,[驱魔人 The Exorcist](https://movie.douban.com/subject/1293755/),1973.0,7.7,导演: 威廉·弗莱德金; 类型: 恐怖; 地区: 美国,[F for Fake](https://www.imdb.com/title/tt0072962/),1973,7.7,89 min | Documentary,[F for Fake](https://www.rottentomatoes.com/m/f_for_fake/),1973,88%
593,[土耳其狂欢 Turks fruit](https://movie.douban.com/subject/1303074/),1973.0,7.4,导演: 保罗·范霍文; 类型: 剧情; 地区: 荷兰,[Pat Garrett & Billy the Kid](https://www.imdb.com/title/tt0070518/),1973,7.2,"R | 122 min | Biography, Drama, Western",[Pat Garrett & Billy the Kid](https://www.rottentomatoes.com/m/pat_garrett_and_billy_the_kid/),1973,86%
594,[蜂巢幽灵 El espíritu de la colmena](https://movie.douban.com/subject/1401900/),1973.0,8.5,导演: 维克多·艾里斯; 类型: 剧情; 地区: 西班牙,[Turks fruit](https://www.imdb.com/title/tt0070842/),1973,7.1,"108 min | Drama, Romance",[Turkish Delight](https://www.rottentomatoes.com/m/turkish_delight/),1973,86%
595,[原始星球 La planète sauvage](https://movie.douban.com/subject/1291989/),1973.0,8.8,导演: 阿内·拉鲁; 类型: 动画; 地区: 法国/捷克斯洛伐克,[El espíritu de la colmena](https://www.imdb.com/title/tt0070040/),1973,7.8,"98 min | Drama, Fantasy",[The Spirit of the Beehive](https://www.rottentomatoes.com/m/spirit_of_the_beehive/),1973,96%
596,[阿玛柯德 Amarcord](https://movie.douban.com/subject/1298672/),1973.0,8.7,导演: 费德里科·费里尼; 类型: 剧情; 地区: 意大利/法国,[The Harder They Come](https://www.imdb.com/title/tt0070155/),1972,6.9,"103 min | Crime, Drama, Music",[The Harder They Come](https://www.rottentomatoes.com/m/harder_they_come/),1972,90%
597,[比利小子 Pat Garrett & Billy the Kid](https://movie.douban.com/subject/1300027/),1973.0,7.8,导演: 萨姆·佩金帕; 类型: 剧情; 地区: 美国,[La planète sauvage](https://www.imdb.com/title/tt0070544/),1973,7.7,"72 min | Animation, Sci-Fi",[Fantastic Planet](https://www.rottentomatoes.com/m/fantastic_planet/),1973,91%
598,[赝品 Vérités et mensonges](https://movie.douban.com/subject/1440610/),1973.0,8.2,导演: 奥逊·威尔斯; 类型: 纪录片; 地区: 法国/伊朗/西德,[Amarcord](https://www.imdb.com/title/tt0071129/),1973,7.9,"123 min | Comedy, Drama",[Amarcord](https://www.rottentomatoes.com/m/amarcord/),1973,87%
599,[窃听大阴谋 The Conversation](https://movie.douban.com/subject/1296908/),1974.0,8.1,导演: 弗朗西斯·福特·科波拉; 类型: 剧情; 地区: 美国,[The Towering Inferno](https://www.imdb.com/title/tt0072308/),1974,7,"165 min | Action, Drama, Thriller",[The Towering Inferno](https://www.rottentomatoes.com/m/towering_inferno/),1974,70%
600,[德州电锯杀人狂 The Texas Chain Saw Massacre](https://movie.douban.com/subject/1300392/),1974.0,7.2,导演: 托比·霍珀; 类型: 惊悚; 地区: 美国,[Bring Me the Head of Alfredo Garcia](https://www.imdb.com/title/tt0071249/),1974,7.4,"112 min | Action, Crime, Drama",[Bring Me the Head of Alfredo Garcia](https://www.rottentomatoes.com/m/bring_me_the_head_of_alfredo_garcia/),1974,78%
601,[醉酒的女人 A Woman Under the Influence](https://movie.douban.com/subject/1293525/),1974.0,8.2,导演: 约翰·卡萨维蒂; 类型: 剧情; 地区: 美国,[Dersu Uzala](https://www.imdb.com/title/tt0071411/),1975,8.2,"142 min | Adventure, Biography, Drama",[Dersu Uzala](https://www.rottentomatoes.com/m/dersu_uzala/),1975,73%
602,[新科学怪人 Young Frankenstein](https://movie.douban.com/subject/1293782/),1974.0,7.5,导演: 梅尔·布鲁克斯; 类型: 喜剧; 地区: 美国,[The Godfather Part II](https://www.imdb.com/title/tt0071562/),1974,9,"202 min | Crime, Drama",[The Godfather: Part II](https://www.rottentomatoes.com/m/godfather_part_ii/),1974,96%
603,[唐人街 Chinatown](https://movie.douban.com/subject/1293889/),1974.0,8.4,导演: 罗曼·波兰斯基; 类型: 犯罪; 地区: 美国,[The Conversation](https://www.imdb.com/title/tt0071360/),1974,7.8,"113 min | Drama, Mystery, Thriller",[The Conversation](https://www.rottentomatoes.com/m/conversation/),1974,97%
604,[塞琳和朱莉出航记 Céline et Julie vont en bateau](https://movie.douban.com/subject/1418141/),1974.0,8.3,导演: 雅克·里维特; 类型: 喜剧; 地区: 法国,[Zerkalo](https://www.imdb.com/title/tt0072443/),1975,8,"107 min | Biography, Drama",[Mirror](https://www.rottentomatoes.com/m/the_mirror_1975/),1975,100%
605,[灼热的马鞍 Blazing Saddles](https://movie.douban.com/subject/1293653/),1974.0,7.3,导演: 梅尔·布鲁克斯; 类型: 喜剧; 地区: 美国,[Chinatown](https://www.imdb.com/title/tt0071315/),1974,8.2,"130 min | Drama, Mystery, Thriller",[Chinatown](https://www.rottentomatoes.com/m/chinatown/),1974,99%
606,[教父2 The Godfather: Part II](https://movie.douban.com/subject/1299131/),1974.0,9.3,导演: 弗朗西斯·福特·科波拉; 类型: 剧情; 地区: 美国,[A Woman Under the Influence](https://www.imdb.com/title/tt0072417/),1974,8.1,"155 min | Drama, Romance",[A Woman Under the Influence](https://www.rottentomatoes.com/m/woman_under_the_influence/),1974,90%
607,[恐惧吞噬灵魂 Angst essen Seele auf](https://movie.douban.com/subject/1294092/),1974.0,8.5,导演: 赖纳·维尔纳·法斯宾德; 类型: 剧情; 地区: 西德,[Young Frankenstein](https://www.imdb.com/title/tt0072431/),1974,8,106 min | Comedy,[Young Frankenstein](https://www.rottentomatoes.com/m/young_frankenstein/),1974,94%
608,[惊天动地抢人头 Bring Me the Head of Alfredo Garcia](https://movie.douban.com/subject/1294041/),1974.0,7.1,导演: 萨姆·佩金帕; 类型: 冒险; 地区: 墨西哥/美国,[The Texas Chain Saw Massacre](https://www.imdb.com/title/tt0072271/),1974,7.4,83 min | Horror,[The Texas Chainsaw Massacre](https://www.rottentomatoes.com/m/1021112-texas_chainsaw_massacre/),1974,89%
609,[火烧摩天楼 The Towering Inferno](https://movie.douban.com/subject/1298056/),1974.0,7.6,导演: 约翰·吉勒明; 类型: 动作; 地区: 美国,[Blazing Saddles](https://www.imdb.com/title/tt0071230/),1974,7.7,"93 min | Comedy, Western",[Blazing Saddles](https://www.rottentomatoes.com/m/blazing_saddles/),1974,88%
610,[德尔苏·乌扎拉 Дерсу Узала](https://movie.douban.com/subject/1300034/),1975.0,8.4,导演: 黑泽明; 类型: 冒险; 地区: 苏联/日本,[Céline et Julie vont en bateau: Phantom Ladies Over Paris](https://www.imdb.com/title/tt0071381/),1974,7.3,"193 min | Comedy, Drama, Fantasy",Celine and Julie Go Boating,1974,
611,[镜子 Зеркало](https://movie.douban.com/subject/1299248/),1975.0,9.0,导演: 安德烈·塔可夫斯基; 类型: 传记; 地区: 苏联,[Angst essen Seele auf](https://www.imdb.com/title/tt0071141/),1974,8,"92 min | Drama, Romance",[Ali: Fear Eats the Soul](https://www.rottentomatoes.com/m/fear_of_fear/),1974,100%
612,[热天午后 Dog Day Afternoon](https://movie.douban.com/subject/1293374/),1975.0,8.7,导演: 西德尼·吕美特; 类型: 剧情; 地区: 美国,[Barry Lyndon](https://www.imdb.com/title/tt0072684/),1975,8.1,"185 min | Adventure, Drama, War",[Barry Lyndon](https://www.rottentomatoes.com/m/barry_lyndon/),1975,89%
613,[飞越疯人院 One Flew Over the Cuckoo's Nest](https://movie.douban.com/subject/1292224/),1975.0,9.1,导演: 米洛斯·福尔曼; 类型: 剧情; 地区: 美国,[The Rocky Horror Picture Show](https://www.imdb.com/title/tt0073629/),1975,7.4,"100 min | Comedy, Horror, Musical",[The Rocky Horror Picture Show](https://www.rottentomatoes.com/m/rocky_horror_picture_show/),1975,78%
614,"[让娜·迪尔曼 Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles](https://movie.douban.com/subject/1868933/)",1975.0,8.9,导演: 香特尔·阿克曼; 类型: 剧情; 地区: 比利时/法国,"[Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles](https://www.imdb.com/title/tt0073198/)",1975,7.5,202 min | Drama,"[Jeanne Dielman 23, Quai Du Commerce 1080 Bruxelles](https://www.rottentomatoes.com/m/jeanne_dielman_23_quai_du_commerce_1080_bruxelles/)",1975,94%
615,[洛基恐怖秀 The Rocky Horror Picture Show](https://movie.douban.com/subject/1292050/),1975.0,8.1,导演: 吉姆·沙曼; 类型: 喜剧; 地区: 英国/美国,[O thiasos](https://www.imdb.com/title/tt0073800/),1975,7.9,"230 min | Drama, History, Music",The Traveling Players,1975,
616,[墙 Deewaar](https://movie.douban.com/subject/2328710/),1975.0,,导演: 雅什·乔普拉; 类型: 剧情; 地区: 印度,[Monty Python and the Holy Grail](https://www.imdb.com/title/tt0071853/),1975,8.2,"91 min | Adventure, Comedy, Fantasy",[Monty Python and the Holy Grail](https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail/),1975,97%
617,[巨蟒与圣杯 Monty Python and the Holy Grail](https://movie.douban.com/subject/1294917/),1975.0,7.9,导演: 特瑞·吉列姆; 类型: 喜剧; 地区: 英国,[Deewaar](https://www.imdb.com/title/tt0072860/),1975,8,"174 min | Action, Crime, Drama",Deewar,1975,
618,[巴里·林登 Barry Lyndon](https://movie.douban.com/subject/1292472/),1975.0,8.8,导演: 斯坦利·库布里克; 类型: 剧情; 地区: 英国/美国,[Dog Day Afternoon](https://www.imdb.com/title/tt0072890/),1975,8,"125 min | Biography, Crime, Drama",[Dog Day Afternoon](https://www.rottentomatoes.com/m/dog_day_afternoon/),1975,96%
619,[狐及其友 Faustrecht der Freiheit](https://movie.douban.com/subject/1437326/),1975.0,7.9,导演: 赖纳·维尔纳·法斯宾德; 类型: 剧情; 地区: 西德,[One Flew Over the Cuckoo's Nest](https://www.imdb.com/title/tt0073486/),1975,8.7,133 min | Drama,[One Flew Over the Cuckoo's Nest](https://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest/),1975,94%
620,[印度之歌 India Song](https://movie.douban.com/subject/1298347/),1975.0,7.5,导演: 玛格丽特·杜拉斯; 类型: 剧情; 地区: 法国,[Manila in the Claws of Light](https://www.imdb.com/title/tt0073363/),1975,7.8,"125 min | Drama, Mystery",[Manila in the Claws of Light](https://www.rottentomatoes.com/m/manila_in_the_claws_of_light/),1975,100%
621,[悬崖上的野餐 Picnic at Hanging Rock](https://movie.douban.com/subject/1299539/),1975.0,7.5,导演: 彼得·威尔; 类型: 剧情; 地区: 澳大利亚,[Faustrecht der Freiheit](https://www.imdb.com/title/tt0072976/),1975,7.6,"123 min | Crime, Drama, Romance",[Fox and His Friends](https://www.rottentomatoes.com/m/fox_and_his_friends/),1975,85%
622,[马尼拉：在霓虹灯的魔爪下 Maynila: Sa mga kuko ng liwanag](https://movie.douban.com/subject/3155872/),1975.0,7.5,导演: 利诺·布罗卡; 类型: 剧情; 地区: 菲律宾,[Nashville](https://www.imdb.com/title/tt0073440/),1975,7.6,"160 min | Comedy, Drama, Music",[Nashville](https://www.rottentomatoes.com/m/nashville/),1975,91%
623,,0.0,,,[Salò o le 120 giornate di Sodoma](https://www.imdb.com/title/tt0073650/),1975,5.8,117 min | Drama,"[Salo, or the 120 Days of Sodom](https://www.rottentomatoes.com/m/salo_o_le_120_giornate_di_sodoma_1979/)",1975,70%
624,[纳什维尔 Nashville](https://movie.douban.com/subject/1293037/),1975.0,8.2,导演: 罗伯特·奥特曼; 类型: 剧情; 地区: 美国,[Cría cuervos](https://www.imdb.com/title/tt0074360/),1976,7.9,105 min | Drama,[Cría Cuervos](https://www.rottentomatoes.com/m/cria_cuervos/),1976,100%
625,[流浪艺人 Ο Θίασος](https://movie.douban.com/subject/1295759/),1975.0,8.6,导演: 西奥·安哲罗普洛斯; 类型: 剧情; 地区: 希腊,[Picnic at Hanging Rock](https://www.imdb.com/title/tt0073540/),1975,7.4,"115 min | Drama, Mystery",[Picnic at Hanging Rock](https://www.rottentomatoes.com/m/picnic_at_hanging_rock/),1975,90%
626,[大白鲨 Jaws](https://movie.douban.com/subject/1294941/),1975.0,7.8,导演: 史蒂文·斯皮尔伯格; 类型: 剧情; 地区: 美国,[India Song](https://www.imdb.com/title/tt0073166/),1975,6.1,"120 min | Drama, Fantasy, Romance",India Song,1975,
627,[饲养乌鸦 Cría cuervos](https://movie.douban.com/subject/1303813/),1976.0,8.5,导演: 卡洛斯·绍拉; 类型: 剧情; 地区: 西班牙,[Jaws](https://www.imdb.com/title/tt0073195/),1975,8.1,"124 min | Adventure, Mystery, Thriller",[Jaws](https://www.rottentomatoes.com/m/jaws/),1975,98%
628,[谋杀地下老板 The Killing of a Chinese Bookie](https://movie.douban.com/subject/1438613/),1976.0,7.8,导演: 约翰·卡萨维蒂; 类型: 犯罪; 地区: 美国,[The Man Who Fell to Earth](https://www.imdb.com/title/tt0074851/),1976,6.6,"139 min | Drama, Sci-Fi",[The Man Who Fell to Earth](https://www.rottentomatoes.com/m/man_who_fell_to_earth/),1976,81%
629,[魔女嘉莉 Carrie](https://movie.douban.com/subject/1292664/),1976.0,7.5,导演: 布莱恩·德·帕尔玛; 类型: 剧情; 地区: 美国,[All the President's Men](https://www.imdb.com/title/tt0074119/),1976,7.9,"138 min | Drama, History, Thriller",[All the President's Men](https://www.rottentomatoes.com/m/all_the_presidents_men/),1976,94%
630,[西部执法者 The Outlaw Josey Wales](https://movie.douban.com/subject/1292944/),1976.0,7.8,导演: 克林特·伊斯特伍德; 类型: 动作; 地区: 美国,[The Outlaw Josey Wales](https://www.imdb.com/title/tt0075029/),1976,7.8,135 min | Western,[The Outlaw Josey Wales](https://www.rottentomatoes.com/m/outlaw_josey_wales/),1976,90%
631,[总统班底 All the President's Men](https://movie.douban.com/subject/1293715/),1976.0,8.0,导演: 艾伦·J·帕库拉; 类型: 剧情; 地区: 美国,[The Killing of a Chinese Bookie](https://www.imdb.com/title/tt0074749/),1976,7.3,"135 min | Crime, Drama, Thriller",[The Killing of a Chinese Bookie](https://www.rottentomatoes.com/m/killing_of_a_chinese_bookie/),1976,79%
632,[洛奇 Rocky](https://movie.douban.com/subject/1295742/),1976.0,8.8,导演: 约翰·G·艾维尔森; 类型: 剧情; 地区: 美国,[Network](https://www.imdb.com/title/tt0074958/),1976,8.1,R | 121 min | Drama,[Network](https://www.rottentomatoes.com/m/network/),1976,92%
633,[出租车司机 Taxi Driver](https://movie.douban.com/subject/1292222/),1976.0,8.6,导演: 马丁·斯科塞斯; 类型: 剧情; 地区: 美国,[Carrie](https://www.imdb.com/title/tt0074285/),1976,7.4,"98 min | Horror, Mystery",[Carrie](https://www.rottentomatoes.com/m/1003625-carrie/),1976,93%
634,[电视台风云 Network](https://movie.douban.com/subject/1297531/),1976.0,8.4,导演: 西德尼·吕美特; 类型: 剧情; 地区: 美国,[Taxi Driver](https://www.imdb.com/title/tt0075314/),1976,8.2,"114 min | Crime, Drama",[Taxi Driver](https://www.rottentomatoes.com/m/taxi_driver/),1976,96%
635,,0.0,,,[Rocky](https://www.imdb.com/title/tt0075148/),1976,8.1,"120 min | Drama, Sport",[Rocky](https://www.rottentomatoes.com/m/1017776-rocky/),1976,91%
636,[一九零零 Novecento](https://movie.douban.com/subject/1300956/),1976.0,8.7,导演: 贝纳尔多·贝托鲁奇; 类型: 剧情; 地区: 意大利/法国/西德,[Ai no korîda](https://www.imdb.com/title/tt0074102/),1976,6.6,"109 min | Drama, Romance",[In the Realm of the Senses](https://www.rottentomatoes.com/m/in_the_realm_of_the_senses/),1976,86%
637,[天外来客 The Man Who Fell to Earth](https://movie.douban.com/subject/1293443/),1976.0,7.4,导演: 尼古拉斯·罗伊格; 类型: 剧情; 地区: 英国,[Novecento](https://www.imdb.com/title/tt0074084/),1976,7.7,"317 min | Drama, History",[1900](https://www.rottentomatoes.com/m/1000039-1900/),1976,55%
638,[上升 Восхождение](https://movie.douban.com/subject/1303255/),1977.0,8.1,导演: 拉莉萨·舍皮琴科; 类型: 剧情; 地区: 苏联,[Voskhozhdenie](https://www.imdb.com/title/tt0075404/),1977,8.2,"111 min | Drama, War",[The Ascent](https://www.rottentomatoes.com/m/10010331-ascent/),1977,100%
639,[星球大战 Star Wars](https://movie.douban.com/subject/1293838/),1977.0,8.5,导演: 乔治·卢卡斯; 类型: 动作; 地区: 美国,[Close Encounters of the Third Kind](https://www.imdb.com/title/tt0075860/),1977,7.6,"138 min | Drama, Sci-Fi",[Close Encounters of the Third Kind](https://www.rottentomatoes.com/m/close_encounters_of_the_third_kind/),1977,94%
640,[第三类接触 Close Encounters of the Third Kind](https://movie.douban.com/subject/1298405/),1977.0,7.2,导演: 史蒂文·斯皮尔伯格; 类型: 剧情; 地区: 美国,[The Last Wave](https://www.imdb.com/title/tt0076299/),1977,6.9,"106 min | Drama, Fantasy, Mystery",[The Last Wave](https://www.rottentomatoes.com/m/last_wave/),1977,82%
641,[最后大浪 The Last Wave](https://movie.douban.com/subject/1304855/),1977.0,6.8,导演: 彼得·威尔; 类型: 剧情; 地区: 澳大利亚,[Star Wars](https://www.imdb.com/title/tt0076759/),1977,8.6,"PG | 121 min | Action, Adventure, Fantasy",[Star Wars](https://www.rottentomatoes.com/m/star_wars/),1977,92%
