Index,Y2024 排名,豆瓣,IMDb,TSPDT-ID,Title 电影,Director 导演,Year 年份,Region 地区,Genre 类型,Length 片长,Colour 色彩
937,938,[大象 Elephant-阿兰·克拉克](https://movie.douban.com/subject/1921860/),[https://www.imdb.com/title/tt0097270/](https://www.imdb.com/title/https://www.imdb.com/title/tt0097270//),25565,Elephant [TV],Alan Clarke,1989,UK,Short-Crime-Drama,39,Col
938,939,[血迷宫 Blood Simple-乔尔·科恩](https://movie.douban.com/subject/1302542/),[https://www.imdb.com/title/tt0086979/](https://www.imdb.com/title/https://www.imdb.com/title/tt0086979//),14449,Blood Simple,Joel Coen & Ethan Coen,1984,USA,Thriller-Drama-Crime,97,Col
939,940,[暴力史 A History of Violence-大卫·柯南伯格](https://movie.douban.com/subject/1422917/),[https://www.imdb.com/title/tt0399146/](https://www.imdb.com/title/https://www.imdb.com/title/tt0399146//),23117,"History of Violence, A",David Cronenberg,2005,USA-Germany,Crime-Drama-Mystery,96,Col
940,941,"[赫鲁斯塔廖夫，开车！ Хрусталёв, машину!-Aleksei German](https://movie.douban.com/subject/2142191/)",[https://www.imdb.com/title/tt0156701/](https://www.imdb.com/title/https://www.imdb.com/title/tt0156701//),21960,"Khrustalyov, My Car!",Aleksei German,1998,Russia-France,Drama-Comedy,147,BW
941,942,[冰风暴 The Ice Storm-李安](https://movie.douban.com/subject/1300930/),[https://www.imdb.com/title/tt0119349/](https://www.imdb.com/title/https://www.imdb.com/title/tt0119349//),18750,"Ice Storm, The",Ang Lee,1997,USA,Drama-Comedy,113,Col
942,943,[血尸夜 Near Dark-凯瑟琳·毕格罗](https://movie.douban.com/subject/1302399/),[https://www.imdb.com/title/tt0093605/](https://www.imdb.com/title/https://www.imdb.com/title/tt0093605//),15570,Near Dark,Kathryn Bigelow,1987,USA,Horror-Drama-Thriller,95,Col
943,944,[末代皇帝 The Last Emperor-贝纳尔多·贝托鲁奇](https://movie.douban.com/subject/1293172/),[https://www.imdb.com/title/tt0093389/](https://www.imdb.com/title/https://www.imdb.com/title/tt0093389//),15531,"Last Emperor, The",Bernardo Bertolucci,1987,China-Italy-UK-France,History-Biography-Drama,163,Col
944,945,[源泉 The Fountainhead-金·维多](https://movie.douban.com/subject/1299716/),[https://www.imdb.com/title/tt0041386/](https://www.imdb.com/title/https://www.imdb.com/title/tt0041386//),4442,"Fountainhead, The",King Vidor,1949,USA,Drama,114,BW
945,946,[爱在黎明破晓前 Before Sunrise-理查德·林克莱特](https://movie.douban.com/subject/1296339/),[https://www.imdb.com/title/tt0112471/](https://www.imdb.com/title/https://www.imdb.com/title/tt0112471//),16706,Before Sunrise,Richard Linklater,1995,USA,Romance-Drama,101,Col
946,947,[美国丽人 American Beauty-萨姆·门德斯](https://movie.douban.com/subject/1292062/),[https://www.imdb.com/title/tt0169547/](https://www.imdb.com/title/https://www.imdb.com/title/tt0169547//),19845,American Beauty,Sam Mendes,1999,USA,Drama-Comedy,121,Col
