Index,Y2024 排名,豆瓣,IMDb,TSPDT-ID,Title 电影,Director 导演,Year 年份,Region 地区,Genre 类型,Length 片长,Colour 色彩
238,239,[秋刀鱼之味 秋刀魚の味-小津安二郎](https://movie.douban.com/subject/1294433/),[https://www.imdb.com/title/tt0056444/](https://www.imdb.com/title/https://www.imdb.com/title/tt0056444//),8602,"Autumn Afternoon, An",Yasujiro Ozu,1962,Japan,Drama,115,Col
239,240,[低度开发的回忆 Memorias del subdesarrollo-托马斯·古铁雷兹·阿莱](https://movie.douban.com/subject/1484154/),[https://www.imdb.com/title/tt0063291/](https://www.imdb.com/title/https://www.imdb.com/title/tt0063291//),18532,Memories of Underdevelopment,Tomás Gutiérrez Alea,1968,Cuba,Political-Romance-Drama,97,BW
240,241,[迷幻演出 Performance-尼古拉斯·罗伊格 / 唐纳德·卡梅尔](https://movie.douban.com/subject/1294331/),[https://www.imdb.com/title/tt0066214/](https://www.imdb.com/title/https://www.imdb.com/title/tt0066214//),10918,Performance,Nicolas Roeg & Donald Cammell,1970,UK,Drama-Crime,105,Col
241,242,[寄生虫 기생충-奉俊昊](https://movie.douban.com/subject/27010768/),[https://www.imdb.com/title/tt6751668/](https://www.imdb.com/title/https://www.imdb.com/title/tt6751668//),45041,Parasite,Bong Joon-ho,2019,South Korea,Comedy-Drama-Thriller,132,Col
242,243,[橡皮头 Eraserhead-大卫·林奇](https://movie.douban.com/subject/1293925/),[https://www.imdb.com/title/tt0074486/](https://www.imdb.com/title/https://www.imdb.com/title/tt0074486//),12862,Eraserhead,David Lynch,1977,USA,Horror-Fantasy-Science Fiction,85,BW
243,244,[伊凡雷帝2 Иван Грозный 2: Боярский заговор-谢尔盖·爱森斯坦](https://movie.douban.com/subject/1474367/),[https://www.imdb.com/title/tt0051790/](https://www.imdb.com/title/https://www.imdb.com/title/tt0051790//),3698,"Ivan the Terrible, Part 2",Sergei Eisenstein,1946,USSR,History-Drama-Biography,88,Col-BW
244,245,[篷车队 The Band Wagon-文森特·明奈利](https://movie.douban.com/subject/1850003/),[https://www.imdb.com/title/tt0045537/](https://www.imdb.com/title/https://www.imdb.com/title/tt0045537//),5632,"Band Wagon, The",Vincente Minnelli,1953,USA,Musical-Dance-Comedy,112,Col
245,246,[黄金时代 The Best Years of Our Lives-威廉·惠勒](https://movie.douban.com/subject/1294100/),[https://www.imdb.com/title/tt0036868/](https://www.imdb.com/title/https://www.imdb.com/title/tt0036868//),3601,"Best Years of Our Lives, The",William Wyler,1946,USA,War-Drama,172,BW
246,247,[隐藏摄像机 Caché-迈克尔·哈内克](https://movie.douban.com/subject/1438066/),[https://www.imdb.com/title/tt0387898/](https://www.imdb.com/title/https://www.imdb.com/title/tt0387898//),23466,Caché,Michael Haneke,2005,France-Austria-Germany-Italy-USA,Thriller-Drama,117,Col
247,248,[细细的红线 The Thin Red Line-泰伦斯·马力克](https://movie.douban.com/subject/1292781/),[https://www.imdb.com/title/tt0120863/](https://www.imdb.com/title/https://www.imdb.com/title/tt0120863//),19377,"Thin Red Line, The",Terrence Malick,1998,USA,War-Drama,170,Col
248,249,[火树银花 Meet Me in St. Louis-文森特·明奈利](https://movie.douban.com/subject/1295445/),[https://www.imdb.com/title/tt0037059/](https://www.imdb.com/title/https://www.imdb.com/title/tt0037059//),3243,Meet Me in St. Louis,Vincente Minnelli,1944,USA,Musical-Family-Drama,113,Col
249,250,[兰闺艳血 In a Lonely Place-尼古拉斯·雷](https://movie.douban.com/subject/1302923/),[https://www.imdb.com/title/tt0042593/](https://www.imdb.com/title/https://www.imdb.com/title/tt0042593//),4760,In a Lonely Place,Nicholas Ray,1950,USA,Drama-Mystery,91,BW
250,251,[伊凡雷帝 Иван Грозный-谢尔盖·爱森斯坦](https://movie.douban.com/subject/1298182/),[https://www.imdb.com/title/tt0037824/](https://www.imdb.com/title/https://www.imdb.com/title/tt0037824//),2998,"Ivan the Terrible, Part 1",Sergei Eisenstein,1944,USSR,History-Drama-Biography,96,BW
251,252,[暖暖内含光 Eternal Sunshine of the Spotless Mind-米歇尔·贡德里](https://movie.douban.com/subject/1308777/),[https://www.imdb.com/title/tt0338013/](https://www.imdb.com/title/https://www.imdb.com/title/tt0338013//),21602,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,USA,Romance-Drama-Comedy,108,Col
252,253,[谋杀绿脚趾 The Big Lebowski-乔尔·科恩 / 伊桑·科恩](https://movie.douban.com/subject/1300044/),[https://www.imdb.com/title/tt0118715/](https://www.imdb.com/title/https://www.imdb.com/title/tt0118715//),18769,"Big Lebowski, The",Joel Coen & Ethan Coen,1998,USA-UK,Comedy-Crime,113,Col
253,254,[大地的女儿 Daughters of the Dust-茱莉·黛许](https://movie.douban.com/subject/1890283/),[https://www.imdb.com/title/tt0104057/](https://www.imdb.com/title/https://www.imdb.com/title/tt0104057//),17075,Daughters of the Dust,Julie Dash,1991,USA-UK,History-Drama,112,Col
254,255,[绿光 Le rayon vert-埃里克·侯麦](https://movie.douban.com/subject/1294039/),[https://www.imdb.com/title/tt0091830/](https://www.imdb.com/title/https://www.imdb.com/title/tt0091830//),15322,"Green Ray, The",Eric Rohmer,1986,France,Romance-Drama,99,Col
255,256,[白日美人 Belle de jour-路易斯·布努埃尔](https://movie.douban.com/subject/1301649/),[https://www.imdb.com/title/tt0061395/](https://www.imdb.com/title/https://www.imdb.com/title/tt0061395//),9928,Belle de jour,Luis Buñuel,1967,France-Italy,Drama,100,Col
256,257,[乡村牧师日记 Journal d'un curé de campagne-罗伯特·布列松](https://movie.douban.com/subject/1401618/),[https://www.imdb.com/title/tt0042619/](https://www.imdb.com/title/https://www.imdb.com/title/tt0042619//),4706,Diary of a Country Priest,Robert Bresson,1951,France,Religious-Drama,120,BW
257,258,[红河 Red River-霍华德·霍克斯 / 阿瑟·罗森](https://movie.douban.com/subject/1292565/),[https://www.imdb.com/title/tt0040724/](https://www.imdb.com/title/https://www.imdb.com/title/tt0040724//),4269,Red River,Howard Hawks,1948,USA,Western,133,BW
258,259,[禁忌 Tabu: A Story of the South Seas-F·W·茂瑙](https://movie.douban.com/subject/1296577/),[https://www.imdb.com/title/tt0022458/](https://www.imdb.com/title/https://www.imdb.com/title/tt0022458//),1533,Tabu,F.W. Murnau,1931,USA,Romance-Drama-Adventure,82,BW
259,260,[毕业生 The Graduate-迈克·尼科尔斯](https://movie.douban.com/subject/1292271/),[https://www.imdb.com/title/tt0061722/](https://www.imdb.com/title/https://www.imdb.com/title/tt0061722//),9998,"Graduate, The",Mike Nichols,1967,USA,Romance-Drama-Comedy,105,Col
260,261,[天堂电影院 Nuovo Cinema Paradiso-朱塞佩·托纳多雷](https://movie.douban.com/subject/1291828/),[https://www.imdb.com/title/tt0095765/](https://www.imdb.com/title/https://www.imdb.com/title/tt0095765//),15786,Cinema Paradiso,Giuseppe Tornatore,1988,Italy-France,Drama,155,Col
261,262,[夜与雾 Nuit et brouillard-阿伦·雷乃](https://movie.douban.com/subject/1298270/),[https://www.imdb.com/title/tt0048434/](https://www.imdb.com/title/https://www.imdb.com/title/tt0048434//),18627,Night and Fog,Alain Resnais,1955,France,War-Documentary-Short,32,Col-BW
262,263,[能召回前世的布米叔叔 ลุงบุญมีระลึกชาติ-阿彼察邦·韦拉斯哈古](https://movie.douban.com/subject/4280102/),[https://www.imdb.com/title/tt1588895/](https://www.imdb.com/title/https://www.imdb.com/title/tt1588895//),30294,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Thailand-UK-France-Germany-Spain-Netherlands,Drama-Fantasy,113,Col
263,264,[盗火线 Heat-迈克尔·曼](https://movie.douban.com/subject/1295686/),[https://www.imdb.com/title/tt0113277/](https://www.imdb.com/title/https://www.imdb.com/title/tt0113277//),17365,Heat,Michael Mann,1995,USA,Thriller-Drama-Crime,174,Col
264,265,[卡里加里博士的小屋 Das Cabinet des Dr. Caligari-罗伯特·维内](https://movie.douban.com/subject/1292547/),[https://www.imdb.com/title/tt0010323/](https://www.imdb.com/title/https://www.imdb.com/title/tt0010323//),210,"Cabinet of Dr. Caligari, The",Robert Wiene,1920,Germany,Horror-Fantasy,69,BW
265,266,[碧血金沙 The Treasure of the Sierra Madre-约翰·休斯顿](https://movie.douban.com/subject/1292516/),[https://www.imdb.com/title/tt0040897/](https://www.imdb.com/title/https://www.imdb.com/title/tt0040897//),4329,"Treasure of the Sierra Madre, The",John Huston,1948,USA,Adventure-Drama,124,BW
266,267,[仁心与冠冕 Kind Hearts and Coronets-罗伯特·哈默](https://movie.douban.com/subject/1295995/),[https://www.imdb.com/title/tt0041546/](https://www.imdb.com/title/https://www.imdb.com/title/tt0041546//),4489,Kind Hearts and Coronets,Robert Hamer,1949,UK,Comedy-Crime,106,BW
267,268,[辛德勒的名单 Schindler's List-史蒂文·斯皮尔伯格](https://movie.douban.com/subject/1295124/),[https://www.imdb.com/title/tt0108052/](https://www.imdb.com/title/https://www.imdb.com/title/tt0108052//),18056,Schindler's List,Steven Spielberg,1993,USA,War-History-Drama,195,Col-BW
268,269,[冰血暴 Fargo-乔尔·科恩](https://movie.douban.com/subject/1292067/),[https://www.imdb.com/title/tt0116282/](https://www.imdb.com/title/https://www.imdb.com/title/tt0116282//),17211,Fargo,Joel Coen & Ethan Coen,1996,USA,Drama-Crime-Comedy,98,Col
269,270,[驱魔人 The Exorcist-威廉·弗莱德金](https://movie.douban.com/subject/1293755/),[https://www.imdb.com/title/tt0070047/](https://www.imdb.com/title/https://www.imdb.com/title/tt0070047//),11682,"Exorcist, The",William Friedkin,1973,USA,Horror,122,Col
270,271,[大开眼戒 Eyes Wide Shut-斯坦利·库布里克](https://movie.douban.com/subject/1300275/),[https://www.imdb.com/title/tt0120663/](https://www.imdb.com/title/https://www.imdb.com/title/tt0120663//),19590,Eyes Wide Shut,Stanley Kubrick,1999,USA-UK,Drama-Mystery-Thriller,159,Col
271,272,[黑女孩 La Noire de...-乌斯曼·塞姆班](https://movie.douban.com/subject/2060678/),[https://www.imdb.com/title/tt0060758/](https://www.imdb.com/title/https://www.imdb.com/title/tt0060758//),21819,Black Girl,Ousmane Sembene,1966,Senegal-France,Drama,65,BW
272,273,[樱桃的滋味 طعم گیلاس-阿巴斯·基亚罗斯塔米](https://movie.douban.com/subject/1296177/),[https://www.imdb.com/title/tt0120265/](https://www.imdb.com/title/https://www.imdb.com/title/tt0120265//),18951,Taste of Cherry,Abbas Kiarostami,1997,Iran,Drama,99,Col
273,274,[赝品 Vérités et mensonges-奥逊·威尔斯](https://movie.douban.com/subject/1440610/),[https://www.imdb.com/title/tt0072962/](https://www.imdb.com/title/https://www.imdb.com/title/tt0072962//),18579,F for Fake,Orson Welles,1973,France-Iran-West Germany,Documentary-Avant-Garde,89,Col
274,275,[沼泽 La Ciénaga-卢奎西亚·马特尔](https://movie.douban.com/subject/1420225/),[https://www.imdb.com/title/tt0240419/](https://www.imdb.com/title/https://www.imdb.com/title/tt0240419//),20439,"Ciénaga, La",Lucrecia Martel,2001,Argentina-France-Spain,Drama-Comedy,103,Col
275,276,[蓝白红三部曲之蓝 Trois couleurs: Bleu-克日什托夫·基耶斯洛夫斯基](https://movie.douban.com/subject/1292048/),[https://www.imdb.com/title/tt0108394/](https://www.imdb.com/title/https://www.imdb.com/title/tt0108394//),16799,Three Colours: Blue,Krzysztof Kieslowski,1993,France-Poland-Switzerland,Drama,100,Col
276,277,[街角的商店 The Shop Around the Corner-恩斯特·刘别谦](https://movie.douban.com/subject/1299166/),[https://www.imdb.com/title/tt0033045/](https://www.imdb.com/title/https://www.imdb.com/title/tt0033045//),2334,"Shop Around the Corner, The",Ernst Lubitsch,1940,USA,Romance-Comedy,97,BW
277,278,[残菊物语 殘菊物語-沟口健二](https://movie.douban.com/subject/1293329/),[https://www.imdb.com/title/tt0032156/](https://www.imdb.com/title/https://www.imdb.com/title/tt0032156//),18551,"Story of the Last Chrysanthemums, The",Kenji Mizoguchi,1939,Japan,Romance-Drama,148,BW
278,279,[成功的滋味 Sweet Smell of Success-亚历山大·麦肯德里克](https://movie.douban.com/subject/1302808/),[https://www.imdb.com/title/tt0051036/](https://www.imdb.com/title/https://www.imdb.com/title/tt0051036//),7295,Sweet Smell of Success,Alexander Mackendrick,1957,USA,Drama,96,BW
279,280,[慕德家一夜 Ma nuit chez Maud-埃里克·侯麦](https://movie.douban.com/subject/1296283/),[https://www.imdb.com/title/tt0064612/](https://www.imdb.com/title/https://www.imdb.com/title/tt0064612//),10626,My Night at Maud's,Eric Rohmer,1969,France,Romance-Drama,105,BW
280,281,[土拨鼠之日 Groundhog Day-哈罗德·雷米斯](https://movie.douban.com/subject/1300613/),[https://www.imdb.com/title/tt0107048/](https://www.imdb.com/title/https://www.imdb.com/title/tt0107048//),17331,Groundhog Day,Harold Ramis,1993,USA,Romance-Fantasy-Comedy,103,Col
281,282,[复仇之日 Vredens dag-卡尔·西奥多·德莱叶](https://movie.douban.com/subject/1305896/),[https://www.imdb.com/title/tt0036506/](https://www.imdb.com/title/https://www.imdb.com/title/tt0036506//),2931,Day of Wrath,Carl Theodor Dreyer,1943,Denmark,Drama,110,BW
282,283,[潘多拉的魔盒 Die Büchse der Pandora-G·W·帕布斯特](https://movie.douban.com/subject/1401368/),[https://www.imdb.com/title/tt0018737/](https://www.imdb.com/title/https://www.imdb.com/title/tt0018737//),1158,Pandora's Box,G.W. Pabst,1929,Germany,Drama-Crime-Romance,133,BW
283,284,[不散-蔡明亮](https://movie.douban.com/subject/1304862/),[https://www.imdb.com/title/tt0377556/](https://www.imdb.com/title/https://www.imdb.com/title/tt0377556//),21978,"Goodbye, Dragon Inn",Tsai Ming-liang,2003,Taiwan,Drama-Comedy,82,Col
284,285,[上升 Восхождение-拉莉萨·舍皮琴科](https://movie.douban.com/subject/1303255/),[https://www.imdb.com/title/tt0075404/](https://www.imdb.com/title/https://www.imdb.com/title/tt0075404//),20473,"Ascent, The",Larisa Shepitko,1976,USSR,War-Drama,111,BW
285,286,[蜘蛛巢城 蜘蛛巣城-黑泽明](https://movie.douban.com/subject/1294827/),[https://www.imdb.com/title/tt0050613/](https://www.imdb.com/title/https://www.imdb.com/title/tt0050613//),7309,Throne of Blood,Akira Kurosawa,1957,Japan,Drama-War,110,BW
286,287,[深锁春光一院愁 All That Heaven Allows-道格拉斯·塞克](https://movie.douban.com/subject/1303345/),[https://www.imdb.com/title/tt0047811/](https://www.imdb.com/title/https://www.imdb.com/title/tt0047811//),6282,All That Heaven Allows,Douglas Sirk,1955,USA,Romance-Drama,89,Col
287,288,[我略知她一二 2 ou 3 choses que je sais d'elle-让-吕克·戈达尔](https://movie.douban.com/subject/1300964/),[https://www.imdb.com/title/tt0060304/](https://www.imdb.com/title/https://www.imdb.com/title/tt0060304//),18522,2 or 3 Things I Know About Her,Jean-Luc Godard,1967,France,Drama,87,Col
288,289,[蓝白红三部曲之红 Trois couleurs: Rouge-克日什托夫·基耶斯洛夫斯基](https://movie.douban.com/subject/1292047/),[https://www.imdb.com/title/tt0111495/](https://www.imdb.com/title/https://www.imdb.com/title/tt0111495//),17981,Three Colours: Red,Krzysztof Kieslowski,1994,France-Switzerland-Poland,Drama,99,Col
289,290,[印度之歌 India Song-玛格丽特·杜拉斯](https://movie.douban.com/subject/1298347/),[https://www.imdb.com/title/tt0073166/](https://www.imdb.com/title/https://www.imdb.com/title/tt0073166//),18540,India Song,Marguerite Duras,1975,France,Drama-Fantasy-Romance,120,Col
290,291,[光荣之路 Paths of Glory-斯坦利·库布里克](https://movie.douban.com/subject/1292969/),[https://www.imdb.com/title/tt0050825/](https://www.imdb.com/title/https://www.imdb.com/title/tt0050825//),7223,Paths of Glory,Stanley Kubrick,1957,USA,War-Drama,86,BW
291,292,[回到未来 Back to the Future-罗伯特·泽米吉斯](https://movie.douban.com/subject/1300555/),[https://www.imdb.com/title/tt0088763/](https://www.imdb.com/title/https://www.imdb.com/title/tt0088763//),14752,Back to the Future,Robert Zemeckis,1985,USA,Science Fiction-Comedy,116,Col
292,293,[关于我母亲的一切 Todo sobre mi madre-佩德罗·阿莫多瓦](https://movie.douban.com/subject/1291937/),[https://www.imdb.com/title/tt0185125/](https://www.imdb.com/title/https://www.imdb.com/title/tt0185125//),19653,All About My Mother,Pedro Almodóvar,1999,Spain-France,Drama-Comedy,101,Col
293,294,[夜长梦多 The Big Sleep-霍华德·霍克斯](https://movie.douban.com/subject/1293352/),[https://www.imdb.com/title/tt0038355/](https://www.imdb.com/title/https://www.imdb.com/title/tt0038355//),3603,"Big Sleep, The",Howard Hawks,1946,USA,Mystery-Crime,114,BW
294,295,[影子部队 L'armée des ombres-让-皮埃尔·梅尔维尔](https://movie.douban.com/subject/1466419/),[https://www.imdb.com/title/tt0064040/](https://www.imdb.com/title/https://www.imdb.com/title/tt0064040//),18557,Army of Shadows,Jean-Pierre Melville,1969,France-Italy,War-Drama,140,Col
295,296,[春光乍泄 春光乍洩-王家卫](https://movie.douban.com/subject/1292679/),[https://www.imdb.com/title/tt0118845/](https://www.imdb.com/title/https://www.imdb.com/title/tt0118845//),18960,Happy Together,Wong Kar-wai,1997,Hong Kong,Romance-Drama,97,Col
296,297,"[远方的声音 Distant Voices, Still Lives-特伦斯·戴维斯](https://movie.douban.com/subject/1305878/)",[https://www.imdb.com/title/tt0095037/](https://www.imdb.com/title/https://www.imdb.com/title/tt0095037//),15816,"Distant Voices, Still Lives",Terence Davies,1988,UK,Drama,85,Col
297,298,[穷街陋巷 Mean Streets-马丁·斯科塞斯](https://movie.douban.com/subject/1293511/),[https://www.imdb.com/title/tt0070379/](https://www.imdb.com/title/https://www.imdb.com/title/tt0070379//),11765,Mean Streets,Martin Scorsese,1973,USA,Drama-Crime,110,Col
298,299,[浮云 浮雲-成濑巳喜男](https://movie.douban.com/subject/1298870/),[https://www.imdb.com/title/tt0048757/](https://www.imdb.com/title/https://www.imdb.com/title/tt0048757//),20765,Floating Clouds,Mikio Naruse,1955,Japan,Romance-Drama,123,BW
299,300,[牺牲 Offret-安德烈·塔可夫斯基](https://movie.douban.com/subject/1294531/),[https://www.imdb.com/title/tt0091670/](https://www.imdb.com/title/https://www.imdb.com/title/tt0091670//),15293,"Sacrifice, The",Andrei Tarkovsky,1986,France-Sweden,Drama,145,Col
300,301,[于洛先生的假期 Les vacances de Monsieur Hulot-雅克·塔蒂](https://movie.douban.com/subject/1305790/),[https://www.imdb.com/title/tt0046487/](https://www.imdb.com/title/https://www.imdb.com/title/tt0046487//),5827,Mr. Hulot's Holiday,Jacques Tati,1953,France,Comedy,86,BW
301,302,[不可饶恕 Unforgiven-克林特·伊斯特伍德](https://movie.douban.com/subject/1293566/),[https://www.imdb.com/title/tt0105695/](https://www.imdb.com/title/https://www.imdb.com/title/tt0105695//),18346,Unforgiven,Clint Eastwood,1992,USA,Western,127,Col
302,303,[音乐室 জলসাঘর-萨蒂亚吉特·雷伊](https://movie.douban.com/subject/1440613/),[https://www.imdb.com/title/tt0051792/](https://www.imdb.com/title/https://www.imdb.com/title/tt0051792//),7589,"Music Room, The",Satyajit Ray,1958,India,Drama,95,BW
303,304,[痛苦的大地 Terra em Transe-Glauber Rocha](https://movie.douban.com/subject/1791033/),[https://www.imdb.com/title/tt0062352/](https://www.imdb.com/title/https://www.imdb.com/title/tt0062352//),19791,Terra em Transe,Glauber Rocha,1967,Brazil,Drama-Political,106,BW
304,305,[北方的纳努克 Nanook of the North-罗伯特·弗拉哈迪](https://movie.douban.com/subject/1292735/),[https://www.imdb.com/title/tt0013427/](https://www.imdb.com/title/https://www.imdb.com/title/tt0013427//),1073,Nanook of the North,Robert Flaherty,1922,USA,Documentary,79,BW
305,306,[孤独的妻子 চারুলতা-萨蒂亚吉特·雷伊](https://movie.douban.com/subject/1468782/),[https://www.imdb.com/title/tt0057935/](https://www.imdb.com/title/https://www.imdb.com/title/tt0057935//),18520,Charulata,Satyajit Ray,1964,India,Romance-Drama,117,BW
306,307,[马耳他之鹰 The Maltese Falcon-约翰·休斯顿](https://movie.douban.com/subject/1297874/),[https://www.imdb.com/title/tt0033870/](https://www.imdb.com/title/https://www.imdb.com/title/tt0033870//),2519,"Maltese Falcon, The",John Huston,1941,USA,Mystery-Crime,100,BW
307,308,[面孔 Faces-约翰·卡萨维蒂](https://movie.douban.com/subject/1292644/),[https://www.imdb.com/title/tt0062952/](https://www.imdb.com/title/https://www.imdb.com/title/tt0062952//),10251,Faces,John Cassavetes,1968,USA,Drama,130,BW
308,309,[凡尔杜先生 Monsieur Verdoux-查理·卓别林](https://movie.douban.com/subject/1294047/),[https://www.imdb.com/title/tt0039631/](https://www.imdb.com/title/https://www.imdb.com/title/tt0039631//),3988,Monsieur Verdoux,Charles Chaplin,1947,USA,Crime-Comedy,123,BW
309,310,[鲸鱼马戏团 Werckmeister harmóniák-贝拉·塔尔 / 阿尼亚斯·赫拉尼茨基](https://movie.douban.com/subject/1416898/),[https://www.imdb.com/title/tt0249241/](https://www.imdb.com/title/https://www.imdb.com/title/tt0249241//),20706,Werckmeister Harmonies,Béla Tarr,2000,Hungary-Germany-France-Switzerland-Italy,Drama,145,BW
310,311,[一次别离 جدایی نادر از سیمین-阿斯加·法哈蒂](https://movie.douban.com/subject/5964718/),[https://www.imdb.com/title/tt1832382/](https://www.imdb.com/title/https://www.imdb.com/title/tt1832382//),31036,"Separation, A",Asghar Farhadi,2011,Iran-France-Australia,Drama,123,Col
311,312,[录影带谋杀案 Videodrome-大卫·柯南伯格](https://movie.douban.com/subject/1295276/),[https://www.imdb.com/title/tt0086541/](https://www.imdb.com/title/https://www.imdb.com/title/tt0086541//),14402,Videodrome,David Cronenberg,1983,Canada,Horror-Science Fiction,90,Col
312,313,[刽子手 El Verdugo-路易斯·加西亚·贝尔兰加](https://movie.douban.com/subject/1485059/),[https://www.imdb.com/title/tt0057643/](https://www.imdb.com/title/https://www.imdb.com/title/tt0057643//),22607,"Verdugo, El",Luis García Berlanga,1963,Spain-Italy,Drama-Comedy,90,BW
313,314,[爵士春秋 All That Jazz-鲍勃·福斯](https://movie.douban.com/subject/1299330/),[https://www.imdb.com/title/tt0078754/](https://www.imdb.com/title/https://www.imdb.com/title/tt0078754//),13072,All That Jazz,Bob Fosse,1979,USA,Musical-Fantasy-Drama,123,Col
314,315,[上帝之城 Cidade de Deus-费尔南多·梅里尔斯 / 卡迪亚·兰德](https://movie.douban.com/subject/1292208/),[https://www.imdb.com/title/tt0317248/](https://www.imdb.com/title/https://www.imdb.com/title/tt0317248//),21028,City of God,Fernando Meirelles & Kátia Lund,2002,Brazil-Germany-France,Drama-Crime-Action,129,Col
315,316,[公路之王 Im Lauf der Zeit-维姆·文德斯](https://movie.douban.com/subject/1437023/),[https://www.imdb.com/title/tt0073152/](https://www.imdb.com/title/https://www.imdb.com/title/tt0073152//),12468,Kings of the Road,Wim Wenders,1976,West Germany,Drama,175,BW
316,317,[劳拉·蒙特斯 Lola Montès-马克斯·奥菲尔斯](https://movie.douban.com/subject/1293401/),[https://www.imdb.com/title/tt0048308/](https://www.imdb.com/title/https://www.imdb.com/title/tt0048308//),6434,Lola Montès,Max Ophüls,1955,France-West Germany,Drama-Biography-Romance,116,Col
317,318,[畸形人 Freaks-托德·布朗宁](https://movie.douban.com/subject/1295942/),[https://www.imdb.com/title/tt0022913/](https://www.imdb.com/title/https://www.imdb.com/title/tt0022913//),535,Freaks,Tod Browning,1932,USA,Horror-Drama,64,BW
318,319,[歌厅 Cabaret-鲍勃·福斯](https://movie.douban.com/subject/1296282/),[https://www.imdb.com/title/tt0068327/](https://www.imdb.com/title/https://www.imdb.com/title/tt0068327//),11121,Cabaret,Bob Fosse,1972,USA,Musical-Drama-Dance,128,Col
319,320,[大树之歌 অপুর সংসার-萨蒂亚吉特·雷伊](https://movie.douban.com/subject/1295720/),[https://www.imdb.com/title/tt0052572/](https://www.imdb.com/title/https://www.imdb.com/title/tt0052572//),8015,"World of Apu, The",Satyajit Ray,1959,India,Drama,103,BW
320,321,[忧郁症 Melancholia-拉斯·冯·提尔](https://movie.douban.com/subject/4086853/),[https://www.imdb.com/title/tt1527186/](https://www.imdb.com/title/https://www.imdb.com/title/tt1527186//),31268,Melancholia,Lars von Trier,2011,Denmark-Sweden-France-Germany,Drama-Science Fiction,136,Col
321,322,[美女与野兽 La belle et la bête-让·科克托 / 雷内·克莱芒](https://movie.douban.com/subject/1295913/),[https://www.imdb.com/title/tt0038348/](https://www.imdb.com/title/https://www.imdb.com/title/tt0038348//),3597,"Belle et la bête, La",Jean Cocteau,1946,France,Fantasy,95,BW
322,323,[我是古巴 Я - Куба-米哈伊尔·卡拉托佐夫](https://movie.douban.com/subject/1432669/),[https://www.imdb.com/title/tt0058604/](https://www.imdb.com/title/https://www.imdb.com/title/tt0058604//),9371,I Am Cuba,Mikhail Kalatozov,1964,Cuba-USSR,Political-Drama,141,BW
323,324,[柏林亚历山大广场 Berlin Alexanderplatz-赖纳·维尔纳·法斯宾德](https://movie.douban.com/subject/1300660/),[https://www.imdb.com/title/tt0080196/](https://www.imdb.com/title/https://www.imdb.com/title/tt0080196//),13337,Berlin Alexanderplatz [TV],Rainer Werner Fassbinder,1980,West Germany-Italy,Drama-History-Political,931,Col
324,325,[夜夜春宵 A Canterbury Tale-迈克尔·鲍威尔 / 埃默里克·普雷斯伯格](https://movie.douban.com/subject/1295943/),[https://www.imdb.com/title/tt0036695/](https://www.imdb.com/title/https://www.imdb.com/title/tt0036695//),3134,"Canterbury Tale, A",Michael Powell & Emeric Pressburger,1944,UK,Drama,124,BW
325,326,[柳媚花娇 Les Demoiselles de Rochefort-雅克·德米](https://movie.douban.com/subject/1301648/),[https://www.imdb.com/title/tt0062873/](https://www.imdb.com/title/https://www.imdb.com/title/tt0062873//),10451,"Young Girls of Rochefort, The",Jacques Demy,1967,France,Musical-Dance-Comedy,124,Col
326,327,[夫君 Husbands-约翰·卡萨维蒂](https://movie.douban.com/subject/1303095/),[https://www.imdb.com/title/tt0065867/](https://www.imdb.com/title/https://www.imdb.com/title/tt0065867//),10840,Husbands,John Cassavetes,1970,USA,Drama,138,Col
327,328,[诗人悲歌 Pyaasa-古鲁·杜特](https://movie.douban.com/subject/1861216/),[https://www.imdb.com/title/tt0050870/](https://www.imdb.com/title/https://www.imdb.com/title/tt0050870//),20820,Pyaasa,Guru Dutt,1957,India,Drama-Musical-Romance,146,BW
328,329,[费城故事 The Philadelphia Story-乔治·库克](https://movie.douban.com/subject/1292840/),[https://www.imdb.com/title/tt0032904/](https://www.imdb.com/title/https://www.imdb.com/title/tt0032904//),2303,"Philadelphia Story, The",George Cukor,1940,USA,Romance-Comedy,112,BW
329,330, ,[https://www.imdb.com/title/tt0074102/](https://www.imdb.com/title/https://www.imdb.com/title/tt0074102//),12452,In the Realm of the Senses,Nagisa Oshima,1976,Japan-France,Drama-Adult-Romance,109,Col
330,331,[寻子遇仙记 The Kid-查理·卓别林](https://movie.douban.com/subject/1293270/),[https://www.imdb.com/title/tt0012349/](https://www.imdb.com/title/https://www.imdb.com/title/tt0012349//),782,"Kid, The",Charles Chaplin,1921,USA,Drama-Comedy-Family,60,BW
331,332,[地下 Подземље-埃米尔·库斯图里卡](https://movie.douban.com/subject/1292206/),[https://www.imdb.com/title/tt0114787/](https://www.imdb.com/title/https://www.imdb.com/title/tt0114787//),1877,Underground,Emir Kusturica,1995,Yugoslavia-France-Germany-Bulgaria-Czech Republic-Hungary-UK-USA,War-Drama-Comedy,167,Col
