Index,排名,电影名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,地区
69,63,《尤里西斯的凝视》（1995，西奥·安哲罗普洛斯 Theodoros Angelopoulos）,[尤里西斯的凝视 Το βλέμμα του Οδυσσέα](https://movie.douban.com/subject/1294573/),1995,9.0,西奥·安哲罗普洛斯,哈威·凯特尔 / 厄兰·约瑟夫森 / 玛雅·摩根斯特恩,剧情 / 历史 / 战争,希腊/法国/意大利/德国/英国/南斯拉夫/罗马尼亚/阿尔巴尼亚/波黑
70,63,《愤怒的公牛》（1980，马丁·斯科塞斯 Martin Scorsese）,[愤怒的公牛 Raging Bull](https://movie.douban.com/subject/1293155/),1980,8.4,马丁·斯科塞斯,罗伯特·德尼罗 / 凯西·莫拉蒂 / 乔·佩西,剧情 / 传记 / 运动,美国
71,63,《攻壳机动队》（1995，押井守 Mamoru Oshii）,[攻壳机动队 攻殻機動隊](https://movie.douban.com/subject/1291936/),1995,9.1,押井守,田中敦子 / 大塚明夫 / 山寺宏一,动作 / 科幻 / 动画,日本
72,63,《放大》（1966，米开朗基罗·安东尼奥尼 Michelangelo Antonioni）,[放大 Blow-Up](https://movie.douban.com/subject/1310176/),1966,8.5,米开朗基罗·安东尼奥尼,瓦妮莎·雷德格雷夫 / 莎拉·米尔斯 / 戴维·海明斯,剧情 / 悬疑 / 惊悚,英国/意大利
73,63,《杀人回忆》（2003，奉俊昊 Joon-ho Bong）,[杀人回忆 살인의 추억](https://movie.douban.com/subject/1300299/),2003,8.9,奉俊昊,宋康昊 / 金相庆 / 金雷夏,剧情 / 动作 / 犯罪 / 悬疑 / 惊悚,韩国
74,63,《流浪艺人》（1975，西奥·安哲罗普洛斯 Theodoros Angelopoulos）,[流浪艺人 Ο Θίασος](https://movie.douban.com/subject/1295759/),1975,8.6,西奥·安哲罗普洛斯,伊娃·科塔曼尼多 / Aliki Georgouli / Stratos Pahis,剧情 / 历史 / 战争,希腊
75,63,《潜行者》（1979，安德烈·塔科夫斯基 Andrei Tarkovsky）,[潜行者 Сталкер](https://movie.douban.com/subject/1295656/),1979,8.8,安德烈·塔可夫斯基,亚历山大·凯伊达诺夫斯基 / 阿丽萨·弗雷因德利赫 / 安纳托利·索洛尼岑,剧情 / 科幻 / 悬疑,苏联
76,63,《热情如火》（1959，比利·怀尔德 Billy Wilder）,[热情如火 Some Like It Hot](https://movie.douban.com/subject/1292574/),1959,8.9,比利·怀尔德,玛丽莲·梦露 / 托尼·柯蒂斯 / 杰克·莱蒙,喜剧,美国
77,63,《特写》（1990，阿巴斯·基亚罗斯塔米 Abbas Kiarostami）,[特写 کلوزآپ](https://movie.douban.com/subject/1303521/),1990,8.8,阿巴斯·基亚罗斯塔米,Hossain Sabzian / 莫森·玛克玛尔巴夫 / Abolfazl Ahankhah,犯罪 / 剧情,伊朗
78,63,《穆赫兰道》（2001，大卫·林奇 David Lynch）,[穆赫兰道 Mulholland Dr.](https://movie.douban.com/subject/1292217/),2001,8.4,大卫·林奇,娜奥米·沃茨 / 劳拉·哈灵 / 安·米勒,剧情 / 悬疑 / 惊悚,法国/美国
