Index,排名,电影名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,地区
99,86,《小武》（1999，贾樟柯 Zhangke Jia）,[小武](https://movie.douban.com/subject/1291851/),1998,8.6,贾樟柯,王宏伟 / 郝鸿建 / 左夏初,剧情,中国香港/中国大陆
100,86,《巴里·林登》（1975，斯坦利·库布里克 Stanley Kubrick）,[巴里·林登 Barry Lyndon](https://movie.douban.com/subject/1292472/),1975,8.8,斯坦利·库布里克,瑞安·奥尼尔 / 马里莎·贝伦森 / 帕特里克·马基,剧情 / 爱情 / 战争,英国/美国
101,86,《扒手》（1959，罗伯特·布列松 Robert Bresson）,[扒手 Pickpocket](https://movie.douban.com/subject/1303559/),1959,8.3,罗伯特·布列松,马丁·拉萨尔 / 玛莉卡·格林 / Jean Pélégri,剧情 / 犯罪,法国
102,86,《指环王》（2001，彼得·杰克逊 Peter Jackson）,[指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring](https://movie.douban.com/subject/1291571/),2001,9.1,彼得·杰克逊,伊利亚·伍德 / 西恩·奥斯汀 / 伊恩·麦克莱恩,剧情 / 动作 / 奇幻 / 冒险,新西兰/美国
103,86,《搜索者》（1956，约翰·福特 John Ford）,[搜索者 The Searchers](https://movie.douban.com/subject/1292668/),1956,7.9,约翰·福特,约翰·韦恩 / 杰弗里·亨特 / 维拉·迈尔斯,剧情 / 西部 / 冒险,美国
104,86,《撒旦探戈》（1994，贝拉·塔尔 Béla Tarr）,[撒旦探戈 Sátántangó](https://movie.douban.com/subject/1422088/),1994,8.9,贝拉·塔尔,米哈伊·维格 / 普吉·霍瓦特 / 拉斯洛·费卢戈希,剧情 / 悬疑,匈牙利/德国/瑞士
105,86,《柏林苍穹下》（1987，维姆·文德斯 Wim Wenders）,[柏林苍穹下 Der Himmel über Berlin](https://movie.douban.com/subject/1292504/),1987,8.6,维姆·文德斯,布鲁诺·冈茨 / 索尔维格·多马尔坦 / 奥托·山德尔,奇幻 / 剧情 / 爱情,西德/法国
106,86,《死囚越狱》（1956，罗伯特·布列松 Robert Bresson）,[死囚越狱 Un Condamné à mort s'est échappé](https://movie.douban.com/subject/1303562/),1956,8.5,罗伯特·布列松,弗朗索瓦·莱特瑞尔 / 查尔斯·勒克莱恩 / 莫里斯·贝尔布洛克,剧情 / 战争 / 惊悚,法国
107,86,《潘多拉的魔盒》（1929，乔治· 威廉· 巴布斯特 Georg Wilhelm Pabst）,[潘多拉的魔盒 Die Büchse der Pandora](https://movie.douban.com/subject/1401368/),1929,8.2,G·W·帕布斯特,露易丝·布鲁克斯 / 弗里茨·科特讷 / 弗朗西斯·莱德雷尔,犯罪 / 剧情 / 爱情,德国
108,86,《红圈》（1970，让-皮埃尔·梅尔维尔 Jean-Pierre Melville）,[红圈 Le cercle rouge](https://movie.douban.com/subject/1401915/),1970,8.3,让-皮埃尔·梅尔维尔,阿兰·德龙 / 布尔维尔 / 吉安·马里亚·沃隆特,犯罪 / 剧情 / 惊悚,法国/意大利
109,86,《西部往事》（1968，赛尔乔·莱翁内 Sergio Leone）,[西部往事 C'era una volta il West](https://movie.douban.com/subject/1293394/),1968,8.7,赛尔乔·莱昂内,亨利·方达 / 查尔斯·布朗森 / 克劳迪娅·卡汀娜,剧情 / 犯罪 / 西部,意大利/美国
110,86,《让娜·迪尔曼》（1975，香坦·阿克曼 Chantal Akerman）,"[让娜·迪尔曼 Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles](https://movie.douban.com/subject/1868933/)",1975,8.9,香特尔·阿克曼,德菲因·塞里格 / 亨利.斯多克 / 雅克·多尼奥-瓦克罗兹,剧情,比利时/法国
111,86,《豹》（1963，卢奇诺·维斯康蒂 Luchino Visconti）,[豹 Il gattopardo](https://movie.douban.com/subject/1293146/),1963,8.7,卢基诺·维斯康蒂,伯特·兰卡斯特 / 克劳迪娅·卡汀娜 / 阿兰·德龙,剧情 / 历史 / 爱情 / 战争,意大利/法国
112,86,《钱》（1983，罗伯特·布列松 Robert Bresson）,[钱 L'argent](https://movie.douban.com/subject/1303536/),1983,8.3,罗伯特·布列松,克里斯蒂安·佩蒂 / Vincent Risterucci / Caroline Lang,剧情 / 犯罪,法国/瑞士
113,86,《铁西区》（2003，王兵 Bing Wang）,[铁西区第一部分：工厂](https://movie.douban.com/subject/1309215/),2003,8.6,王兵, ,纪录片,中国大陆
114,86,《阿飞正传》（1990，王家卫 Kar Wai Wong）,[阿飞正传 阿飛正傳](https://movie.douban.com/subject/1305690/),1990,8.5,王家卫,张国荣 / 张曼玉 / 刘嘉玲,犯罪 / 剧情 / 爱情,中国香港
115,86,《雾中风景》（1988，西奥·安哲罗普洛斯 Theodoros Angelopoulos）,[雾中风景 Τοπίο στην ομίχλη](https://movie.douban.com/subject/1294252/),1988,9.0,西奥·安哲罗普洛斯,米哈利斯·齐克 / 塔尼娅·帕拉依奥罗葛 / 斯特拉托斯·楚措格卢,剧情,希腊/法国/意大利
116,86,《霸王别姬》（1993，陈凯歌 Kaige Chen）,[霸王别姬](https://movie.douban.com/subject/1291546/),1993,9.6,陈凯歌,张国荣 / 张丰毅 / 巩俐,剧情 / 爱情 / 同性,中国大陆/中国香港
117,86,《驴子巴特萨》（1966，罗伯特·布列松 Robert Bresson）,[驴子巴特萨 Au hasard Balthazar](https://movie.douban.com/subject/1401619/),1966,8.3,罗伯特·布列松,安妮·维亚泽姆斯基 / Walter Green / François Lafarge,剧情,法国/瑞典
118,86,《黑客帝国》（1999，安迪·沃卓斯基 / 拉娜·沃卓斯基 Andy Wachowski / Lana Wachowski）,[黑客帝国 The Matrix](https://movie.douban.com/subject/1291843/),1999,9.1,莉莉·沃卓斯基 / 拉娜·沃卓斯基,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯,动作 / 科幻,美国
119,120,《一个国家的诞生》（1915，D·W·格里菲斯 D.W. Griffith）,[一个国家的诞生 The Birth of a Nation](https://movie.douban.com/subject/1300306/),1915,7.9,大卫·格里菲斯,丽莲·吉许 / 梅·马什 / 亨利·B·沃斯奥,剧情 / 历史 / 爱情 / 战争 / 西部,美国
120,120,《一九零零》（1976，贝纳尔多·贝托鲁奇 Bernardo Bertolucci）,[一九零零 Novecento](https://movie.douban.com/subject/1300956/),1976,8.7,贝纳尔多·贝托鲁奇,罗伯特·德尼罗 / 热拉尔·德帕迪约 / 多米妮克·桑达,剧情 / 历史 / 爱情 / 战争,意大利/法国/西德
121,120,《不散》（2003，蔡明亮 Ming-liang Tsai）,[不散](https://movie.douban.com/subject/1304862/),2003,7.8,蔡明亮,李康生 / 杨贵媚 / 石隽,剧情,中国台湾
122,120,《东邪西毒》（1994，王家卫 Kar Wai Wong）,[东邪西毒 東邪西毒](https://movie.douban.com/subject/1292328/),1994,8.6,王家卫,张国荣 / 林青霞 / 梁朝伟,剧情 / 动作 / 爱情 / 武侠 / 古装,中国香港/中国台湾
123,120,《亚伯拉罕山谷》（1993，曼努埃尔·德·奥里维拉 Manoel de Oliveira）,[亚伯拉罕山谷 Vale Abraão](https://movie.douban.com/subject/1303467/),1993,8.1,曼努埃尔·德·奥利维拉,里诺尔·森微娜 / 路易斯·米格尔·辛特拉 / 鲁伊·德·卡瓦略,剧情,法国/葡萄牙/瑞士
124,120,《伊凡雷帝》（1944，谢尔盖·爱森斯坦 Sergei M. Eisenstein）,[伊凡雷帝 Иван Грозный](https://movie.douban.com/subject/1298182/),1944,8.0,谢尔盖·爱森斯坦,尼古拉·切尔卡索夫 / Lyudmila Tselikovskaya / Serafima Birman,传记 / 历史,苏联
125,120,《十月》（1928，格里高利·亚历山大洛夫 / 谢尔盖·爱森斯坦 Grigori Aleksandrov / Sergei M. Eisenstein）,[十月 Октябрь](https://movie.douban.com/subject/1297024/),1928,8.0,格里高利·亚历山德罗夫 / 谢尔盖·爱森斯坦,Nikolay Popov / Vasili Nikandrov / Layaschenko,剧情 / 历史,苏联
126,120,《千与千寻》（2001，宫崎骏 Hayao Miyazaki）,[千与千寻 千と千尋の神隠し](https://movie.douban.com/subject/1291561/),2001,9.4,宫崎骏,柊瑠美 / 入野自由 / 夏木真理,剧情 / 动画 / 奇幻,日本
127,120,《卡里加里博士的小屋》（1920，罗伯特·维内 Robert Wiene）,[卡里加里博士的小屋 Das Cabinet des Dr. Caligari](https://movie.douban.com/subject/1292547/),1920,8.9,罗伯特·维内,维尔纳·克劳斯 / 康拉德·韦特 / 弗里德里希·费赫尔,犯罪 / 悬疑 / 恐怖,德国
128,120,《夏日纪事》（1961，让·鲁什 Jean Rouch）,[夏日纪事 Chronique d'un été (Paris 1960)](https://movie.douban.com/subject/1421292/),1961,8.1,让·鲁什 / 埃德加·莫兰,玛索琳娜·罗尔丹·伊文思 / 玛丽卢·帕罗利尼,纪录片,法国
129,120,《大独裁者》（1940，查理·卓别林 Charles Chaplin）,[大独裁者 The Great Dictator](https://movie.douban.com/subject/1295646/),1940,9.2,查理·卓别林,查理·卓别林 / 宝莲·高黛 / 杰克·奥克,喜剧 / 剧情 / 战争,美国
130,120,《大路》（1934，孙瑜 Yu Sun）,[大路](https://movie.douban.com/subject/1307015/),1934,7.8,孙瑜,金焰 / 黎莉莉 / 陈燕燕,喜剧 / 歌舞 / 剧情 / 战争,中国大陆
131,120,《奥赛罗》（1952，奥逊·威尔斯 Orson Welles）,[奥赛罗 The Tragedy of Othello: The Moor of Venice](https://movie.douban.com/subject/1296289/),1951,7.8,奥逊·威尔斯,米歇尔·麦克利亚姆莫伊尔 / 罗伯托·库特 / 奥逊·威尔斯,剧情 / 爱情,美国/意大利/法国/摩洛哥
132,120,《开罗紫玫瑰》（1985，伍迪·艾伦 Woody Allen）,[开罗紫玫瑰 The Purple Rose of Cairo](https://movie.douban.com/subject/1292994/),1985,8.8,伍迪·艾伦,米娅·法罗 / 杰夫·丹尼尔斯 / 丹尼·爱罗,喜剧 / 爱情 / 奇幻,美国
133,120,《恐惧吞噬灵魂》（1974，赖纳·维尔纳·法斯宾德 Rainer Werner Fassbinder）,[恐惧吞噬灵魂 Angst essen Seele auf](https://movie.douban.com/subject/1294092/),1974,8.5,赖纳·维尔纳·法斯宾德,布里吉特·米拉 / 埃尔·赫迪·本·萨利姆 / 芭芭拉·瓦伦汀,剧情 / 爱情,西德
134,120,《恨难解》（1965，让-马利·斯特劳布 Jean-Marie Straub）,[没有和解 Nicht versöhnt oder Es hilft nur Gewalt wo Gewalt herrscht](https://movie.douban.com/subject/1850440/),1965,7.5,让-马里·斯特劳布 / 达尼埃尔·于伊耶,Heinrich Hargesheimer / Carlheinz Hargesheimer / Martha Staendner,剧情,西德
135,120,《情迷意乱》（1964，成濑巳喜男 Mikio Naruse）,[情迷意乱 乱れる](https://movie.douban.com/subject/1422091/),1964,9.1,成濑巳喜男,高峰秀子 / 加山雄三 / 草笛光子,剧情 / 爱情 / 家庭,日本
136,120,《意大利之旅》（1954，罗伯托·罗西里尼 Roberto Rossellini）,[游览意大利 Viaggio in Italia](https://movie.douban.com/subject/1303576/),1954,7.8,罗伯托·罗西里尼,英格丽·褒曼 / 乔治·桑德斯 / Leslie Daniels,剧情,法国/意大利
137,120,《意志的胜利》（1935，莱尼·里芬斯塔尔 Leni Riefenstahl）,[意志的胜利 Triumph des Willens](https://movie.douban.com/subject/1306186/),1935,8.5,莱妮·里芬施塔尔,马克斯·阿曼 / 马丁·鲍曼,纪录片 / 战争,德国
138,120,《我的舅舅》（1958，雅克·塔蒂 Jacques Tati）,[我的舅舅 Mon Oncle](https://movie.douban.com/subject/1400829/),1958,8.6,雅克·塔蒂,让·皮埃尔·佐拉 / Adrienne Servantie / Lucien Frégis,喜剧,意大利/法国
139,120,《战争与和平》（1968，谢尔盖·邦达尔丘克 Sergei Bondarchuk）,[战争与和平 Война и мир](https://movie.douban.com/subject/1307067/),1966,9.2,谢尔盖·邦达尔丘克,谢尔盖·邦达尔丘克 / 柳德米拉·萨维里耶娃 / 维亚切斯拉夫·吉洪诺夫,剧情 / 历史 / 爱情 / 战争,苏联
140,120,《拉孔布·吕西安》（1974，路易·马勒 Louis Malle）,[拉孔布·吕西安 Lacombe Lucien](https://movie.douban.com/subject/1432637/),1974,8.1,路易·马勒,皮埃尔·布莱士 / 奥萝尔·克莱芒 / 霍尔格·洛文纳德勒,剧情,法国/意大利/西德
141,120,《无耻混蛋》（2009，昆汀·塔伦蒂诺 Quentin Tarantino）,[无耻混蛋 Inglourious Basterds](https://movie.douban.com/subject/1438652/),2009,8.7,昆汀·塔伦蒂诺,布拉德·皮特 / 梅拉尼·罗兰 / 克里斯托弗·瓦尔兹,剧情 / 犯罪,德国/美国
142,120,《星球大战》（1977，乔治·卢卡斯 George Lucas）,[星球大战 Star Wars](https://movie.douban.com/subject/1293838/),1977,8.5,乔治·卢卡斯,哈里森·福特 / 马克·哈米尔 / 凯丽·费雪,动作 / 科幻 / 冒险,美国
143,120,《星球大战2：帝国反击战》（1980，欧文·克什纳 Irvin Kershner）,[星球大战2：帝国反击战 Star Wars: Episode V - The Empire Strikes Back](https://movie.douban.com/subject/1296528/),1980,8.4,厄文·克什纳,马克·哈米尔 / 哈里森·福特 / 凯丽·费雪,动作 / 冒险 / 科幻,美国
144,120,《桃色公寓》（1960，比利·怀尔德 Billy Wilder）,[桃色公寓 The Apartment](https://movie.douban.com/subject/1394218/),1960,8.8,比利·怀尔德,杰克·莱蒙 / 雪莉·麦克雷恩 / 弗莱德·麦克莫瑞,爱情 / 喜剧 / 剧情,美国
145,120,《梁山伯与祝英台》（1963，李翰祥 Han Hsiang Li）,[梁山伯与祝英台 梁山伯與祝英台](https://movie.douban.com/subject/1438020/),1963,8.5,李翰祥,凌波 / 乐蒂 / 任洁,爱情 / 古装 / 戏曲,中国香港
146,120,《死者田园祭》（1974，寺山修司 Shuji Terayama）,[死者田园祭 田園に死す](https://movie.douban.com/subject/1366165/),1974,8.9,寺山修司,菅贯太郎 / 高野浩幸 / 八千草薰,剧情 / 奇幻,日本
147,120,《残菊物语》（1939，沟口健二 Kenji Mizoguchi）,[残菊物语 殘菊物語](https://movie.douban.com/subject/1293329/),1939,8.5,沟口健二,花柳章太郎 / 森赫子 / 高田浩吉,剧情,日本
148,120,《永恒和一日》（1998，西奥·安哲罗普洛斯 Theodoros Angelopoulos）,[永恒和一日 Μία αιωνιότητα και μία μέρα](https://movie.douban.com/subject/1293455/),1998,9.1,西奥·安哲罗普洛斯,布鲁诺·冈茨 / 伊莎贝拉·雷纳德 / 法布里齐奥·本蒂沃利奥,剧情,法国/意大利/希腊/德国
149,120,《泯灭天使》（1962，路易斯·布努埃尔 Luis Buñuel）,[泯灭天使 El ángel exterminador](https://movie.douban.com/subject/1303556/),1962,8.3,路易斯·布努埃尔,西尔维娅·皮纳尔 / 恩里克·兰巴尔 / 克劳迪奥·布鲁克,喜剧 / 剧情 / 奇幻 / 悬疑,墨西哥
150,120,《泰坦尼克号》（1997，詹姆斯·卡梅隆 James Cameron）,[泰坦尼克号 Titanic](https://movie.douban.com/subject/1292722/),1997,9.5,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / 比利·赞恩,剧情 / 爱情 / 灾难,美国/墨西哥
151,120,《浮草》（1959，小津安二郎 Yasujirô Ozu）,[浮草](https://movie.douban.com/subject/1297841/),1959,8.6,小津安二郎,中村雁治郎 / 京町子 / 若尾文子,剧情,日本
152,120,《热带疾病》（2004，阿彼察邦·韦拉斯哈古 Apichatpong Weerasethakul）,[热带疾病 สัตว์ประหลาด](https://movie.douban.com/subject/1414808/),2004,8.0,阿彼察邦·韦拉斯哈古,班罗普·洛罗伊 / 萨卡达·卡温巴迪 / Huai Dessom,剧情 / 爱情 / 奇幻,泰国/法国/德国/意大利
153,120,《爱的激流》（1984，约翰·卡索维茨 John Cassavetes）,[爱的激流 Love Streams](https://movie.douban.com/subject/1303532/),1984,8.1,约翰·卡萨维蒂,约翰·卡萨维蒂 / 吉娜·罗兰兹 / 西摩·卡塞尔,喜剧 / 剧情,美国
154,120,《独行杀手》（1967，让-皮埃尔·梅尔维尔 Jean-Pierre Melville）,[独行杀手 Le samouraï](https://movie.douban.com/subject/1300966/),1967,8.3,让-皮埃尔·梅尔维尔,阿兰·德龙 / 弗朗索瓦·佩里埃 / 娜塔莉·德龙,犯罪 / 剧情 / 悬疑 / 惊悚,法国/意大利
155,120,《生命之树》（2011，泰伦斯·马力克 Terrence Malick）,[生命之树 The Tree of Life](https://movie.douban.com/subject/2336735/),2011,7.1,泰伦斯·马力克,布拉德·皮特 / 西恩·潘 / 杰西卡·查斯坦,剧情 / 奇幻 / 家庭,美国
156,120,《生命的标记》（1968，沃纳·赫尔佐格 Werner Herzog）,[生命的标记 Lebenszeichen](https://movie.douban.com/subject/1299262/),1968,8.1,沃纳·赫尔佐格,彼得·布罗格尔 / 沃尔夫冈·施通普夫 / 弗洛里安·弗里克,剧情,西德
157,120,《生生长流》（1991，阿巴斯·基亚罗斯塔米 Abbas Kiarostami）,[生生长流 زندگی و دیگر هیچ](https://movie.douban.com/subject/1303471/),1992,8.8,阿巴斯·基亚罗斯塔米,法德哈·基德曼 / 布巴·巴尤尔· / 奥西纳·法赫,剧情 / 灾难,伊朗
158,120,《盗梦空间》（2010，克里斯托弗·诺兰 Christopher Nolan）,[盗梦空间 Inception](https://movie.douban.com/subject/3541415/),2010,9.4,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥 / 约瑟夫·高登-莱维特 / 艾利奥特·佩吉,剧情 / 科幻 / 悬疑 / 冒险,美国/英国
159,120,《空山灵雨》（1979，胡金铨 King Hu）,[空山灵雨 空山靈雨](https://movie.douban.com/subject/1301136/),1979,8.4,胡金铨,田丰 / 孙越 / 徐枫,剧情 / 动作 / 武侠 / 古装,中国香港
160,120,《第三人》（1949，卡洛尔·里德 Carol Reed）,[第三人 The Third Man](https://movie.douban.com/subject/1295451/),1949,8.2,卡罗尔·里德,约瑟夫·科顿 / 阿莉达·瓦利 / 奥逊·威尔斯,黑色电影 / 悬疑 / 惊悚,英国
161,120,《红色沙漠》（1964，米开朗基罗·安东尼奥尼 Michelangelo Antonioni）,[红色沙漠 Il deserto rosso](https://movie.douban.com/subject/1299261/),1964,8.0,米开朗基罗·安东尼奥尼,莫妮卡·维蒂 / 理查德·哈里斯 / Carlo Chionetti,剧情,意大利/法国
162,120,《自由的幻影》（1974，路易斯·布努埃尔 Luis Buñuel）,[自由的幻影 Le fantôme de la liberté](https://movie.douban.com/subject/1297188/),1974,8.6,路易斯·布努埃尔,阿德里娅娜·阿斯蒂 / 朱利安·贝尔托 / 让-克洛德·布里亚利,喜剧 / 剧情,法国/意大利
163,120,《花样年华》（2000，王家卫 Kar Wai Wong）,[花样年华 花樣年華](https://movie.douban.com/subject/1291557/),2000,8.8,王家卫,梁朝伟 / 张曼玉 / 潘迪华,剧情 / 爱情,中国香港
164,120,《蓝》（1993，德里克·贾曼 Derek Jarman）,[蓝 Blue](https://movie.douban.com/subject/1417428/),1993,8.6,德里克·贾曼,约翰·昆汀 / 尼吉尔·特瑞 / 德里克·贾曼,剧情 / 传记 / 同性,英国/日本
165,120,《蓝白红三部曲之红》（1994，克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski）,[蓝白红三部曲之红 Trois couleurs: Rouge](https://movie.douban.com/subject/1292047/),1994,8.8,克日什托夫·基耶斯洛夫斯基,伊莲娜·雅各布 / 让-路易·特兰蒂尼昂 / 弗雷德里奎·费德,剧情 / 爱情 / 悬疑,法国/波兰/瑞士
166,120,《蝙蝠侠前传2：黑暗骑士》（2008，克里斯托弗·诺兰 Christopher Nolan）,[蝙蝠侠：黑暗骑士 The Dark Knight](https://movie.douban.com/subject/1851857/),2008,9.2,克里斯托弗·诺兰,克里斯蒂安·贝尔 / 希斯·莱杰 / 艾伦·艾克哈特,剧情 / 动作 / 科幻 / 犯罪 / 惊悚,美国/英国
167,120,《西力传》（1983，伍迪·艾伦 Woody Allen）,[西力传 Zelig](https://movie.douban.com/subject/1293846/),1983,9.0,伍迪·艾伦,伍迪·艾伦 / 米娅·法罗 / 帕特里克霍根,喜剧 / 奇幻,美国
168,120,《西北偏北》（1959，阿尔弗雷德·希区柯克 Alfred Hitchcock）,[西北偏北 North by Northwest](https://movie.douban.com/subject/1295872/),1959,8.3,阿尔弗雷德·希区柯克,加里·格兰特 / 爱娃·玛丽·森特 / 詹姆斯·梅森,悬疑 / 惊悚 / 冒险,美国
169,120,《西鹤一代女》（1952，沟口健二 Kenji Mizoguchi）,[西鹤一代女 西鶴一代女](https://movie.douban.com/subject/1303603/),1952,8.3,沟口健二,田中绢代 / 山根寿子 / 三船敏郎,剧情,日本
170,120,《资产阶级的审慎魅力》（1972，路易斯·布努埃尔 Luis Buñuel）,[资产阶级的审慎魅力 Le Charme discret de la bourgeoisie](https://movie.douban.com/subject/1303364/),1972,8.2,路易斯·布努埃尔,费尔南多·雷伊 / 保罗·弗朗克尔 / 德菲因·塞里格,喜剧 / 剧情 / 奇幻,法国/意大利/西班牙
171,120,《趣味游戏》（1997，迈克尔·哈内克 Michael Haneke）,[趣味游戏 Funny Games](https://movie.douban.com/subject/1306548/),1997,7.3,迈克尔·哈内克,苏珊娜·洛塔尔 / 乌尔里希·穆埃 / 亚诺·弗里斯奇,剧情 / 犯罪 / 悬疑 / 惊悚,奥地利
172,120,《阿凡达》（2009，詹姆斯·卡梅隆 James Cameron）,[阿凡达 Avatar](https://movie.douban.com/subject/1652587/),2009,8.8,詹姆斯·卡梅隆,萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗,动作 / 科幻 / 冒险,美国
173,120,《阿基尔，上帝的愤怒》（1972，沃纳·赫尔佐格 Werner Herzog）,"[阿基尔，上帝的愤怒 Aguirre, der Zorn Gottes](https://movie.douban.com/subject/1306002/)",1972,8.3,沃纳·赫尔佐格,克劳斯·金斯基 / 彼得·贝尔林 / 海伦娜·罗霍,冒险 / 传记 / 剧情 / 历史,西德/墨西哥
174,120,《阿甘正传》（1994，罗伯特·泽米基斯 Robert Zemeckis）,[阿甘正传 Forrest Gump](https://movie.douban.com/subject/1292720/),1994,9.5,罗伯特·泽米吉斯,汤姆·汉克斯 / 罗宾·怀特 / 加里·西尼斯,剧情 / 爱情,美国
175,120,《陆上行舟》（1982，沃纳·赫尔佐格 Werner Herzog）,[陆上行舟 Fitzcarraldo](https://movie.douban.com/subject/1297105/),1982,8.7,沃纳·赫尔佐格,克劳斯·金斯基 / 若泽·卢戈伊 / 米格尔·安赫尔·富恩特斯,剧情 / 冒险,西德/秘鲁
176,120,《面孔》（1968，约翰·卡索维茨 John Cassavetes）,[面孔 Faces](https://movie.douban.com/subject/1292644/),1968,8.0,约翰·卡萨维蒂,约翰·马利 / 琳恩·卡林 / 吉娜·罗兰兹,剧情,美国
177,120,《音乐之声》（1965，罗伯特·怀斯 Robert Wise）,[音乐之声 The Sound of Music](https://movie.douban.com/subject/1294408/),1965,9.1,罗伯特·怀斯,朱莉·安德鲁斯 / 克里斯托弗·普卢默 / 埃琳诺·帕克,剧情 / 传记 / 爱情 / 歌舞,美国
178,120,《首演之夜》（1977，约翰·卡索维茨 John Cassavetes）,[首演之夜 Opening Night](https://movie.douban.com/subject/1292768/),1977,8.4,约翰·卡萨维蒂,吉娜·罗兰兹 / 约翰·卡萨维蒂 / 本·戈扎那,剧情,美国
179,120,《魂断威尼斯》（1971，卢奇诺·维斯康蒂 Luchino Visconti）,[魂断威尼斯 Morte a Venezia](https://movie.douban.com/subject/1300912/),1971,8.2,卢基诺·维斯康蒂,德克·博加德 / 罗慕洛·瓦利 / 马克·伯恩斯,剧情 / 同性,意大利/法国
180,120,《黄金三镖客》（1966，赛尔乔·莱翁内 Sergio Leone）,"[黄金三镖客 Il buono, il brutto, il cattivo](https://movie.douban.com/subject/1401118/)",1966,9.2,赛尔乔·莱昂内,克林特·伊斯特伍德 / 埃里·瓦拉赫 / 李·范·克里夫,冒险 / 西部,意大利/西班牙/西德
181,182,《2046》（2004，王家卫 Kar Wai Wong）,[2046](https://movie.douban.com/subject/1291555/),2004,7.7,王家卫,梁朝伟 / 章子怡 / 王菲,剧情 / 爱情 / 奇幻,中国香港/中国大陆/法国/意大利/德国
182,182,《Arbor Vitae》（2000，纳撒尼尔·多斯基 Nathaniel Dorsky）,[Arbor Vitae](https://movie.douban.com/subject/11615411/),2000, ,纳撒尼尔·多斯基, ,短片,美国
183,182,《City After Dark》（1980，伊斯梅尔·伯纳尔 Ishmael Bernal）,[夜幕下的马尼拉 City After Dark](https://movie.douban.com/subject/4010828/),1980, ,伊斯梅尔·贝尔纳尔,查丽朵·索利斯 / Alma Moreno / Lorna Tolentino,剧情,菲律宾
184,182,《Decasia》（2002，比尔·莫里森 Bill Morrison）,[衰变幻想曲 Decasia](https://movie.douban.com/subject/1888457/),2002,7.9,比尔·莫里森, ,纪录片,美国
185,182,《On The Run》（1980，达马塞纳·帕提拉杰 Darmasena Pathiraja）,[Para Dige](https://movie.douban.com/subject/11612089/),1980, ,Darmasena Pathiraja,英迪拉·甘地 / Vasanthi Chathurani / Vijaya Kumaratunga, ,斯里兰卡
186,182,《The Exquisite Hour》（1994，菲利普·所罗门 Philip Solomon）,[The Exquisite Hour](https://movie.douban.com/subject/2141280/),1994, ,菲利普 S. 所罗门, ,短片,美国
187,182,《一个明星的诞生》（1954，乔治·库克 George Cukor）,[一个明星的诞生 A Star Is Born](https://movie.douban.com/subject/1295619/),1954,7.7,乔治·库克,朱迪·加兰 / 詹姆斯·梅森 / 杰克·卡森,剧情 / 爱情 / 歌舞,美国
188,182,《一切安好》（1972，让-吕克·戈达尔 Jean-Luc Godard）,[一切安好 Tout va bien](https://movie.douban.com/subject/1401582/),1972,7.7,让-吕克·戈达尔 / 让-皮埃尔·戈兰,伊夫·蒙当 / 简·方达 / 维托里奥·卡布里奥利,剧情,法国/意大利
189,182,《一千零一夜》（1974，皮埃尔·保罗·帕索里尼 Pier Paolo Pasolini）,[一千零一夜 Il fiore delle mille e una notte](https://movie.douban.com/subject/1294654/),1974,7.4,皮埃尔·保罗·帕索里尼,尼内托·达沃利 / 弗兰科·奇蒂 / 弗兰科·梅利,剧情 / 喜剧 / 历史 / 爱情 / 奇幻,意大利/法国
190,182,《一江春水向东流》（1947，蔡楚生 / 郑君里 Chusheng Cai / Junli Zheng）,[一江春水向东流 一江春水向東流](https://movie.douban.com/subject/1389915/),1947,8.5,蔡楚生 / 郑君里,白杨 / 陶金 / 舒绣文,剧情,中国大陆
191,182,《七宗罪》（1995，大卫·芬奇 David Fincher）,[七宗罪 Se7en](https://movie.douban.com/subject/1292223/),1995,8.8,大卫·芬奇,摩根·弗里曼 / 布拉德·皮特 / 凯文·史派西,剧情 / 犯罪 / 悬疑 / 惊悚,美国
192,182,《万世魔星》（1979，特里·琼斯 Terry Jones）,[万世魔星 Life of Brian](https://movie.douban.com/subject/1292881/),1979,8.0,特瑞·琼斯,格雷厄姆·查普曼 / 约翰·克里斯 / 特瑞·吉列姆,喜剧,英国
193,182,《三傻大闹宝莱坞》（2009，拉库马·希拉尼 Rajkumar Hirani）,[三傻大闹宝莱坞 3 Idiots](https://movie.douban.com/subject/3793023/),2009,9.2,拉吉库马尔·希拉尼,阿米尔·汗 / 卡琳娜·卡普尔 / 马达范,剧情 / 喜剧 / 爱情 / 歌舞,印度
194,182,《三里塚边田部落》（2012，小川绅介 Shinsuke Ogawa）,[三里塚 边田部落 三里塚 辺田部落](https://movie.douban.com/subject/1845753/),1973,8.8,小川绅介, ,纪录片,日本
