Index,Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
891,"End of Summer, The",🎉892,🎉936,Yasujiro Ozu,[小早川家之秋 小早川家の秋](https://movie.douban.com/subject/1306069/),🌟8.2,小津安二郎 / 中村雁治郎 / 原节子 / 司叶子 / 剧情 / 日本 / 1961,1961,Japan,Drama,[The End of Summer](https://www.imdb.com/title/tt0055052/),🌟7.7
892,"Asthenic Syndrome, The",🎉893,🎉1041,Kira Muratova,[衰弱症 Астенический синдром](https://movie.douban.com/subject/1901908/),🌟8.0,琪拉·穆拉托娃 Kira Muratova / Olga Antonova / Sergei Popov / Galina Zakhurdayeva / 剧情 / 苏联 / 1990,1989,USSR,Drama,[The Asthenic Syndrome](https://www.imdb.com/title/tt0096841/),🌟6.6
893,Mikey and Nicky,🎉894,🎉1231,Elaine May,[麦基与尼基 Mikey and Nicky](https://movie.douban.com/subject/1855308/),🌟7.8,伊莲·梅 / 彼得·法尔克 / 约翰·卡萨维蒂 / 尼德·巴蒂 / 剧情 / 美国 / 1976,1976,USA,Drama-Crime,[Mikey and Nicky](https://www.imdb.com/title/tt0074901/),🌟7.4
894,"Red and the White, The",🎉895,🎉1173,Miklós Jancsó,"[红军与白军 Csillagosok, katonák](https://movie.douban.com/subject/1301261/)",🌟8.2,米克洛什·扬索 / 约瑟夫·毛道劳什 / 蒂博尔·莫尔纳 / 安德拉斯·科扎克 / 剧情 / 战争 / 匈牙利/苏联 / 1967,1967,Hungary-USSR,War-Drama,[The Red and the White](https://www.imdb.com/title/tt0061537/),🌟7.6
895,My Little Loves,🎉896,🎉921,Jean Eustache,[我的小情人 Mes petites amoureuses](https://movie.douban.com/subject/1547099/),🌟7.2,让·厄斯塔什 / 马丁·劳博 / Jacqueline Dufranne / Dionys Mascolo / 剧情 / 法国 / 1974,1974,France,Drama,[My Little Loves](https://www.imdb.com/title/tt0071833/),🌟7.2
896,Amores perros,🎉897,🎉791,Alejandro González Iñárritu,[爱情是狗娘 Amores perros](https://movie.douban.com/subject/1292216/),🌟8.2,亚利桑德罗·冈萨雷斯·伊纳里多 / 盖尔·加西亚·贝纳尔 / Emilio Echevarría / Álvaro Guerrero / 剧情 / 惊悚 / 墨西哥 / 2000,2000,Mexico,Drama,[Amores Perros](https://www.imdb.com/title/tt0245712/),🌟8.1
897,Sideways,🎉898,🎉763,Alexander Payne,[杯酒人生 Sideways](https://movie.douban.com/subject/1291833/),🌟7.9,亚历山大·佩恩 / 保罗·吉亚玛提 / 托马斯·哈登·丘奇 / 维吉妮娅·马德森 / 剧情 / 喜剧 / 爱情 / 美国/匈牙利 / 2004,2004,USA,Drama-Comedy,[Sideways](https://www.imdb.com/title/tt0375063/),🌟7.5
898,Ceddo,🎉899,🎉1210,Ousmane Sembene,[外来人 Ceddo](https://movie.douban.com/subject/1962587/),🌟,乌斯曼·塞姆班 / Tabata Ndiaye / Moustapha Yade / Ismaila Diagne / 剧情 / 塞内加尔 / 1979,1977,Senegal-France,Drama-Political,[Ceddo](https://www.imdb.com/title/tt0077309/),🌟6.7
899,Showgirls,🎉900,🎉1335,Paul Verhoeven,[艳舞女郎 Showgirls](https://movie.douban.com/subject/1297320/),🌟7.1,保罗·范霍文 / 伊丽莎白·伯克利 / 凯尔·麦克拉克伦 / 吉娜·格申 / 剧情 / 情色 / 法国/美国 / 1995,1995,USA-France,Drama,[Showgirls](https://www.imdb.com/title/tt0114436/),🌟5
900,Monty Python and the Holy Grail,🎉901,🎉651,Terry & Terry Jones Gilliam,[巨蟒与圣杯 Monty Python and the Holy Grail](https://movie.douban.com/subject/1294917/),🌟7.9,特瑞·吉列姆 / 特瑞·琼斯 / 格雷厄姆·查普曼 / 约翰·克里斯 / 艾瑞克·爱都 / 喜剧 / 奇幻 / 冒险 / 英国 / 1975,1975,UK,History-Comedy,[Monty Python and the Holy Grail](https://www.imdb.com/title/tt0071853/),🌟8.2
901,Wendy and Lucy,🎉902,🎉1200,Kelly Reichardt,[温蒂和露西 Wendy and Lucy](https://movie.douban.com/subject/3047754/),🌟7.7,凯莉·莱卡特 / 米歇尔·威廉姆斯 / Lucy / David Koppell / 剧情 / 美国 / 2008,2008,USA,Drama,[Wendy and Lucy](https://www.imdb.com/title/tt1152850/),🌟7.1
902,Cría cuervos,🎉903,🎉849,Carlos Saura,[饲养乌鸦 Cría cuervos](https://movie.douban.com/subject/1303813/),🌟8.5,卡洛斯·绍拉 / 杰拉丁·卓别林 / 莫妮卡·兰达利 / 弗洛琳达·奇科 / 剧情 / 西班牙 / 1976,1976,Spain,Drama-Crime-Mystery,[Cría Cuervos](https://www.imdb.com/title/tt0074360/),🌟7.9
903,Anatomy of a Murder,🎉904,🎉875,Otto Preminger,[桃色血案 Anatomy of a Murder](https://movie.douban.com/subject/1293177/),🌟8.2,奥托·普雷明格 / 詹姆斯·斯图尔特 / 丽·莱米克 / 本·戈扎那 / 剧情 / 犯罪 / 悬疑 / 美国 / 1959,1959,USA,Drama,[Anatomy of a Murder](https://www.imdb.com/title/tt0052561/),🌟8
904,People on Sunday,🎉905,🎉1380,Robert & Edgar G. Ulmer Siodmak,[星期天的人们 Menschen am Sonntag](https://movie.douban.com/subject/1940179/),🌟7.5,罗伯特·西奥德梅克 / 埃德加·G·乌默 / 埃尔文·施普勒特施特塞尔 / 布里吉特·博尔夏特 / 沃尔夫冈·封·瓦尔特斯豪森 / 剧情 / 喜剧 / 爱情 / 德国 / 1930,1930,Germany,Romance-Comedy-Drama,[People on Sunday](https://www.imdb.com/title/tt0020163/),🌟7.3
905,"Criminal Life of Archibaldo de la Cruz, The",🎉906,🎉876,Luis Buñuel,[犯罪生涯 Ensayo de un crimen](https://movie.douban.com/subject/1437408/),🌟7.8,路易斯·布努埃尔 / 米洛丝拉娃 / 埃内斯托·阿隆索 / 丽塔·马塞多 / 喜剧 / 犯罪 / 剧情 / 墨西哥 / 1955,1955,Mexico,Drama-Crime,[The Criminal Life of Archibaldo de la Cruz](https://www.imdb.com/title/tt0048037/),🌟7.6
906,Night of the Demon,🎉907,🎉740,Jacques Tourneur,[恶魔之夜 Night of the Demon](https://movie.douban.com/subject/1305431/),🌟7.3,雅克·特纳 / 达纳·安德鲁斯 / 佩吉·卡明斯 / 尼尔·麦吉尼斯 / 恐怖 / 英国 / 1957,1957,UK-USA,Horror-Mystery,[Curse of the Demon](https://www.imdb.com/title/tt0050766/),🌟7.4
907,Mothlight,🎉908,🎉1235,Stan Brakhage,[飞蛾之光 Mothlight](https://movie.douban.com/subject/1463715/),🌟7.0,斯坦·布拉哈格 / 短片 / 美国 / 2004,1963,USA,Short,[Mothlight](https://www.imdb.com/title/tt0057324/),🌟6.2
908,Zorns Lemma,🎉909,🎉1435,Hollis Frampton,[佐恩引理 Zorn's Lemma](https://movie.douban.com/subject/1722722/),🌟7.8,荷利斯·法朗普顿 / Rosemarie Castoro / Ginger Michels / Marcia Steinbrecher / 纪录片 / 美国 / 1970,1970,USA,Avant-Garde,[Zorns Lemma](https://www.imdb.com/title/tt0131149/),🌟6.5
909,From the Clouds to the Resistance,🎉910,🎉1222,Jean-Marie & Danièle Huillet Straub,[从云端到反抗 Dalla nube alla resistenza](https://movie.douban.com/subject/2978169/),🌟7.9,达尼埃尔·于伊耶 / 让-马里·斯特劳布 / 奥林匹娅·卡尔立斯 / Guido Lombardi / Gino Felici / 剧情 / 意大利/西德/英国/法国 / 1979,1979,Italy-West Germany-UK-France,Drama,[From the Cloud to the Resistance](https://www.imdb.com/title/tt0079023/),🌟6.5
910,Tongues Untied,🎉911,🎉1640,Marlon Riggs,[舌头不打结 Tongues Untied](https://movie.douban.com/subject/1304347/),🌟8.0,Marlon Riggs / 纪录片 / 美国 / 1990,1989,USA,Documentary,[Tongues Untied](https://www.imdb.com/title/tt0103099/),🌟7.1
911,Cemetery of Splendour,🎉912,🎉1248,Apichatpong Weerasethakul,[幻梦墓园 รักที่ขอนแก่น](https://movie.douban.com/subject/21323277/),🌟7.6,阿彼察邦·韦拉斯哈古 / 金吉拉·潘帕斯 / 班罗普·洛罗伊 / 剧情 / 泰国/英国/法国/德国/马来西亚/韩国/墨西哥/美国/挪威 / 2015,2015,Thailand-UK-Germany-France-Malaysia-South Korea-Mexico-USA-Norway,Drama-Fantasy,[Cemetery of Splendor](https://www.imdb.com/title/tt2818654/),🌟6.8
912,Deep Red,🎉913,🎉983,Dario Argento,[夜深血红 Profondo rosso](https://movie.douban.com/subject/1299898/),🌟7.7,达里奥·阿基多 / 戴维·海明斯 / 达里亚·尼科洛迪 / 加布里埃莱·拉维亚 / 犯罪 / 悬疑 / 恐怖 / 意大利 / 1975,1975,Italy,Thriller-Horror-Mystery,[Deep Red](https://www.imdb.com/title/tt0073582/),🌟7.5
913,Simon of the Desert,🎉914,🎉884,Luis Buñuel,[沙漠中的西蒙 Simón del desierto](https://movie.douban.com/subject/1302911/),🌟8.0,路易斯·布努埃尔 / 克劳迪奥·布鲁克 / 西尔维娅·皮纳尔 / 恩里克·阿尔瓦雷斯·费利克斯 / 短片 / 剧情 / 历史 / 墨西哥 / 1965,1965,Mexico,Short-Drama-Comedy,[Simon of the Desert](https://www.imdb.com/title/tt0059719/),🌟7.9
914,Saving Private Ryan,🎉915,🎉701,Steven Spielberg,[拯救大兵瑞恩 Saving Private Ryan](https://movie.douban.com/subject/1292849/),🌟9.1,史蒂文·斯皮尔伯格 / 汤姆·汉克斯 / 汤姆·塞兹摩尔 / 爱德华·伯恩斯 / 剧情 / 战争 / 美国 / 1998,1998,USA,War-Drama-Action,[Saving Private Ryan](https://www.imdb.com/title/tt0120815/),🌟8.6
915,Othello,🎉916,🎉815,Orson Welles,[奥赛罗 The Tragedy of Othello: The Moor of Venice](https://movie.douban.com/subject/1296289/),🌟7.8,奥逊·威尔斯 / 米歇尔·麦克利亚姆莫伊尔 / 罗伯托·库特 / 奥逊·威尔斯 / 剧情 / 爱情 / 美国/意大利/法国/摩洛哥 / 1951,1951,Italy-Morocco-USA,Drama,[Othello](https://www.imdb.com/title/tt0045251/),🌟7.5
916,Atlantics,🎉917,🎉4025,Mati Diop,[大西洋 Atlantique](https://movie.douban.com/subject/33413905/),🌟6.4,玛缇·迪欧普 / 阿卜杜·巴尔德 / 艾敏纳特·卡纳 / 伊布拉西马·姆巴耶 / 剧情 / 法国/塞内加尔/比利时 / 2019,2019,France-Senegal-Belgium,Drama,[Atlantics](https://www.imdb.com/title/tt10199586/),🌟6.7
917,7th Heaven,🎉918,🎉938,Frank Borzage,[第七天堂 7th Heaven](https://movie.douban.com/subject/1300790/),🌟8.0,弗兰克·鲍沙其 / 珍妮·盖诺 / 查尔斯·法莱尔 / 本·巴德 / 剧情 / 爱情 / 战争 / 美国 / 1927,1927,USA,Romance-Drama-War,[7th Heaven](https://www.imdb.com/title/tt0018379/),🌟7.6
