Index,年度十佳,排名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,制片国家/地区
212,2001年,5,[我要回家 Je rentre à la maison](https://movie.douban.com/subject/1297155/),2001.0,7.0, 曼努埃尔·德·奥利维拉, 米歇尔·皮科利 / 凯瑟琳·德纳芙 / 约翰·马尔科维奇, 喜剧 / 剧情, 法国/葡萄牙
213,2001年,6A,[站台](https://movie.douban.com/subject/1291850/),2000.0,8.4, 贾樟柯, 王宏伟 / 赵涛 / 梁景东, 剧情 / 历史, 中国大陆/中国香港/日本/法国
214,2001年,6B,"[浩劫之后其二：索比堡 Sobibór, 14 octobre 1943, 16 heures](https://movie.douban.com/subject/1307515/)",2001.0,7.3, 克洛德·朗兹曼, Yehuda Lerner, 纪录片 / 历史, 法国
215,2001年,8,[狂野天真 Sauvage innocence](https://movie.douban.com/subject/1304340/),2001.0,7.4, 菲利普·加瑞尔, Mehdi Belhaj Kacem / Julia Faure / 米歇尔·索博, 剧情, 法国/荷兰
216,2001年,9,[儿子的房间 La stanza del figlio](https://movie.douban.com/subject/1306524/),2001.0,7.9, 南尼·莫莱蒂, 南尼·莫莱蒂 / 劳拉·莫兰特 / 杰丝敏·特丽卡, 剧情 / 悬疑 / 家庭, 法国/意大利
217,2001年,10,[惊惧圣诞 'R Xmas](https://movie.douban.com/subject/1297215/),2001.0,6.8, 阿贝尔·费拉拉, 德瑞·德·玛泰 / 李洛·布兰卡托 / Lisa Valens, 犯罪 / 剧情, 美国/法国
218,2000年,1,[伊斯特·康 Esther Kahn](https://movie.douban.com/subject/1303448/),2000.0,7.9, 阿诺·戴普勒尚, 莎莫·菲尼克斯 / 伊安·霍姆 / 法布里斯·德斯普里钦, 剧情 / 爱情, 法国/英国
219,2000年,2,[迷惑 La Captive](https://movie.douban.com/subject/1303443/),2000.0,7.3, 香特尔·阿克曼, 斯坦尼斯拉斯·莫哈 / 西尔维·泰斯蒂 / 奥利维亚·波纳梅, 剧情 / 爱情 / 音乐, 法国/比利时
220,2000年,3,[月亮上的男人 Man on the Moon](https://movie.douban.com/subject/1300185/),1999.0,7.8, 米洛斯·福尔曼, 金·凯瑞 / 格里·贝克尔 / 格雷森·埃里克·彭德拉, 传记 / 喜剧 / 剧情, 英国/德国/日本/美国
221,2000年,4,[火星任务 Mission to Mars](https://movie.douban.com/subject/1303447/),2000.0,7.6, 布莱恩·德·帕尔玛, 加里·西尼斯 / 蒂姆·罗宾斯 / 唐·钱德尔, 冒险 / 剧情 / 科幻 / 惊悚, 美国
222,2000年,5,[花样年华 花樣年華](https://movie.douban.com/subject/1291557/),2000.0,8.7, 王家卫, 梁朝伟 / 张曼玉 / 潘迪华, 剧情 / 爱情, 中国香港
223,2000年,6,[家庭私小说 M/OTHER](https://movie.douban.com/subject/1303445/),1999.0,7.8, 诹访敦彦, 渡边真起子 / 三浦友和 / 高橋隆大, 剧情, 日本
224,2000年,7A,[处女之死 The Virgin Suicides](https://movie.douban.com/subject/1297894/),1999.0,7.5, 索菲亚·科波拉, 克斯汀·邓斯特 / 凯瑟琳·特纳 / 乔什·哈奈特, 剧情 / 爱情 / 悬疑, 美国
225,2000年,7B,[一一](https://movie.douban.com/subject/1292434/),2000.0,9.1, 杨德昌, 吴念真 / 李凯莉 / 金燕玲, 剧情 / 爱情 / 家庭, 中国台湾/日本
226,2000年,9,[太空牛仔 Space Cowboys](https://movie.douban.com/subject/1301444/),2000.0,7.5, 克林特·伊斯特伍德, 克林特·伊斯特伍德 / 汤米·李·琼斯 / 唐纳德·萨瑟兰, 冒险 / 惊悚, 美国/澳大利亚
227,2000年,10,[上帝啊，真笨！ Les savates du bon Dieu](https://movie.douban.com/subject/1958642/),2000.0,7.6, 让-克洛德·布里索, Coralie Revel / Michèle Ernou / Emile Abossolo M'bo, 喜剧 / 剧情 / 爱情, 法国
228,1999年,1,[大开眼戒 Eyes Wide Shut](https://movie.douban.com/subject/1300275/),1999.0,8.1, 斯坦利·库布里克, 汤姆·克鲁斯 / 妮可·基德曼 / 麦迪逊·埃金顿, 剧情 / 悬疑 / 惊悚 / 情色, 英国/美国
229,1999年,2,[随风而逝 باد ما را خواهد برد](https://movie.douban.com/subject/1303444/),1999.0,8.1, 阿巴斯·基亚罗斯塔米, 纳格·阿萨迪 / 贝赫扎德·杜兰 / 罗沙·卡拉姆埃尔米, 剧情, 伊朗/法国
230,1999年,3,[西西里岛 Sicilia!](https://movie.douban.com/subject/1303446/),1999.0,7.8, 达尼埃尔·于伊耶 / 让-马里·斯特劳布, Gianni Buscarino / Angela Nugara / Vittorio Vigneri, 剧情, 意大利/法国/德国
231,1999年,4,[感官游戏 eXistenZ](https://movie.douban.com/subject/1299213/),1999.0,7.2, 大卫·柯南伯格, 詹妮弗·杰森·李 / 裘德·洛 / 伊安·霍姆, 冒险 / 科幻 / 惊悚, 英国/法国/加拿大
232,1999年,5,[夜风 Le vent de la nuit](https://movie.douban.com/subject/1447035/),1999.0,7.4, 菲利普·加瑞尔, 凯瑟琳·德纳芙 / 丹尼尔·杜瓦尔 / 泽维尔·布瓦, 剧情, 法国/意大利/瑞士
233,1999年,6,[迫切的任务 True Crime](https://movie.douban.com/subject/1296415/),1999.0,7.2, 克林特·伊斯特伍德, 克林特·伊斯特伍德 / 艾赛亚·华盛顿 / 丽莎盖伊·汉密尔顿, 犯罪 / 剧情 / 悬疑 / 惊悚, 美国
234,1999年,7,[情归何处 La Lettre](https://movie.douban.com/subject/1303450/),1999.0,7.1, 曼努埃尔·德·奥利维拉, 齐雅拉·马斯楚安尼 / 佩德罗·安布郎霍萨 / Antoine Chappey, 剧情, 法国/葡萄牙/西班牙
235,1999年,8,[史崔特先生的故事 The Straight Story](https://movie.douban.com/subject/1298506/),1999.0,8.6, 大卫·林奇, 茜茜·斯派塞克 / Jane Galloway Heitz / Joseph A. Carpenter, 剧情 / 传记, 法国/英国/美国
236,1999年,9,[鬼狗杀手 Ghost Dog: The Way of the Samurai](https://movie.douban.com/subject/1303449/),1999.0,7.7, 吉姆·贾木许, 福里斯特·惠特克 / 约翰·托尔梅 / 克里夫·戈曼, 犯罪 / 剧情 / 惊悚, 法国/德国/美国/日本
237,1999年,10,[上帝的婚礼 As Bodas de Deus](https://movie.douban.com/subject/1303455/),1999.0,7.7, 约阿·凯撒·蒙泰罗, 约阿·凯撒·蒙泰罗 / Rita Durão / Joana Azevedo, 喜剧, 法国/葡萄牙
238,1998年,1,[海上花](https://movie.douban.com/subject/1303451/),1998.0,8.2, 侯孝贤, 梁朝伟 / 羽田美智子 / 刘嘉玲, 剧情, 中国台湾/日本
239,1998年,2,[肝脏大夫 カンゾー先生](https://movie.douban.com/subject/1303452/),1998.0,8.0, 今村昌平, 柄本明 / 麻生久美子 / 雅克·冈布兰, 喜剧 / 剧情 / 历史 / 战争, 日本/法国
240,1998年,3A,[午夜善恶花园 Midnight in the Garden of Good and Evil](https://movie.douban.com/subject/1297513/),1997.0,7.0, 克林特·伊斯特伍德, 约翰·库萨克 / 凯文·史派西 / 杰克·汤普森, 剧情 / 犯罪 / 悬疑 / 惊悚 / 同性, 美国
241,1998年,3B,[秋天的故事 Conte d'automne](https://movie.douban.com/subject/1294140/),1998.0,8.5, 埃里克·侯麦, 玛丽·里维埃 / 碧翠丝·罗曼德 / 艾莉西亚·波特尔, 剧情 / 爱情, 法国
242,1998年,5A,[不安 Inquietude](https://movie.douban.com/subject/1780558/),1998.0,7.0, 曼努埃尔·德·奥利维拉, Afonso Araújo / Leonor Araújo / Leonor Baldaque, 剧情, 葡萄牙/法国/西班牙/瑞士
