Index,年度十佳,排名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,制片国家/地区
353,1988年,6,[雾中风景 Τοπίο στην ομίχλη](https://movie.douban.com/subject/1294252/),1988.0,9.0, 西奥·安哲罗普洛斯, 米哈利斯·齐克 / 塔尼娅·帕拉依奥罗葛 / 斯特拉托斯·楚措格卢, 剧情, 希腊/法国/意大利
354,1988年,7,[声音与愤怒 De bruit et de fureur](https://movie.douban.com/subject/1909689/),1988.0,7.6, 让-克洛德·布里索, 布律诺·克雷梅 / 弗朗索瓦·尼格雷特 / Vincent Gasperitsch, 剧情, 法国
355,1988年,8,[基督最后的诱惑 The Last Temptation of Christ](https://movie.douban.com/subject/1292889/),1988.0,7.8, 马丁·斯科塞斯, 威廉·达福 / 哈威·凯特尔 / Paul Greco, 剧情, 加拿大/美国
356,1988年,9,[无辜者 Les innocents](https://movie.douban.com/subject/1958489/),1987.0,6.8, 安德烈·泰希内, 桑德里娜·博内尔 / 让-克洛德·布里亚利 / 西蒙德拉卜若思, 剧情, 法国
357,1988年,10,[女人韵事 Une affaire de femmes](https://movie.douban.com/subject/1303526/),1988.0,8.2, 克洛德·夏布洛尔, 伊莎贝尔·于佩尔 / 弗朗索瓦·克鲁塞 / 玛丽·特兰蒂尼昂, 剧情, 法国
358,1987年,1,[在撒旦的阳光下 Sous le soleil de Satan](https://movie.douban.com/subject/1410735/),1987.0,7.3, 莫里斯·皮亚拉, 热拉尔·德帕迪约 / 桑德里娜·博内尔 / 莫里斯·皮亚拉, 剧情 / 奇幻, 法国
359,1987年,2A,[柏林苍穹下 Der Himmel über Berlin](https://movie.douban.com/subject/1292504/),1987.0,8.6, 维姆·文德斯, 布鲁诺·冈茨 / 索尔维格·多马尔坦 / 奥托·山德尔, 奇幻 / 剧情 / 爱情, 西德/法国
360,1987年,2B,[访谈录 Intervista](https://movie.douban.com/subject/1303528/),1987.0,7.9, 费德里科·费里尼, 赛尔乔·鲁比尼 / 安东内拉·蓬西亚尼 / Maurizio Mein, 剧情 / 喜剧 / 奇幻, 意大利
361,1987年,2C,[恩培多克勒之死 Der Tod des Empedokles oder: Wenn dann der Erde Grün von neuem Euch erglänzt](https://movie.douban.com/subject/1958480/),1987.0,8.0, 达尼埃尔·于伊耶 / 让-马里·斯特劳布, 威廉姆·伯格 / Georg Brintrup / 霍华德·沃侬, 剧情, 法国/西德
362,1987年,5,[末代皇帝 The Last Emperor](https://movie.douban.com/subject/1293172/),1987.0,9.3, 贝纳尔多·贝托鲁奇, 尊龙 / 陈冲 / 邬君梅, 剧情 / 传记 / 历史, 英国/意大利/中国大陆/法国
363,1987年,6A,[光之翼 Yeelen](https://movie.douban.com/subject/1429098/),1987.0,7.7, 苏莱曼·西塞, Issiaka Kane / Aoua Sangare / Niamanto Sanogo, 剧情, 马里/布基纳法索/法国/西德
364,1987年,6B,[双姝奇缘 4 aventures de Reinette et Mirabelle](https://movie.douban.com/subject/1421309/),1987.0,8.7, 埃里克·侯麦, 若埃勒·米凯尔 / 杰西卡·福德 / 菲利普·劳登巴赫, 剧情 / 喜剧, 法国
365,1987年,6C,[全金属外壳 Full Metal Jacket](https://movie.douban.com/subject/1300055/),1987.0,8.6, 斯坦利·库布里克, 马修·莫迪恩 / 亚当·鲍德温 / 文森特·多诺费奥, 剧情 / 战争, 英国/美国
366,1987年,9,[弥撒终了 La messa è finita](https://movie.douban.com/subject/1303530/),1985.0,7.2, 南尼·莫莱蒂, 南尼·莫莱蒂 / 费鲁乔·德切雷萨 / 马可·梅塞里, 喜剧 / 剧情, 意大利
367,1987年,10A,[加里里的婚礼 Urs al-jalil](https://movie.douban.com/subject/1763549/),1987.0,7.2, Michel Khleifi, Juliano Mer / Yussuf Abu-Warda / Mohamad Ali El Akili, 剧情, 比利时/法国/以色列
368,1987年,10B,[葡萄牙式再见 Um Adeus Português](https://movie.douban.com/subject/1958482/),1986.0, , 若昂·伯特洛, Isabel de Castro / Ruy Furtado / Maria Cabral, 剧情, 葡萄牙
369,1987年,10C,[金钱本色 The Color of Money](https://movie.douban.com/subject/1297692/),1986.0,7.3, 马丁·斯科塞斯, 保罗·纽曼 / 汤姆·克鲁斯 / 玛丽·伊丽莎白·马斯特兰托尼奥, 剧情 / 运动, 美国
370,1987年,10D,蓝丝绒 Blue Velvet,1987, ,大卫·林奇, , ,美国
371,1987年,10E,[李尔王 King Lear](https://movie.douban.com/subject/1790786/),1987.0,7.5, 让-吕克·戈达尔, 伍迪·艾伦 / 弗雷迪·布歇 / 莱奥·卡拉克斯, 喜剧 / 剧情 / 科幻, 美国
372,1986年,1,[绿光 Le rayon vert](https://movie.douban.com/subject/1294039/),1986.0,8.1, 埃里克·侯麦, 艾琳.申科布莱恩 / 玛丽·里维埃 / 碧翠丝·罗曼德, 剧情 / 爱情, 法国
373,1986年,2A,[苏拉姆城堡的传说 ამბავი სურამის ციხისა](https://movie.douban.com/subject/1417918/),1985.0,8.2, 谢尔盖·帕拉杰诺夫 / 多多·阿巴希泽, 韦丽科·安贾帕里泽 / Tamari Tsitsishvili / Dudukhana Tserodze, 剧情, 苏联
374,1986年,2B,[牺牲 Offret](https://movie.douban.com/subject/1294531/),1986.0,8.8, 安德烈·塔可夫斯基, 厄兰·约瑟夫森 / 苏珊·弗利特伍德 / 艾伦·埃德渥, 剧情, 瑞典/法国/英国
375,1986年,4,[双重绅士 Double messieurs](https://movie.douban.com/subject/1958477/),1996.0, , 让-弗朗索瓦·斯泰弗南, 卡洛尔·布盖 / 让-弗朗索瓦·斯泰弗南 / 卡洛尔·布盖, 剧情 / 喜剧, 法国
376,1986年,5A,[坏血 Mauvais sang](https://movie.douban.com/subject/1301678/),1986.0,8.2, 莱奥·卡拉克斯, 米歇尔·皮科利 / 朱丽叶·比诺什 / 德尼·拉旺, 剧情 / 爱情 / 犯罪, 法国
377,1986年,5B,[缅因海 Maine-Océan](https://movie.douban.com/subject/1958478/),1986.0,7.0, 雅克·罗齐耶, 贝尔纳·梅内斯 / 伊夫·阿封索 / Lydia Feld, 喜剧, 法国
378,1986年,7,[圣女泰蕾丝 Thérèse](https://movie.douban.com/subject/1470740/),1986.0,7.8, 阿兰·卡瓦利埃, 凯瑟琳·蒙切特 / Hélène Alexandridis / Aurore Prieto, 剧情, 法国
379,1986年,8,[犯罪现场 Le lieu du crime](https://movie.douban.com/subject/1301666/),1986.0,6.8, 安德烈·泰希内, 凯瑟琳·德纳芙 / 达尼埃尔·达里约 / 沃达克·斯坦克才克, 剧情, 法国
380,1986年,9A,[迷乱 Désordre](https://movie.douban.com/subject/1796640/),1986.0,7.3, 奥利维耶·阿萨亚斯, Wadeck Stanczak / 安-吉赛尔·格拉斯 / 卢卡斯·贝尔沃克斯, 剧情 / 音乐, 法国
381,1986年,9B,[夜之守护者 Gardien de la nuit](https://movie.douban.com/subject/1421793/),1986.0, , Jean-Pierre Limosin, 让-菲利普·艾科菲 / 奥蕾勒·多阿藏 / Nicolas Silberg, 剧情, 法国
382,1986年,9C,[阿尔卑斯的激情 Höhenfeuer](https://movie.douban.com/subject/1958479/),1985.0,7.3, 弗兰迪-M.米偌, Thomas Nock / Johanna Lier / Dorothea Moritz, 剧情, 瑞士
383,1986年,9D,[下班后 After Hours](https://movie.douban.com/subject/1303531/),1985.0,8.2, 马丁·斯科塞斯, 格里芬·邓恩 / 罗姗娜·阿奎特 / 弗娜·布鲁姆, 剧情 / 喜剧 / 惊悚, 美国
384,1986年,9E,[小电影盛衰记 Grandeur et décadence d'un petit commerce de cinéma](https://movie.douban.com/subject/2141784/),1986.0,6.9, 让-吕克·戈达尔, 让-皮埃尔·莫基 / Marie Valera / 让-皮埃尔·利奥德, 犯罪 / 惊悚, 法国/瑞士
385,1985年,1,"[向玛丽致敬 'Je vous salue, Marie'](https://movie.douban.com/subject/1301677/)",1985.0,7.5, 让-吕克·戈达尔, 朱丽叶·比诺什 / 米里昂·鲁塞尔 / Thierry Rode, 剧情, 法国/瑞士/英国
386,1985年,2,[侦探 Détective](https://movie.douban.com/subject/1294124/),1985.0,6.7, 让-吕克·戈达尔, 洛朗·特兹弗 / 奥蕾勒·多阿藏 / 让-皮埃尔·利奥德, 喜剧 / 犯罪 / 剧情, 法国/瑞士
387,1985年,3,[龙年 Year of the Dragon](https://movie.douban.com/subject/1294212/),1985.0,6.6, 迈克尔·西米诺, 米基·洛克 / 尊龙 / 安丽妮·科祖米, 动作 / 犯罪 / 剧情, 美国
388,1985年,4,[排演之后 Efter repetitionen](https://movie.douban.com/subject/1437025/),1984.0,7.4, 英格玛·伯格曼, 厄兰·约瑟夫森 / 英格丽·图林 / 莉娜·奥琳, 剧情, 瑞典/西德
389,1985年,5,[爱的激流 Love Streams](https://movie.douban.com/subject/1303532/),1984.0,8.1, 约翰·卡萨维蒂, 约翰·卡萨维蒂 / 吉娜·罗兰兹 / 西摩·卡塞尔, 喜剧 / 剧情, 美国
390,1985年,6,[家与世界 Ghare-Baire](https://movie.douban.com/subject/1466138/),1984.0,7.5, 萨蒂亚吉特·雷伊, 松米特拉·查特吉 / 维克多·班纳杰 / Swatilekha Chatterjee, 剧情, 印度
391,1985年,7,[可怕的情人 Les amants terribles](https://movie.douban.com/subject/1958475/),1984.0, , 丹尼尔·达布洛克斯 / Stavros Kaplanidis, Stanko Molnar / Jean-Noël Picq / 丹尼尔·达布洛克斯, 剧情, 法国
392,1985年,8,[孩子们 Les Enfants](https://movie.douban.com/subject/1958476/),1985.0,7.6, 玛格丽特·杜拉斯, Axel Bogousslavsky / 丹尼尔·盖林 / Tatiana Moukhine, 剧情, 法国
393,1985年,9,[乱](https://movie.douban.com/subject/1296196/),1985.0,8.9, 黑泽明, 仲代达矢 / 寺尾聪 / 根津甚八, 剧情 / 动作, 日本/法国
394,1985年,10A,[情陷夜巴黎 Rendez-vous](https://movie.douban.com/subject/1301675/),1985.0,6.7, 安德烈·泰希内, 朱丽叶·比诺什 / 朗贝尔·维尔森 / 沃达克·斯坦克才克, 剧情 / 爱情 / 情色, 法国
395,1985年,10B,[月神的宠儿 Les favoris de la lune](https://movie.douban.com/subject/1757934/),1985.0,7.9, 奥塔·埃索里亚尼, 卡特娅·卢佩 / Alix de Montaigu / François Michel, 犯罪 / 剧情, 意大利/苏联/法国
396,1984年,1,[圆月映花都 Les nuits de la pleine lune](https://movie.douban.com/subject/1292619/),1984.0,7.9, 埃里克·侯麦, 帕斯卡·欧吉尔 / 切基·卡尤 / 法布莱斯·鲁奇尼, 剧情 / 爱情, 法国
397,1984年,2,[阶级关系 Klassenverhältnisse](https://movie.douban.com/subject/1419900/),1984.0,7.8, 达尼埃尔·于伊耶 / 让-马里·斯特劳布, Christian Heinisch / Nazzareno Bianconi / 马里奥·阿多夫, 剧情, 西德/法国
398,1984年,3A,"[自由，夜 Liberté, la nuit](https://movie.douban.com/subject/1958472/)",1984.0,7.3, 菲利普·加瑞尔, 埃玛妞·丽娃 / 莫里斯·加瑞尔 / 克里斯蒂娜·布瓦松, 剧情, 法国
399,1984年,3B,[芳名卡门 Prénom Carmen](https://movie.douban.com/subject/1294341/),1983.0,7.8, 让-吕克·戈达尔, 玛鲁施卡·迪特马斯 / 贾克·鲍那非 / 米里昂·鲁塞尔, 喜剧 / 犯罪 / 剧情 / 音乐 / 爱情, 法国
400,1984年,3C,[35年之后 Biquefarre](https://movie.douban.com/subject/1958473/),1983.0, , 乔治·鲁基耶, Henri Rouquier / Maria Rouquier / Roger Malet, 剧情 / 纪录片, 法国
401,1984年,6,[斗鱼 Rumble Fish](https://movie.douban.com/subject/1297347/),1983.0,8.1, 弗朗西斯·福特·科波拉, 马特·狄龙 / 米基·洛克 / 戴安·琳恩, 剧情, 美国
402,1984年,7A,[船续前行 E la nave va](https://movie.douban.com/subject/1303533/),1983.0,8.3, 费德里科·费里尼, 弗雷迪·琼斯 / 芭芭拉·杰夫德 / Victor Poletti, 剧情 / 历史 / 音乐, 意大利/法国
403,1984年,7B,[太空先锋 The Right Stuff](https://movie.douban.com/subject/1293371/),1983.0,7.9, 菲利普·考夫曼, 丹尼斯·奎德 / 山姆·夏普德 / 斯科特·格伦, 冒险 / 剧情 / 历史, 美国
404,1984年,7C,"[德州巴黎 Paris, Texas](https://movie.douban.com/subject/1302061/)",1984.0,8.5, 维姆·文德斯, 哈利·戴恩·斯坦通 / 萨姆·贝瑞 / 伯恩哈德·维基, 剧情, 西德/法国/英国/美国
405,1984年,10,[美国往事 Once Upon a Time in America](https://movie.douban.com/subject/1292262/),1984.0,9.2, 赛尔乔·莱昂内, 罗伯特·德尼罗 / 詹姆斯·伍兹 / 伊丽莎白·麦戈文, 犯罪 / 剧情, 美国/意大利
406,1983年,1A,[钱 L'argent](https://movie.douban.com/subject/1303536/),1983.0,8.3, 罗伯特·布列松, 克里斯蒂安·佩蒂 / Vincent Risterucci / Caroline Lang, 剧情 / 犯罪, 法国/瑞士
407,1983年,1B,关于我们的爱情 À nos amours,1983, ,莫里斯·皮亚拉, , ,法
408,1983年,3A,[战场上的快乐圣诞 Merry Christmas Mr. Lawrence](https://movie.douban.com/subject/1303535/),1983.0,8.8, 大岛渚, 大卫·鲍伊 / 汤姆·康蒂 / 坂本龙一, 剧情 / 战争 / 同性, 英国/新西兰/日本
409,1983年,3B,[残酷的游戏 Un jeu brutal](https://movie.douban.com/subject/1909714/),1983.0,7.5, 让-克洛德·布里索, 布律诺·克雷梅 / Emmanuelle Debever / María Luisa García, 剧情, 法国
410,1983年,5A,[沙滩上的宝莲 Pauline à la plage](https://movie.douban.com/subject/1303534/),1983.0,8.1, 埃里克·侯麦, 阿曼达·朗格勒 / 阿丽尔·朵巴丝勒 / 帕斯卡尔·格雷戈里, 喜剧 / 剧情 / 爱情, 法国
411,1983年,5B,[喜剧之王 The King of Comedy](https://movie.douban.com/subject/1292772/),1982.0,8.5, 马丁·斯科塞斯, 罗伯特·德尼罗 / 杰瑞·刘易斯 / 戴安娜·阿伯特, 喜剧 / 剧情 / 犯罪, 美国
412,1983年,7A,[水手的三枚硬币 Les trois couronnes du matelot](https://movie.douban.com/subject/1303537/),1983.0,7.5, 劳尔·鲁伊斯, Jean-Bernard Guillard / Philippe Deplanche / Jean Badin, 剧情 / 奇幻, 法国
413,1983年,7B,[逃亡之路 Faux fuyants](https://movie.douban.com/subject/1815674/),1983.0, , Alain Bergala / Jean-Pierre Limosin, 奥利维尔·佩里耶 / Rachel Rachel / Serge De Closets, , 法国
414,1983年,7C,[秘密的孩子 L'enfant secret](https://movie.douban.com/subject/1447040/),1982.0,7.4, 菲利普·加瑞尔, 安妮·维亚泽姆斯基 / 亨利·德莫布朗 / 春·林登迈尔, 剧情, 法国
415,1983年,10A,[芬妮与亚历山大 Fanny och Alexander](https://movie.douban.com/subject/1292784/),1982.0,8.7, 英格玛·伯格曼, 克里斯蒂娜·阿道夫森 / 伯杰·阿斯特 / 佩妮娜·奥威, 剧情, 法国/瑞典/西德
416,1983年,10B,[自助餐 Cracking Up](https://movie.douban.com/subject/1958471/),1983.0, , 杰瑞·刘易斯, 杰瑞·刘易斯 / 米尔顿·伯利 / 小萨米·戴维斯, 喜剧, 美国
417,1982年,1,[城里的房间 Une chambre en ville](https://movie.douban.com/subject/2969886/),1982.0,6.6, 雅克·德米, 多米妮克·桑达 / 达尼埃尔·达里约 / 米歇尔·皮科利, 剧情 / 歌舞, 法国
418,1982年,2A,[月光 Moonlighting](https://movie.douban.com/subject/1471667/),1982.0,8.0, 杰兹·斯科利莫夫斯基, 杰瑞米·艾恩斯 / 尤金·里皮斯基 / 大卫·卡尔德, 剧情, 英国
419,1982年,2B,[受难记 Passion](https://movie.douban.com/subject/1293027/),1982.0,7.3, 让-吕克·戈达尔, 伊莎贝尔·于佩尔 / 汉娜·许古拉 / 米歇尔·皮科利, 喜剧 / 剧情, 法国/瑞士
420,1982年,4,[白狗 White Dog](https://movie.douban.com/subject/2241829/),1982.0,7.8, 塞缪尔·富勒, 克里斯蒂·麦克尼科尔 / 詹姆森·帕克 / 卡尔·刘易斯·米勒, 剧情 / 恐怖 / 惊悚, 美国
421,1982年,5A,[一个女人的身份证明 Identificazione di una donna](https://movie.douban.com/subject/1358418/),1982.0,7.1, 米开朗基罗·安东尼奥尼, 托马斯·米连 / 达妮埃拉·西尔韦里奥 / 克里斯蒂娜·布瓦松, 剧情 / 爱情, 意大利/法国
422,1982年,5B,[北方的桥 Le Pont du nord](https://movie.douban.com/subject/2214336/),1981.0,7.5, 雅克·里维特, 布鲁·欧吉尔 / 帕斯卡·欧吉尔 / 皮埃尔·克里蒙地, 喜剧 / 奇幻 / 悬疑, 法国
423,1982年,5C,[石榴的颜色 Նռան գույնը](https://movie.douban.com/subject/1303542/),1969.0,8.7, 谢尔盖·帕拉杰诺夫, 索菲柯·齐阿乌列里 / 米尔克·阿尔克桑亚 / 维勒·加尔斯特亚, 剧情 / 传记 / 历史, 苏联
424,1982年,8A,[帕西法尔 Parsifal](https://movie.douban.com/subject/1303539/),1982.0,8.1, 汉斯-于尔根·西贝尔伯格, Armin Jordan / Robert Lloyd / Michael Kutter, 剧情 / 音乐, 西德/法国
425,1982年,8B,[水手的三枚硬币 Les trois couronnes du matelot](https://movie.douban.com/subject/1303537/),1983.0,7.5, 劳尔·鲁伊斯, Jean-Bernard Guillard / Philippe Deplanche / Jean Badin, 剧情 / 奇幻, 法国
426,1982年,10,[好姻缘 Le beau mariage](https://movie.douban.com/subject/1296813/),1982.0,7.4, 埃里克·侯麦, 碧翠丝·罗曼德 / 安德烈·杜索里埃 / 费奥多尔·阿特金, 喜剧 / 剧情 / 爱情, 法国
427,1981年,1A,[弗兰西斯卡 Francisca](https://movie.douban.com/subject/1827342/),1981.0,7.4, 曼努埃尔·德·奥利维拉, Teresa Menezes / Diogo Dória / 马里奥·巴罗索, 剧情 / 传记, 葡萄牙
428,1981年,1B,[飞行员的妻子 La Femme de l'aviateur](https://movie.douban.com/subject/1296976/),1981.0,8.2, 埃里克·侯麦, 菲利普·玛劳德 / 玛丽·里维埃 / 安妮-劳蕾 默里, 喜剧 / 剧情 / 爱情, 法国
429,1981年,3A,[一个可笑人物的悲剧 La tragedia di un uomo ridicolo](https://movie.douban.com/subject/1303538/),1981.0,6.5, 贝纳尔多·贝托鲁奇, 乌戈·托尼亚齐 / 阿努克·艾梅 / 劳拉·莫兰特, 剧情 / 犯罪 / 悬疑, 意大利
430,1981年,3B,[美国旅馆 Hôtel des Amériques](https://movie.douban.com/subject/1301663/),1981.0,6.7, 安德烈·泰希内, 凯瑟琳·德纳芙 / 帕特里克·迪瓦尔 / 伊什尼·齐科特, 剧情 / 爱情, 法国
431,1981年,5A,[德国，苍白的母亲 Deutschland bleiche Mutter](https://movie.douban.com/subject/1903081/),1980.0,7.9, 贺玛·桑德斯-勃拉姆斯, 恩斯特·雅各比 / 埃娃·马特斯 / Elisabeth Stepanek, 剧情, 西德
432,1981年,5B,[隔墙花 La femme d'à côté](https://movie.douban.com/subject/1296563/),1981.0,7.1, 弗朗索瓦·特吕弗, 热拉尔·德帕迪约 / 芬妮·阿尔丹 / 亨利·加尔辛, 剧情 / 爱情, 法国
433,1981年,7,[潜行者 Сталкер](https://movie.douban.com/subject/1295656/),1979.0,8.8, 安德烈·塔可夫斯基, 亚历山大·凯伊达诺夫斯基 / 阿丽萨·弗雷因德利赫 / 安纳托利·索洛尼岑, 剧情 / 科幻 / 悬疑, 苏联
434,1981年,8A,[中间人 Jana Aranya](https://movie.douban.com/subject/1958469/),1976.0, ,萨蒂亚吉特·雷伊,Pradip Mukherjee / Rafiq Ahmed / S. Bagchi / 阿吉特·班纳吉 / Krishna Banerjee / Sachin Banerjee / Samaresh Banerjee / Sudip Banerjee / Satya Bannerjee / Gita Basu / Arati Bhattacharya / Sachin Bhattacharya / Umanath Bhattacharya / Jatish Bhora / Rajen Brijnath / 莉莉·查克拉博蒂 / 迪潘卡尔·戴伊 / 乌特帕尔·道特 / 桑托什·杜塔 / 罗比·高希 / 阿帕纳·珊,剧情,印度
435,1981年,8B,[愤怒的公牛 Raging Bull](https://movie.douban.com/subject/1293155/),1980.0,8.4, 马丁·斯科塞斯, 罗伯特·德尼罗 / 凯西·莫拉蒂 / 乔·佩西, 剧情 / 传记 / 运动, 美国
436,1981年,10A,[巴勒摩或沃夫斯堡 Palermo oder Wolfsburg](https://movie.douban.com/subject/1303540/),1980.0,7.6, 沃纳·施罗德, Nicola Zarbo / 奥托·山德尔 / 伊妲·迪·贝尼代托, 剧情, 瑞士/西德
437,1981年,10B,[我们一起游荡在夜的黑暗中，然后被烈火吞噬 In girum imus nocte et consumimur igni](https://movie.douban.com/subject/1758475/),1978.0,7.7, 居伊·德波, , 纪录片, 法国
438,1981年,10C,[女煞葛洛莉 Gloria](https://movie.douban.com/subject/1293439/),1980.0,7.6, 约翰·卡萨维蒂, 吉娜·罗兰兹 / 巴克·亨利 / 朱莉·卡门, 犯罪 / 剧情 / 惊悚, 美国
439,1981年,10D,[鸽之翼 Les ailes de la colombe](https://movie.douban.com/subject/1958470/),1981.0, , 伯努瓦·雅克, 伊莎贝尔·于佩尔 / 多米妮克·桑达 / 米凯莱·普拉奇多, 剧情 / 爱情, 法国
440,1968年,1,[安娜·玛格达丽娜·巴赫的编年史 Chronik der Anna Magdalena Bach](https://movie.douban.com/subject/1418714/),1968.0,7.8, 达尼埃尔·于伊耶 / 让-马里·斯特劳布, Eckart Bruntjen / Rainer Kirchner / 古斯塔夫·莱昂哈, 传记 / 剧情 / 历史 / 音乐, 西德/意大利
441,1968年,2,[革命前夕 Prima della rivoluzione](https://movie.douban.com/subject/1462409/),1964.0,7.6, 贝纳尔多·贝托鲁奇, Evelina Alpi / 詹尼·阿米科 / 阿德里娅娜·阿斯蒂, 剧情 / 爱情, 意大利
442,1968年,3,[边缘 The Edge](https://movie.douban.com/subject/1958461/),1968.0, , 罗伯特·克拉莫, Tom Griffin / Howard Loeb Babeuf / Jeff Weiss, 剧情, 美国
443,1968年,4,[勾魂慑魄 Histoires extraordinaires](https://movie.douban.com/subject/1293858/),1968.0,7.3, 费德里科·费里尼 / 路易·马勒 / 罗杰·瓦迪姆, 碧姬·芭铎 / 阿兰·德龙 / 简·方达, 剧情 / 悬疑 / 恐怖, 法国/意大利
444,1968年,5,[不能像这样死 Il ne faut pas mourir pour ça](https://movie.douban.com/subject/1958463/),1967.0, , 吉恩·皮埃尔·勒菲弗, Lucille Bélanger / Monique Champagne / Suzanne Grossman, 剧情 / 喜剧, 加拿大
445,1968年,6,[白天的统治 Le règne du jour](https://movie.douban.com/subject/1958464/),1967.0, , 皮埃尔·佩罗, Alexis Tremblay / Marie Tremblay / Léopold Tremblay, 纪录片, 加拿大
446,1968年,7,[障碍 Bariera](https://movie.douban.com/subject/1958465/),1966.0,7.5, 杰兹·斯科利莫夫斯基, 乔安娜·什切尔比茨 / 扬·诺维茨基 / 塔德乌什·罗姆尼斯基, 剧情 / 喜剧, 波兰
447,1968年,8,[偷吻 Baisers volés](https://movie.douban.com/subject/1298197/),1968.0,7.9, 弗朗索瓦·特吕弗, 让-皮埃尔·利奥德 / 德菲因·塞里格 / 克洛德·雅德, 剧情 / 爱情 / 喜剧, 法国
448,1968年,9,[旋风骑士 Ride In The Whirlwind](https://movie.douban.com/subject/1958466/),1966.0,7.1, 蒙特·赫尔曼, 卡梅隆·米切尔 / 米莉·佩金斯 / 杰克·尼科尔森, 西部, 美国
449,1968年,10,[黑衣新娘 La mariée était en noir](https://movie.douban.com/subject/1303544/),1968.0,7.1, 弗朗索瓦·特吕弗, 让娜·莫罗 / 米歇尔·布凯 / 让-克洛德·布里亚利, 犯罪 / 剧情 / 悬疑, 法国/意大利
450,1968年,10,[走私犯 Les contrebandières](https://movie.douban.com/subject/1958467/),1968.0, , 吕克·慕莱, Françoise Vatel / Monique Thiriet / Johnny Monteilhet, 喜剧, 法国
451,1967年,1,[假面 Persona](https://movie.douban.com/subject/1294438/),1966.0,8.8, 英格玛·伯格曼, 毕比·安德松 / 丽芙·乌曼 / 玛格丽塔·克罗克, 剧情 / 惊悚, 瑞典
452,1967年,2,[白日美人 Belle de jour](https://movie.douban.com/subject/1301649/),1967.0,7.6, 路易斯·布努埃尔, 凯瑟琳·德纳芙 / 让·索雷尔 / 米歇尔·皮科利, 剧情 / 情色, 法国/意大利
453,1967年,3,[周末 Week End](https://movie.douban.com/subject/1296338/),1967.0,8.0, 让-吕克·戈达尔, 米蕾叶·达尔克 / 让·雅南 / 琼-皮尔里·卡尔弗恩, 喜剧 / 剧情, 法国/意大利
454,1967年,4,[以弓猎狮 La Chasse au lion à l'arc](https://movie.douban.com/subject/1437401/),1965.0,8.5, 让·鲁什, Tahirou Koro / Issiaka Moussa / Belébia Moussa, 纪录片, 法国
455,1967年,5,[玩乐时间 Play Time](https://movie.douban.com/subject/1303543/),1967.0,8.8, 雅克·塔蒂, 雅克·塔蒂 / Barbara Dennek / France Rumilly, 喜剧, 法国/意大利
456,1967年,6,[大嘴巴 The Big Mouth](https://movie.douban.com/subject/1958460/),1967.0, , 杰瑞·刘易斯, 杰瑞·刘易斯 / 哈罗德·J.斯通 / Susan Bay, 喜剧 / 动作 / 犯罪, 美国
457,1967年,7,[女教徒 La Religieuse](https://movie.douban.com/subject/1421931/),1966.0,7.9, 雅克·里维特, 安娜·卡里娜 / 莉泽洛特·普尔韦尔 / 米切林内·普雷斯利, 剧情, 法国
458,1967年,7A,[雏菊 Sedmikrásky](https://movie.douban.com/subject/1296500/),1966.0,8.5, 维拉·希蒂洛娃, 雅罗斯拉夫·库切拉 / 伊万娜·卡尔班诺娃 / 埃斯特尔·克伦巴赫乔娃, 喜剧 / 剧情, 捷克斯洛伐克
459,1967年,9,[我略知她一二 2 ou 3 choses que je sais d'elle](https://movie.douban.com/subject/1300964/),1967.0,7.5, 让-吕克·戈达尔, 安妮·杜普蕾 / 玛丽娜·维拉迪 / Joseph Gehrard, 喜剧 / 剧情, 法国
460,1967年,10,[中国姑娘 La chinoise](https://movie.douban.com/subject/1302589/),1967.0,7.5, 让-吕克·戈达尔, 安妮·维亚泽姆斯基 / 让-皮埃尔·利奥德 / 朱丽叶·贝尔托, 喜剧 / 剧情, 法国
461,1966年,1,[驴子巴特萨 Au hasard Balthazar](https://movie.douban.com/subject/1401619/),1966,8.3, 罗伯特·布列松, 安妮·维亚泽姆斯基 / Walter Green / François Lafarge, 剧情, 法国/瑞典
462,1966年,2,[轻取 Walkower](https://movie.douban.com/subject/3022619/),1965,7.2, 杰兹·斯科利莫夫斯基, 杰兹·斯科利莫夫斯基 / Aleksandra Zawieruszanka / Krzysztof Chamiec, 剧情 / 运动, 波兰
463,1966年,3,[没有和解 Nicht versöhnt oder Es hilft nur Gewalt wo Gewalt herrscht](https://movie.douban.com/subject/1850440/),1965,7.5, 让-马里·斯特劳布 / 达尼埃尔·于伊耶, Heinrich Hargesheimer / Carlheinz Hargesheimer / Martha Staendner, 剧情, 西德
464,1966年,4,[男性，女性 Masculin féminin](https://movie.douban.com/subject/1300522/),1966,8.0, 让-吕克·戈达尔, 让-皮埃尔·利奥德 / 香妲儿·戈雅 / 玛尔琳·若贝尔, 剧情, 法国/瑞典
465,1966年,5,[短发男人 De man die zijn haar kort liet knippen](https://movie.douban.com/subject/2300409/),1965, , 安德烈·德尔沃, Senne Rouffaer / 贝娅塔·蒂希基维茨 / Hector Camerlynck, 剧情, 比利时
466,1966年,6,[七女人 7 Women](https://movie.douban.com/subject/1825702/),1966,7.3, 约翰·福特, 安妮·班克罗夫特 / 苏·莱恩 / 玛格丽特·莱顿, 剧情, 美国
