Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
66,豆瓣2017年度冷门佳片,1,莫娣,9.10,爱尔兰 加拿大, ,艾斯林·沃什 / 莎莉·霍金斯 / 伊桑·霍克
67,豆瓣2017年度冷门佳片,2,炙热,8.30,印度 美国 英国, ,莉娜·亚达夫 / 阿迪勒·侯赛因 / 塔妮莎·查特吉
68,豆瓣2017年度冷门佳片,3,契克,8.40,德国, ,法提赫·阿金 / 特里斯坦·勾贝尔 / 阿南德·巴特比勒格
69,豆瓣2017年度冷门佳片,4,沃伦,8.30,波兰, ,沃伊切赫·斯玛若夫斯基 / 米卡丽娜·拉巴克斯 / 阿尔卡迪乌什·雅库比克
70,豆瓣2017年度冷门佳片,5,起跑线,7.90,印度, ,萨基特·乔杜里 / 伊尔凡·可汗 / 萨巴·卡玛尔
71,豆瓣2017年度冷门佳片,6,以女儿之名,8.40,法国 德国, ,文森特·贾洪 / 丹尼尔·奥特伊 / 塞巴斯蒂安·科赫
72,豆瓣2017年度冷门佳片,7,天才少女,8.30,美国, ,马克·韦布 / 克里斯·埃文斯 / 麦肯娜·格瑞丝
73,豆瓣2017年度冷门佳片,8,流浪猫鲍勃,7.90,英国, ,罗杰·斯波蒂斯伍德 / 卢克·崔德威 / 猫鲍勃
74,豆瓣2017年度冷门佳片,9,我去哪儿？,8.10,意大利, ,热纳罗·努基阿德 / 切柯·扎罗内 / 埃莉奥诺拉·吉奥瓦纳迪
75,豆瓣2017年度冷门佳片,10,女教师,8.10,斯洛伐克 捷克, ,扬·霍布雷克 / 苏珊娜·莫拉利 / 苏珊娜·科内希纳
76, , , , , , , 
77,豆瓣2017评分最高的韩国电影,1,我能说,8.80,韩国, ,金炫锡 / 罗文姬 / 李帝勋
78,豆瓣2017评分最高的韩国电影,2,我们的世界,8.40,韩国, ,尹佳恩 / 崔秀仁 / 薛惠茵
79,豆瓣2017评分最高的韩国电影,3,军舰岛,7.90,韩国, ,柳昇完 / 黄政民 / 苏志燮
80,豆瓣2017评分最高的韩国电影,4,南汉山城,7.90,韩国, ,黄东赫 / 李秉宪 / 金允石
81,豆瓣2017评分最高的韩国电影,5,恋爱谈,7.80,韩国, ,李贤珠 / 李相喜 / 柳善英
82,豆瓣2017评分最高的韩国电影,6,之后,7.60,韩国, ,洪常秀 / 赵允熙 / 金玺碧
83,豆瓣2017评分最高的韩国电影,7,王者,7.80,韩国, ,韩在林 / 赵寅成 / 郑雨盛
84,豆瓣2017评分最高的韩国电影,8,潘多拉,7.60,韩国, ,朴正祐 / 金南佶 / 金珠贤
85,豆瓣2017评分最高的韩国电影,9,被操纵的城市,7.50,韩国, ,朴光铉 / 池昌旭 / 沈恩敬
86,豆瓣2017评分最高的韩国电影,10,独自在夜晚的海边,7.70,韩国, ,洪常秀 / 金敏喜 / 徐永嬅
87, , , , , , , 
88,豆瓣2017评分最高的日本电影,1,人生密密缝,8.50,日本, ,荻上直子 / 生田斗真 / 桐谷健太
89,豆瓣2017评分最高的日本电影,2,家族之苦2,8.40,日本, ,山田洋次 / 桥爪功 / 吉行和子
90,豆瓣2017评分最高的日本电影,3,生存家族,8.00,日本, ,矢口史靖 / 小日向文世 / 深津绘里
91,豆瓣2017评分最高的日本电影,4,深夜食堂2,8.00,日本, ,松冈锭司 / 小林薰 / 河井青叶
92,豆瓣2017评分最高的日本电影,5,帝一之国,8.10,日本, ,永井聪 / 菅田将晖 / 野村周平
93,豆瓣2017评分最高的日本电影,6,啊，荒野 前篇,8.40,日本, ,岸善幸 / 菅田将晖 / 梁益准
94,豆瓣2017评分最高的日本电影,7,怒,7.70,日本, ,李相日 / 渡边谦 / 森山未来
