Title 电影,Rank 排名,Score 打分,Year 年份
[狼的孩子雨和雪 / Wolf Children](https://www.themoviedb.org/movie/110420),🎉101,🌟82.36,2013
[安逸人生 / Il Sorpasso](https://www.themoviedb.org/movie/24188),🎉102,🌟82.34,1990
[假面 / Persona](https://www.themoviedb.org/movie/797),🎉103,🌟82.00,1967
[桃色公寓 / The Apartment](https://www.themoviedb.org/movie/284),🎉104,🌟82.26,1960
[寻梦环游记 / Coco](https://www.themoviedb.org/movie/354912),🎉105,🌟82.22,2017
[朝花夕誓：于离别之朝束起约定之花 / Maquia: When the Promised Flower Blooms](https://www.themoviedb.org/movie/476292),🎉106,🌟82.00,2018
[控方证人 / Witness for the Prosecution](https://www.themoviedb.org/movie/37257),🎉107,🌟82.21,1957
[闪灵 / The Shining](https://www.themoviedb.org/movie/694),🎉108,🌟82.00,1980
[防弹少年团世界巡回演唱会：在首尔爱自己 / BTS World Tour: Love Yourself in Seoul](https://www.themoviedb.org/movie/568300),🎉109,🌟82.19,2019
[紫罗兰永恒花园外传：永远与自动手记人偶 / Violet Evergarden: Eternity and the Auto Memory Doll](https://www.themoviedb.org/movie/610892),🎉110,🌟82.16,2020
[无耻混蛋 / Inglourious Basterds](https://www.themoviedb.org/movie/16869),🎉111,🌟82.15,2009
[汉密尔顿 / Hamilton](https://www.themoviedb.org/movie/556574),🎉112,🌟82.00,2020
[偷自行车的人 / Bicycle Thieves](https://www.themoviedb.org/movie/5156),🎉113,🌟82.13,1999
[发条橙 / A Clockwork Orange](https://www.themoviedb.org/movie/185),🎉114,🌟82.13,1971
[角斗士 / Gladiator](https://www.themoviedb.org/movie/98),🎉115,🌟82.10,2000
[拯救大兵瑞恩 / Saving Private Ryan](https://www.themoviedb.org/movie/857),🎉116,🌟82.09,1998
[黑客帝国 / The Matrix](https://www.themoviedb.org/movie/603),🎉117,🌟82.07,1999
[致命魔术 / The Prestige](https://www.themoviedb.org/movie/1124),🎉118,🌟82.04,2006
[星球大战1：新希望 / Star Wars](https://www.themoviedb.org/movie/11),🎉119,🌟82.04,1981
[我在雨中等你 / The Art of Racing in the Rain](https://www.themoviedb.org/movie/522924),🎉120,🌟82.02,2019
[相助 / The Help](https://www.themoviedb.org/movie/50014),🎉121,🌟82.02,2011
[禁闭岛 / Shutter Island](https://www.themoviedb.org/movie/11324),🎉122,🌟82.00,2010
[东京物语 / Tokyo Story](https://www.themoviedb.org/movie/18148),🎉123,🌟81.99,1972
[第七封印 / The Seventh Seal](https://www.themoviedb.org/movie/490),🎉124,🌟82.00,1958
[血战钢锯岭 / Hacksaw Ridge](https://www.themoviedb.org/movie/324786),🎉125,🌟81.95,2016
[非常嫌疑犯 / The Usual Suspects](https://www.themoviedb.org/movie/629),🎉126,🌟82.00,1995
[寻子遇仙记 / The Kid](https://www.themoviedb.org/movie/10098),🎉127,🌟81.94,1921
[热辣奇多的诞生 / Flamin' Hot](https://www.themoviedb.org/movie/626332),🎉128,🌟81.90,2023
[对一个不容怀疑的公民的调查 / Investigation of a Citizen Above Suspicion](https://www.themoviedb.org/movie/26451),🎉129,🌟81.90,1970
[记忆碎片 / Memento](https://www.themoviedb.org/movie/77),🎉130,🌟81.88,2001
[扎克·施奈德版正义联盟 / Zack Snyder's Justice League](https://www.themoviedb.org/movie/791373),🎉131,🌟81.87,2021
[少年的你 / Better Days](https://www.themoviedb.org/movie/575813),🎉132,🌟81.86,2019
[我的英雄学院：英雄崛起 / My Hero Academia: Heroes Rising](https://www.themoviedb.org/movie/592350),🎉133,🌟81.83,2020
[咒术回战 0 / Jujutsu Kaisen 0](https://www.themoviedb.org/movie/810693),🎉134,🌟81.82,2022
[婚姻生活 / Scenes from a Marriage](https://www.themoviedb.org/movie/133919),🎉135,🌟81.82,1974
[吉尔莫·德尔·托罗的匹诺曹 / Guillermo del Toro's Pinocchio](https://www.themoviedb.org/movie/555604),🎉136,🌟81.81,2022
[潜行者 / Stalker](https://www.themoviedb.org/movie/1398),🎉137,🌟82.00,2017
[何以为家 / Capernaum](https://www.themoviedb.org/movie/517814),🎉138,🌟81.77,2018
"[星条红与皇室蓝 / Red, White & Royal Blue](https://www.themoviedb.org/movie/930094)",🎉139,🌟81.79,2023
[迷魂记 / Vertigo](https://www.themoviedb.org/movie/426),🎉140,🌟81.76,1958
[燃烧女子的肖像 / Portrait of a Lady on Fire](https://www.themoviedb.org/movie/531428),🎉141,🌟81.75,2019
[多哥 / Togo](https://www.themoviedb.org/movie/606856),🎉142,🌟81.74,2019
[被解救的姜戈 / Django Unchained](https://www.themoviedb.org/movie/68718),🎉143,🌟81.72,2012
"[瓢虫少女 / Miraculous World: New York, United HeroeZ](https://www.themoviedb.org/movie/755812)",🎉144,🌟81.71,2020
[雨中曲 / Singin' in the Rain](https://www.themoviedb.org/movie/872),🎉145,🌟81.69,1952
[卡萨布兰卡 / Casablanca](https://www.themoviedb.org/movie/289),🎉146,🌟81.69,1943
[无间道风云 / The Departed](https://www.themoviedb.org/movie/1422),🎉147,🌟81.68,2006
[请以你的名字呼唤我 / Call Me by Your Name](https://www.themoviedb.org/movie/398818),🎉148,🌟81.67,2017
[小丑 / Joker](https://www.themoviedb.org/movie/475557),🎉149,🌟81.66,2019
[疤面煞星 / Scarface](https://www.themoviedb.org/movie/111),🎉150,🌟81.66,1983
[八部半 / 8½](https://www.themoviedb.org/movie/422),🎉151,🌟81.65,1963
[鹬 / Piper](https://www.themoviedb.org/movie/399106),🎉152,🌟81.64,2016
[你给的仇恨 / The Hate U Give](https://www.themoviedb.org/movie/470044),🎉153,🌟81.60,2018
[与神同行2：因与缘 / Along with the Gods: The Last 49 Days](https://www.themoviedb.org/movie/518068),🎉154,🌟82.00,2018
[迈克尔·杰克逊：颤栗 / Michael Jackson's Thriller](https://www.themoviedb.org/movie/92060),🎉155,🌟81.57,1983
[归家：碧昂斯电影作品 / Homecoming: A Film by Beyoncé](https://www.themoviedb.org/movie/593691),🎉156,🌟82.00,2019
[帕尔默 / Palmer](https://www.themoviedb.org/movie/458220),🎉157,🌟81.55,2021
[出租车司机 / Taxi Driver](https://www.themoviedb.org/movie/103),🎉158,🌟82.00,1976
[紫心之恋 / Purple Hearts](https://www.themoviedb.org/movie/762975),🎉159,🌟81.54,2022
[大都会 / Metropolis](https://www.themoviedb.org/movie/19),🎉160,🌟81.53,2010
[奇迹男孩 / Wonder](https://www.themoviedb.org/movie/406997),🎉161,🌟81.52,2017
[困在时间里的父亲 / The Father](https://www.themoviedb.org/movie/600354),🎉162,🌟81.51,2021
[我的朋友们 / My Friends](https://www.themoviedb.org/movie/20914),🎉163,🌟81.50,1976
[真人快打传奇：蝎子的复仇 / Mortal Kombat Legends: Scorpion's Revenge](https://www.themoviedb.org/movie/664767),🎉164,🌟81.49,2020
[异形 / Alien](https://www.themoviedb.org/movie/348),🎉165,🌟81.49,1979
[相信我：被诱拐的丽莎·麦克维 / Believe Me: The Abduction of Lisa McVey](https://www.themoviedb.org/movie/550776),🎉166,🌟81.48,2018
[心灵奇旅 / Soul](https://www.themoviedb.org/movie/508442),🎉167,🌟81.48,2020
[心灵捕手 / Good Will Hunting](https://www.themoviedb.org/movie/489),🎉168,🌟81.48,1997
[山椒大夫 / Sansho the Bailiff](https://www.themoviedb.org/movie/20532),🎉169,🌟81.00,1955
[博·伯纳姆：隔离在家 / Bo Burnham: Inside](https://www.themoviedb.org/movie/823754),🎉170,🌟81.38,2021
[为美好的世界献上祝福！红传说 / KONOSUBA – God's blessing on this wonderful world! Legend of Crimson](https://www.themoviedb.org/movie/532067),🎉171,🌟81.00,2019
