Title 电影,Director 导演,Rank 排名,Score 打分,Alias 别名,Year 年份,Region 地区,Genre 类型
[两杆大烟枪](https://movie.douban.com/subject/1293350/),盖·里奇 Guy Ritchie,🎉068,🌟9.1,"Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",1998,英国,剧情 喜剧 犯罪
[西西里的美丽传说](https://movie.douban.com/subject/1292402/),朱塞佩·托纳多雷 Giuseppe Tornatore,🎉069,🌟8.9,Malèna / 真爱伴我行(台)  /  玛莲娜,2000,意大利 美国,剧情 战争 情色
[看不见的客人](https://movie.douban.com/subject/26580232/),奥里奥尔·保罗 Oriol Paulo,🎉070,🌟8.8,Contratiempo / 死无对证(港)  /  布局(台),2016,西班牙,剧情 犯罪 悬疑 惊悚
[音乐之声](https://movie.douban.com/subject/1294408/),罗伯特·怀斯 Robert Wise,🎉071,🌟9.1,The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台),1965,美国,剧情 传记 爱情 歌舞
[阿凡达](https://movie.douban.com/subject/1652587/),詹姆斯·卡梅隆 James Cameron,🎉072,🌟8.8,Avatar / ,2009,美国,动作 科幻 冒险
[拯救大兵瑞恩](https://movie.douban.com/subject/1292849/),史蒂文·斯皮尔伯格 Steven Spielberg,🎉073,🌟9.1,Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台),1998,美国,剧情 战争
[哈利·波特与死亡圣器(下)](https://movie.douban.com/subject/3011235/),大卫·叶茨 David Yates,🎉074,🌟9.0,Harry Potter and the Deathly Hallows: Part 2 / 哈利波特7：死神的圣物2(港 / 台),2011,美国 英国,奇幻 冒险
[飞越疯人院](https://movie.douban.com/subject/1292224/),米洛斯·福尔曼 Miloš Forman,🎉075,🌟9.1,One Flew Over the Cuckoo's Nest / 飞越杜鹃窝(台)  /  飞越喜鹊巢,1975,美国,剧情
[小鞋子](https://movie.douban.com/subject/1303021/),马基德·马基迪 Majid Majidi,🎉076,🌟9.2,بچه های آسمان / 天堂的孩子  /  小童鞋,1997,伊朗,剧情 儿童 家庭
[沉默的羔羊](https://movie.douban.com/subject/1293544/),乔纳森·戴米 Jonathan Demme,🎉077,🌟8.9,The Silence of the Lambs / 沉默的羔羊,1991,美国,剧情 犯罪 惊悚
[布达佩斯大饭店](https://movie.douban.com/subject/11525673/),韦斯·安德森 Wes Anderson,🎉078,🌟8.9,The Grand Budapest Hotel / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),2014,美国 德国 英国,剧情 喜剧 冒险
[禁闭岛](https://movie.douban.com/subject/2334904/),Martin Scorsese,🎉079,🌟8.9,Shutter Island / 不赦岛(港)  /  隔离岛(台),2010,美国,剧情 悬疑 惊悚
[功夫](https://movie.douban.com/subject/1291543/),周星驰 Stephen Chow,🎉080,🌟8.8,功夫3D  /  Kung Fu Hustle,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
[蝴蝶效应](https://movie.douban.com/subject/1292343/),埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,🎉081,🌟8.9,The Butterfly Effect / 蝴蝶效应,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
[致命魔术](https://movie.douban.com/subject/1780330/),克里斯托弗·诺兰 Christopher Nolan,🎉082,🌟8.9,The Prestige / 死亡魔法(港)  /  顶尖对决(台),2006,英国 美国,剧情 悬疑 惊悚
[哈利·波特与阿兹卡班的囚徒](https://movie.douban.com/subject/1291544/),Alfonso Cuarón,🎉083,🌟8.9,Harry Potter and the Prisoner of Azkaban / 哈利波特3：阿兹卡班的逃犯(港 / 台),2004,英国 美国,奇幻 冒险
[心灵捕手](https://movie.douban.com/subject/1292656/),格斯·范·桑特 Gus Van Sant,🎉084,🌟8.9,Good Will Hunting / 骄阳似我(港)  /  心灵捕手,1997,美国,剧情
[超脱](https://movie.douban.com/subject/5322596/),托尼·凯耶 Tony Kaye,🎉085,🌟9.0,Detachment / 人间师格(台),2011,美国,剧情
[海豚湾](https://movie.douban.com/subject/3442220/),路易·西霍尤斯 Louie Psihoyos,🎉086,🌟9.3,The Cove / 血色海湾(台)  /  海湾,2009,美国,纪录片
[低俗小说](https://movie.douban.com/subject/1291832/),昆汀·塔伦蒂诺 Quentin Tarantino,🎉087,🌟8.9,Pulp Fiction / 危险人物(港)  /  黑色追缉令(台),1994,美国,剧情 喜剧 犯罪
[春光乍泄](https://movie.douban.com/subject/1292679/),王家卫 Kar Wai Wong,🎉088,🌟9.0,春光乍洩 / 一起快乐  /  Happy Together,1997,中国香港 日本 韩国,剧情 爱情 同性
[摩登时代](https://movie.douban.com/subject/1294371/),查理·卓别林 Charles Chaplin,🎉089,🌟9.3,Modern Times / The Masses  /  Les Temps modernes,1936,美国,剧情 喜剧 爱情
[美国往事](https://movie.douban.com/subject/1292262/),赛尔乔·莱翁内 Sergio Leone,🎉090,🌟9.2,Once Upon a Time in America / 四海兄弟(台)  /  义薄云天(港),1984,美国 意大利,犯罪 剧情
[喜剧之王](https://movie.douban.com/subject/1302425/),周星驰 Stephen Chow / 李力持 Lik-Chi Lee,🎉091,🌟8.8,喜劇之王 / King of Comedy,1999,中国香港,喜剧 剧情 爱情
[致命ID](https://movie.douban.com/subject/1297192/),詹姆斯·曼高德 James Mangold,🎉092,🌟8.9,Identity / 杀人游戏  /  致命身份,2003,美国,剧情 悬疑 惊悚
[杀人回忆](https://movie.douban.com/subject/1300299/),奉俊昊 Joon-ho Bong,🎉093,🌟8.9,살인의 추억 / 谋杀回忆  /  杀手回忆录,2003,韩国,剧情 动作 犯罪 悬疑 惊悚
[七宗罪](https://movie.douban.com/subject/1292223/),大卫·芬奇 David Fincher,🎉094,🌟8.8,Se7en / 火线追缉令(台)  /  7宗罪,1995,美国,剧情 犯罪 悬疑 惊悚
[红辣椒](https://movie.douban.com/subject/1865703/),今敏 Satoshi Kon,🎉095,🌟9.1,パプリカ / 盗梦侦探(港 / 台),2006,日本,动画 悬疑 科幻 惊悚
[加勒比海盗](https://movie.douban.com/subject/1298070/),戈尔·维宾斯基 Gore Verbinski,🎉096,🌟8.8,Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),2003,美国,动作 冒险 奇幻
[哈利·波特与密室](https://movie.douban.com/subject/1296996/),Chris Columbus,🎉097,🌟8.9,Harry Potter and the Chamber of Secrets / 哈利波特2：消失的密室(港 / 台),2002,英国 美国,奇幻 冒险
[一一](https://movie.douban.com/subject/1292434/),杨德昌 Edward Yang,🎉098,🌟9.1,Yi yi  /  Yi yi: A One and a Two,2000,中国台湾 日本,剧情 爱情 家庭
[狩猎](https://movie.douban.com/subject/6985810/),托马斯·温特伯格 Thomas Vinterberg,🎉099,🌟9.1,Jagten / 诬网(港)  /  谎言的烙印(台),2012,丹麦 瑞典,剧情
[唐伯虎点秋香](https://movie.douban.com/subject/1306249/),李力持 Lik-Chi Lee,🎉100,🌟8.7,唐伯虎點秋香 / Flirting Scholar,1993,中国香港,喜剧 爱情 古装
[7号房的礼物](https://movie.douban.com/subject/10777687/),李焕庆 Hwan-kyeong Lee,🎉101,🌟8.9,7번방의 선물 / 戆爸的礼物(港)  /  7号囚房的礼物,2013,韩国,剧情 喜剧 家庭
[被嫌弃的松子的一生](https://movie.douban.com/subject/1787291/),中岛哲也 Tetsuya Nakashima,🎉102,🌟8.9,嫌われ松子の一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台),2006,日本,剧情 歌舞
[请以你的名字呼唤我](https://movie.douban.com/subject/26799731/),卢卡·瓜达尼诺 Luca Guadagnino,🎉103,🌟8.8,Call Me by Your Name / 以你的名字呼唤我(港 / 台),2017,意大利 法国 巴西 美国,剧情 爱情 同性
[蝙蝠侠：黑暗骑士崛起](https://movie.douban.com/subject/3395373/),克里斯托弗·诺兰 Christopher Nolan,🎉104,🌟8.8,The Dark Knight Rises / 蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),2012,美国 英国,剧情 动作 科幻 犯罪 惊悚
[断背山](https://movie.douban.com/subject/1418834/),李安 Ang Lee,🎉105,🌟8.8,Brokeback Mountain / 断臂山  /  BBM,2005,美国 加拿大,剧情 爱情 同性 家庭
[剪刀手爱德华](https://movie.douban.com/subject/1292370/),蒂姆·波顿 Tim Burton,🎉106,🌟8.7,Edward Scissorhands / 幻海奇缘(港)  /  剪刀手爱德华,1990,美国,剧情 奇幻 爱情
[爱在黎明破晓前](https://movie.douban.com/subject/1296339/),理查德·林克莱特 Richard Linklater,🎉107,🌟8.8,Before Sunrise / 情留半天(港)  /  爱在黎明破晓时(台),1995,美国 奥地利 瑞士,剧情 爱情
[入殓师](https://movie.douban.com/subject/2149806/),泷田洋二郎 Yôjirô Takita,🎉108,🌟8.9,おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台),2008,日本,剧情
