Index,Tag,Eclipse-Series,Spine #,Title,Director,Country,Year,豆瓣电影,豆瓣年份,豆瓣打分,豆瓣信息,IMDb电影,IMDb原名,IMDb年份,IMDb评分,IMDb信息
126,eclipse,Eclipse Series 26, ,Apart from You,Mikio Naruse,Japan,1933.0,[与君别 君と別れて](https://movie.douban.com/subject/3450802/),1933,7.3,导演: 成瀬巳喜男; 类型: 剧情; 地区: 日本,[Apart from You](https://www.imdb.com/title/tt0024214/),Kimi to wakarete,1933.0,7.1,64 min | Drama
127,eclipse,Eclipse Series 26, ,Every-Night Dreams,Mikio Naruse,Japan,1933.0,[夜夜作梦 夜ごとの夢](https://movie.douban.com/subject/1467039/),1933,7.7,导演: 成濑巳喜男; 类型: 剧情; 地区: 日本,[Every-Night Dreams](https://www.imdb.com/title/tt0024793/),Yogoto no yume,1933.0,7.1,64 min | Drama
128,eclipse,Eclipse Series 26, ,Street Without End,Mikio Naruse,Japan,1934.0,[没有尽头的街 限りなき舗道](https://movie.douban.com/subject/1467034/),1934,7.7,导演: 成濑巳喜男; 类型: 剧情; 地区: 日本,[Street Without End](https://www.imdb.com/title/tt0025338/),Kagirinaki hodô,1934.0,6.9,89 min | Drama
129,eclipse,Eclipse Series 27,#,[Eclipse Series 27: Raffaello Matarazzo’s Runaway Melodramas](https://www.criterion.com/boxsets/808-eclipse-series-27-raffaello-matarazzos-runaway-melodramas), , , ,**Eclipse Series 27: Raffaello Matarazzo's Runaway Melodramas 拉法洛·马塔拉佐的情景剧**, , , ,Eclipse Series 27: Raffaello Matarazzo’s Runaway Melodramas, , , , 
130,eclipse,Eclipse Series 27, ,Chains,Raffaello Matarazzo,Italy,1949.0,[枷锁 Catene](https://movie.douban.com/subject/2147875/),1949,6.5,导演: 拉法洛·马塔拉佐; 类型: 犯罪; 地区: 意大利,[Chains](https://www.imdb.com/title/tt0041232/),Catene,1949.0,6.7,"74 min | Crime, Drama"
131,eclipse,Eclipse Series 27, ,Tormento,Raffaello Matarazzo,Italy,1950.0,[酷刑 Tormento](https://movie.douban.com/subject/6023580/),1950, ,导演: 拉法洛·马塔拉佐; 地区: 意大利,[Tormento](https://www.imdb.com/title/tt0046447/), ,1950.0,6.4,87 min | Drama
132,eclipse,Eclipse Series 27, ,Nobody’s Children,Raffaello Matarazzo,Italy,1952.0,[来历不明的孩子 I figli di nessuno](https://movie.douban.com/subject/5065818/),1952, ,导演: 拉法洛·马塔拉佐; 类型: 剧情; 地区: 法国/意大利,[Nobody's Children](https://www.imdb.com/title/tt0043532/),I figli di nessuno,1951.0,6.5,"102 min | Drama, Romance"
133,eclipse,Eclipse Series 27, ,The White Angel,Raffaello Matarazzo,Italy,1955.0,[白天使 L'angelo bianco](https://movie.douban.com/subject/6023582/),1955, ,导演: 拉法洛·马塔拉佐; 类型: 剧情; 地区: 意大利,[The White Angel](https://www.imdb.com/title/tt0047832/),L'angelo bianco,1955.0,6.5,100 min | Drama
134,eclipse,Eclipse Series 28,#,[Eclipse Series 28: The Warped World of Koreyoshi Kurahara](https://www.criterion.com/boxsets/825-eclipse-series-28-the-warped-world-of-koreyoshi-kurahara), , , ,**Eclipse Series 28: The Warped World of Koreyoshi Kurahara 藏原惟缮的狂热世界**, , , ,Eclipse Series 28: The Warped World of Koreyoshi Kurahara, , , , 
135,eclipse,Eclipse Series 28, ,Intimidation,Koreyoshi Kurahara,Japan,1960.0,[恐吓 ある脅迫](https://movie.douban.com/subject/6402255/),1960,7.1,导演: 藏原惟缮; 类型: 剧情; 地区: 日本,[Intimidation](https://www.imdb.com/title/tt2017464/),Aru kyôhaku,1960.0,7.2,"65 min | Crime, Drama, Thriller"
136,eclipse,Eclipse Series 28, ,The Warped Ones,Koreyoshi Kurahara,Japan,1960.0,[狂热的季节 狂熱の季節](https://movie.douban.com/subject/3431178/),1960,7.6,导演: 藏原惟缮; 类型: 剧情; 地区: 日本,[The Warped Ones](https://www.imdb.com/title/tt0057238/),Kyônetsu no kisetsu,1960.0,6.9,"Not Rated | 75 min | Crime, Drama"
137,eclipse,Eclipse Series 28, ,I Hate But Love,Koreyoshi Kurahara,Japan,1962.0,[该死的可恶 憎いあンちくしょう](https://movie.douban.com/subject/6397691/),1962,6.7,导演: 藏原惟缮; 类型: 爱情; 地区: 日本,[I Hate But Love](https://www.imdb.com/title/tt0360839/),Nikui an-chikushô,1962.0,6.7,"106 min | Drama, Romance"
138,eclipse,Eclipse Series 28, ,Black Sun,Koreyoshi Kurahara,Japan,1964.0,[黑色太阳 黒い太陽](https://movie.douban.com/subject/5956232/),1964,6.9,导演: 藏原惟缮; 类型: 剧情; 地区: 日本,[Black Sun](https://www.imdb.com/title/tt0781599/),Kuroi taiyô,1964.0,6.7,"Not Rated | 95 min | Crime, Music, Thriller"
139,eclipse,Eclipse Series 28, ,Thirst for Love,Koreyoshi Kurahara,Japan,1967.0,[爱的饥渴 愛の渇き](https://movie.douban.com/subject/3536264/),1966,7.3,导演: 蔵原惟繕; 类型: 剧情; 地区: 日本,[Thirst for Love](https://www.imdb.com/title/tt0060082/),Ai no kawaki,1966.0,7.3,98 min | Drama
140,eclipse,Eclipse Series 29,#,[Eclipse Series 29: Aki Kaurismäki’s Leningrad Cowboys](https://www.criterion.com/boxsets/835-eclipse-series-29-aki-kaurismkis-leningrad-cowboys), , , ,**Eclipse Series 29: Aki Kaurismäki's Leningrad Cowboys 阿基考利马斯基的列宁格勒牛仔**, , , ,Eclipse Series 29: Aki Kaurismäki’s Leningrad Cowboys, , , , 
141,eclipse,Eclipse Series 29, ,Leningrad Cowboys Go America,Aki Kaurismäki,Finland,1989.0,[列宁格勒牛仔征美记 Leningrad Cowboys Go America](https://movie.douban.com/subject/1316560/),1989,8.4,导演: 阿基·考里斯马基; 类型: 喜剧; 地区: 芬兰/瑞典,[Leningrad Cowboys Go America](https://www.imdb.com/title/tt0097728/), ,1989.0,7.0,"PG-13 | 79 min | Comedy, Music"
