index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
40,![761053](https://media.themoviedb.org/t/p/w220_and_h330_face/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg),41,[Gabriel's Inferno: Part III](https://www.themoviedb.org/movie/761053), ,🌟84.00,2020, , , 
41,![693134](https://media.themoviedb.org/t/p/w220_and_h330_face/czembW0Rk1Ke7lCJGahbOhdCuhV.jpg),42,[Dune: Part Two](https://www.themoviedb.org/movie/693134), ,🌟83.94,2024, , , 
42,![121](https://media.themoviedb.org/t/p/w220_and_h330_face/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg),43,[The Lord of the Rings: The Two Towers](https://www.themoviedb.org/movie/121), ,🌟83.93,2002, , , 
43,![553512](https://media.themoviedb.org/t/p/w220_and_h330_face/pJKy1yvnKh8UjcuYeG3Rt35xHFA.jpg),44,[Burn the Stage: The Movie](https://www.themoviedb.org/movie/553512), ,🌟84.00,2018, , , 
44,![1891](https://media.themoviedb.org/t/p/w220_and_h330_face/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg),45,[The Empire Strikes Back](https://www.themoviedb.org/movie/1891), ,🌟83.91,1980, , , 
45,![620249](https://media.themoviedb.org/t/p/w220_and_h330_face/aLv87NgRJUPkQ6sVLP72IisDdt4.jpg),46,[The Legend of Hei](https://www.themoviedb.org/movie/620249), ,🌟84.00,2019, , , 
46,![378064](https://media.themoviedb.org/t/p/w220_and_h330_face/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg),47,[A Silent Voice: The Movie](https://www.themoviedb.org/movie/378064), ,🌟84.00,2016, , , 
47,![244786](https://media.themoviedb.org/t/p/w220_and_h330_face/7fn624j5lj3xTme2SgiLCeuedmO.jpg),48,[Whiplash](https://www.themoviedb.org/movie/244786), ,🌟83.83,2014, , , 
48,![14537](https://media.themoviedb.org/t/p/w220_and_h330_face/5konZnIbcAxZjP616Cz5o9bKEfW.jpg),49,[Harakiri](https://www.themoviedb.org/movie/14537), ,🌟84.00,1962, , , 
49,![423](https://media.themoviedb.org/t/p/w220_and_h330_face/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg),50,[The Pianist](https://www.themoviedb.org/movie/423), ,🌟83.81,2002, , , 
50,![569094](https://media.themoviedb.org/t/p/w220_and_h330_face/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg),51,[Spider-Man: Across the Spider-Verse](https://www.themoviedb.org/movie/569094), ,🌟83.77,2023, , , 
51,![1160164](https://media.themoviedb.org/t/p/w220_and_h330_face/jf3YO8hOqGHCupsREf5qymYq1n.jpg),52,[TAYLOR SWIFT | THE ERAS TOUR](https://www.themoviedb.org/movie/1160164), ,🌟84.00,2023, , , 
52,![807](https://media.themoviedb.org/t/p/w220_and_h330_face/6yoghtyTpznpBik8EngEmJskVUO.jpg),53,[Se7en](https://www.themoviedb.org/movie/807), ,🌟83.71,1995, , , 
53,![27205](https://media.themoviedb.org/t/p/w220_and_h330_face/edv5CZvWj09upOsy2Y6IwDhK8bt.jpg),54,[Inception](https://www.themoviedb.org/movie/27205), ,🌟83.67,2010, , , 
54,![820067](https://media.themoviedb.org/t/p/w220_and_h330_face/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg),55,[The Quintessential Quintuplets Movie](https://www.themoviedb.org/movie/820067), ,🌟84.00,2022, , , 
55,![567](https://media.themoviedb.org/t/p/w220_and_h330_face/ILVF0eJxHMddjxeQhswFtpMtqx.jpg),56,[Rear Window](https://www.themoviedb.org/movie/567), ,🌟83.52,1954, , , 
56,![274](https://media.themoviedb.org/t/p/w220_and_h330_face/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg),57,[The Silence of the Lambs](https://www.themoviedb.org/movie/274), ,🌟83.47,1991, , , 
57,![73](https://media.themoviedb.org/t/p/w220_and_h330_face/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg),58,[American History X](https://www.themoviedb.org/movie/73), ,🌟83.00,1998, , , 
