index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
72, ,77,[我知道是你：走进约翰·凯泽尔](http://movie.mtime.com/161397),理查德·谢帕德,🌟8.90,2009,美国, ,理查德·谢帕德 / 约翰·凯泽尔
73,![209905](http://img5.mtime.cn/img3x/mt/2014/04/14/192804.60429961_o.jpg),78,[冰血长津湖](http://movie.mtime.com/209905),颜品,🌟8.90,2011, , ,颜品
74,![219171](http://img5.mtime.cn/mt/2016/11/21/080817.61278717_o.jpg),79,[血战钢锯岭](http://movie.mtime.com/219171),梅尔·吉布森,🌟8.90,2016,澳大利亚, ,梅尔·吉布森 / 安德鲁·加菲尔德
75,![221547](http://img5.mtime.cn/img3x/mt/2015/07/20/102833.26100921_o.jpg),80,[四星之路](http://movie.mtime.com/221547), ,🌟8.90,2014,德国, , 
76,![221747](http://img5.mtime.cn/img3x/mt/2015/03/01/114108.57073006_o.jpg),81,[穹顶之下](http://movie.mtime.com/221747),范铭,🌟8.90,2015,中国, ,范铭 / 柴静
77,![249650](http://img5.mtime.cn/mt/2017/10/31/093115.54082521_o.jpg),82,[嘉年华](http://movie.mtime.com/249650),文晏,🌟8.90,2017,中国, ,文晏 / 文淇 
78,![269589](http://img5.mtime.cn/mt/2020/12/15/230657.36558164_o.jpg),83,[角落小伙伴：魔法绘本里的新朋友](http://movie.mtime.com/269589), ,🌟8.90,2019,日本, ,井之原快彦
79,![10603](http://img5.mtime.cn/img3x/mt/2014/02/22/224506.82896972_o.jpg),84,[生活多美好](http://movie.mtime.com/10603),弗兰克·卡普拉,🌟8.80,1946,美国, ,弗兰克·卡普拉 / 詹姆斯·斯图尔特
80,![10746](http://img5.mtime.cn/mt/2019/10/25/082807.69022702_o.jpg),85,[海上钢琴师](http://movie.mtime.com/10746),朱塞佩·托纳多雷,🌟8.80,2019,意大利, ,朱塞佩·托纳多雷 / 蒂姆·罗斯
81,![12591](http://img5.mtime.cn/img3x/mt/2014/02/22/230838.30805400_o.jpg),86,[战争与和平](http://movie.mtime.com/12591),谢尔盖·邦达尔丘克,🌟8.80,1966,苏联, ,谢尔盖·邦达尔丘克 / 谢尔盖·邦达尔丘克
82,![12907](http://img5.mtime.cn/img3x/mt/2014/02/22/231418.54081890_o.jpg),87,[奥林匹亚](http://movie.mtime.com/12907),莱妮·里芬斯塔尔,🌟8.80,1938,德国, ,莱妮·里芬斯塔尔
83,![13134](http://img5.mtime.cn/img3x/mt/2014/02/22/231702.76390311_o.jpg),88,[你逃我也逃](http://movie.mtime.com/13134),恩斯特·刘别谦,🌟8.80,1942,美国, ,恩斯特·刘别谦 / 罗伯特·斯塔克
84,![13174](http://img5.mtime.cn/img3x/mt/2014/02/22/231727.74127417_o.jpg),89,[十诫](http://movie.mtime.com/13174),克日什托夫·基耶斯洛夫斯基,🌟8.80,1990,波兰, ,克日什托夫·基耶斯洛夫斯基 / 昂里克·巴兰诺斯基
85,![13217](http://img5.mtime.cn/img3x/mt/2014/02/22/231752.95276537_o.jpg),90,[恐怖德古拉](http://movie.mtime.com/13217),泰伦斯·费希,🌟8.80,1958,英国, ,泰伦斯·费希 / 彼得·库欣
86,![13431](http://img5.mtime.cn/img3x/mt/2014/02/22/232045.42265776_o.jpg),91,[摩登时代](http://movie.mtime.com/13431),查理·卓别林,🌟8.80,1936,美国, ,查理·卓别林 / 查理·卓别林
87,![14186](http://img5.mtime.cn/mt/2017/12/27/160609.53584823_o.jpg),92,[黄金三镖客](http://movie.mtime.com/14186),赛尔乔·莱昂内,🌟8.80,1966,意大利, ,赛尔乔·莱昂内 / 克林特·伊斯特伍德
88,![14496](http://img5.mtime.cn/img3x/mt/2013/12/13/144349.16704155_o.jpg),93,[东京物语](http://movie.mtime.com/14496),小津安二郎,🌟8.80,1953,日本, ,小津安二郎 / 原节子
89,![15417](http://img5.mtime.cn/img3x/mt/2014/05/03/091100.16009036_o.jpg),94,[超能勇士](http://movie.mtime.com/15417), ,🌟8.80,1996, , , 
90,![15820](http://img5.mtime.cn/img3x/mt/2014/02/22/234957.67687288_o.jpg),95,[地下](http://movie.mtime.com/15820),埃米尔·库斯图里卡,🌟8.80,1995,南斯拉夫联盟共和国, ,埃米尔·库斯图里卡 / 拉扎尔·里斯托夫斯基
91,![15904](http://img5.mtime.cn/img3x/mt/2014/02/22/235047.78694572_o.jpg),96,[再见女郎](http://movie.mtime.com/15904),赫伯特·罗斯,🌟8.80,1977,美国, ,赫伯特·罗斯 / 理查德·德莱福斯
92,![17970](http://img5.mtime.cn/img3x/mt/2014/02/23/002322.48491076_o.jpg),97,[挛爱砒霜](http://movie.mtime.com/17970),约翰·格里尔逊,🌟8.80,2003,加拿大, ,约翰·格里尔逊
93,![19682](http://img5.mtime.cn/img3x/mt/2014/02/23/004232.84698499_o.jpg),98,[无言的山丘](http://movie.mtime.com/19682),王童,🌟8.80,1992,中国台湾, ,王童 / 黄品源
94,![20096](http://img5.mtime.cn/img3x/mt/2014/02/23/004711.71355887_o.jpg),99,[结婚集团](http://movie.mtime.com/20096),恩斯特·刘别谦,🌟8.80,1924,美国, ,恩斯特·刘别谦
95,![21534](http://img5.mtime.cn/img3x/mt/2014/02/23/010225.24503511_o.jpg),100,[被遗忘的影片](http://movie.mtime.com/21534), ,🌟8.80,1995,新西兰, ,彼得·杰克逊
